Date,MO
2023-01-03,35.8458137512207
2023-01-04,35.75919723510742
2023-01-05,35.72769546508789
2023-01-06,36.578163146972656
2023-01-09,36.20805358886719
2023-01-10,36.2159309387207
2023-01-11,36.082061767578125
2023-01-12,35.75132751464844
2023-01-13,35.92456817626953
2023-01-17,35.562320709228516
2023-01-18,34.65673065185547
2023-01-19,35.074092864990234
2023-01-20,35.38908386230469
2023-01-23,35.28670883178711
2023-01-24,35.263092041015625
2023-01-25,35.38121032714844
2023-01-26,34.87722396850586
2023-01-27,34.759098052978516
2023-01-30,35.04259490966797
2023-01-31,35.46783447265625
2023-02-01,37.43651580810547
2023-02-02,36.98765563964844
2023-02-03,36.94040298461914
2023-02-06,36.97977828979492
2023-02-07,36.664794921875
2023-02-08,36.617549896240234
2023-02-09,36.483673095703125
2023-02-10,37.20027542114258
2023-02-13,37.680625915527344
2023-02-14,37.334144592285156
2023-02-15,37.52313232421875
2023-02-16,37.32626724243164
2023-02-17,37.8538703918457
2023-02-21,37.357765197753906
2023-02-22,37.121524810791016
2023-02-23,37.41288375854492
2023-02-24,37.145145416259766
2023-02-27,36.6490478515625
2023-02-28,36.56241989135742
2023-03-01,36.34192657470703
2023-03-02,36.58604049682617
2023-03-03,36.64116668701172
2023-03-06,37.1609001159668
2023-03-07,36.65691375732422
2023-03-08,36.853782653808594
2023-03-09,36.80653762817383
2023-03-10,36.704166412353516
2023-03-13,36.7592887878418
2023-03-14,36.80653762817383
2023-03-15,36.908912658691406
2023-03-16,36.3576774597168
2023-03-17,35.68832015991211
2023-03-20,36.2789306640625
2023-03-21,36.38130187988281
2023-03-22,35.55445098876953
2023-03-23,34.95128631591797
2023-03-24,35.36143493652344
2023-03-27,35.61879348754883
2023-03-28,35.675086975097656
2023-03-29,35.80375289916992
2023-03-30,35.78767776489258
2023-03-31,35.884178161621094
2023-04-03,36.17369842529297
2023-04-04,35.747459411621094
2023-04-05,35.731380462646484
2023-04-06,35.731380462646484
2023-04-10,35.78767776489258
2023-04-11,36.26216506958008
2023-04-12,36.05306625366211
2023-04-13,36.16566467285156
2023-04-14,36.213905334472656
2023-04-17,36.543643951416016
2023-04-18,37.106590270996094
2023-04-19,37.36394500732422
2023-04-20,36.985958099365234
2023-04-21,37.11463165283203
2023-04-24,37.53281784057617
2023-04-25,37.79018020629883
2023-04-26,37.548912048339844
2023-04-27,37.951019287109375
2023-04-28,38.2083625793457
2023-05-01,38.425506591796875
2023-05-02,37.9429817199707
2023-05-03,37.42023468017578
2023-05-04,37.09854507446289
2023-05-05,37.548912048339844
2023-05-08,37.48457717895508
2023-05-09,37.34785461425781
2023-05-10,36.945743560791016
2023-05-11,36.728599548339844
2023-05-12,36.728599548339844
2023-05-15,36.6401481628418
2023-05-16,36.26216506958008
2023-05-17,36.46322250366211
2023-05-18,36.2460823059082
2023-05-19,36.43104934692383
2023-05-22,36.13349151611328
2023-05-23,36.13349151611328
2023-05-24,36.149574279785156
2023-05-25,35.92438888549805
2023-05-26,35.876136779785156
2023-05-30,35.642913818359375
2023-05-31,35.72333908081055
2023-06-01,35.85200881958008
2023-06-02,36.455177307128906
2023-06-05,35.90026092529297
2023-06-06,35.916351318359375
2023-06-07,36.270206451416016
2023-06-08,36.47929763793945
2023-06-09,36.36671447753906
2023-06-12,36.61601638793945
2023-06-13,36.800987243652344
2023-06-14,36.08664321899414
