Date,META
2023-01-03,123.87469482421875
2023-01-04,126.4864501953125
2023-01-05,126.05944061279297
2023-01-06,129.11807250976562
2023-01-09,128.57188415527344
2023-01-10,132.06748962402344
2023-01-11,131.96815490722656
2023-01-12,135.76165771484375
2023-01-13,136.02978515625
2023-01-17,134.42100524902344
2023-01-18,132.09725952148438
2023-01-19,135.20553588867188
2023-01-20,138.4031982421875
2023-01-23,142.2761688232422
2023-01-24,142.14706420898438
2023-01-25,140.51844787597656
2023-01-26,146.27821350097656
2023-01-27,150.6874237060547
2023-01-30,146.03985595703125
2023-01-31,147.93663024902344
2023-02-01,152.05783081054688
2023-02-02,187.46051025390625
2023-02-03,185.23606872558594
2023-02-06,184.76930236816406
2023-02-07,190.29075622558594
2023-02-08,182.15756225585938
2023-02-09,176.68577575683594
2023-02-10,172.9419403076172
2023-02-13,178.18533325195312
2023-02-14,178.2349853515625
2023-02-15,175.9310760498047
2023-02-16,171.24378967285156
2023-02-17,171.68075561523438
2023-02-21,170.8863067626953
2023-02-22,169.9329833984375
2023-02-23,170.8465576171875
2023-02-24,169.20802307128906
2023-02-27,168.36392211914062
2023-02-28,173.72647094726562
2023-03-01,172.21701049804688
2023-03-02,173.3192901611328
2023-03-03,183.96493530273438
2023-03-06,183.6173553466797
2023-03-07,183.2301025390625
2023-03-08,183.68690490722656
2023-03-09,180.42962646484375
2023-03-10,178.2647705078125
2023-03-13,179.64511108398438
2023-03-14,192.67410278320312
2023-03-15,196.3782501220703
2023-03-16,203.5084228515625
2023-03-17,194.25308227539062
2023-03-20,196.4378204345703
2023-03-21,200.7576446533203
2023-03-22,198.4239501953125
2023-03-23,202.86293029785156
2023-03-24,204.58091735839844
2023-03-27,201.4329376220703
2023-03-28,199.2879180908203
2023-03-29,203.92550659179688
2023-03-30,206.3982391357422
2023-03-31,210.4698028564453
2023-04-03,211.5919647216797
2023-04-04,213.23052978515625
2023-04-05,210.01296997070312
2023-04-06,214.60093688964844
2023-04-10,213.26031494140625
2023-04-11,212.3665771484375
2023-04-12,212.51551818847656
2023-04-13,218.82147216796875
2023-04-14,219.9535675048828
2023-04-17,217.34182739257812
2023-04-18,216.37852478027344
2023-04-19,214.20370483398438
2023-04-20,211.5919647216797
2023-04-21,211.41322326660156
2023-04-24,211.31390380859375
2023-04-25,206.11026000976562
2023-04-26,207.94741821289062
2023-04-27,236.90512084960938
2023-04-28,238.65293884277344
2023-05-01,241.4930877685547
2023-05-02,237.58041381835938
2023-05-03,235.38575744628906
2023-05-04,231.90011596679688
2023-05-05,231.16522216796875
2023-05-08,231.65185546875
2023-05-09,231.75112915039062
2023-05-10,231.46315002441406
2023-05-11,234.1543426513672
2023-05-12,232.18809509277344
2023-05-15,237.2030487060547
2023-05-16,237.16334533691406
2023-05-17,240.80789184570312
2023-05-18,245.1376190185547
2023-05-19,243.93603515625
2023-05-22,246.59742736816406
