Date,WFC
2023-01-03,38.44974899291992
2023-01-04,39.24100112915039
2023-01-05,39.02938461303711
2023-01-06,39.3790168762207
2023-01-09,39.00178527832031
2023-01-10,38.97418975830078
2023-01-11,39.32381057739258
2023-01-12,39.406620025634766
2023-01-13,40.68552017211914
2023-01-17,40.593509674072266
2023-01-18,39.91265869140625
2023-01-19,39.517024993896484
2023-01-20,40.40950012207031
2023-01-23,41.43077087402344
2023-01-24,40.897132873535156
2023-01-25,41.71599578857422
2023-01-26,42.1484260559082
2023-01-27,42.433650970458984
2023-01-30,42.590065002441406
2023-01-31,43.123695373535156
2023-02-01,43.546932220458984
2023-02-02,43.73212814331055
2023-02-03,44.05619812011719
2023-02-06,44.1487922668457
2023-02-07,44.56546401977539
2023-02-08,44.67657470703125
2023-02-09,44.046939849853516
2023-02-10,43.99138641357422
2023-02-13,44.56546401977539
2023-02-14,44.9080696105957
2023-02-15,44.41731643676758
2023-02-16,43.722862243652344
2023-02-17,43.972869873046875
2023-02-21,42.81543731689453
2023-02-22,42.60247039794922
2023-02-23,42.82469940185547
2023-02-24,43.167293548583984
2023-02-27,43.31544494628906
2023-02-28,43.30619430541992
2023-03-01,43.222862243652344
2023-03-02,42.40802764892578
2023-03-03,43.38026428222656
2023-03-06,43.17655944824219
2023-03-07,41.15801239013672
2023-03-08,40.59318923950195
2023-03-09,38.08389663696289
2023-03-10,38.2968635559082
2023-03-13,35.56533432006836
2023-03-14,37.19498825073242
2023-03-15,35.972747802734375
2023-03-16,36.3894157409668
2023-03-17,34.96347427368164
2023-03-20,34.7042121887207
2023-03-21,35.63014602661133
2023-03-22,34.444950103759766
2023-03-23,33.898643493652344
2023-03-24,33.546783447265625
2023-03-27,34.694950103759766
2023-03-28,34.426429748535156
2023-03-29,35.15792465209961
2023-03-30,34.61161422729492
2023-03-31,34.61161422729492
2023-04-03,34.92643737792969
2023-04-04,34.083831787109375
2023-04-05,34.15790557861328
2023-04-06,35.093109130859375
2023-04-10,35.76904296875
2023-04-11,36.45424270629883
2023-04-12,36.28756332397461
2023-04-13,36.72276306152344
2023-04-14,36.70423889160156
2023-04-17,38.24130630493164
2023-04-18,38.76908874511719
2023-04-19,39.11168670654297
2023-04-20,38.58389663696289
2023-04-21,38.18574142456055
2023-04-24,38.380191802978516
2023-04-25,37.54684066772461
2023-04-26,36.53757095336914
2023-04-27,36.72276306152344
2023-04-28,36.806095123291016
2023-05-01,37.39869689941406
2023-05-02,35.9634895324707
2023-05-03,35.78756332397461
2023-05-04,34.26647186279297
2023-05-05,35.40495300292969
2023-05-08,35.8155517578125
2023-05-09,35.964866638183594
2023-05-10,35.722232818603516
2023-05-11,35.76890182495117
2023-05-12,34.985023498535156
2023-05-15,36.179500579833984
2023-05-16,35.82488250732422
2023-05-17,37.75657272338867
2023-05-18,37.52327346801758
2023-05-19,37.355308532714844
2023-05-22,38.24183654785156
2023-05-23,38.45646667480469
2023-05-24,38.13917922973633
2023-05-25,38.167171478271484
2023-05-26,38.47512435913086
2023-05-30,38.24183654785156
2023-05-31,37.15000915527344
2023-06-01,37.38330841064453
2023-06-02,38.48446273803711
2023-06-05,37.74724197387695
2023-06-06,38.50312805175781
2023-06-07,39.258995056152344
2023-06-08,39.5389518737793
2023-06-09,39.314998626708984
2023-06-12,39.035037994384766
2023-06-13,39.80024719238281
2023-06-14,39.268333435058594
2023-06-15,39.52962875366211
2023-06-16,39.36165237426758
2023-06-20,39.09102249145508
2023-06-21,38.8670654296875
2023-06-22,38.316490173339844
2023-06-23,37.89655303955078
2023-06-26,37.877891540527344
2023-06-27,38.1765022277832
2023-06-28,37.905879974365234
2023-06-29,39.613616943359375
2023-06-30,39.8282470703125
2023-07-03,40.50013732910156
2023-07-05,40.574790954589844
2023-07-06,40.02421188354492
2023-07-07,39.9122314453125
2023-07-10,39.4922981262207
2023-07-11,39.88423538208008
2023-07-12,40.369483947753906
2023-07-13,40.789424896240234
2023-07-14,40.649444580078125
2023-07-17,41.75060272216797
2023-07-18,42.553138732910156
2023-07-19,43.16903305053711
2023-07-20,43.98091125488281
2023-07-21,42.889076232910156
2023-07-24,43.31834030151367
2023-07-25,42.44115447998047
2023-07-26,43.337005615234375
2023-07-27,42.71177291870117
2023-07-28,43.05705642700195
2023-07-31,43.075721740722656
2023-08-01,42.65578079223633
2023-08-02,42.086544036865234
2023-08-03,42.46273422241211
2023-08-04,42.18059539794922
2023-08-07,42.37809371948242
2023-08-08,41.83261489868164
2023-08-09,41.11784744262695
2023-08-10,41.07081985473633
2023-08-11,41.12724685668945
2023-08-14,41.13665771484375
2023-08-15,40.18677520751953
2023-08-16,39.707130432128906
2023-08-17,39.94224548339844
2023-08-18,39.970458984375
2023-08-21,39.96105194091797
2023-08-22,39.02997970581055
2023-08-23,39.1334342956543
2023-08-24,38.964141845703125
2023-08-25,38.77605056762695
2023-08-28,39.387359619140625
2023-08-29,39.50021743774414
2023-08-30,39.067596435546875
2023-08-31,38.83248519897461
2023-09-01,39.171051025390625
2023-09-05,39.067596435546875
2023-09-06,38.57855224609375
2023-09-07,38.02366256713867
2023-09-08,38.55974197387695
2023-09-11,38.87010192871094
2023-09-12,40.00808334350586
2023-09-13,39.73534393310547
2023-09-14,40.48772048950195
2023-09-15,40.3936767578125
2023-09-18,40.845115661621094
2023-09-19,40.64760971069336
2023-09-20,40.31843566894531
2023-09-21,39.801177978515625
2023-09-22,38.77605056762695
2023-09-25,39.08640670776367
2023-09-26,38.23057556152344
2023-09-27,38.42807388305664
2023-09-28,38.47509002685547
2023-09-29,38.42807388305664
2023-10-02,37.252471923828125
2023-10-03,36.36841583251953
2023-10-04,36.65056228637695
2023-10-05,36.960914611816406
2023-10-06,37.327701568603516
2023-10-09,37.33710861206055
2023-10-10,37.44997024536133
2023-10-11,37.327701568603516
2023-10-12,37.374732971191406
2023-10-13,38.522117614746094
2023-10-16,39.171051025390625
2023-10-17,39.48141098022461
2023-10-18,39.05819320678711
2023-10-19,38.72903060913086
2023-10-20,37.87318801879883
2023-10-23,37.13020324707031
2023-10-24,36.94211196899414
2023-10-25,36.706993103027344
2023-10-26,37.29008865356445
2023-10-27,36.453067779541016
2023-10-30,37.083187103271484
2023-10-31,37.4029426574707
2023-11-01,37.252471923828125
2023-11-02,38.43854904174805
2023-11-03,39.49178695678711
2023-11-06,39.226112365722656
2023-11-07,38.94145202636719
2023-11-08,38.884521484375
2023-11-09,38.33417892456055
2023-11-10,38.79911804199219
2023-11-13,38.68526077270508
2023-11-14,39.92826843261719
2023-11-15,40.649410247802734
2023-11-16,40.355255126953125
2023-11-17,40.76327133178711
2023-11-20,40.60197067260742
2023-11-21,40.42167663574219
2023-11-22,40.592472076416016
2023-11-24,40.725318908691406
2023-11-27,40.82019805908203
2023-11-28,41.152313232421875
2023-11-29,41.541343688964844
2023-11-30,42.30992126464844
2023-12-01,42.71793746948242
2023-12-04,42.81282043457031
2023-12-05,42.21503829956055
2023-12-06,42.22453689575195
2023-12-07,43.0785026550293
2023-12-08,43.74271011352539
2023-12-11,43.647830963134766
2023-12-12,44.09379196166992
2023-12-13,45.31782150268555
2023-12-14,47.92720413208008
2023-12-15,47.73743438720703
2023-12-18,47.12067794799805
2023-12-19,47.5286865234375
2023-12-20,46.817039489746094
2023-12-21,46.921417236328125
2023-12-22,46.665218353271484
2023-12-26,47.1016960144043
