Date,AXP
2023-01-03,141.41946411132812
2023-01-04,144.70693969726562
2023-01-05,141.2440948486328
2023-01-06,144.8516082763672
2023-01-09,145.07345581054688
2023-01-10,146.6168212890625
2023-01-11,148.4688262939453
2023-01-12,149.43338012695312
2023-01-13,150.24365234375
2023-01-17,148.30484008789062
2023-01-18,145.09275817871094
2023-01-19,141.64920043945312
2023-01-20,146.23101806640625
2023-01-23,148.5459747314453
2023-01-24,149.8289337158203
2023-01-25,151.2178955078125
2023-01-26,150.3594207763672
2023-01-27,166.20755004882812
2023-01-30,166.54515075683594
2023-01-31,168.73475646972656
2023-02-01,167.46148681640625
2023-02-02,166.99853515625
2023-02-03,172.5255584716797
2023-02-06,170.2298583984375
2023-02-07,172.37120056152344
2023-02-08,172.6605987548828
2023-02-09,173.01751708984375
2023-02-10,172.9017333984375
2023-02-13,174.90809631347656
2023-02-14,174.60910034179688
2023-02-15,174.27145385742188
2023-02-16,171.6381378173828
2023-02-17,171.02081298828125
2023-02-21,167.33612060546875
2023-02-22,168.51290893554688
2023-02-23,168.93731689453125
2023-02-24,168.07887268066406
2023-02-27,167.1624755859375
2023-02-28,167.82801818847656
2023-03-01,169.6800537109375
2023-03-02,169.13023376464844
2023-03-03,172.74742126464844
2023-03-06,172.71847534179688
2023-03-07,169.11094665527344
2023-03-08,168.63832092285156
2023-03-09,166.02426147460938
2023-03-10,159.83163452148438
2023-03-13,152.04745483398438
2023-03-14,158.10504150390625
2023-03-15,154.1502227783203
2023-03-16,155.03762817382812
2023-03-17,150.97674560546875
2023-03-20,153.11814880371094
2023-03-21,158.7320098876953
2023-03-22,156.98611450195312
2023-03-23,156.99574279785156
2023-03-24,154.1212921142578
2023-03-27,157.34300231933594
2023-03-28,153.5714874267578
2023-03-29,157.79637145996094
2023-03-30,156.6581573486328
2023-03-31,159.1082000732422
2023-04-03,157.97962951660156
2023-04-04,156.80282592773438
2023-04-05,155.95086669921875
2023-04-06,153.7725372314453
2023-04-10,156.00894165039062
2023-04-11,156.677001953125
2023-04-12,154.2178497314453
2023-04-13,157.1320343017578
2023-04-14,158.02272033691406
2023-04-17,158.4971160888672
2023-04-18,159.1651611328125
2023-04-19,159.6976318359375
2023-04-20,158.080810546875
2023-04-21,158.56488037109375
2023-04-24,155.47647094726562
2023-04-25,151.1488037109375
2023-04-26,150.7615203857422
2023-04-27,153.4046173095703
2023-04-28,156.20260620117188
2023-05-01,154.24693298339844
2023-05-02,148.3701934814453
2023-05-03,147.3633270263672
2023-05-04,144.07154846191406
2023-05-05,147.78929138183594
2023-05-08,148.16683959960938
2023-05-09,148.49607849121094
2023-05-10,143.94569396972656
2023-05-11,143.27767944335938
2023-05-12,143.21958923339844
2023-05-15,145.2236785888672
2023-05-16,143.6842803955078
2023-05-17,147.24713134765625
2023-05-18,148.5928497314453
2023-05-19,148.07974243164062
2023-05-22,150.55819702148438
2023-05-23,147.70216369628906
2023-05-24,145.92074584960938
2023-05-25,146.26927185058594
2023-05-26,152.23313903808594
2023-05-30,152.97862243652344
2023-05-31,153.51109313964844
2023-06-01,157.53863525390625
2023-06-02,163.19265747070312
2023-06-05,162.09866333007812
2023-06-06,166.34886169433594
2023-06-07,166.0874786376953
2023-06-08,165.69053649902344
2023-06-09,166.25205993652344
2023-06-12,168.11094665527344
2023-06-13,169.5631561279297
2023-06-14,168.91448974609375
2023-06-15,168.2755126953125
2023-06-16,166.72647094726562
2023-06-20,164.015625
2023-06-21,162.57308959960938
2023-06-22,162.90225219726562
2023-06-23,162.71827697753906
2023-06-26,161.78884887695312
2023-06-27,162.83447265625
2023-06-28,164.3738555908203
2023-06-29,166.60061645507812
2023-06-30,168.65309143066406
2023-07-03,169.8536376953125
2023-07-05,169.97947692871094
2023-07-06,166.06442260742188
2023-07-07,164.9569549560547
2023-07-10,166.81248474121094
2023-07-11,169.65887451171875
2023-07-12,169.3577423095703
2023-07-13,169.27029418945312
2023-07-14,168.44451904296875
2023-07-17,170.38748168945312
2023-07-18,172.96189880371094
2023-07-19,172.06813049316406
2023-07-20,172.05844116210938
2023-07-21,165.3649444580078
2023-07-24,163.00424194335938
2023-07-25,161.75103759765625
2023-07-26,162.96539306640625
2023-07-27,158.9337615966797
