Date,TGT
2023-01-03,135.332763671875
2023-01-04,136.21575927734375
2023-01-05,137.58934020996094
2023-01-06,142.8428192138672
2023-01-09,139.45350646972656
2023-01-10,139.11456298828125
2023-01-11,141.7903289794922
2023-01-12,142.486083984375
2023-01-13,146.81195068359375
2023-01-17,144.58212280273438
2023-01-18,143.44937133789062
2023-01-19,141.9062957763672
2023-01-20,144.6802215576172
2023-01-23,146.83868408203125
2023-01-24,145.87538146972656
2023-01-25,146.46408081054688
2023-01-26,148.9792938232422
2023-01-27,150.2993621826172
2023-01-30,150.45101928710938
2023-01-31,153.53707885742188
2023-02-01,157.9432373046875
2023-02-02,161.4574737548828
2023-02-03,157.6577911376953
2023-02-06,155.0533905029297
2023-02-07,155.8739776611328
2023-02-08,153.2248992919922
2023-02-09,152.85032653808594
2023-02-10,151.6461944580078
2023-02-13,154.58958435058594
2023-02-14,153.6291961669922
2023-02-15,157.9822235107422
2023-02-16,156.65386962890625
2023-02-17,155.46914672851562
2023-02-21,149.1864776611328
2023-02-22,148.73773193359375
2023-02-23,148.54025268554688
2023-02-24,149.85067749023438
2023-02-27,149.7160186767578
2023-02-28,151.2328338623047
2023-03-01,145.7579345703125
2023-03-02,148.93515014648438
2023-03-03,148.98902893066406
2023-03-06,148.27099609375
2023-03-07,146.1348876953125
2023-03-08,146.75416564941406
2023-03-09,144.1782989501953
2023-03-10,141.97036743164062
2023-03-13,141.7370147705078
2023-03-14,142.1409149169922
2023-03-15,142.82301330566406
2023-03-16,146.34133911132812
2023-03-17,143.0294647216797
2023-03-20,146.5118408203125
2023-03-21,146.03619384765625
2023-03-22,141.33314514160156
2023-03-23,140.12149047851562
2023-03-24,140.21121215820312
2023-03-27,143.04742431640625
2023-03-28,143.3974609375
2023-03-29,141.90753173828125
2023-03-30,143.84620666503906
2023-03-31,148.65692138671875
2023-04-03,149.04286193847656
2023-04-04,149.03387451171875
2023-04-05,148.30691528320312
2023-04-06,148.61207580566406
2023-04-10,151.6815643310547
2023-04-11,152.20216369628906
2023-04-12,146.75416564941406
2023-04-13,146.53880310058594
2023-04-14,144.5014190673828
2023-04-17,146.0271759033203
2023-04-18,145.7579345703125
2023-04-19,145.85665893554688
2023-04-20,143.8551788330078
2023-04-21,145.56044006347656
2023-04-24,147.14015197753906
2023-04-25,141.4588165283203
2023-04-26,139.52012634277344
2023-04-27,141.94346618652344
2023-04-28,141.58445739746094
2023-05-01,141.01898193359375
2023-05-02,139.76246643066406
2023-05-03,138.73033142089844
2023-05-04,136.8993682861328
2023-05-05,140.2830047607422
2023-05-08,140.46255493164062
2023-05-09,141.28826904296875
2023-05-10,141.56646728515625
2023-05-11,142.58966064453125
2023-05-12,141.79983520507812
2023-05-15,144.11546325683594
2023-05-16,141.78416442871094
2023-05-17,145.44378662109375
2023-05-18,139.3173065185547
2023-05-19,137.60049438476562
2023-05-22,137.2661590576172
