Date,CL
2023-01-03,73.24141693115234
2023-01-04,73.7134780883789
2023-01-05,72.69532012939453
2023-01-06,74.0281753540039
2023-01-09,72.87117767333984
2023-01-10,72.4824447631836
2023-01-11,71.3902587890625
2023-01-12,71.12181854248047
2023-01-13,72.05667877197266
2023-01-17,72.40840148925781
2023-01-18,70.64053344726562
2023-01-19,69.6038818359375
2023-01-20,70.26518249511719
2023-01-23,70.32105255126953
2023-01-24,70.73088073730469
2023-01-25,70.57254028320312
2023-01-26,70.34899139404297
2023-01-27,66.67926025390625
2023-01-30,67.88078308105469
2023-01-31,69.4176025390625
2023-02-01,69.8460464477539
2023-02-02,68.67249298095703
2023-02-03,69.19406127929688
2023-02-06,68.78424072265625
2023-02-07,68.41168975830078
2023-02-08,68.32786560058594
2023-02-09,67.83421325683594
2023-02-10,68.50482177734375
2023-02-13,68.7097396850586
2023-02-14,68.16020202636719
2023-02-15,67.71312713623047
2023-02-16,67.77833557128906
2023-02-17,69.40827941894531
2023-02-21,69.16613006591797
2023-02-22,69.30583953857422
2023-02-23,68.60728454589844
2023-02-24,68.11363220214844
2023-02-27,68.55140686035156
2023-02-28,68.27197265625
2023-03-01,67.57341003417969
2023-03-02,68.7097396850586
2023-03-03,68.87738037109375
2023-03-06,68.2626724243164
2023-03-07,66.5954360961914
2023-03-08,67.02387237548828
2023-03-09,66.4464111328125
2023-03-10,66.4184799194336
2023-03-13,66.5954360961914
2023-03-14,67.28469848632812
2023-03-15,67.9273452758789
2023-03-16,67.94598388671875
2023-03-17,67.2474136352539
2023-03-20,68.06706237792969
2023-03-21,67.41506958007812
2023-03-22,67.18222045898438
2023-03-23,66.90281677246094
2023-03-24,68.38374328613281
2023-03-27,69.06366729736328
2023-03-28,69.3896713256836
2023-03-29,69.3617172241211
2023-03-30,70.08821105957031
2023-03-31,69.99506378173828
2023-04-03,70.190673828125
2023-04-04,69.6038818359375
2023-04-05,70.190673828125
2023-04-06,70.48870849609375
2023-04-10,69.98575592041016
2023-04-11,70.80538940429688
2023-04-12,70.83332824707031
2023-04-13,71.27110290527344
2023-04-14,70.4048843383789
2023-04-17,70.50735473632812
2023-04-18,70.35832977294922
2023-04-19,70.4048843383789
2023-04-20,71.57659912109375
2023-04-21,71.98902893066406
2023-04-24,73.00137329101562
2023-04-25,72.83264923095703
2023-04-26,71.87653350830078
2023-04-27,73.0482406616211
2023-04-28,74.80110931396484
2023-05-01,75.63534545898438
2023-05-02,75.78530883789062
2023-05-03,76.16964721679688
2023-05-04,75.72908782958984
2023-05-05,75.5416030883789
2023-05-08,75.69158172607422
2023-05-09,75.58847045898438
2023-05-10,76.01966094970703
2023-05-11,76.51646423339844
2023-05-12,76.84454345703125
2023-05-15,76.00091552734375
2023-05-16,75.7103271484375
2023-05-17,75.46662139892578
2023-05-18,74.69798278808594
2023-05-19,74.9229507446289
2023-05-22,73.49817657470703
2023-05-23,72.2139892578125
2023-05-24,71.6890640258789
2023-05-25,71.47348022460938
2023-05-26,71.43598937988281
2023-05-30,70.25492095947266
2023-05-31,69.7206039428711
2023-06-01,70.20804595947266
2023-06-02,71.28600311279297
2023-06-05,71.47348022460938
2023-06-06,70.8360824584961
2023-06-07,70.4892578125
2023-06-08,70.98606872558594
2023-06-09,71.08914947509766
2023-06-12,70.97666931152344
2023-06-13,70.52674102783203
2023-06-14,70.6954574584961
2023-06-15,71.98902893066406
2023-06-16,72.90763854980469
2023-06-20,72.75765228271484
2023-06-21,72.75765228271484
2023-06-22,73.11384582519531
2023-06-23,72.27961730957031
2023-06-26,71.83904266357422
2023-06-27,70.98606872558594
2023-06-28,71.15478515625
2023-06-29,71.76405334472656
2023-06-30,72.2139892578125
2023-07-03,72.3077163696289
2023-07-05,72.05463409423828
2023-07-06,72.0921401977539
2023-07-07,70.85481262207031
2023-07-10,71.13602447509766
2023-07-11,70.6673583984375
2023-07-12,70.4517593383789
2023-07-13,71.10789489746094
2023-07-14,71.6515884399414
2023-07-17,70.84545135498047
2023-07-18,71.08914947509766
2023-07-19,71.63282012939453
2023-07-20,72.63270568847656
2023-07-21,72.81192779541016
2023-07-24,73.08547973632812
2023-07-25,73.42506408691406
2023-07-26,73.53825378417969
2023-07-27,72.73646545410156
2023-07-28,71.33097839355469
2023-07-31,71.93467712402344
2023-08-01,72.29313659667969
2023-08-02,73.14207458496094
2023-08-03,72.23653411865234
2023-08-04,71.93467712402344
2023-08-07,72.53838348388672
2023-08-08,72.0007095336914
2023-08-09,72.15162658691406
2023-08-10,71.95352935791016
2023-08-11,72.53838348388672
2023-08-14,71.42529296875
2023-08-15,70.40657043457031
2023-08-16,70.19903564453125
2023-08-17,69.80287170410156
2023-08-18,70.3216781616211
2023-08-21,69.61421203613281
2023-08-22,69.34066009521484
2023-08-23,69.34066009521484
2023-08-24,69.16143035888672
2023-08-25,69.64250183105469
2023-08-28,69.46328735351562
2023-08-29,69.30290985107422
2023-08-30,69.6613540649414
2023-08-31,69.30290985107422
2023-09-01,69.11426544189453
2023-09-05,68.65205383300781
2023-09-06,68.21814727783203
2023-09-07,69.38780212402344
2023-09-08,69.0482406616211
2023-09-11,69.75569152832031
2023-09-12,68.40680694580078
2023-09-13,68.69922637939453
2023-09-14,69.29349517822266
2023-09-15,69.01994323730469
2023-09-18,69.6613540649414
2023-09-19,69.06708526611328
2023-09-20,69.57648468017578
2023-09-21,69.06708526611328
2023-09-22,68.34075927734375
2023-09-25,68.12382507324219
2023-09-26,67.91629791259766
2023-09-27,67.02017974853516
2023-09-28,67.26542663574219
2023-09-29,67.07677459716797
2023-10-02,66.74662017822266
2023-10-03,66.47307586669922
2023-10-04,66.55796813964844
2023-10-05,65.34112548828125
2023-10-06,65.49205780029297
2023-10-09,65.37886810302734
2023-10-10,65.54863739013672
2023-10-11,64.96383666992188
2023-10-12,65.74674224853516
2023-10-13,66.92584228515625
2023-10-16,68.05780029296875
2023-10-17,67.99177551269531
2023-10-18,68.92559814453125
2023-10-19,69.03880310058594
2023-10-20,69.57052612304688
2023-10-23,68.32666778564453
2023-10-24,69.1622314453125
2023-10-25,69.70346069335938
2023-10-26,69.39012145996094
2023-10-27,68.16525268554688
2023-10-30,70.14971923828125
2023-10-31,71.3271255493164
2023-11-01,71.14672088623047
2023-11-02,71.02327728271484
2023-11-03,71.04227447509766
2023-11-06,71.41258239746094
2023-11-07,71.43157196044922
2023-11-08,71.44105529785156
2023-11-09,71.34611511230469
2023-11-10,71.62146759033203
2023-11-13,72.11521911621094
2023-11-14,72.78936767578125
2023-11-15,71.65943145751953
2023-11-16,72.1436996459961
2023-11-17,71.7638931274414
2023-11-20,71.65943145751953
2023-11-21,72.70390319824219
2023-11-22,73.3780517578125
2023-11-24,73.40654754638672
2023-11-27,73.21664428710938
2023-11-28,73.93827819824219
2023-11-29,73.94776916503906
2023-11-30,74.79281616210938
2023-12-01,74.72636413574219
2023-12-04,74.99221801757812
2023-12-05,73.75786590576172
2023-12-06,73.55847930908203
2023-12-07,73.70089721679688
2023-12-08,73.27361297607422
2023-12-11,73.71987915039062
2023-12-12,74.62191772460938
2023-12-13,75.38153076171875
2023-12-14,72.41905212402344
2023-12-15,73.09320831298828
2023-12-18,74.1186752319336
2023-12-19,74.18514251708984
2023-12-20,73.44453430175781
2023-12-21,73.97624969482422
2023-12-22,74.53645324707031
2023-12-26,75.04918670654297
2023-12-27,75.10615539550781
2023-12-28,75.23908996582031
2023-12-29,75.68537902832031
2024-01-02,76.64436340332031
2024-01-03,75.85626983642578
2024-01-04,76.2835693359375
2024-01-05,75.94173431396484
2024-01-08,76.34053802490234
2024-01-09,76.73931121826172
2024-01-10,76.48296356201172
2024-01-11,76.4924545288086
2024-01-12,76.82478332519531
2024-01-16,76.36902618408203
2024-01-17,76.87225341796875
2024-01-18,76.74882507324219
2024-01-19,76.77745819091797
2024-01-22,76.815673828125
2024-01-23,77.76131439208984
2024-01-24,76.49091339111328
2024-01-25,77.579833984375
2024-01-26,79.11766815185547
2024-01-29,80.19702911376953
2024-01-30,80.45492553710938
2024-01-31,80.42626190185547
2024-02-01,82.26020812988281
2024-02-02,80.82743835449219
2024-02-05,80.32118225097656
2024-02-06,79.98687744140625
2024-02-07,80.10151672363281
2024-02-08,80.48357391357422
2024-02-09,79.71942901611328
2024-02-12,79.81494140625
2024-02-13,79.72898864746094
2024-02-14,79.9582290649414
2024-02-15,79.82449340820312
2024-02-16,79.73854064941406
2024-02-20,80.8178939819336
2024-02-21,81.48651123046875
2024-02-22,82.14559936523438
2024-02-23,82.38439178466797
2024-02-26,82.28886413574219
2024-02-27,82.5372314453125
2024-02-28,82.91929626464844
2024-02-29,82.64228820800781
2024-03-01,82.61361694335938
2024-03-04,82.93839263916016
2024-03-05,82.84288024902344
2024-03-06,83.272705078125
2024-03-07,84.1896743774414
2024-03-08,84.12281799316406
2024-03-11,84.18012237548828
2024-03-12,84.78189849853516
2024-03-13,85.20216369628906
2024-03-14,84.39026641845703
2024-03-15,84.48577880859375
2024-03-18,84.31385803222656
2024-03-19,84.79145050048828
2024-03-20,84.39026641845703
2024-03-21,84.79145050048828
2024-03-22,85.20216369628906
2024-03-25,84.66726684570312
2024-03-26,84.9156265258789
2024-03-27,85.9185562133789
2024-03-28,86.01408386230469
2024-04-01,85.06844329833984
2024-04-02,85.06844329833984
2024-04-03,84.15148162841797
2024-04-04,83.48285675048828
2024-04-05,83.94132995605469
2024-04-08,83.78849792480469
2024-04-09,83.72164916992188
2024-04-10,82.68048858642578
2024-04-11,82.14559936523438
2024-04-12,82.00231170654297
2024-04-15,82.30796813964844
2024-04-16,82.30796813964844
2024-04-17,82.86198425292969
2024-04-18,82.82376861572266
2024-04-19,83.70763397216797
2024-04-22,84.86051177978516
2024-04-23,85.1006851196289
2024-04-24,85.37928771972656
2024-04-25,85.78279876708984
2024-04-26,87.43523406982422
2024-04-29,86.9356460571289
2024-04-30,88.30948638916016
2024-05-01,88.29027557373047
2024-05-02,89.26060485839844
2024-05-03,89.23177337646484
2024-05-06,89.51998901367188
2024-05-07,90.38465118408203
