Date,EXC
2023-01-03,38.58897399902344
2023-01-04,39.09860610961914
2023-01-05,38.24921798706055
2023-01-06,39.044960021972656
2023-01-09,39.47412109375
2023-01-10,39.062843322753906
2023-01-11,39.46519470214844
2023-01-12,38.78567886352539
2023-01-13,38.78567886352539
2023-01-17,38.58897399902344
2023-01-18,37.75747299194336
2023-01-19,37.58760070800781
2023-01-20,37.85581970214844
2023-01-23,37.39089584350586
2023-01-24,37.11372756958008
2023-01-25,37.03325653076172
2023-01-26,37.19419479370117
2023-01-27,37.27466583251953
2023-01-30,37.328304290771484
2023-01-31,37.721710205078125
2023-02-01,37.82006072998047
2023-02-02,37.4534797668457
2023-02-03,36.56833267211914
2023-02-06,36.62197494506836
2023-02-07,36.49680709838867
2023-02-08,35.978240966796875
2023-02-09,35.75470733642578
2023-02-10,36.39845275878906
2023-02-13,36.82761764526367
2023-02-14,37.578651428222656
2023-02-15,38.15087127685547
2023-02-16,37.98993682861328
2023-02-17,38.490623474121094
2023-02-21,37.75747299194336
2023-02-22,37.40877914428711
2023-02-23,37.40877914428711
2023-02-24,37.26448059082031
2023-02-27,37.36368179321289
2023-02-28,36.42576217651367
2023-03-01,35.84857940673828
2023-03-02,36.41674041748047
2023-03-03,37.3185920715332
2023-03-06,37.417808532714844
2023-03-07,36.97589111328125
2023-03-08,37.201351165771484
2023-03-09,36.60613250732422
2023-03-10,36.23637008666992
2023-03-13,37.327606201171875
2023-03-14,37.28251266479492
2023-03-15,37.73344421386719
2023-03-16,38.01301956176758
2023-03-17,38.003997802734375
2023-03-20,37.71541213989258
2023-03-21,36.687294006347656
2023-03-22,35.78544998168945
2023-03-23,35.352561950683594
2023-03-24,36.29049301147461
2023-03-27,36.54300308227539
2023-03-28,36.81355667114258
2023-03-29,37.11117172241211
2023-03-30,37.38172912597656
2023-03-31,37.778533935546875
2023-04-03,37.70639419555664
2023-04-04,37.75148010253906
2023-04-05,38.71646499633789
2023-04-06,38.83370590209961
2023-04-10,39.014068603515625
2023-04-11,39.014068603515625
2023-04-12,38.851741790771484
2023-04-13,38.68038558959961
2023-04-14,37.9949836730957
2023-04-17,38.48197937011719
2023-04-18,38.644309997558594
2023-04-19,38.81566619873047
2023-04-20,38.77959060668945
2023-04-21,38.977996826171875
2023-04-24,39.185420989990234
2023-04-25,39.32971954345703
2023-04-26,38.5901985168457
2023-04-27,38.58118438720703
2023-04-28,38.27455139160156
2023-05-01,38.94192123413086
2023-05-02,38.39179611206055
2023-05-03,38.175357818603516
2023-05-04,38.38278579711914
2023-05-05,38.644309997558594
2023-05-08,38.572166442871094
2023-05-09,38.4368896484375
2023-05-10,38.70743942260742
2023-05-11,38.31063461303711
2023-05-12,37.974090576171875
2023-05-15,37.07362747192383
2023-05-16,35.80934143066406
2023-05-17,35.70928955078125
2023-05-18,35.82753372192383
2023-05-19,36.26412582397461
2023-05-22,36.49150848388672
2023-05-23,36.782569885253906
2023-05-24,36.518802642822266
2023-05-25,35.936676025390625
2023-05-26,35.82753372192383
2023-05-30,35.78205871582031
2023-05-31,36.06402587890625
2023-06-01,35.909393310546875
2023-06-02,36.100399017333984
2023-06-05,36.364173889160156
2023-06-06,36.154972076416016
2023-06-07,36.691612243652344
2023-06-08,36.5006103515625
2023-06-09,36.45513153076172
2023-06-12,36.30050277709961
2023-06-13,36.20045471191406
2023-06-14,36.49150848388672
2023-06-15,37.128204345703125
2023-06-16,37.48292922973633
2023-06-20,37.05543899536133
2023-06-21,37.21006393432617
2023-06-22,36.87352752685547
2023-06-23,36.26412582397461
2023-06-26,36.90081024169922
2023-06-27,37.128204345703125
2023-06-28,36.46422576904297
2023-06-29,36.482418060302734
2023-06-30,37.05543899536133
2023-07-03,37.337398529052734
2023-07-05,37.728511810302734
2023-07-06,37.34650421142578
2023-07-07,37.25553894042969
2023-07-10,37.27373123168945
2023-07-11,37.93770980834961
2023-07-12,38.2469596862793
2023-07-13,38.36520004272461
2023-07-14,38.21967315673828
2023-07-17,38.001380920410156
2023-07-18,37.546592712402344
2023-07-19,37.75579833984375
2023-07-20,38.21057891845703
2023-07-21,38.70174026489258
2023-07-24,38.9564208984375
2023-07-25,39.129234313964844
2023-07-26,39.2929573059082
