Date,RTX
2023-01-03,93.90910339355469
2023-01-04,93.93704223632812
2023-01-05,93.97430419921875
2023-01-06,95.4461441040039
2023-01-09,92.78192901611328
2023-01-10,93.08001708984375
2023-01-11,92.77261352539062
2023-01-12,93.78802490234375
2023-01-13,91.92491912841797
2023-01-17,91.69203186035156
2023-01-18,89.18618774414062
2023-01-19,87.78884887695312
2023-01-20,87.90064239501953
2023-01-23,89.66126251220703
2023-01-24,92.66085815429688
2023-01-25,93.16387176513672
2023-01-26,93.38745880126953
2023-01-27,92.78192901611328
2023-01-30,91.95286560058594
2023-01-31,93.01482391357422
2023-02-01,91.6827163696289
2023-02-02,90.32264709472656
2023-02-03,89.87552642822266
2023-02-06,90.95610809326172
2023-02-07,91.17036437988281
2023-02-08,90.9654312133789
2023-02-09,91.1517333984375
2023-02-10,93.72281646728516
2023-02-13,93.67623138427734
2023-02-14,94.4307861328125
2023-02-15,94.51460266113281
2023-02-16,94.05815124511719
2023-02-17,94.56119537353516
2023-02-21,93.76005554199219
2023-02-22,93.62965393066406
2023-02-23,93.32990264892578
2023-02-24,93.31116485595703
2023-02-27,92.88032531738281
2023-02-28,91.87806701660156
2023-03-01,91.83123779296875
2023-03-02,92.73045349121094
2023-03-03,92.74917602539062
2023-03-06,93.20814514160156
2023-03-07,91.96237182617188
2023-03-08,91.23175811767578
2023-03-09,89.85485076904297
2023-03-10,89.92042541503906
2023-03-13,91.28795623779297
2023-03-14,92.093505859375
2023-03-15,89.76119232177734
2023-03-16,91.86870574951172
2023-03-17,89.68624877929688
2023-03-20,91.35352325439453
2023-03-21,91.80313873291016
2023-03-22,90.57608032226562
2023-03-23,89.92042541503906
2023-03-24,90.33256530761719
2023-03-27,90.77279663085938
2023-03-28,90.66975402832031
2023-03-29,91.51276397705078
2023-03-30,91.20365905761719
2023-03-31,91.72821044921875
2023-04-03,94.21038818359375
2023-04-04,93.20814514160156
2023-04-05,92.5056381225586
2023-04-06,91.99047088623047
2023-04-10,93.31116485595703
2023-04-11,93.40484619140625
2023-04-12,95.0908432006836
2023-04-13,95.24072265625
2023-04-14,95.24072265625
2023-04-17,96.58013916015625
2023-04-18,98.031982421875
2023-04-19,97.49809265136719
2023-04-20,96.3272476196289
2023-04-21,95.77462005615234
