Date,PFE
2023-01-03,42.38249969482422
2023-01-04,41.448204040527344
2023-01-05,41.059593200683594
2023-01-06,42.10137176513672
2023-01-09,40.00953674316406
2023-01-10,39.37289047241211
2023-01-11,39.232337951660156
2023-01-12,39.44730758666992
2023-01-13,39.56306457519531
2023-01-17,38.099605560302734
2023-01-18,37.206642150878906
2023-01-19,37.17356872558594
2023-01-20,37.29759216308594
2023-01-23,37.19010543823242
2023-01-24,36.966861724853516
2023-01-25,37.264522552490234
2023-01-26,36.92241287231445
2023-01-27,36.5385856628418
2023-01-30,36.33832931518555
2023-01-31,36.847312927246094
2023-02-01,36.688785552978516
2023-02-02,36.99751281738281
2023-02-03,36.763877868652344
2023-02-06,36.51355743408203
2023-02-07,36.371707916259766
2023-02-08,36.69712448120117
2023-02-09,36.163108825683594
2023-02-10,36.613685607910156
2023-02-13,36.70546340942383
2023-02-14,36.48017120361328
2023-02-15,36.14641571044922
2023-02-16,35.83768844604492
2023-02-17,36.054630279541016
2023-02-21,35.629093170166016
2023-02-22,35.3620719909668
2023-02-23,35.29532241821289
2023-02-24,34.83640670776367
2023-02-27,34.02702713012695
2023-02-28,33.85179901123047
2023-03-01,33.52638626098633
2023-03-02,33.89352035522461
2023-03-03,34.33576202392578
2023-03-06,34.30238342285156
2023-03-07,33.65988540649414
2023-03-08,33.47631072998047
2023-03-09,32.92561340332031
2023-03-10,32.8671989440918
2023-03-13,33.259376525878906
2023-03-14,33.292755126953125
2023-03-15,33.60982894897461
2023-03-16,33.68492126464844
2023-03-17,33.45962905883789
2023-03-20,34.05205535888672
2023-03-21,33.92689895629883
2023-03-22,33.3845329284668
2023-03-23,33.52638626098633
2023-03-24,33.70161056518555
2023-03-27,33.55976486206055
2023-03-28,33.36785125732422
2023-03-29,33.58478927612305
2023-03-30,33.69326400756836
2023-03-31,34.0437126159668
2023-04-03,34.50264358520508
2023-04-04,34.12715530395508
2023-04-05,34.669517517089844
2023-04-06,34.62779998779297
2023-04-10,34.8197135925293
2023-04-11,34.86977767944336
2023-04-12,34.51932907104492
2023-04-13,34.6027717590332
2023-04-14,34.36912536621094
2023-04-17,34.36079025268555
2023-04-18,33.835121154785156
2023-04-19,33.57645034790039
2023-04-20,33.25102996826172
2023-04-21,33.55141830444336
2023-04-24,33.30109405517578
2023-04-25,32.817138671875
2023-04-26,32.233062744140625
2023-04-27,32.32484436035156
2023-04-28,32.45000076293945
2023-05-01,32.71700668334961
2023-05-02,32.59185028076172
2023-05-03,32.082862854003906
2023-05-04,31.899295806884766
2023-05-05,32.11624526977539
2023-05-08,32.26642608642578
2023-05-09,32.10789489746094
2023-05-10,31.957706451416016
2023-05-11,31.696239471435547
2023-05-12,31.502246856689453
2023-05-15,31.341997146606445
2023-05-16,31.215482711791992
2023-05-17,30.996187210083008
2023-05-18,30.768465042114258
2023-05-19,31.0130615234375
2023-05-22,32.68305587768555
2023-05-23,33.43370819091797
2023-05-24,32.58184051513672
2023-05-25,31.907100677490234
2023-05-26,31.713111877441406
2023-05-30,31.215482711791992
2023-05-31,32.067352294921875
2023-06-01,32.067352294921875
2023-06-02,32.354122161865234
2023-06-05,32.59872055053711
2023-06-06,32.362548828125
2023-06-07,32.80113983154297
2023-06-08,32.969825744628906
2023-06-09,32.86861038208008
2023-06-12,33.65300369262695
2023-06-13,33.97350311279297
2023-06-14,33.19755554199219
2023-06-15,33.526485443115234
2023-06-16,33.78795623779297
2023-06-20,33.18067932128906
2023-06-21,32.8095703125
2023-06-22,32.66618728637695
2023-06-23,32.30350875854492
2023-06-26,31.11427116394043
2023-06-27,30.717859268188477
2023-06-28,30.60820960998535
2023-06-29,30.464824676513672
2023-06-30,30.937150955200195
2023-07-03,30.911846160888672
2023-07-05,30.751590728759766
2023-07-06,30.051544189453125
2023-07-07,29.96720314025879
2023-07-10,30.09371566772461
2023-07-11,30.380477905273438
2023-07-12,30.355182647705078
2023-07-13,30.414222717285156
2023-07-14,30.63351058959961
2023-07-17,30.245534896850586
2023-07-18,30.5660400390625
2023-07-19,30.73472023010254
2023-07-20,31.0130615234375
2023-07-21,31.544418334960938
2023-07-24,31.637195587158203
2023-07-25,31.25765609741211
2023-07-26,31.384166717529297
2023-07-27,30.872472763061523
2023-07-28,30.7616024017334
2023-07-31,30.753076553344727
2023-08-01,30.369295120239258
2023-08-02,30.14756202697754
2023-08-03,29.849075317382812
2023-08-04,29.866127014160156
2023-08-07,30.428998947143555
2023-08-08,30.394886016845703
2023-08-09,30.565444946289062
2023-08-10,30.463109970092773
2023-08-11,30.73601722717285
2023-08-14,30.7616024017334
2023-08-15,30.181671142578125
2023-08-16,30.2584285736084
2023-08-17,31.13684844970703
2023-08-18,31.264768600463867
2023-08-21,31.563268661499023
2023-08-22,31.418277740478516
2023-08-23,31.264768600463867
2023-08-24,30.838354110717773
2023-08-25,31.02597999572754
2023-08-28,30.880996704101562
2023-08-29,30.829830169677734
2023-08-30,30.616621017456055
2023-08-31,30.17314910888672
2023-09-01,30.514278411865234
2023-09-05,30.17314910888672
2023-09-06,29.311786651611328
2023-09-07,29.23503303527832
2023-09-08,29.209447860717773
2023-09-11,28.945070266723633
2023-09-12,29.12416648864746
2023-09-13,29.064468383789062
