Date,HD
2023-01-03,292.71124267578125
2023-01-04,296.2507629394531
2023-01-05,292.30352783203125
2023-01-06,294.2122802734375
2023-01-09,294.47174072265625
2023-01-10,297.08465576171875
2023-01-11,304.8399963378906
2023-01-12,305.6460876464844
2023-01-13,306.8876953125
2023-01-17,303.4779357910156
2023-01-18,299.9199523925781
2023-01-19,288.0506286621094
2023-01-20,291.8680725097656
2023-01-23,292.31280517578125
2023-01-24,294.3605651855469
2023-01-25,293.9621276855469
2023-01-26,290.76544189453125
2023-01-27,293.4339599609375
2023-01-30,291.1638488769531
2023-01-31,300.36468505859375
2023-02-01,303.9968566894531
2023-02-02,314.8376159667969
2023-02-03,307.1563720703125
2023-02-06,305.0901794433594
2023-02-07,301.3190612792969
2023-02-08,297.23291015625
2023-02-09,292.37762451171875
2023-02-10,293.2950134277344
2023-02-13,299.77166748046875
2023-02-14,295.0461730957031
2023-02-15,297.1402282714844
2023-02-16,297.6497802734375
2023-02-17,294.6014709472656
2023-02-21,273.8000183105469
2023-02-22,274.541259765625
2023-02-23,277.33026123046875
2023-02-24,274.8748474121094
2023-02-27,274.2725524902344
2023-02-28,274.7636413574219
2023-03-01,269.4359436035156
2023-03-02,271.5021057128906
2023-03-03,276.5334167480469
2023-03-06,276.31109619140625
2023-03-07,269.3525695800781
2023-03-08,272.0403137207031
2023-03-09,268.7832336425781
2023-03-10,267.20599365234375
2023-03-13,267.40191650390625
2023-03-14,266.51531982421875
2023-03-15,268.7552490234375
2023-03-16,267.59796142578125
2023-03-17,269.147216796875
2023-03-20,269.9591979980469
2023-03-21,270.1177673339844
2023-03-22,263.7528991699219
2023-03-23,264.96612548828125
2023-03-24,264.135498046875
2023-03-27,262.50225830078125
2023-03-28,262.082275390625
2023-03-29,264.4528503417969
2023-03-30,266.3193664550781
2023-03-31,275.4281311035156
2023-04-03,277.8639221191406
2023-04-04,275.27874755859375
2023-04-05,269.4084777832031
2023-04-06,269.3525085449219
2023-04-10,271.74176025390625
2023-04-11,274.1682434082031
2023-04-12,271.0604248046875
2023-04-13,272.65631103515625
2023-04-14,272.6936950683594
2023-04-17,275.68951416015625
2023-04-18,279.00262451171875
2023-04-19,277.0987548828125
2023-04-20,278.6479797363281
2023-04-21,280.0198669433594
2023-04-24,281.5130920410156
2023-04-25,276.557373046875
2023-04-26,268.8485412597656
2023-04-27,274.3175964355469
2023-04-28,280.4865417480469
2023-05-01,277.83599853515625
2023-05-02,274.64422607421875
2023-05-03,273.52423095703125
2023-05-04,266.6833801269531
2023-05-05,270.295166015625
2023-05-08,268.7178955078125
2023-05-09,271.19110107421875
2023-05-10,269.7444763183594
2023-05-11,268.493896484375
2023-05-12,271.0884094238281
2023-05-15,269.28717041015625
2023-05-16,263.49151611328125
2023-05-17,272.88031005859375
2023-05-18,275.4654541015625
2023-05-19,271.4710998535156
2023-05-22,271.2657165527344
2023-05-23,275.2602233886719
2023-05-24,271.6763916015625
2023-05-25,267.61663818359375
2023-05-26,273.2909851074219
2023-05-30,272.88958740234375
2023-05-31,266.4412841796875
2023-06-01,271.0848693847656
2023-06-02,278.1817932128906
2023-06-05,275.5122375488281
2023-06-06,278.2381591796875
2023-06-07,283.59619140625
2023-06-08,283.0227355957031
2023-06-09,279.50714111328125
2023-06-12,282.8066101074219
2023-06-13,282.0733337402344
2023-06-14,281.7255554199219
2023-06-15,283.8970031738281
2023-06-16,282.3553771972656
2023-06-20,283.32354736328125
2023-06-21,282.65618896484375
2023-06-22,283.1073913574219
2023-06-23,282.75958251953125
2023-06-26,289.41473388671875
2023-06-27,294.9136657714844
2023-06-28,288.1175231933594
2023-06-29,289.34893798828125
2023-06-30,291.999755859375
2023-07-03,291.4168701171875
2023-07-05,292.1501159667969
2023-07-06,283.8970031738281
2023-07-07,284.6395568847656
2023-07-10,291.66131591796875
2023-07-11,294.8385314941406
2023-07-12,298.4668273925781
2023-07-13,295.7220764160156
2023-07-14,297.508056640625
2023-07-17,297.0850524902344
2023-07-18,297.75250244140625
2023-07-19,300.3092956542969
2023-07-20,299.942626953125
2023-07-21,301.2398681640625
2023-07-24,305.60137939453125
2023-07-25,305.6202392578125
2023-07-26,309.81256103515625
2023-07-27,309.9254150390625
2023-07-28,311.48583984375
2023-07-31,313.8075256347656
2023-08-01,312.14373779296875
2023-08-02,308.78802490234375
2023-08-03,310.0569763183594
