Date,NVDA
2023-01-03,14.300684928894043
2023-01-04,14.734249114990234
2023-01-05,14.250734329223633
2023-01-06,14.844139099121094
2023-01-09,15.612370491027832
2023-01-10,15.893091201782227
2023-01-11,15.98499584197998
2023-01-12,16.494483947753906
2023-01-13,16.882099151611328
2023-01-17,17.68429946899414
2023-01-18,17.359621047973633
2023-01-19,16.748233795166016
2023-01-20,17.8211612701416
2023-01-23,19.173809051513672
2023-01-24,19.2457332611084
2023-01-25,19.30367660522461
2023-01-26,19.782196044921875
2023-01-27,20.344629287719727
2023-01-30,19.142837524414062
2023-01-31,19.51746368408203
2023-02-01,20.92205810546875
2023-02-02,21.68729019165039
2023-02-03,21.078895568847656
2023-02-06,21.067909240722656
2023-02-07,22.150827407836914
2023-02-08,22.18279457092285
2023-02-09,22.31466293334961
2023-02-10,21.243730545043945
2023-02-13,21.766212463378906
2023-02-14,22.948030471801758
2023-02-15,22.74123191833496
2023-02-16,21.979995727539062
2023-02-17,21.36661148071289
2023-02-21,20.634340286254883
2023-02-22,20.73324966430664
2023-02-23,23.640335083007812
2023-02-24,23.262712478637695
2023-02-27,23.477497100830078
2023-02-28,23.192785263061523
2023-03-01,22.675302505493164
2023-03-02,23.29068374633789
2023-03-03,23.866107940673828
2023-03-06,23.530447006225586
2023-03-07,23.268661499023438
2023-03-08,24.160917282104492
2023-03-09,23.41653823852539
2023-03-10,22.94593048095703
2023-03-13,22.946929931640625
2023-03-14,24.04301643371582
2023-03-15,24.20787811279297
2023-03-16,25.519790649414062
2023-03-17,25.703636169433594
2023-03-20,25.878488540649414
2023-03-21,26.177244186401367
2023-03-22,26.44602394104004
2023-03-23,27.16841697692871
2023-03-24,26.756757736206055
2023-03-27,26.508968353271484
2023-03-28,26.3880672454834
2023-03-29,26.961589813232422
2023-03-30,27.360261917114258
2023-03-31,27.75393295288086
2023-04-03,27.941776275634766
2023-04-04,27.430204391479492
2023-04-05,26.858678817749023
2023-04-06,27.01454734802246
2023-04-10,27.55609893798828
2023-04-11,27.14643669128418
2023-04-12,26.47300148010254
2023-04-13,26.441022872924805
2023-04-14,26.735776901245117
2023-04-17,26.979578018188477
2023-04-18,27.644023895263672
2023-04-19,27.907804489135742
2023-04-20,27.081493377685547
2023-04-21,27.096479415893555
2023-04-24,27.019546508789062
2023-04-25,26.219207763671875
2023-04-26,26.933618545532227
2023-04-27,27.20339012145996
2023-04-28,27.725955963134766
2023-05-01,28.88599395751953
2023-05-02,28.186573028564453
2023-05-03,27.778911590576172
2023-05-04,27.539112091064453
2023-05-05,28.656185150146484
2023-05-08,29.126794815063477
2023-05-09,28.547271728515625
2023-05-10,28.86101531982422
2023-05-11,28.55426788330078
2023-05-12,28.31646728515625
2023-05-15,28.928955078125
2023-05-16,29.188743591308594
2023-05-17,30.15294075012207
2023-05-18,31.651697158813477
2023-05-19,31.238037109375
2023-05-22,31.150108337402344
2023-05-23,30.66251564025879
2023-05-24,30.51264190673828
2023-05-25,37.94846725463867
2023-05-26,38.913658142089844
2023-05-30,40.07769012451172
2023-05-31,37.80258560180664
2023-06-01,39.736976623535156
2023-06-02,39.29433822631836
2023-06-05,39.13847351074219
2023-06-06,38.62190246582031
2023-06-07,37.447750091552734
2023-06-08,38.48200225830078
2023-06-09,38.74181365966797
2023-06-12,39.453285217285156
2023-06-13,40.992183685302734
2023-06-14,42.96574020385742
2023-06-15,42.62199401855469
2023-06-16,42.66096115112305
2023-06-20,43.77614212036133
2023-06-21,43.01370620727539
2023-06-22,42.99372100830078
2023-06-23,42.178314208984375
2023-06-26,40.60245895385742
2023-06-27,41.845558166503906
2023-06-28,41.08710861206055
2023-06-29,40.79231643676758
2023-06-30,42.271244049072266
2023-07-03,42.382164001464844
2023-07-05,42.2862434387207
2023-07-06,42.07239532470703
2023-07-07,42.472103118896484
2023-07-10,42.14933776855469
2023-07-11,42.37417221069336
2023-07-12,43.87008285522461
2023-07-13,45.943572998046875
2023-07-14,45.435943603515625
2023-07-17,46.427215576171875
2023-07-18,47.459476470947266
2023-07-19,47.04277038574219
2023-07-20,45.486907958984375
2023-07-21,44.27678680419922
2023-07-24,44.579566955566406
2023-07-25,45.645790100097656
2023-07-26,45.4189567565918
2023-07-27,45.86663055419922
2023-07-28,46.71601104736328
2023-07-31,46.69502639770508
2023-08-01,46.47319412231445
2023-08-02,44.236820220947266
2023-08-03,44.482635498046875
2023-08-04,44.647518157958984
2023-08-07,45.38397979736328
2023-08-08,44.63153076171875
