Date,PYPL
2023-01-03,74.40798950195312
2023-01-04,77.51081848144531
2023-01-05,76.09408569335938
2023-01-06,76.3036117553711
2023-01-09,76.9022216796875
2023-01-10,77.74028015136719
2023-01-11,78.35885620117188
2023-01-12,79.59599304199219
2023-01-13,79.29669189453125
2023-01-17,79.99507141113281
2023-01-18,77.1316909790039
2023-01-19,76.57298278808594
2023-01-20,78.90758514404297
2023-01-23,79.31664276123047
2023-01-24,79.3964614868164
2023-01-25,78.91756439208984
2023-01-26,80.62361907958984
2023-01-27,81.64126586914062
2023-01-30,79.45631408691406
2023-01-31,81.30204772949219
2023-02-01,82.71878051757812
2023-02-02,86.75943756103516
2023-02-03,85.32275390625
2023-02-06,82.1401138305664
2023-02-07,83.03804016113281
2023-02-08,79.5361328125
2023-02-09,78.23912811279297
2023-02-10,80.6136474609375
2023-02-13,79.26675415039062
2023-02-14,77.0818099975586
2023-02-15,77.73030853271484
2023-02-16,76.55303192138672
2023-02-17,74.48780822753906
2023-02-21,75.06646728515625
2023-02-22,75.30591583251953
2023-02-23,75.01658630371094
2023-02-24,73.38036346435547
2023-02-27,73.599853515625
2023-02-28,73.43024444580078
2023-03-01,73.64974212646484
2023-03-02,73.92909240722656
2023-03-03,76.11404418945312
2023-03-06,76.60291290283203
2023-03-07,74.73722839355469
2023-03-08,75.66507720947266
2023-03-09,75.75487518310547
2023-03-10,73.2606430053711
2023-03-13,72.44253540039062
2023-03-14,73.07107543945312
2023-03-15,73.73954010009766
2023-03-16,74.17852020263672
2023-03-17,72.8216552734375
2023-03-20,73.04114532470703
2023-03-21,76.54305267333984
2023-03-22,74.16854095458984
2023-03-23,72.39264678955078
2023-03-24,73.70960235595703
2023-03-27,73.13094329833984
2023-03-28,72.53231811523438
2023-03-29,74.0089111328125
2023-03-30,74.21842956542969
2023-03-31,75.76485443115234
2023-04-03,75.11634826660156
2023-04-04,75.08642578125
2023-04-05,73.44022369384766
2023-04-06,74.787109375
2023-04-10,74.3481216430664
2023-04-11,73.41029357910156
2023-04-12,73.33048248291016
2023-04-13,75.34581756591797
2023-04-14,76.3534927368164
2023-04-17,77.15164947509766
2023-04-18,76.24374389648438
2023-04-19,75.14627838134766
2023-04-20,73.41029357910156
2023-04-21,74.0089111328125
2023-04-24,74.11865997314453
2023-04-25,71.61444854736328
2023-04-26,71.893798828125
2023-04-27,74.09870147705078
2023-04-28,75.82471466064453
2023-05-01,74.936767578125
2023-05-02,72.11328887939453
2023-05-03,71.26525115966797
2023-05-04,71.64437866210938
2023-05-05,74.79708862304688
2023-05-08,75.34581756591797
2023-05-09,65.75299835205078
2023-05-10,63.233821868896484
2023-05-11,64.03197479248047
2023-05-12,61.5477180480957
2023-05-15,62.10642623901367
2023-05-16,60.65977096557617
2023-05-17,61.3182487487793
2023-05-18,61.12868881225586
2023-05-19,60.77949142456055
2023-05-22,62.88462448120117
2023-05-23,61.85700225830078
2023-05-24,61.65746307373047
2023-05-25,59.23306655883789
2023-05-26,60.08110809326172
2023-05-30,61.90688705444336
2023-05-31,61.84702682495117
2023-06-01,62.904579162597656
2023-06-02,63.81248092651367
2023-06-05,64.36121368408203
2023-06-06,64.87003326416016
2023-06-07,63.89229965209961
2023-06-08,64.09183502197266
2023-06-09,63.34356689453125
2023-06-12,63.583011627197266
2023-06-13,63.41340637207031
2023-06-14,63.453311920166016
2023-06-15,65.6981201171875
2023-06-16,66.27678680419922
2023-06-20,68.73110961914062
2023-06-21,68.03273010253906
2023-06-22,68.41184997558594
