Date,MET
2023-01-03,65.27949523925781
2023-01-04,66.22047424316406
2023-01-05,65.68663787841797
2023-01-06,66.57333374023438
2023-01-09,64.54662322998047
2023-01-10,64.75472259521484
2023-01-11,64.75472259521484
2023-01-12,64.59187316894531
2023-01-13,65.07139587402344
2023-01-17,64.75472259521484
2023-01-18,63.479007720947266
2023-01-19,62.818511962890625
2023-01-20,63.506134033203125
2023-01-23,63.95853805541992
2023-01-24,64.21186065673828
2023-01-25,64.74567413330078
2023-01-26,65.34284210205078
2023-01-27,65.17996215820312
2023-01-30,65.28852844238281
2023-01-31,66.06665802001953
2023-02-01,65.75902557373047
2023-02-02,63.07184600830078
2023-02-03,63.14423370361328
2023-02-06,63.87326431274414
2023-02-07,64.93949127197266
2023-02-08,64.92127227783203
2023-02-09,64.51118469238281
2023-02-10,65.06706237792969
2023-02-13,65.9692611694336
2023-02-14,65.65943145751953
2023-02-15,66.01482391357422
2023-02-16,66.04217529296875
2023-02-17,66.1059799194336
2023-02-21,64.74813842773438
2023-02-22,64.57495880126953
2023-02-23,64.31980895996094
2023-02-24,65.4680404663086
2023-02-27,65.41339111328125
2023-02-28,65.36780548095703
2023-03-01,64.9486083984375
2023-03-02,63.23535919189453
2023-03-03,64.09199523925781
2023-03-06,63.508766174316406
2023-03-07,63.08955001831055
2023-03-08,61.51299285888672
2023-03-09,58.93400573730469
2023-03-10,56.84712219238281
2023-03-13,53.73046112060547
2023-03-14,53.83070755004883
2023-03-15,51.30638885498047
2023-03-16,52.573097229003906
2023-03-17,50.00322341918945
2023-03-20,51.92607879638672
2023-03-21,53.338600158691406
2023-03-22,51.133243560791016
2023-03-23,49.48378372192383
2023-03-24,49.52935028076172
2023-03-27,50.896305084228516
2023-03-28,50.513553619384766
2023-03-29,51.47953796386719
2023-03-30,51.989871978759766
2023-03-31,52.800926208496094
2023-04-03,52.828269958496094
2023-04-04,52.345279693603516
2023-04-05,53.45706558227539
2023-04-06,53.83070755004883
2023-04-10,54.204341888427734
2023-04-11,54.787567138671875
2023-04-12,54.68732833862305
2023-04-13,54.47772216796875
2023-04-14,55.243221282958984
2023-04-17,56.081626892089844
2023-04-18,55.87202072143555
2023-04-19,56.32767105102539
2023-04-20,55.416378021240234
2023-04-21,54.83314514160156
2023-04-24,55.05185317993164
2023-04-25,53.95828628540039
2023-04-26,53.694007873535156
2023-04-27,54.96072769165039
2023-04-28,55.8902473449707
2023-05-01,55.82646179199219
2023-05-02,54.158782958984375
2023-05-03,53.50263595581055
2023-05-04,49.31064224243164
2023-05-05,49.81185531616211
2023-05-08,49.397823333740234
2023-05-09,48.56978225708008
2023-05-10,47.677330017089844
2023-05-11,47.134490966796875
2023-05-12,46.205238342285156
2023-05-15,46.44445037841797
2023-05-16,45.193172454833984
2023-05-17,47.56692123413086
2023-05-18,47.73253631591797
2023-05-19,47.456512451171875
2023-05-22,48.1833610534668
2023-05-23,47.69572448730469
2023-05-24,46.23283386230469
2023-05-25,48.55138397216797
2023-05-26,47.668121337890625
2023-05-30,47.52092361450195
2023-05-31,45.58879852294922
2023-06-01,46.352447509765625
2023-06-02,48.73538589477539
2023-06-05,48.44097900390625
2023-06-06,49.13102340698242
2023-06-07,50.46509552001953
2023-06-08,49.46223068237305
2023-06-09,49.56343460083008
2023-06-12,49.692256927490234
2023-06-13,50.759517669677734
2023-06-14,49.627838134765625
2023-06-15,50.75031661987305
2023-06-16,51.06313705444336
2023-06-20,50.16147232055664
2023-06-21,50.18907165527344
2023-06-22,49.55424499511719
2023-06-23,49.06660842895508
2023-06-26,49.73825454711914
2023-06-27,50.584712982177734
2023-06-28,50.48349380493164
2023-06-29,51.68877029418945
2023-06-30,52.01079177856445
2023-07-03,52.70083236694336
2023-07-05,52.24080276489258
2023-07-06,52.17639923095703
2023-07-07,53.00444793701172
2023-07-10,52.82044219970703
2023-07-11,54.504146575927734
2023-07-12,54.00731658935547
2023-07-13,54.439735412597656
2023-07-14,53.51048278808594
2023-07-17,54.28333282470703
2023-07-18,54.62375259399414
2023-07-19,55.44260025024414
2023-07-20,56.0682373046875
2023-07-21,56.307456970214844
2023-07-24,57.02510070800781
2023-07-25,56.785884857177734
2023-07-26,57.82554244995117
2023-07-27,57.33791732788086
2023-07-28,57.55873107910156
2023-07-31,57.93594741821289
2023-08-01,57.797943115234375
2023-08-02,57.73354721069336
2023-08-03,59.27003479003906
2023-08-04,58.45118713378906
2023-08-07,59.53654098510742
2023-08-08,58.90573501586914
2023-08-09,58.09867858886719
2023-08-10,58.12650680541992
2023-08-11,59.044883728027344
2023-08-14,58.970672607421875
2023-08-15,57.3843879699707
2023-08-16,57.19886016845703
2023-08-17,57.3658332824707
2023-08-18,57.75544357299805
2023-08-21,57.46787643432617
2023-08-22,56.88345718383789
2023-08-23,57.26378631591797
2023-08-24,57.76472473144531
2023-08-25,57.89459228515625
2023-08-28,58.00592041015625
2023-08-29,58.302757263183594
2023-08-30,58.38624572753906
2023-08-31,58.75731658935547
2023-09-01,59.64785385131836
2023-09-05,59.15620422363281
2023-09-06,58.627437591552734
2023-09-07,58.22854995727539
2023-09-08,58.72947692871094
2023-09-11,58.81297302246094
2023-09-12,59.360286712646484
2023-09-13,59.17474365234375
2023-09-14,61.15992736816406
2023-09-15,60.90018081665039
2023-09-18,61.50315856933594
2023-09-19,61.55881118774414
2023-09-20,61.3083381652832
2023-09-21,60.00963592529297
2023-09-22,59.75917434692383
2023-09-25,60.343589782714844
2023-09-26,58.49756622314453
2023-09-27,58.256378173828125
2023-09-28,58.349143981933594
2023-09-29,58.35841751098633
2023-10-02,57.226688385009766
2023-10-03,55.900146484375
2023-10-04,55.658966064453125
2023-10-05,55.927978515625
2023-10-06,56.88345718383789
2023-10-09,57.42149353027344
2023-10-10,57.681236267089844
2023-10-11,58.302757263183594
2023-10-12,57.959529876708984
2023-10-13,57.56991958618164
2023-10-16,58.76658630371094
2023-10-17,59.31389617919922
2023-10-18,58.5161247253418
2023-10-19,57.44004440307617
2023-10-20,55.7702751159668
2023-10-23,54.258209228515625
2023-10-24,54.926116943359375
2023-10-25,54.6942024230957
2023-10-26,55.28789520263672
2023-10-27,54.07268142700195
2023-10-30,55.12092590332031
2023-10-31,55.66823959350586
2023-11-01,55.64040756225586
2023-11-02,55.66823959350586
2023-11-03,57.2916259765625
2023-11-06,56.0578498840332
2023-11-07,55.70534133911133
2023-11-08,55.536903381347656
2023-11-09,55.499473571777344
2023-11-10,56.60366439819336
2023-11-13,56.575592041015625
2023-11-14,58.40030288696289
2023-11-15,57.84821319580078
2023-11-16,58.044715881347656
2023-11-17,58.53131103515625
2023-11-20,58.4938850402832
2023-11-21,58.250587463378906
2023-11-22,58.9243278503418
2023-11-24,59.46706771850586
2023-11-27,59.15827178955078
2023-11-28,59.13019943237305
2023-11-29,59.10212707519531
2023-11-30,59.541927337646484
2023-12-01,59.66357421875
2023-12-04,60.40281677246094
2023-12-05,59.860084533691406
2023-12-06,59.45771408081055
2023-12-07,59.382850646972656
2023-12-08,59.97236633300781
2023-12-11,60.76776885986328
2023-12-12,61.01105499267578
2023-12-13,61.97488784790039
2023-12-14,62.601844787597656
2023-12-15,62.096527099609375
2023-12-18,61.029781341552734
2023-12-19,62.13395690917969
2023-12-20,61.029781341552734
2023-12-21,61.37600326538086
2023-12-22,61.62865447998047
2023-12-26,61.9842414855957
2023-12-27,61.77836608886719
2023-12-28,62.031028747558594
2023-12-29,61.88130187988281
2024-01-02,63.02292251586914
2024-01-03,62.807701110839844
2024-01-04,63.153926849365234
2024-01-05,64.49205780029297
2024-01-08,65.05351257324219
2024-01-09,64.77277374267578
2024-01-10,64.84764862060547
2024-01-11,64.84764862060547
2024-01-12,64.40784454345703
2024-01-16,63.83702850341797
2024-01-17,63.07906723022461
2024-01-18,63.36915588378906
2024-01-19,64.46398162841797
2024-01-22,65.03478240966797
2024-01-23,64.99735260009766
2024-01-24,65.20323181152344
2024-01-25,65.86761474609375
2024-01-26,66.32612609863281
2024-01-29,65.83954620361328
2024-01-30,66.26061248779297
2024-01-31,64.8663558959961
2024-02-01,61.151424407958984
2024-02-02,61.71287155151367
2024-02-05,62.07128143310547
2024-02-06,62.212764739990234
2024-02-07,63.19367599487305
2024-02-08,62.957881927490234
2024-02-09,63.66527557373047
2024-02-12,64.65562438964844
2024-02-13,63.98595428466797
2024-02-14,64.46697998046875
2024-02-15,65.58939361572266
2024-02-16,64.86312103271484
2024-02-20,64.72164916992188
2024-02-21,65.02347564697266
2024-02-22,64.94801330566406
2024-02-23,65.39130401611328
2024-02-26,64.67448425292969
2024-02-27,65.23097229003906
2024-02-28,65.40072631835938
2024-02-29,65.77801513671875
2024-03-01,65.76859283447266
2024-03-04,65.93836212158203
2024-03-05,66.46654510498047
2024-03-06,67.00415802001953
2024-03-07,67.31542205810547
2024-03-08,66.8909683227539
2024-03-11,67.6361083984375
2024-03-12,67.61722564697266
2024-03-13,68.54155731201172
2024-03-14,67.81531524658203
