Date,C
2023-01-03,40.83648681640625
2023-01-04,41.88906478881836
2023-01-05,41.70173645019531
2023-01-06,42.20126724243164
2023-01-09,42.406429290771484
2023-01-10,42.98624801635742
2023-01-11,43.45009231567383
2023-01-12,43.78905487060547
2023-01-13,44.52942657470703
2023-01-17,44.8773193359375
2023-01-18,44.09233856201172
2023-01-19,44.038822174072266
2023-01-20,45.573089599609375
2023-01-23,46.36697769165039
2023-01-24,45.86744689941406
2023-01-25,46.29561996459961
2023-01-26,46.554298400878906
2023-01-27,46.25993728637695
2023-01-30,46.161808013916016
2023-01-31,46.5810661315918
2023-02-01,46.51862335205078
2023-02-02,46.5810661315918
2023-02-03,45.89644241333008
2023-02-06,45.81537628173828
2023-02-07,46.05859375
2023-02-08,46.07661056518555
2023-02-09,45.02265930175781
2023-02-10,45.139766693115234
2023-02-13,45.94148254394531
2023-02-14,46.49098205566406
2023-02-15,46.68015670776367
2023-02-16,46.35586166381836
2023-02-17,46.319828033447266
2023-02-21,44.896541595458984
2023-02-22,45.07670974731445
2023-02-23,45.38298034667969
2023-02-24,45.20281982421875
2023-02-27,45.46406173706055
2023-02-28,45.662235260009766
2023-03-01,46.39189147949219
2023-03-02,46.301822662353516
2023-03-03,47.157588958740234
2023-03-06,47.00444412231445
2023-03-07,46.01355743408203
2023-03-08,45.65323257446289
2023-03-09,43.77952575683594
2023-03-10,43.545318603515625
2023-03-13,40.30239486694336
2023-03-14,42.69856262207031
2023-03-15,40.37446212768555
2023-03-16,41.095115661621094
2023-03-17,39.86100387573242
2023-03-20,39.71686553955078
2023-03-21,40.59965896606445
2023-03-22,39.37456512451172
2023-03-23,39.140342712402344
2023-03-24,38.834068298339844
2023-03-27,40.33842468261719
2023-03-28,40.73479080200195
2023-03-29,41.39237594604492
2023-03-30,41.5004768371582
2023-03-31,42.2391357421875
2023-04-03,42.076995849609375
2023-04-04,41.518489837646484
2023-04-05,41.23023986816406
2023-04-06,41.31129455566406
2023-04-10,41.90584945678711
2023-04-11,42.518394470214844
2023-04-12,42.26616287231445
2023-04-13,42.60847854614258
2023-04-14,44.644309997558594
2023-04-17,44.76142120361328
2023-04-18,45.11274337768555
2023-04-19,45.401004791259766
2023-04-20,44.500186920166016
2023-04-21,44.16688537597656
2023-04-24,44.16688537597656
2023-04-25,43.148963928222656
2023-04-26,42.21211624145508
2023-04-27,42.36526107788086
2023-04-28,42.86613845825195
2023-05-01,43.030059814453125
2023-05-02,41.891700744628906
2023-05-03,41.59117126464844
2023-05-04,40.88994598388672
2023-05-05,42.1831169128418
2023-05-08,42.219547271728516
2023-05-09,42.36526107788086
2023-05-10,42.22865295410156
2023-05-11,41.91901779174805
2023-05-12,41.39081954956055
2023-05-15,41.937232971191406
2023-05-16,41.23600387573242
2023-05-17,42.875244140625
2023-05-18,42.24686813354492
2023-05-19,41.627601623535156
2023-05-22,41.70045471191406
2023-05-23,41.80973815917969
2023-05-24,40.516563415527344
2023-05-25,40.279781341552734
2023-05-26,40.61673355102539
2023-05-30,40.70780944824219
2023-05-31,40.36174392700195
2023-06-01,40.835304260253906
2023-06-02,42.1831169128418
2023-06-05,42.11026382446289
2023-06-06,43.00273132324219
2023-06-07,43.72218322753906
2023-06-08,43.80414962768555
