Date,ABBV
2023-01-03,144.3226318359375
2023-01-04,145.48696899414062
2023-01-05,145.3092041015625
2023-01-06,148.0288848876953
2023-01-09,143.6826934814453
2023-01-10,141.8873291015625
2023-01-11,139.69198608398438
2023-01-12,136.57859802246094
2023-01-13,137.8167724609375
2023-01-17,137.12588500976562
2023-01-18,133.86886596679688
2023-01-19,133.4292449951172
2023-01-20,134.21881103515625
2023-01-23,133.28565979003906
2023-01-24,132.51406860351562
2023-01-25,132.60377502441406
2023-01-26,132.25384521484375
2023-01-27,131.2489471435547
2023-01-30,130.6836700439453
2023-01-31,132.56787109375
2023-02-01,131.53607177734375
2023-02-02,129.9569091796875
2023-02-03,130.27993774414062
2023-02-06,130.11839294433594
2023-02-07,130.22610473632812
2023-02-08,129.7505340576172
2023-02-09,133.42022705078125
2023-02-10,136.426025390625
2023-02-13,137.93341064453125
2023-02-14,136.91055297851562
2023-02-15,135.5377655029297
2023-02-16,134.16500854492188
2023-02-17,135.76205444335938
2023-02-21,136.38116455078125
2023-02-22,135.1878204345703
2023-02-23,136.44398498535156
2023-02-24,137.01821899414062
2023-02-27,138.4268798828125
2023-02-28,138.08592224121094
2023-03-01,139.31517028808594
2023-03-02,138.51663208007812
2023-03-03,140.02398681640625
2023-03-06,139.3241424560547
2023-03-07,137.2156219482422
2023-03-08,134.227783203125
2023-03-09,132.208984375
2023-03-10,134.3264617919922
2023-03-13,136.33631896972656
2023-03-14,138.04107666015625
2023-03-15,138.22950744628906
2023-03-16,139.34210205078125
2023-03-17,138.37306213378906
2023-03-20,140.0778350830078
2023-03-21,140.6610107421875
2023-03-22,137.8795623779297
2023-03-23,139.34210205078125
2023-03-24,141.7825927734375
2023-03-27,141.3518829345703
2023-03-28,141.9889678955078
2023-03-29,141.76463317871094
2023-03-30,141.69284057617188
2023-03-31,142.9938507080078
2023-04-03,143.9359588623047
2023-04-04,143.36172485351562
2023-04-05,144.27696228027344
2023-04-06,144.9498748779297
2023-04-10,144.70762634277344
2023-04-11,144.79734802246094
2023-04-12,145.67662048339844
2023-04-13,147.31558227539062
2023-04-14,146.31951904296875
2023-04-17,145.9482421875
2023-04-18,144.50852966308594
2023-04-19,145.97543334960938
2023-04-20,146.45535278320312
2023-04-21,147.06202697753906
2023-04-24,148.57423400878906
2023-04-25,149.3167266845703
2023-04-26,146.5096893310547
2023-04-27,134.80157470703125
2023-04-28,136.83892822265625
2023-05-01,139.1842041015625
2023-05-02,137.2917022705078
2023-05-03,135.14566040039062
2023-05-04,133.4342803955078
2023-05-05,134.04095458984375
2023-05-08,133.51577758789062
2023-05-09,132.9543914794922
2023-05-10,132.5831298828125
2023-05-11,132.73704528808594
2023-05-12,133.24411010742188
2023-05-15,132.73704528808594
2023-05-16,129.7489013671875
2023-05-17,129.80322265625
2023-05-18,129.88475036621094
2023-05-19,131.39691162109375
2023-05-22,131.20675659179688
2023-05-23,129.0516815185547
2023-05-24,127.81114196777344
2023-05-25,125.52021026611328
2023-05-26,124.56038665771484
2023-05-30,123.54623413085938
2023-05-31,124.92259216308594
2023-06-01,120.8297348022461
