Date,DOW
2023-01-03,42.20288848876953
2023-01-04,43.269535064697266
2023-01-05,43.749107360839844
2023-01-06,45.49379348754883
2023-01-09,45.70876693725586
2023-01-10,46.69273376464844
2023-01-11,47.61054992675781
2023-01-12,48.387794494628906
2023-01-13,48.52009582519531
2023-01-17,47.46171188354492
2023-01-18,46.9986686706543
2023-01-19,46.80021667480469
2023-01-20,47.49478530883789
2023-01-23,47.990901947021484
2023-01-24,48.12320327758789
2023-01-25,47.86687088012695
2023-01-26,48.05704879760742
2023-01-27,48.759883880615234
2023-01-30,47.91648864746094
2023-01-31,49.07408905029297
2023-02-01,49.793460845947266
2023-02-02,49.5702018737793
2023-02-03,49.61154556274414
2023-02-06,49.68595886230469
2023-02-07,50.033241271972656
2023-02-08,49.45444107055664
2023-02-09,48.850830078125
2023-02-10,49.46271896362305
2023-02-13,49.87613296508789
2023-02-14,49.4130973815918
2023-02-15,49.4130973815918
2023-02-16,48.52009582519531
2023-02-17,48.0653190612793
2023-02-21,46.9986686706543
2023-02-22,47.13923263549805
2023-02-23,47.28806686401367
2023-02-24,47.78418731689453
2023-02-27,47.70048904418945
2023-02-28,47.876251220703125
2023-03-01,48.562599182128906
2023-03-02,48.91413116455078
2023-03-03,48.81369400024414
2023-03-06,47.800926208496094
2023-03-07,46.70446014404297
2023-03-08,47.0894775390625
2023-03-09,46.11855697631836
2023-03-10,45.0974235534668
2023-03-13,43.85866928100586
2023-03-14,43.76659393310547
2023-03-15,42.25162887573242
2023-03-16,42.61153793334961
2023-03-17,41.86661911010742
2023-03-20,42.90449142456055
2023-03-21,43.57408905029297
2023-03-22,43.00492477416992
2023-03-23,43.230918884277344
2023-03-24,43.339725494384766
2023-03-27,43.52387237548828
2023-03-28,44.28553009033203
2023-03-29,44.86306381225586
2023-03-30,45.197872161865234
2023-03-31,45.88419723510742
2023-04-03,46.31106948852539
2023-04-04,45.41548538208008
2023-04-05,45.733543395996094
2023-04-06,45.75028610229492
2023-04-10,46.712833404541016
2023-04-11,47.030887603759766
2023-04-12,47.61678695678711
2023-04-13,47.64189529418945
2023-04-14,47.29035568237305
2023-04-17,47.62516403198242
2023-04-18,47.52470779418945
2023-04-19,47.24013137817383
2023-04-20,46.620758056640625
2023-04-21,45.926048278808594
2023-04-24,46.36128616333008
2023-04-25,43.94236755371094
2023-04-26,44.00932312011719
2023-04-27,44.779361724853516
2023-04-28,45.53266143798828
2023-05-01,45.28993225097656
2023-05-02,45.01372146606445
2023-05-03,44.36086654663086
2023-05-04,44.66218566894531
2023-05-05,45.54102325439453
2023-05-08,45.32341003417969
2023-05-09,44.921653747558594
2023-05-10,44.73751449584961
2023-05-11,43.808448791503906
2023-05-12,43.78334045410156
2023-05-15,43.741485595703125
2023-05-16,42.73708724975586
2023-05-17,43.08863067626953
2023-05-18,43.415061950683594
2023-05-19,43.48201370239258
2023-05-22,43.33135986328125
2023-05-23,43.49038314819336
2023-05-24,42.954715728759766
2023-05-25,42.15956497192383
2023-05-26,42.13444900512695
2023-05-30,42.015621185302734
2023-05-31,41.404483795166016
2023-06-01,41.59122085571289
2023-06-02,43.80659484863281
2023-06-05,43.713226318359375
2023-06-06,44.63841247558594
2023-06-07,45.72488021850586
2023-06-08,44.7996940612793
2023-06-09,43.91693878173828
2023-06-12,43.967864990234375
2023-06-13,45.10525131225586
2023-06-14,44.82515335083008
2023-06-15,45.39384078979492
2023-06-16,45.12222671508789
2023-06-20,44.06970977783203
2023-06-21,44.0357666015625
2023-06-22,43.61985778808594
2023-06-23,43.594390869140625
2023-06-26,44.09518051147461
2023-06-27,44.621437072753906
2023-06-28,44.95246505737305
2023-06-29,45.19014358520508
2023-06-30,45.20710754394531
2023-07-03,45.64848327636719
2023-07-05,44.850616455078125
2023-07-06,44.791194915771484
2023-07-07,45.07130432128906
2023-07-10,45.215606689453125
2023-07-11,45.34292221069336
2023-07-12,45.9285888671875
2023-07-13,46.013458251953125
2023-07-14,44.918521881103516
2023-07-17,44.502601623535156
2023-07-18,44.96944808959961
2023-07-19,44.833641052246094
