Date,UNH
2023-01-03,490.9798889160156
2023-01-04,477.593994140625
2023-01-05,463.82952880859375
2023-01-06,463.8672790527344
2023-01-09,463.9240417480469
2023-01-10,460.08062744140625
2023-01-11,467.0859680175781
2023-01-12,469.2348937988281
2023-01-13,463.4602355957031
2023-01-17,459.20965576171875
2023-01-18,450.8411865234375
2023-01-19,458.5281066894531
2023-01-20,460.76226806640625
2023-01-23,459.9007263183594
2023-01-24,465.3819885253906
2023-01-25,466.2339782714844
2023-01-26,466.2150573730469
2023-01-27,460.12799072265625
2023-01-30,459.8818664550781
2023-01-31,472.567138671875
2023-02-01,470.49395751953125
2023-02-02,445.7196960449219
2023-02-03,446.84619140625
2023-02-06,449.8944396972656
2023-02-07,451.4470520019531
2023-02-08,457.4489440917969
2023-02-09,459.8250427246094
2023-02-10,467.8905944824219
2023-02-13,468.93194580078125
2023-02-14,466.54632568359375
2023-02-15,465.0506591796875
2023-02-16,461.3586730957031
2023-02-17,472.4630126953125
2023-02-21,465.1074523925781
2023-02-22,462.8165588378906
2023-02-23,465.4671630859375
2023-02-24,458.4996337890625
2023-02-27,457.5435485839844
2023-02-28,450.5571594238281
2023-03-01,449.87554931640625
2023-03-02,452.2232666015625
2023-03-03,453.0374755859375
2023-03-06,455.1390380859375
2023-03-07,448.6070556640625
2023-03-08,445.5019226074219
2023-03-09,440.1153869628906
2023-03-10,437.331787109375
2023-03-13,440.514404296875
2023-03-14,441.3695068359375
2023-03-15,442.177001953125
2023-03-16,448.437744140625
2023-03-17,446.0436706542969
2023-03-20,453.1309814453125
2023-03-21,456.11407470703125
2023-03-22,451.76287841796875
2023-03-23,446.4331970214844
2023-03-24,452.2094421386719
2023-03-27,457.8241271972656
2023-03-28,448.9697265625
2023-03-29,443.279052734375
2023-03-30,446.5756530761719
2023-03-31,448.979248046875
2023-04-03,469.5001220703125
2023-04-04,468.6070861816406
2023-04-05,483.7887268066406
2023-04-06,487.18988037109375
2023-04-10,489.44140625
2023-04-11,494.9422302246094
2023-04-12,495.1512145996094
2023-04-13,499.9393615722656
2023-04-14,486.2208557128906
2023-04-17,480.1025695800781
2023-04-18,479.2760009765625
2023-04-19,461.9093322753906
2023-04-20,463.1063537597656
2023-04-21,459.6482849121094
2023-04-24,464.512451171875
2023-04-25,467.34356689453125
2023-04-26,458.8217468261719
2023-04-27,465.96600341796875
2023-04-28,467.50506591796875
2023-05-01,470.9347229003906
2023-05-02,468.7400817871094
2023-05-03,464.9874267578125
2023-05-04,462.93536376953125
2023-05-05,469.5856628417969
2023-05-08,468.00860595703125
2023-05-09,465.8804626464844
2023-05-10,465.58599853515625
2023-05-11,464.3414001464844
2023-05-12,466.68798828125
2023-05-15,462.53631591796875
2023-05-16,455.7530822753906
2023-05-17,460.58880615234375
2023-05-18,455.28753662109375
2023-05-19,454.8980407714844
2023-05-22,456.6080627441406
2023-05-23,455.4870300292969
2023-05-24,456.8076477050781
2023-05-25,453.833984375
2023-05-26,457.4631042480469
2023-05-30,455.8766174316406
2023-05-31,462.8973693847656
2023-06-01,468.9681396484375
2023-06-02,474.620849609375
2023-06-05,473.30029296875
2023-06-06,463.2109069824219
2023-06-07,458.0426330566406
2023-06-08,465.73797607421875
2023-06-09,468.9586486816406
2023-06-12,467.9801025390625
2023-06-13,466.7640380859375
2023-06-14,436.88525390625
2023-06-15,444.4309387207031
2023-06-16,437.3717956542969
2023-06-20,447.7697448730469
2023-06-21,454.7907409667969
2023-06-22,456.9847717285156
2023-06-23,455.0291748046875
2023-06-26,456.994384765625
2023-06-27,460.3331604003906
2023-06-28,452.5966796875
2023-06-29,454.4949951171875
2023-06-30,458.50152587890625
2023-07-03,455.8686828613281
2023-07-05,449.51544189453125
2023-07-06,447.74114990234375
2023-07-07,440.3194274902344
2023-07-10,441.72174072265625
2023-07-11,441.5691833496094
2023-07-12,430.89459228515625
2023-07-13,427.12652587890625
2023-07-14,458.0531921386719
2023-07-17,461.7830505371094
2023-07-18,476.96978759765625
2023-07-19,480.49945068359375
2023-07-20,481.0145263671875
2023-07-21,483.1990661621094
2023-07-24,485.25
2023-07-25,487.3963928222656
2023-07-26,484.601318359375
2023-07-27,481.958984375
2023-07-28,479.74578857421875
2023-07-31,483.04644775390625
2023-08-01,481.49151611328125
2023-08-02,481.54876708984375
2023-08-03,481.60589599609375
2023-08-04,479.5740661621094
2023-08-07,487.21514892578125
2023-08-08,482.5599365234375
2023-08-09,478.98260498046875
2023-08-10,480.2895202636719
2023-08-11,484.61090087890625
2023-08-14,487.3963928222656
2023-08-15,483.3517150878906
2023-08-16,480.3658142089844
2023-08-17,471.2080383300781
2023-08-18,475.4816589355469
2023-08-21,474.7567138671875
2023-08-22,469.6626281738281
2023-08-23,466.896240234375
2023-08-24,465.6179504394531
2023-08-25,466.5909118652344
2023-08-28,468.6513977050781
2023-08-29,470.1300964355469
2023-08-30,468.8899230957031
2023-08-31,454.6285400390625
2023-09-01,454.3042297363281
2023-09-05,458.6637268066406
2023-09-06,454.9720153808594
2023-09-07,462.4794921875
2023-09-08,460.4109802246094
2023-09-11,459.0798034667969
2023-09-12,459.5778503417969
2023-09-13,459.5203552246094
2023-09-14,463.12109375
2023-09-15,466.0898742675781
2023-09-18,465.4769592285156
2023-09-19,460.3056335449219
2023-09-20,471.2899169921875
2023-09-21,479.9183349609375
2023-09-22,484.6683349609375
2023-09-25,488.67132568359375
2023-09-26,484.0458068847656
2023-09-27,482.3987121582031
2023-09-28,488.4989318847656
2023-09-29,482.83917236328125
2023-10-02,492.7796936035156
2023-10-03,487.8955993652344
2023-10-04,488.9968566894531
2023-10-05,494.36932373046875
2023-10-06,502.58599853515625
2023-10-09,504.21405029296875
2023-10-10,502.0401611328125
2023-10-11,501.934814453125
2023-10-12,503.2850646972656
2023-10-13,516.5581665039062
2023-10-16,515.2462768554688
2023-10-17,513.9246215820312
2023-10-18,513.3595581054688
2023-10-19,509.1172790527344
2023-10-20,504.7120056152344
2023-10-23,499.48321533203125
2023-10-24,502.76800537109375
2023-10-25,507.75732421875
2023-10-26,505.985595703125
2023-10-27,502.4423522949219
2023-10-30,507.5466003417969
2023-10-31,512.8806762695312
2023-11-01,509.0885314941406
2023-11-02,513.4266967773438
2023-11-03,508.4180908203125
2023-11-06,510.8697204589844
2023-11-07,515.0546875
2023-11-08,514.0012817382812
