Date,LIN
2023-01-03,306.1011962890625
2023-01-04,304.5820007324219
2023-01-05,293.7359619140625
2023-01-06,303.9955139160156
2023-01-09,309.5338134765625
2023-01-10,309.63958740234375
2023-01-11,316.93756103515625
2023-01-12,316.25482177734375
2023-01-13,321.25482177734375
2023-01-17,317.30291748046875
2023-01-18,311.8607482910156
2023-01-19,312.052978515625
2023-01-20,315.97607421875
2023-01-23,313.9279479980469
2023-01-24,315.9856872558594
2023-01-25,313.802978515625
2023-01-26,316.8318176269531
2023-01-27,312.2068176269531
2023-01-30,312.5242004394531
2023-01-31,318.206787109375
2023-02-01,318.3413391113281
2023-02-02,319.2740478515625
2023-02-03,311.1492004394531
2023-02-06,310.4376525878906
2023-02-07,324.14898681640625
2023-02-08,321.3894348144531
2023-02-09,319.77410888671875
2023-02-10,319.2644958496094
2023-02-13,321.2066955566406
2023-02-14,321.1490173339844
2023-02-15,319.7356262207031
2023-02-16,311.0530090332031
2023-02-17,309.1492004394531
2023-02-21,312.0722351074219
2023-02-22,317.3317565917969
2023-02-23,319.1202087402344
2023-02-24,334.283447265625
2023-02-27,331.2258605957031
2023-02-28,334.9660949707031
2023-03-01,336.58148193359375
2023-03-02,338.2160949707031
2023-03-03,348.4371032714844
2023-03-06,344.27362060546875
2023-03-07,340.51409912109375
2023-03-08,341.2449035644531
2023-03-09,332.6103820800781
2023-03-10,328.39892578125
2023-03-13,323.1534423828125
2023-03-14,330.4980773925781
2023-03-15,319.389404296875
2023-03-16,326.4928283691406
2023-03-17,318.96478271484375
2023-03-20,326.99468994140625
2023-03-21,329.39788818359375
2023-03-22,327.3227844238281
2023-03-23,329.42681884765625
2023-03-24,332.7275085449219
2023-03-27,334.9955749511719
2023-03-28,335.2561340332031
2023-03-29,337.5338134765625
2023-03-30,339.28070068359375
2023-03-31,343.0447692871094
2023-04-03,345.61199951171875
2023-04-04,345.3224182128906
2023-04-05,343.20880126953125
2023-04-06,344.14501953125
2023-04-10,346.055908203125
2023-04-11,345.7566833496094
2023-04-12,346.818359375
2023-04-13,349.3373718261719
2023-04-14,347.127197265625
2023-04-17,349.7137451171875
2023-04-18,352.1459045410156
2023-04-19,352.5705261230469
2023-04-20,354.5393981933594
2023-04-21,353.4390869140625
2023-04-24,355.1763916015625
2023-04-25,354.2594909667969
2023-04-26,352.2713317871094
2023-04-27,352.8890380859375
2023-04-28,356.566162109375
2023-05-01,359.3264465332031
2023-05-02,357.1355285644531
2023-05-03,350.8236389160156
2023-05-04,348.2178039550781
2023-05-05,353.5935363769531
2023-05-08,352.91796875
2023-05-09,351.9817810058594
