Date,SCHW
2023-01-03,78.17594146728516
2023-01-04,79.52117156982422
2023-01-05,79.29219055175781
2023-01-06,80.65650939941406
2023-01-09,81.50563049316406
2023-01-10,81.68689727783203
2023-01-11,79.58795166015625
2023-01-12,79.64519500732422
2023-01-13,79.16818237304688
2023-01-17,79.65472412109375
2023-01-18,77.64165496826172
2023-01-19,72.81410217285156
2023-01-20,73.49150085449219
2023-01-23,74.15935516357422
2023-01-24,75.6095199584961
2023-01-25,75.57135009765625
2023-01-26,74.46464538574219
2023-01-27,71.25899505615234
2023-01-30,72.03177642822266
2023-01-31,73.86357879638672
2023-02-01,74.65547180175781
2023-02-02,73.10033416748047
2023-02-03,75.39008331298828
2023-02-06,76.19149017333984
2023-02-07,77.46040344238281
2023-02-08,76.90703582763672
2023-02-09,76.16056060791016
2023-02-10,77.00273895263672
2023-02-13,76.96446990966797
2023-02-14,77.2994155883789
2023-02-15,77.02188873291016
2023-02-16,76.88790893554688
2023-02-17,76.86875915527344
2023-02-21,76.46681213378906
2023-02-22,76.5625
2023-02-23,75.57676696777344
2023-02-24,77.13673400878906
2023-02-27,74.5335922241211
2023-02-28,74.5718765258789
2023-03-01,74.08380126953125
2023-03-02,72.82051849365234
2023-03-03,74.08380126953125
2023-03-06,73.30858612060547
2023-03-07,71.72950744628906
2023-03-08,72.92578887939453
2023-03-09,63.61387634277344
2023-03-10,56.1777458190918
2023-03-13,49.67949676513672
2023-03-14,54.24454116821289
2023-03-15,56.991214752197266
2023-03-16,55.392974853515625
2023-03-17,53.98613739013672
2023-03-20,53.69902801513672
2023-03-21,56.9146614074707
2023-03-22,53.84257888793945
2023-03-23,50.61738586425781
2023-03-24,50.97149658203125
2023-03-27,52.50273895263672
2023-03-28,51.5361442565918
2023-03-29,52.83769989013672
2023-03-30,50.21543502807617
2023-03-31,50.129302978515625
2023-04-03,49.35410690307617
2023-04-04,47.851566314697266
2023-04-05,46.77012634277344
2023-04-06,47.22949981689453
2023-04-10,49.49766159057617
2023-04-11,49.48808670043945
2023-04-12,49.68907165527344
2023-04-13,49.27754592895508
2023-04-14,48.58848190307617
2023-04-17,50.50254440307617
2023-04-18,51.6796989440918
2023-04-19,53.16309356689453
2023-04-20,51.6796989440918
2023-04-21,51.488285064697266
2023-04-24,50.8375129699707
2023-04-25,48.83731460571289
2023-04-26,48.425777435302734
2023-04-27,49.50723648071289
2023-04-28,49.99532699584961
2023-05-01,49.58379364013672
2023-05-02,47.947269439697266
2023-05-03,45.966224670410156
2023-05-04,45.33457565307617
2023-05-05,47.12422180175781
2023-05-08,45.583404541015625
2023-05-09,45.88008499145508
2023-05-10,45.506839752197266
2023-05-11,45.92053985595703
2023-05-12,47.08466720581055
2023-05-15,49.008846282958984
2023-05-16,48.191078186035156
2023-05-17,49.85548782348633
2023-05-18,49.788143157958984
2023-05-19,49.711177825927734
2023-05-22,49.99979782104492
2023-05-23,50.78871536254883
2023-05-24,50.10563659667969
2023-05-25,52.183746337890625
2023-05-26,51.635345458984375
2023-05-30,51.79890823364258
2023-05-31,50.692508697509766
2023-06-01,50.702125549316406
2023-06-02,52.308815002441406
2023-06-05,52.34729766845703
2023-06-06,52.53971862792969
2023-06-07,53.52104568481445
2023-06-08,52.94378662109375
2023-06-09,52.91493606567383
2023-06-12,51.923980712890625
