Date,TRV
2023-01-03,176.77444458007812
2023-01-04,176.8783721923828
2023-01-05,177.18067932128906
2023-01-06,183.1512451171875
2023-01-09,178.66387939453125
2023-01-10,180.64776611328125
2023-01-11,181.0350799560547
2023-01-12,181.37521362304688
2023-01-13,183.198486328125
2023-01-17,174.77166748046875
2023-01-18,173.47740173339844
2023-01-19,173.86474609375
2023-01-20,175.0834197998047
2023-01-23,176.0564727783203
2023-01-24,182.56556701660156
2023-01-25,180.19432067871094
2023-01-26,181.48858642578125
2023-01-27,178.3237762451172
2023-01-30,177.52078247070312
2023-01-31,180.55328369140625
2023-02-01,174.98895263671875
2023-02-02,171.70135498046875
2023-02-03,172.65553283691406
2023-02-06,175.70692443847656
2023-02-07,178.55996704101562
2023-02-08,177.02951049804688
2023-02-09,175.1117706298828
2023-02-10,176.42491149902344
2023-02-13,177.22793579101562
2023-02-14,173.94981384277344
2023-02-15,174.97950744628906
2023-02-16,172.9389190673828
2023-02-17,175.48020935058594
2023-02-21,175.00787353515625
2023-02-22,175.82972717285156
2023-02-23,175.21566772460938
2023-02-24,175.0834197998047
2023-02-27,175.0834197998047
2023-02-28,174.88502502441406
2023-03-01,173.87420654296875
2023-03-02,173.06173706054688
2023-03-03,173.4396514892578
2023-03-06,173.21292114257812
2023-03-07,170.3976593017578
2023-03-08,167.94140625
2023-03-09,165.16831970214844
2023-03-10,166.83978271484375
2023-03-13,163.55389404296875
2023-03-14,163.1170196533203
2023-03-15,158.1122283935547
2023-03-16,163.5443878173828
2023-03-17,156.72569274902344
2023-03-20,160.2205047607422
2023-03-21,163.10755920410156
2023-03-22,158.2451629638672
2023-03-23,155.61456298828125
2023-03-24,156.6117401123047
2023-03-27,157.97926330566406
2023-03-28,157.53292846679688
2023-03-29,161.3126678466797
2023-03-30,162.22434997558594
2023-03-31,162.78465270996094
2023-04-03,163.620361328125
2023-04-04,160.14456176757812
2023-04-05,161.739990234375
2023-04-06,162.65170288085938
2023-04-10,163.96224975585938
2023-04-11,164.81695556640625
2023-04-12,165.09237670898438
2023-04-13,164.48455810546875
2023-04-14,159.8976287841797
2023-04-17,162.66116333007812
2023-04-18,163.3449249267578
2023-04-19,173.38308715820312
2023-04-20,170.23960876464844
2023-04-21,170.4675750732422
2023-04-24,170.1161651611328
2023-04-25,168.39724731445312
2023-04-26,167.72299194335938
2023-04-27,171.17979431152344
2023-04-28,172.02505493164062
2023-05-01,172.61383056640625
2023-05-02,171.4457244873047
2023-05-03,170.13516235351562
2023-05-04,170.12567138671875
2023-05-05,173.12667846679688
2023-05-08,173.38308715820312
2023-05-09,174.50369262695312
2023-05-10,173.943359375
2023-05-11,173.61099243164062
2023-05-12,172.92723083496094
2023-05-15,173.61099243164062
2023-05-16,172.37640380859375
2023-05-17,172.53785705566406
2023-05-18,174.1143341064453
2023-05-19,174.47520446777344
2023-05-22,171.98704528808594
2023-05-23,170.28713989257812
2023-05-24,167.13418579101562
2023-05-25,164.93092346191406
2023-05-26,163.620361328125
2023-05-30,164.5700225830078
2023-05-31,160.72384643554688
2023-06-01,162.68017578125
2023-06-02,166.3174285888672
2023-06-05,165.59568786621094
2023-06-06,166.14649963378906
2023-06-07,166.9347381591797
2023-06-08,167.0589141845703
2023-06-09,167.7179412841797
2023-06-12,166.92518615722656
2023-06-13,168.21458435058594
2023-06-14,165.7599639892578
2023-06-15,168.07131958007812
2023-06-16,168.81631469726562
2023-06-20,167.6797332763672
2023-06-21,167.4218292236328
2023-06-22,167.15443420410156
2023-06-23,165.9223175048828
2023-06-26,164.65200805664062
2023-06-27,164.84303283691406
2023-06-28,160.81248474121094
2023-06-29,163.3148651123047
2023-06-30,165.864990234375
2023-07-03,165.32058715820312
2023-07-05,164.84303283691406
2023-07-06,163.23846435546875
2023-07-07,163.9452362060547
2023-07-10,161.4810333251953
2023-07-11,164.6233673095703
2023-07-12,163.43902587890625
2023-07-13,160.66921997070312
2023-07-14,158.50111389160156
2023-07-17,161.0225830078125
2023-07-18,163.34352111816406
2023-07-19,162.90414428710938
2023-07-20,165.8363494873047
2023-07-21,165.06272888183594
2023-07-24,166.99205017089844
2023-07-25,164.39413452148438
2023-07-26,166.34254455566406
2023-07-27,167.02069091796875
2023-07-28,165.4829559326172
2023-07-31,164.8621368408203
2023-08-01,164.57562255859375
2023-08-02,163.41993713378906
2023-08-03,161.7962188720703
2023-08-04,161.0799102783203
2023-08-07,162.48391723632812
2023-08-08,160.34446716308594
2023-08-09,159.7809295654297
2023-08-10,159.4466552734375
2023-08-11,159.37025451660156
2023-08-14,158.80673217773438
2023-08-15,156.14195251464844
2023-08-16,157.94712829589844
2023-08-17,156.07508850097656
2023-08-18,155.1772918701172
2023-08-21,154.3463592529297
2023-08-22,152.76084899902344
2023-08-23,153.7064208984375
2023-08-24,154.5755615234375
2023-08-25,154.38455200195312
2023-08-28,153.6109161376953
2023-08-29,154.0407257080078
2023-08-30,154.07891845703125
2023-08-31,153.99293518066406
2023-09-01,155.01492309570312
2023-09-05,153.190673828125
2023-09-06,153.40077209472656
2023-09-07,154.41952514648438
2023-09-08,153.66989135742188
2023-09-11,154.86166381835938
2023-09-12,156.4378662109375
2023-09-13,156.78384399414062
2023-09-14,159.50375366210938
2023-09-15,158.3888702392578
2023-09-18,160.35911560058594
2023-09-19,160.68589782714844
2023-09-20,162.36782836914062
2023-09-21,162.0506591796875
2023-09-22,161.31060791015625
2023-09-25,161.31060791015625
2023-09-26,161.4259490966797
2023-09-27,161.3874969482422
2023-09-28,161.09915161132812
2023-09-29,156.95684814453125
2023-10-02,155.9573211669922
2023-10-03,154.65980529785156
2023-10-04,156.17835998535156
2023-10-05,157.50465393066406
2023-10-06,156.61085510253906
2023-10-09,156.90879821777344
2023-10-10,155.91885375976562
2023-10-11,156.0918731689453
2023-10-12,154.47723388671875
2023-10-13,157.82183837890625
2023-10-16,161.1280059814453
2023-10-17,162.77149963378906
2023-10-18,161.5701141357422
2023-10-19,157.5623321533203
2023-10-20,155.30372619628906
2023-10-23,152.9971160888672
2023-10-24,151.7765350341797
2023-10-25,158.32159423828125
2023-10-26,158.06210327148438
2023-10-27,154.42916870117188
2023-10-30,159.07122802734375
2023-10-31,160.92616271972656
2023-11-01,162.69459533691406
2023-11-02,162.37744140625
2023-11-03,161.8584747314453
2023-11-06,162.95411682128906
2023-11-07,163.37696838378906
2023-11-08,162.00259399414062
2023-11-09,162.0314178466797
2023-11-10,163.34815979003906
2023-11-13,164.34768676757812
2023-11-14,162.13717651367188
2023-11-15,162.94448852539062
2023-11-16,165.01083374023438
2023-11-17,165.13577270507812
2023-11-20,165.40489196777344
2023-11-21,168.24974060058594
2023-11-22,169.2300567626953
2023-11-24,170.6332244873047
2023-11-27,171.66163635253906
2023-11-28,169.9604949951172
2023-11-29,170.53717041015625
2023-11-30,173.5934295654297
2023-12-01,174.90052795410156
2023-12-04,176.06344604492188
2023-12-05,176.5151824951172
2023-12-06,176.00582885742188
2023-12-07,175.79318237304688
2023-12-08,175.16502380371094
2023-12-11,176.21839904785156
2023-12-12,177.48434448242188
2023-12-13,178.99191284179688
2023-12-14,176.62429809570312
2023-12-15,176.66293334960938
2023-12-18,177.24273681640625
2023-12-19,179.9196014404297
2023-12-20,177.65829467773438
2023-12-21,179.3301239013672
2023-12-22,179.55239868164062
2023-12-26,180.79901123046875
2023-12-27,182.27755737304688
2023-12-28,182.9636993408203
2023-12-29,184.08468627929688
2024-01-02,184.98341369628906
2024-01-03,184.86744689941406
2024-01-04,186.06573486328125
2024-01-05,186.5779266357422
2024-01-08,185.84349060058594
2024-01-09,185.73716735839844
2024-01-10,186.59725952148438
2024-01-11,188.31741333007812
2024-01-12,188.98422241210938
2024-01-16,190.09555053710938
2024-01-17,190.8589630126953
2024-01-18,191.68040466308594
2024-01-19,204.552490234375
2024-01-22,206.66885375976562
2024-01-23,203.88568115234375
2024-01-24,203.88568115234375
2024-01-25,204.4075469970703
2024-01-26,204.32057189941406
2024-01-29,204.02099609375
2024-01-30,206.35963439941406
2024-01-31,204.2529296875
2024-02-01,204.89073181152344
2024-02-02,207.59657287597656
2024-02-05,205.91510009765625
2024-02-06,205.84744262695312
2024-02-07,207.01675415039062
2024-02-08,206.6205291748047
2024-02-09,207.28733825683594
2024-02-12,207.47096252441406
2024-02-13,208.68858337402344
2024-02-14,209.3360595703125
2024-02-15,211.6553497314453
2024-02-16,210.2154541015625
2024-02-20,212.6990509033203
2024-02-21,212.0998992919922
2024-02-22,214.82505798339844
2024-02-23,213.5301055908203
2024-02-26,212.6797332763672
2024-02-27,214.419189453125
2024-02-28,213.00827026367188
2024-02-29,213.5301055908203
2024-03-01,211.46209716796875
2024-03-04,211.7036895751953
2024-03-05,211.76165771484375
2024-03-06,213.20152282714844
2024-03-07,212.9879608154297
2024-03-08,212.06573486328125
2024-03-11,212.61911010742188
2024-03-12,214.01702880859375
2024-03-13,216.95843505859375
2024-03-14,214.94895935058594
2024-03-15,214.47325134277344
2024-03-18,215.43434143066406
2024-03-19,217.0943603515625
2024-03-20,218.4146270751953
2024-03-21,219.52130126953125
2024-03-22,217.89039611816406
2024-03-25,218.9388427734375
2024-03-26,218.74468994140625
2024-03-27,222.14239501953125
2024-03-28,223.41409301757812
2024-04-01,221.4919891357422
2024-04-02,221.1910400390625
2024-04-03,222.3656768798828
2024-04-04,221.82203674316406
2024-04-05,224.1422119140625
2024-04-08,223.85096740722656
2024-04-09,217.29824829101562
2024-04-10,217.82244873046875
2024-04-11,213.958740234375
2024-04-12,214.63832092285156
2024-04-15,214.59947204589844
2024-04-16,216.59925842285156
2024-04-17,200.5426483154297
2024-04-18,204.27041625976562
2024-04-19,207.8137664794922
2024-04-22,208.00790405273438
2024-04-23,208.0564422607422
2024-04-24,207.1924591064453
2024-04-25,207.736083984375
2024-04-26,207.2118682861328
2024-04-29,206.67794799804688
2024-04-30,205.95956420898438
2024-05-01,206.92063903808594
2024-05-02,208.10496520996094
2024-05-03,207.6001739501953
2024-05-06,209.60000610351562
2024-05-07,210.62899780273438
2024-05-08,210.98817443847656
2024-05-09,213.00741577148438
2024-05-10,212.11427307128906
2024-05-13,210.2504119873047
2024-05-14,211.2308807373047
2024-05-15,208.08558654785156
2024-05-16,212.81324768066406
2024-05-17,213.28892517089844
2024-05-20,209.2990264892578
2024-05-21,209.93003845214844
2024-05-22,210.21156311035156
2024-05-23,206.0372314453125
2024-05-24,207.0953826904297
2024-05-28,204.22186279296875
2024-05-29,203.93067932128906
2024-05-30,206.27992248535156
2024-05-31,209.3961181640625
2024-06-03,204.19276428222656
2024-06-04,203.51321411132812
2024-06-05,202.31918334960938
2024-06-06,203.58119201660156
2024-06-07,206.7264862060547
2024-06-10,207.7996368408203
2024-06-11,204.29727172851562
2024-06-12,202.1997528076172
2024-06-13,202.014404296875
2024-06-14,200.82421875
2024-06-17,203.0485382080078
2024-06-18,203.4192352294922
2024-06-20,206.7947998046875
2024-06-21,204.67776489257812
2024-06-24,205.93626403808594
2024-06-25,203.62413024902344
2024-06-26,200.71688842773438
2024-06-27,201.89735412597656
2024-06-28,198.37548828125
2024-07-01,198.01449584960938
2024-07-02,198.68768310546875
2024-07-03,198.71694946289062
2024-07-05,196.94137573242188
2024-07-08,199.24375915527344
2024-07-09,198.18035888671875
2024-07-10,202.13150024414062
2024-07-11,203.84849548339844
2024-07-12,206.43382263183594
2024-07-15,208.18984985351562
2024-07-16,212.47268676757812
2024-07-17,215.40919494628906
2024-07-18,215.21409606933594
2024-07-19,198.51205444335938
2024-07-22,200.40467834472656
2024-07-23,203.43875122070312
2024-07-24,202.65829467773438
2024-07-25,204.12168884277344
2024-07-26,208.62887573242188
2024-07-29,208.70693969726562
2024-07-30,215.03846740722656
2024-07-31,211.1556396484375
2024-08-01,206.87283325195312
2024-08-02,209.2922821044922
2024-08-05,203.51681518554688
2024-08-06,203.19488525390625
2024-08-07,204.25827026367188
2024-08-08,206.5118408203125
2024-08-09,207.29232788085938
2024-08-12,204.60946655273438
2024-08-13,205.7313995361328
2024-08-14,208.86300659179688
2024-08-15,211.14590454101562
2024-08-16,211.282470703125
2024-08-19,213.60435485839844
2024-08-20,211.7214813232422
2024-08-21,211.6239471435547
2024-08-22,212.54098510742188
2024-08-23,216.40428161621094
2024-08-26,217.34085083007812
2024-08-27,218.1798553466797
2024-08-28,218.9213104248047
2024-08-29,220.80416870117188
2024-08-30,222.50169372558594
2024-09-03,222.30657958984375
2024-09-04,225.76991271972656
2024-09-05,226.18942260742188
2024-09-06,228.73570251464844
2024-09-09,235.2135772705078
2024-09-10,234.03775024414062
2024-09-11,226.63986206054688
2024-09-12,229.3932342529297
2024-09-13,233.03829956054688
2024-09-16,237.37904357910156
2024-09-17,236.6735382080078
2024-09-18,234.91961669921875
2024-09-19,232.79331970214844
2024-09-20,233.72418212890625
2024-09-23,234.5276641845703
2024-09-24,233.18527221679688
2024-09-25,231.55873107910156
2024-09-26,231.2941436767578
2024-09-27,231.3529510498047
2024-09-30,229.40304565429688
2024-10-01,230.38287353515625
2024-10-02,230.3240966796875
2024-10-03,228.59957885742188
2024-10-04,231.45094299316406
2024-10-07,221.41725158691406
2024-10-08,225.69920349121094
2024-10-09,226.80642700195312
2024-10-10,228.50157165527344
2024-10-11,231.81349182128906
