Date,BKNG
2023-01-03,1999.4930419921875
2023-01-04,2076.463623046875
2023-01-05,2110.408447265625
2023-01-06,2144.166015625
2023-01-09,2172.8564453125
2023-01-10,2185.194580078125
2023-01-11,2188.992431640625
2023-01-12,2220.43798828125
2023-01-13,2264.29052734375
2023-01-17,2296.444580078125
2023-01-18,2259.479248046875
2023-01-19,2278.1240234375
2023-01-20,2306.548828125
2023-01-23,2362.91650390625
2023-01-24,2363.66455078125
2023-01-25,2352.2607421875
2023-01-26,2392.01025390625
2023-01-27,2424.833251953125
2023-01-30,2397.74658203125
2023-01-31,2394.9130859375
2023-02-01,2406.36572265625
2023-02-02,2415.171630859375
2023-02-03,2415.54541015625
2023-02-06,2430.185302734375
2023-02-07,2447.148193359375
2023-02-08,2386.0380859375
2023-02-09,2396.900390625
2023-02-10,2310.563232421875
2023-02-13,2384.021484375
2023-02-14,2431.268310546875
2023-02-15,2476.064697265625
2023-02-16,2453.041748046875
2023-02-17,2422.37353515625
2023-02-21,2386.44140625
2023-02-22,2387.641845703125
2023-02-23,2387.425537109375
2023-02-24,2412.996826171875
2023-02-27,2480.49267578125
2023-02-28,2483.365478515625
2023-03-01,2511.229736328125
2023-03-02,2536.3291015625
2023-03-03,2578.213623046875
2023-03-06,2571.355712890625
2023-03-07,2537.3818359375
2023-03-08,2541.2880859375
2023-03-09,2465.05517578125
2023-03-10,2440.55615234375
2023-03-13,2399.625244140625
2023-03-14,2435.89208984375
2023-03-15,2376.838623046875
2023-03-16,2400.62939453125
2023-03-17,2401.554443359375
2023-03-20,2453.583251953125
2023-03-21,2529.924072265625
2023-03-22,2517.05419921875
2023-03-23,2497.88818359375
2023-03-24,2459.093017578125
2023-03-27,2467.9287109375
2023-03-28,2504.145751953125
2023-03-29,2530.36669921875
2023-03-30,2567.745361328125
2023-03-31,2609.708251953125
2023-04-03,2622.28271484375
2023-04-04,2595.855224609375
2023-04-05,2573.4912109375
2023-04-06,2542.252197265625
2023-04-10,2531.15380859375
2023-04-11,2525.15185546875
2023-04-12,2506.24169921875
2023-04-13,2587.294921875
2023-04-14,2607.199462890625
2023-04-17,2632.968017578125
2023-04-18,2653.265625
2023-04-19,2633.19384765625
2023-04-20,2617.933349609375
2023-04-21,2644.06640625
