Date,GOOG
2023-01-03,89.03224182128906
2023-01-04,88.04961395263672
2023-01-05,86.1240463256836
2023-01-06,87.50370788574219
2023-01-09,88.1389389038086
2023-01-10,88.57566833496094
2023-01-11,91.57318878173828
2023-01-12,91.22579193115234
2023-01-13,92.10916900634766
2023-01-17,91.47393035888672
2023-01-18,91.09677124023438
2023-01-19,93.21089935302734
2023-01-20,98.54093170166016
2023-01-23,100.45655059814453
2023-01-24,98.47145080566406
2023-01-25,96.00991821289062
2023-01-26,98.42182159423828
2023-01-27,99.96027374267578
2023-01-30,97.2208251953125
2023-01-31,99.12654876708984
2023-02-01,100.6749267578125
2023-02-02,107.99005889892578
2023-02-03,104.43671417236328
2023-02-06,102.6997299194336
2023-02-07,107.2357177734375
2023-02-08,99.25557708740234
2023-02-09,94.74935150146484
2023-02-10,94.15382385253906
2023-02-13,94.29277801513672
2023-02-14,94.2431640625
2023-02-15,96.37715148925781
2023-02-16,95.06697845458984
2023-02-17,93.88582611083984
2023-02-21,91.36475372314453
2023-02-22,91.11662292480469
2023-02-23,90.39203643798828
2023-02-24,88.68485260009766
2023-02-27,89.42926788330078
2023-02-28,89.6277847290039
2023-03-01,89.83621978759766
2023-03-02,91.622802734375
2023-03-03,93.32008361816406
2023-03-06,94.86846923828125
2023-03-07,93.46896362304688
2023-03-08,93.94539642333984
2023-03-09,91.97021484375
2023-03-10,90.33248901367188
2023-03-13,90.97765350341797
2023-03-14,93.54837036132812
2023-03-15,95.83124542236328
2023-03-16,100.31759643554688
2023-03-17,101.6972427368164
2023-03-20,101.17119598388672
2023-03-21,105.05207824707031
2023-03-22,103.44414520263672
2023-03-23,105.46896362304688
2023-03-24,105.27045440673828
2023-03-27,102.29277801513672
2023-03-28,100.6054458618164
2023-03-29,101.14143371582031
2023-03-30,100.56573486328125
2023-03-31,103.22579193115234
2023-04-03,104.12901306152344
2023-04-04,104.33745574951172
2023-04-05,104.16870880126953
2023-04-06,108.08932495117188
2023-04-10,106.15382385253906
2023-04-11,105.33000946044922
2023-04-12,104.43671417236328
2023-04-13,107.38459777832031
2023-04-14,108.6451416015625
2023-04-17,105.62776947021484
2023-04-18,104.33745574951172
2023-04-19,104.23818969726562
2023-04-20,105.11164093017578
2023-04-21,105.12157440185547
2023-04-24,105.98509216308594
2023-04-25,103.83124542236328
2023-04-26,103.67243957519531
2023-04-27,107.5632553100586
2023-04-28,107.41437530517578
2023-05-01,106.90817260742188
2023-05-02,105.1910400390625
2023-05-03,105.33000946044922
2023-05-04,104.4267807006836
2023-05-05,105.42430114746094
2023-05-08,107.43421936035156
2023-05-09,107.13645935058594
2023-05-10,111.44416046142578
2023-05-11,116.02975463867188
2023-05-12,117.04216003417969
2023-05-15,116.08930206298828
2023-05-16,119.1960220336914
2023-05-17,120.57566833496094
2023-05-18,122.60047149658203
2023-05-19,122.33248138427734
2023-05-22,124.9329833984375
2023-05-23,122.37218475341797
2023-05-24,120.7344741821289
2023-05-25,123.4242935180664
2023-05-26,124.49625396728516
2023-05-30,123.71214294433594
2023-05-31,122.45159912109375
2023-06-01,123.44414520263672
2023-06-02,124.2977523803711
2023-06-05,125.68732452392578
2023-06-06,126.95780181884766
2023-06-07,122.02479553222656
2023-06-08,121.75679779052734
2023-06-09,121.955322265625
2023-06-12,123.4242935180664
2023-06-13,123.50370025634766
2023-06-14,123.45407104492188
2023-06-15,124.85358428955078
2023-06-16,123.13644409179688
2023-06-20,122.92800903320312
2023-06-21,120.35730743408203
2023-06-22,122.9478759765625
2023-06-23,122.10418701171875
2023-06-26,118.20345306396484
2023-06-27,118.12406158447266
2023-06-28,120.17863464355469
2023-06-29,119.1166000366211
2023-06-30,120.0694580078125
2023-07-03,119.66252136230469
2023-07-05,121.71709442138672
2023-07-06,120.0297622680664
2023-07-07,119.24563598632812
2023-07-10,115.99998474121094
2023-07-11,116.83372497558594
2023-07-12,118.72950744628906
2023-07-13,123.90072631835938
2023-07-14,124.76423645019531
2023-07-17,124.1290054321289
2023-07-18,123.15631103515625
2023-07-19,121.86597442626953
2023-07-20,118.64018249511719
2023-07-21,119.41436767578125
2023-07-24,120.9726791381836
2023-07-25,121.87590789794922
2023-07-26,128.6947784423828
2023-07-27,128.9031982421875
2023-07-28,132.01983642578125
2023-07-31,132.1190948486328
2023-08-01,130.90817260742188
2023-08-02,127.682373046875
2023-08-03,127.81139373779297
2023-08-04,127.58309173583984
2023-08-07,130.95779418945312
2023-08-08,130.85855102539062
2023-08-09,129.18112182617188
2023-08-10,129.24066162109375
2023-08-11,129.20095825195312
2023-08-14,130.84860229492188
2023-08-15,129.30023193359375
2023-08-16,128.1488800048828
2023-08-17,129.4888153076172
2023-08-18,127.15631866455078
2023-08-21,127.97018432617188
2023-08-22,128.72454833984375
2023-08-23,132.21835327148438
2023-08-24,129.4490966796875
2023-08-25,129.71710205078125
2023-08-28,130.80889892578125
2023-08-29,134.4813690185547
2023-08-30,135.91062927246094
2023-08-31,136.3275146484375
2023-09-01,135.78163146972656
2023-09-05,135.69229125976562
2023-09-06,134.3622589111328
2023-09-07,135.1860809326172
2023-09-08,136.17864990234375
2023-09-11,136.7146453857422
2023-09-12,135.05706787109375
2023-09-13,136.47640991210938
2023-09-14,137.955322265625
2023-09-15,137.2704620361328
2023-09-18,137.925537109375
2023-09-19,137.7965087890625
2023-09-20,133.58807373046875
2023-09-21,130.38211059570312
2023-09-22,130.27291870117188
2023-09-25,131.18609619140625
2023-09-26,128.48635864257812
2023-09-27,130.4813690185547
2023-09-28,132.13893127441406
2023-09-29,130.86846923828125
2023-10-02,134.16375732421875
2023-10-03,132.3076934814453
2023-10-04,135.25555419921875
2023-10-05,134.97764587402344
2023-10-06,137.69725036621094
2023-10-09,138.46151733398438
2023-10-10,138.1637420654297
2023-10-11,140.6451416015625
2023-10-12,139.24563598632812
2023-10-13,137.54837036132812
2023-10-16,139.44415283203125
2023-10-17,139.9404296875
2023-10-18,138.24314880371094
2023-10-19,137.9453887939453
2023-10-20,135.72206115722656
2023-10-23,136.87342834472656
2023-10-24,139.07688903808594
2023-10-25,125.72702026367188
2023-10-26,122.52107238769531
2023-10-27,122.48136901855469
2023-10-30,124.81388854980469
2023-10-31,124.36724090576172
2023-11-01,126.62033081054688
2023-11-02,127.62279510498047
2023-11-03,129.3994903564453
2023-11-06,130.47145080566406
2023-11-07,131.41436767578125
2023-11-08,132.2679443359375
2023-11-09,130.7096710205078
2023-11-10,133.06201171875
2023-11-13,132.64512634277344
2023-11-14,134.4217987060547
2023-11-15,135.36474609375
2023-11-16,137.66744995117188
2023-11-17,135.9205780029297
2023-11-20,136.8932647705078
2023-11-21,137.58804321289062
2023-11-22,138.9776611328125
2023-11-24,137.1910400390625
2023-11-27,137.02232360839844
2023-11-28,137.58804321289062
2023-11-29,135.3845672607422
2023-11-30,132.92306518554688
2023-12-01,132.32752990722656
2023-12-04,129.65753173828125
2023-12-05,131.4044647216797
2023-12-06,130.4515838623047
2023-12-07,137.41932678222656
2023-12-08,135.62281799316406
2023-12-11,133.69725036621094
2023-12-12,132.64512634277344
2023-12-13,132.97267150878906
2023-12-14,132.2084197998047
2023-12-15,132.8436737060547
2023-12-18,136.16871643066406
2023-12-19,137.07192993164062
2023-12-20,138.62033081054688
2023-12-21,140.74440002441406
2023-12-22,141.6575469970703
2023-12-26,141.75682067871094
2023-12-27,140.38706970214844
2023-12-28,140.22825622558594
2023-12-29,139.88087463378906
2024-01-02,138.52105712890625
2024-01-03,139.3151092529297
2024-01-04,137.0123748779297
2024-01-05,136.3672332763672
2024-01-08,139.48385620117188
2024-01-09,141.49871826171875
2024-01-10,142.7295379638672
2024-01-11,142.6004638671875
2024-01-12,143.16622924804688
2024-01-16,143.00743103027344
2024-01-17,141.82626342773438
2024-01-18,143.91062927246094
2024-01-19,146.8684844970703
2024-01-22,146.6103973388672
2024-01-23,147.5731658935547
2024-01-24,149.2307586669922
2024-01-25,152.4962615966797
2024-01-26,152.64512634277344
2024-01-29,153.68731689453125
2024-01-30,151.91065979003906
2024-01-31,140.74440002441406
2024-02-01,141.6476287841797
2024-02-02,142.471435546875
2024-02-05,143.85110473632812
2024-02-06,144.3275146484375
2024-02-07,145.5880584716797
2024-02-08,146.12403869628906
2024-02-09,149.10171508789062
2024-02-12,147.62281799316406
2024-02-13,145.28038024902344
2024-02-14,146.0446319580078
2024-02-15,142.8684539794922
2024-02-16,140.70468139648438
2024-02-20,141.1414337158203
2024-02-21,142.7692108154297
2024-02-22,144.2382049560547
2024-02-23,144.20840454101562
2024-02-26,137.71710205078125
2024-02-27,139.05706787109375
2024-02-28,136.40692138671875
2024-02-29,138.7394256591797
2024-03-01,137.05209350585938
2024-03-04,133.20095825195312
2024-03-05,132.78408813476562
2024-03-06,131.5731658935547
2024-03-07,134.23324584960938
2024-03-08,135.27542114257812
2024-03-11,137.9056854248047
2024-03-12,138.58062744140625
2024-03-13,139.72206115722656
2024-03-14,143.2655029296875
2024-03-15,141.1116180419922
2024-03-18,147.37466430664062
2024-03-19,146.81883239746094
2024-03-20,148.56570434570312
2024-03-21,147.6327362060547
2024-03-22,150.6401824951172
2024-03-25,150.02479553222656
2024-03-26,150.5706787109375
2024-03-27,150.80889892578125
2024-03-28,151.12649536132812
2024-04-01,155.33497619628906
2024-04-02,154.7096405029297
2024-04-03,155.20591735839844
2024-04-04,150.80889892578125
2024-04-05,152.7940216064453
2024-04-08,154.97763061523438
2024-04-09,156.9627685546875
2024-04-10,156.486328125
2024-04-11,159.593017578125
2024-04-12,158.00494384765625
2024-04-15,155.16622924804688
2024-04-16,154.83868408203125
2024-04-17,155.71214294433594
2024-04-18,156.28781127929688
2024-04-19,154.56076049804688
2024-04-22,156.774169921875
2024-04-23,158.72950744628906
2024-04-24,159.90072631835938
2024-04-25,156.774169921875
2024-04-26,172.39698791503906
2024-04-29,166.65008544921875
2024-04-30,163.41433715820312
2024-05-01,164.33746337890625
2024-05-02,167.2059326171875
2024-05-03,167.73199462890625
2024-05-06,168.56573486328125
2024-05-07,171.69229125976562
2024-05-08,169.88583374023438
2024-05-09,170.30270385742188
2024-05-10,169.02230834960938
2024-05-13,169.62777709960938
2024-05-14,170.6501007080078
2024-05-15,172.58558654785156
2024-05-16,174.12403869628906
2024-05-17,175.97018432617188
2024-05-20,177.1315155029297
2024-05-21,178.20343017578125
2024-05-22,176.67491149902344
2024-05-23,173.7567901611328
2024-05-24,175.017333984375
2024-05-28,176.6947479248047
2024-05-29,176.07936096191406
2024-05-30,172.26795959472656
2024-05-31,172.6649932861328
2024-06-03,173.12158203125
2024-06-04,173.8262939453125
2024-06-05,175.75186157226562
2024-06-06,177.0222930908203
2024-06-07,174.64016723632812
2024-06-10,175.51461791992188
2024-06-11,177.0647735595703
2024-06-12,178.4261016845703
2024-06-13,175.6239013671875
2024-06-14,177.2436065673828
2024-06-17,177.65103149414062
2024-06-18,175.33575439453125
2024-06-20,176.58779907226562
2024-06-21,179.12167358398438
2024-06-24,179.64833068847656
2024-06-25,184.40809631347656
2024-06-26,184.1994171142578
2024-06-27,185.67999267578125
2024-06-28,182.26174926757812
2024-07-01,183.32496643066406
2024-07-02,185.4315948486328
2024-07-03,186.20663452148438
2024-07-05,190.74781799316406
2024-07-08,189.2771453857422
2024-07-09,189.23741149902344
2024-07-10,191.44338989257812
2024-07-11,186.1172332763672
2024-07-12,185.60049438476562
2024-07-15,187.00160217285156
2024-07-16,184.32859802246094
2024-07-17,181.46678161621094
2024-07-18,178.0882568359375
2024-07-19,178.25717163085938
2024-07-22,182.1921844482422
2024-07-23,182.44058227539062
2024-07-24,173.2688751220703
2024-07-25,168.091796875
2024-07-26,167.61480712890625
2024-07-29,170.0493621826172
2024-07-30,170.77471923828125
2024-07-31,172.0565643310547
2024-08-01,171.36099243164062
2024-08-02,167.33657836914062
2024-08-05,159.62559509277344
2024-08-06,159.52621459960938
2024-08-07,159.73487854003906
2024-08-08,162.8053741455078
2024-08-09,164.3455810546875
2024-08-12,162.9146728515625
2024-08-13,164.88217163085938
2024-08-14,161.00680541992188
2024-08-15,162.1396026611328
2024-08-16,163.69970703125
2024-08-19,167.33657836914062
2024-08-20,167.89305114746094
2024-08-21,166.5714569091797
2024-08-22,164.44496154785156
2024-08-23,166.37271118164062
2024-08-26,166.86953735351562
2024-08-27,165.329345703125
2024-08-28,163.46119689941406
2024-08-29,162.3681640625
2024-08-30,164.06735229492188
2024-09-03,157.6083984375
2024-09-04,156.81344604492188
2024-09-05,157.5984649658203
2024-09-06,151.16932678222656
2024-09-09,148.79127502441406
2024-09-10,149.25892639160156
2024-09-11,151.38821411132812
2024-09-12,154.76124572753906
2024-09-13,157.5770721435547
2024-09-16,158.19398498535156
2024-09-17,159.4774932861328
2024-09-18,160.0048828125
2024-09-19,162.4226837158203
2024-09-20,163.815673828125
2024-09-23,162.25355529785156
2024-09-24,162.82069396972656
2024-09-25,162.17396545410156
2024-09-26,163.00975036621094
2024-09-27,164.46241760253906
2024-09-30,166.35292053222656
2024-10-01,167.57675170898438
2024-10-02,166.47232055664062
2024-10-03,166.37283325195312
2024-10-04,167.716064453125
