Date,V
2023-01-03,202.3379669189453
2023-01-04,207.4307861328125
2023-01-05,205.96734619140625
2023-01-06,212.44557189941406
2023-01-09,213.27487182617188
2023-01-10,215.7042236328125
2023-01-11,216.68960571289062
2023-01-12,218.1725616455078
2023-01-13,217.62623596191406
2023-01-17,217.56765747070312
2023-01-18,214.11392211914062
2023-01-19,215.04078674316406
2023-01-20,218.84576416015625
2023-01-23,218.7189178466797
2023-01-24,218.43600463867188
2023-01-25,219.42138671875
2023-01-26,219.23602294921875
2023-01-27,225.80209350585938
2023-01-30,223.51910400390625
2023-01-31,224.60202026367188
2023-02-01,225.2752227783203
2023-02-02,223.96786499023438
2023-02-03,224.5240020751953
2023-02-06,223.850830078125
2023-02-07,225.6850128173828
2023-02-08,224.59228515625
2023-02-09,224.20126342773438
2023-02-10,222.0995330810547
2023-02-13,223.74183654785156
2023-02-14,224.24037170410156
2023-02-15,223.78089904785156
2023-02-16,220.76028442382812
2023-02-17,218.54124450683594
2023-02-21,215.66722106933594
2023-02-22,215.08070373535156
2023-02-23,216.16578674316406
2023-02-24,214.6212615966797
2023-02-27,215.40330505371094
2023-02-28,215.0025177001953
2023-03-01,213.4580078125
2023-03-02,214.1422576904297
2023-03-03,218.74652099609375
2023-03-06,221.65965270996094
2023-03-07,218.16001892089844
2023-03-08,217.20199584960938
2023-03-09,215.07093811035156
2023-03-10,211.28782653808594
2023-03-13,209.65530395507812
2023-03-14,213.7512664794922
2023-03-15,211.51266479492188
2023-03-16,212.56838989257812
2023-03-17,212.509765625
2023-03-20,213.252685546875
2023-03-21,216.96737670898438
2023-03-22,215.10025024414062
2023-03-23,217.593017578125
2023-03-24,216.07778930664062
2023-03-27,216.8305206298828
2023-03-28,215.3837432861328
2023-03-29,218.287109375
2023-03-30,217.36817932128906
2023-03-31,220.39862060546875
2023-04-03,223.85911560058594
2023-04-04,222.54920959472656
2023-04-05,223.04776000976562
2023-04-06,220.91668701171875
2023-04-10,221.3468017578125
2023-04-11,223.32147216796875
2023-04-12,222.69581604003906
2023-04-13,227.46630859375
2023-04-14,228.76644897460938
2023-04-17,228.238525390625
2023-04-18,228.35586547851562
2023-04-19,227.3489532470703
2023-04-20,229.3334197998047
2023-04-21,228.79576110839844
2023-04-24,227.53469848632812
2023-04-25,224.43588256835938
2023-04-26,223.02821350097656
2023-04-27,223.86888122558594
2023-04-28,227.50535583496094
2023-05-01,227.29029846191406
2023-05-02,221.8844757080078
2023-05-03,220.90689086914062
2023-05-04,220.53541564941406
2023-05-05,226.57669067382812
2023-05-08,227.01661682128906
2023-05-09,228.02346801757812
2023-05-10,226.07818603515625
2023-05-11,226.26426696777344
2023-05-12,226.62664794921875
2023-05-15,228.02728271484375
2023-05-16,225.73533630371094
2023-05-17,227.8705596923828
2023-05-18,228.80105590820312
2023-05-19,228.51699829101562
2023-05-22,226.52871704101562
2023-05-23,219.9663543701172
2023-05-24,217.68423461914062
2023-05-25,218.791015625
2023-05-26,220.3874969482422
2023-05-30,217.0867462158203
2023-05-31,216.48927307128906
2023-06-01,221.846923828125
2023-06-02,224.08985900878906
2023-06-05,222.11135864257812
2023-06-06,223.53158569335938
2023-06-07,220.64218139648438
2023-06-08,218.46778869628906
2023-06-09,218.96730041503906
