Date,GM
2023-01-03,32.77785110473633
2023-01-04,33.62104415893555
2023-01-05,33.92148971557617
2023-01-06,34.80344772338867
2023-01-09,34.813140869140625
2023-01-10,35.966468811035156
2023-01-11,36.65459060668945
2023-01-12,37.14887619018555
2023-01-13,35.38496398925781
2023-01-17,35.48188781738281
2023-01-18,35.31711959838867
2023-01-19,34.628997802734375
2023-01-20,34.26070022583008
2023-01-23,35.31711959838867
2023-01-24,35.08451843261719
2023-01-25,35.2008171081543
2023-01-26,35.35588455200195
2023-01-27,36.78059387207031
2023-01-30,35.1717414855957
2023-01-31,38.10837173461914
2023-02-01,38.0889892578125
2023-02-02,40.221195220947266
2023-02-03,39.86260223388672
2023-02-06,40.06612777709961
2023-02-07,40.12427520751953
2023-02-08,40.289039611816406
2023-02-09,40.34719467163086
2023-02-10,40.07582092285156
2023-02-13,40.72517776489258
2023-02-14,41.12254333496094
2023-02-15,41.62651824951172
2023-02-16,41.77189254760742
2023-02-17,41.8397331237793
2023-02-21,39.86260223388672
2023-02-22,39.6299934387207
2023-02-23,38.04053497314453
2023-02-24,37.972686767578125
2023-02-27,38.09868240356445
2023-02-28,37.54624938964844
2023-03-01,37.52686309814453
2023-03-02,38.401161193847656
2023-03-03,39.838897705078125
2023-03-06,39.29488754272461
2023-03-07,38.60517120361328
2023-03-08,38.62458801269531
2023-03-09,36.739994049072266
2023-03-10,35.477115631103516
2023-03-13,34.73881530761719
2023-03-14,34.58338928222656
2023-03-15,33.34965896606445
2023-03-16,33.62166213989258
2023-03-17,32.426788330078125
2023-03-20,32.6599235534668
2023-03-21,34.09767150878906
2023-03-22,33.07765579223633
2023-03-23,32.7765007019043
2023-03-24,32.74736022949219
2023-03-27,33.466224670410156
2023-03-28,33.2427978515625
2023-03-29,34.6805305480957
2023-03-30,34.962249755859375
2023-03-31,35.63254928588867
2023-04-03,35.234256744384766
2023-04-04,34.71938705444336
2023-04-05,34.087947845458984
2023-04-06,33.60222625732422
2023-04-10,34.709678649902344
2023-04-11,34.39881134033203
2023-04-12,33.631370544433594
2023-04-13,33.54393768310547
2023-04-14,33.50508499145508
2023-04-17,34.13652038574219
2023-04-18,34.321102142333984
2023-04-19,33.59252166748047
2023-04-20,32.58221435546875
2023-04-21,32.591922760009766
2023-04-24,33.31079864501953
2023-04-25,31.970205307006836
2023-04-26,31.299907684326172
2023-04-27,31.78563117980957
2023-04-28,32.096492767333984
2023-05-01,32.523929595947266
2023-05-02,32.135345458984375
2023-05-03,31.552486419677734
2023-05-04,30.785043716430664
2023-05-05,32.310211181640625
2023-05-08,32.69879150390625
2023-05-09,32.32963180541992
2023-05-10,32.135345458984375
2023-05-11,32.1742057800293
2023-05-12,31.474769592285156
2023-05-15,31.44562530517578
2023-05-16,30.639328002929688
2023-05-17,31.513626098632812
2023-05-18,31.96048927307129
2023-05-19,31.72734832763672
2023-05-22,31.921642303466797
2023-05-23,32.46563720703125
2023-05-24,31.35819435119629
2023-05-25,31.48448371887207
2023-05-26,32.33935546875
2023-05-30,32.407352447509766
2023-05-31,31.48448371887207
2023-06-01,32.166385650634766
2023-06-02,33.3938102722168
2023-06-05,33.24769592285156
2023-06-06,34.329002380371094
2023-06-07,35.283668518066406
2023-06-08,34.92322540283203
2023-06-09,35.293399810791016
2023-06-12,35.72203063964844
2023-06-13,36.676692962646484
2023-06-14,36.39419174194336
2023-06-15,37.046871185302734
2023-06-16,36.97868347167969
2023-06-20,36.355220794677734
2023-06-21,36.05324172973633
2023-06-22,35.712284088134766
2023-06-23,35.24470138549805
2023-06-26,35.751258850097656
2023-06-27,36.51108932495117
2023-06-28,37.202735900878906
2023-06-29,37.21247863769531
2023-06-30,37.56317138671875
2023-07-03,37.95283126831055
2023-07-05,38.40093994140625
2023-07-06,38.43990707397461
2023-07-07,38.586029052734375
2023-07-10,38.615257263183594
2023-07-11,38.93671798706055
2023-07-12,39.365352630615234
2023-07-13,39.45301818847656
2023-07-14,38.9659423828125
2023-07-17,37.74825668334961
2023-07-18,38.11843490600586
2023-07-19,38.215843200683594
2023-07-20,38.24507522583008
2023-07-21,37.553428649902344
2023-07-24,38.28403854370117
2023-07-25,36.93971633911133
2023-07-26,37.30015563964844
2023-07-27,37.96257781982422
2023-07-28,37.06635284423828
2023-07-31,37.37807846069336
2023-08-01,37.134544372558594
2023-08-02,36.42341613769531
2023-08-03,35.9655647277832
2023-08-04,35.62461853027344
2023-08-07,36.13117218017578
2023-08-08,35.887638092041016
2023-08-09,35.322628021240234
2023-08-10,33.276920318603516
2023-08-11,33.013893127441406
2023-08-14,33.18924331665039
2023-08-15,32.43914794921875
2023-08-16,31.9715576171875
2023-08-17,32.068965911865234
2023-08-18,32.263797760009766
2023-08-21,32.40992736816406
2023-08-22,32.07872009277344
