Date,LOW
2023-01-03,186.72727966308594
2023-01-04,188.93190002441406
2023-01-05,188.35031127929688
2023-01-06,188.5378875732422
2023-01-09,187.10255432128906
2023-01-10,188.94131469726562
2023-01-11,195.6865234375
2023-01-12,197.2532196044922
2023-01-13,199.0356903076172
2023-01-17,196.55899047851562
2023-01-18,195.6020965576172
2023-01-19,189.6261444091797
2023-01-20,191.877685546875
2023-01-23,192.42178344726562
2023-01-24,194.63775634765625
2023-01-25,194.35488891601562
2023-01-26,190.3001251220703
2023-01-27,190.94134521484375
2023-01-30,190.3944549560547
2023-01-31,196.37281799316406
2023-02-01,201.3799591064453
2023-02-02,208.92372131347656
2023-02-03,203.6525115966797
2023-02-06,203.5582275390625
2023-02-07,202.4832305908203
2023-02-08,200.62562561035156
2023-02-09,196.74057006835938
2023-02-10,196.87261962890625
2023-02-13,201.92689514160156
2023-02-14,201.56858825683594
2023-02-15,202.7661590576172
2023-02-16,201.80429077148438
2023-02-17,200.61618041992188
2023-02-21,190.3378448486328
2023-02-22,191.0733642578125
2023-02-23,190.67733764648438
2023-02-24,190.04550170898438
2023-02-27,192.591552734375
2023-02-28,194.01541137695312
2023-03-01,183.22789001464844
2023-03-02,183.97280883789062
2023-03-03,188.3387451171875
2023-03-06,190.07379150390625
2023-03-07,186.1510467529297
2023-03-08,189.66831970214844
2023-03-09,187.69754028320312
2023-03-10,185.44384765625
2023-03-13,186.2830810546875
2023-03-14,185.60415649414062
2023-03-15,187.26376342773438
2023-03-16,188.28216552734375
2023-03-17,186.10391235351562
2023-03-20,185.56642150878906
2023-03-21,185.56642150878906
2023-03-22,180.6441192626953
2023-03-23,178.87136840820312
2023-03-24,178.6544952392578
2023-03-27,179.66342163085938
2023-03-28,179.3051300048828
2023-03-29,180.99302673339844
2023-03-30,181.6625518798828
2023-03-31,188.56507873535156
2023-04-03,192.35581970214844
2023-04-04,191.4222412109375
2023-04-05,188.0558319091797
2023-04-06,187.24488830566406
2023-04-10,188.3859100341797
2023-04-11,189.85693359375
2023-04-12,188.37648010253906
2023-04-13,189.9795379638672
2023-04-14,190.6490020751953
2023-04-17,193.30821228027344
2023-04-18,196.23138427734375
2023-04-19,196.9197235107422
2023-04-20,197.7967071533203
2023-04-21,199.0037078857422
2023-04-24,199.0037078857422
2023-04-25,195.10874938964844
2023-04-26,190.2945098876953
2023-04-27,193.82936096191406
2023-04-28,196.95669555664062
2023-05-01,197.3262939453125
2023-05-02,195.19403076171875
2023-05-03,194.5685577392578
2023-05-04,192.1898956298828
2023-05-05,195.0424041748047
2023-05-08,193.37448120117188
2023-05-09,196.2838592529297
2023-05-10,193.63034057617188
2023-05-11,192.66372680664062
2023-05-12,192.6258087158203
2023-05-15,191.00531005859375
2023-05-16,188.7971954345703
2023-05-17,196.35968017578125
2023-05-18,198.21714782714844
2023-05-19,195.47833251953125
2023-05-22,192.5215301513672
2023-05-23,195.8384552001953
2023-05-24,192.97645568847656
2023-05-25,190.52197265625
2023-05-26,195.7152557373047
2023-05-30,194.93814086914062
2023-05-31,190.6072540283203
2023-06-01,193.25128173828125
2023-06-02,198.83311462402344
2023-06-05,195.96165466308594
2023-06-06,196.32177734375
2023-06-07,200.15989685058594
2023-06-08,199.44915771484375
2023-06-09,198.17921447753906
2023-06-12,202.19741821289062
2023-06-13,205.97865295410156
2023-06-14,203.61892700195312
2023-06-15,207.4759979248047
2023-06-16,205.72280883789062
2023-06-20,204.18753051757812
2023-06-21,203.0408477783203
2023-06-22,203.5810089111328
2023-06-23,203.96009826660156
2023-06-26,206.5567626953125
2023-06-27,211.86375427246094
2023-06-28,210.87814331054688
2023-06-29,211.1624755859375
2023-06-30,213.89178466796875
2023-07-03,212.83984375
2023-07-05,213.6927947998047
2023-07-06,209.83570861816406
2023-07-07,210.32852172851562
2023-07-10,217.1328582763672
2023-07-11,217.4266357421875
2023-07-12,219.96644592285156
2023-07-13,217.53086853027344
2023-07-14,216.7727508544922
2023-07-17,216.04302978515625
2023-07-18,217.88156127929688
2023-07-19,218.8102569580078
2023-07-20,218.90501403808594
2023-07-21,221.54905700683594
2023-07-24,221.757568359375
2023-07-25,222.747802734375
2023-07-26,222.87156677246094
2023-07-27,223.66184997558594
2023-07-28,223.8427734375
2023-07-31,223.06202697753906
2023-08-01,221.23388671875
2023-08-02,218.51071166992188
2023-08-03,215.87319946289062
2023-08-04,212.4454345703125
2023-08-07,212.61683654785156
2023-08-08,210.34117126464844
2023-08-09,209.13194274902344
2023-08-10,210.2935791015625
2023-08-11,212.98817443847656
2023-08-14,215.08291625976562
2023-08-15,213.13101196289062
2023-08-16,211.52183532714844
2023-08-17,207.71319580078125
2023-08-18,208.85581970214844
2023-08-21,207.1800079345703
2023-08-22,214.94009399414062
2023-08-23,216.32073974609375
2023-08-24,212.30258178710938
2023-08-25,212.39785766601562
2023-08-28,212.06459045410156
2023-08-29,215.5780487060547
2023-08-30,219.29147338867188
2023-08-31,219.45333862304688
2023-09-01,221.3861846923828
2023-09-05,219.40573120117188
2023-09-06,218.6249542236328
2023-09-07,222.43356323242188
2023-09-08,220.22459411621094
2023-09-11,220.81491088867188
2023-09-12,219.4152374267578
2023-09-13,217.87274169921875
2023-09-14,219.82467651367188
2023-09-15,209.49374389648438
2023-09-18,207.30380249023438
2023-09-19,207.0943145751953
2023-09-20,204.62823486328125
2023-09-21,200.53395080566406
2023-09-22,200.41970825195312
2023-09-25,202.3335418701172
2023-09-26,198.56297302246094
2023-09-27,197.05857849121094
2023-09-28,197.83935546875
2023-09-29,197.896484375
2023-10-02,195.89694213867188
2023-10-03,190.58392333984375
2023-10-04,190.04116821289062
2023-10-05,190.2411346435547
2023-10-06,189.99356079101562
2023-10-09,191.13616943359375
2023-10-10,193.0500030517578
2023-10-11,193.5641632080078
2023-10-12,187.47988891601562
2023-10-13,186.38490295410156
2023-10-16,188.76528930664062
2023-10-17,188.67007446289062
2023-10-18,184.20443725585938
2023-10-19,181.34800720214844
2023-10-20,181.3860626220703
2023-10-23,179.3674774169922
2023-10-24,178.37142944335938
2023-10-25,178.22775268554688
2023-10-26,176.92523193359375
2023-10-27,175.86212158203125
2023-10-30,179.78890991210938
2023-10-31,182.51846313476562
2023-11-01,183.2080535888672
2023-11-02,186.11007690429688
2023-11-03,186.70387268066406
2023-11-06,186.0238494873047
2023-11-07,186.35906982421875
2023-11-08,186.45481872558594
2023-11-09,182.44187927246094
2023-11-10,186.3782501220703
2023-11-13,185.65032958984375
2023-11-14,193.69541931152344
2023-11-15,196.19517517089844
2023-11-16,193.73374938964844
2023-11-17,195.09375
2023-11-20,195.80250549316406
2023-11-21,189.69204711914062
2023-11-22,190.09425354003906
2023-11-24,190.65936279296875
2023-11-27,191.37770080566406
2023-11-28,191.59796142578125
2023-11-29,191.4734344482422
2023-11-30,190.42950439453125
2023-12-01,195.3044891357422
2023-12-04,198.7810821533203
2023-12-05,197.21995544433594
2023-12-06,199.88250732421875
2023-12-07,199.49940490722656
2023-12-08,199.0492401123047
2023-12-11,197.62220764160156
2023-12-12,199.88250732421875
2023-12-13,206.3472900390625
2023-12-14,216.01101684570312
2023-12-15,216.0588836669922
2023-12-18,214.5935516357422
2023-12-19,215.89605712890625
2023-12-20,212.63014221191406
2023-12-21,214.1051025390625
2023-12-22,213.5783233642578
2023-12-26,213.4059600830078
2023-12-27,213.47296142578125
2023-12-28,213.48255920410156
2023-12-29,213.1473388671875
2024-01-02,209.412109375
2024-01-03,203.3016815185547
2024-01-04,202.2960205078125
2024-01-05,203.53152465820312
2024-01-08,207.96591186523438
2024-01-09,207.84140014648438
2024-01-10,210.90621948242188
2024-01-11,210.8583221435547
2024-01-12,209.66114807128906
2024-01-16,211.11691284179688
2024-01-17,208.83746337890625
2024-01-18,209.00985717773438
2024-01-19,210.71463012695312
2024-01-22,210.5709991455078
2024-01-23,206.4416046142578
2024-01-24,202.66831970214844
2024-01-25,204.1410369873047
2024-01-26,204.04478454589844
