Date,F
2023-01-03,9.098682403564453
2023-01-04,9.355749130249023
2023-01-05,9.542707443237305
2023-01-06,9.799778938293457
2023-01-09,9.885467529296875
2023-01-10,10.002318382263184
2023-01-11,10.298337936401367
2023-01-12,10.461925506591797
2023-01-13,9.90884017944336
2023-01-17,9.869889259338379
2023-01-18,9.667348861694336
2023-01-19,9.488179206848145
2023-01-20,9.65955924987793
2023-01-23,9.971158027648926
2023-01-24,9.924419403076172
2023-01-25,9.963369369506836
2023-01-26,10.064638137817383
2023-01-27,10.337285995483398
2023-01-30,10.041268348693848
2023-01-31,10.524246215820312
2023-02-01,10.742365837097168
2023-02-02,11.155230522155762
2023-02-03,10.306124687194824
2023-02-06,10.236016273498535
2023-02-07,10.477507591247559
2023-02-08,10.45413589477539
2023-02-09,10.508666038513184
2023-02-10,10.541790008544922
2023-02-13,10.839908599853516
2023-02-14,10.7405366897583
2023-02-15,10.70741081237793
2023-02-16,10.690848350524902
2023-02-17,10.674286842346191
2023-02-21,10.102892875671387
2023-02-22,10.111174583435059
2023-02-23,9.9952392578125
2023-02-24,9.837900161743164
2023-02-27,9.986959457397461
2023-02-28,9.9952392578125
2023-03-01,10.202265739440918
2023-03-02,10.392731666564941
2023-03-03,10.831625938415527
2023-03-06,10.748815536499023
2023-03-07,10.624600410461426
2023-03-08,10.748815536499023
2023-03-09,10.309920310974121
2023-03-10,10.0200834274292
2023-03-13,9.962115287780762
2023-03-14,9.879302978515625
2023-03-15,9.697122573852539
2023-03-16,9.788212776184082
2023-03-17,9.357597351074219
2023-03-20,9.258225440979004
2023-03-21,9.705404281616211
2023-03-22,9.5066556930542
2023-03-23,9.456971168518066
2023-03-24,9.531500816345215
2023-03-27,9.53978157043457
2023-03-28,9.60603141784668
2023-03-29,9.978677749633789
2023-03-30,10.177424430847168
2023-03-31,10.434136390686035
2023-04-03,10.500385284423828
2023-04-04,10.5335111618042
2023-04-05,10.293357849121094
2023-04-06,10.21054744720459
2023-04-10,10.5335111618042
2023-04-11,10.657723426818848
2023-04-12,10.492104530334473
2023-04-13,10.31820011138916
2023-04-14,10.367888450622559
2023-04-17,10.500385284423828
2023-04-18,10.541790008544922
2023-04-19,10.119457244873047
2023-04-20,9.829619407653809
2023-04-21,9.779932975769043
2023-04-24,10.069767951965332
2023-04-25,9.868542671203613
2023-04-26,9.675699234008789
2023-04-27,9.734390258789062
2023-04-28,9.960769653320312
2023-05-01,10.111692428588867
2023-05-02,9.893694877624512
2023-05-03,9.885310173034668
2023-05-04,9.692466735839844
2023-05-05,10.053000450134277
2023-05-08,10.078153610229492
2023-05-09,9.944003105163574
2023-05-10,9.969156265258789
2023-05-11,9.952385902404785
2023-05-12,9.784696578979492
2023-05-15,9.759544372558594
2023-05-16,9.432546615600586
2023-05-17,9.64216136932373
2023-05-18,9.759544372558594
2023-05-19,9.767927169799805
2023-05-22,9.75115966796875
2023-05-23,9.835003852844238
2023-05-24,9.499622344970703
2023-05-25,9.541547775268555
2023-05-26,10.136844635009766
2023-05-30,10.556069374084473
2023-05-31,10.061384201049805
2023-06-01,10.153614044189453
2023-06-02,10.38838005065918
2023-06-05,10.556069374084473
2023-06-06,10.841141700744629
2023-06-07,11.394518852233887
2023-06-08,11.386133193969727
2023-06-09,11.520285606384277
2023-06-12,11.553823471069336
2023-06-13,11.847280502319336
2023-06-14,11.905972480773926
2023-06-15,12.115585327148438
2023-06-16,12.090431213378906
2023-06-20,11.922741889953613
2023-06-21,11.755051612854004
2023-06-22,11.897587776184082
2023-06-23,11.755051612854004
2023-06-26,11.830512046813965
2023-06-27,12.082045555114746
2023-06-28,12.400659561157227
2023-06-29,12.534808158874512
2023-06-30,12.68572998046875
2023-07-03,12.777959823608398
2023-07-05,12.870189666748047
2023-07-06,12.559962272644043
2023-07-07,12.559962272644043
2023-07-10,12.635422706604004
2023-07-11,12.769573211669922
2023-07-12,12.761189460754395
2023-07-13,12.736035346984863
2023-07-14,12.559962272644043
2023-07-17,11.813742637634277
2023-07-18,11.880819320678711
2023-07-19,11.822128295898438
2023-07-20,11.763435363769531
2023-07-21,11.67959213256836
2023-07-24,11.832155227661133
2023-07-25,11.510075569152832
2023-07-26,11.586357116699219
2023-07-27,11.637211799621582
2023-07-28,11.238852500915527
2023-07-31,11.196473121643066
2023-08-01,11.37446403503418
2023-08-02,11.052383422851562
2023-08-03,11.103240013122559
2023-08-04,10.925249099731445
2023-08-07,10.967625617980957
2023-08-08,10.916772842407227
2023-08-09,10.789636611938477
2023-08-10,10.306517601013184
2023-08-11,10.289567947387695
2023-08-14,10.340420722961426
2023-08-15,10.15395450592041
2023-08-16,10.009867668151855
2023-08-17,10.026819229125977
2023-08-18,10.137002944946289
2023-08-21,10.145479202270508
2023-08-22,10.060721397399902
2023-08-23,10.137002944946289
2023-08-24,9.959012031555176
2023-08-25,10.094625473022461
2023-08-28,10.086148262023926
2023-08-29,10.213285446166992
2023-08-30,10.196333885192871
2023-08-31,10.281091690063477
2023-09-01,10.289567947387695
2023-09-05,10.247186660766602
2023-09-06,10.230236053466797
2023-09-07,10.137002944946289
2023-09-08,10.425180435180664
2023-09-11,10.35737419128418
2023-09-12,10.552314758300781
2023-09-13,10.71335506439209
2023-09-14,10.696402549743652
2023-09-15,10.68792724609375
2023-09-18,10.459081649780273
2023-09-19,10.645549774169922
2023-09-20,10.476033210754395
2023-09-21,10.340420722961426
2023-09-22,10.53536319732666
2023-09-25,10.662500381469727
2023-09-26,10.53536319732666
2023-09-27,10.50146198272705
2023-09-28,10.645549774169922
2023-09-29,10.526886940002441
2023-10-02,10.43365478515625
2023-10-03,10.230236053466797
2023-10-04,10.162429809570312
2023-10-05,10.086148262023926
2023-10-06,10.170907020568848
2023-10-09,10.230236053466797
2023-10-10,10.340420722961426
2023-10-11,10.382800102233887
2023-10-12,10.170907020568848
2023-10-13,10.009867668151855
2023-10-16,10.111576080322266
2023-10-17,10.204809188842773
2023-10-18,9.959012031555176
2023-10-19,9.772544860839844
2023-10-20,9.865778923034668
2023-10-23,9.7301664352417
2023-10-24,9.653884887695312
2023-10-25,9.781023025512695
2023-10-26,9.619982719421387
2023-10-27,8.441851615905762
2023-10-30,8.28081226348877
2023-10-31,8.392716407775879
2023-11-01,8.53044319152832
2023-11-02,8.728425025939941
2023-11-03,9.089957237243652
2023-11-06,8.87475872039795
2023-11-07,8.75424861907959
2023-11-08,8.65095329284668
2023-11-09,8.349676132202148
2023-11-10,8.487401962280273
2023-11-13,8.452970504760742
2023-11-14,8.952231407165527
2023-11-15,9.01248550415039
2023-11-16,8.745640754699707
2023-11-17,8.840328216552734
2023-11-20,8.900582313537598
2023-11-21,8.771464347839355
2023-11-22,8.831719398498535
2023-11-24,8.952231407165527
2023-11-27,8.900582313537598
2023-11-28,8.926406860351562
2023-11-29,9.115781784057617
2023-11-30,8.831719398498535
2023-12-01,9.107172012329102
2023-12-04,9.210466384887695
2023-12-05,9.1243896484375
2023-12-06,9.201860427856445
2023-12-07,9.313762664794922
2023-12-08,9.477313041687012
2023-12-11,9.528961181640625
2023-12-12,9.606431007385254
2023-12-13,9.675293922424316
2023-12-14,10.398360252380371
2023-12-15,10.346713066101074
2023-12-18,10.269240379333496
2023-12-19,10.346713066101074
2023-12-20,10.157339096069336
2023-12-21,10.622166633605957
2023-12-22,10.630772590637207
2023-12-26,10.716853141784668
2023-12-27,10.665205955505371
2023-12-28,10.622166633605957
2023-12-29,10.493045806884766
2024-01-02,10.467223167419434
2024-01-03,10.07986831665039
2024-01-04,10.054044723510742
2024-01-05,10.200377464294434
2024-01-08,10.303672790527344
2024-01-09,10.19176959991455
2024-01-10,10.183162689208984
2024-01-11,10.07986831665039
2024-01-12,9.864670753479004
2024-01-16,9.864670753479004
2024-01-17,9.701119422912598
2024-01-18,9.46009635925293
2024-01-19,9.640863418579102
2024-01-22,9.640863418579102
2024-01-23,9.787198066711426
2024-01-24,9.494527816772461
2024-01-25,9.761375427246094
2024-01-26,9.804413795471191
2024-01-29,9.94214153289795
2024-01-30,10.140122413635254
2024-01-31,10.08847427368164
2024-02-01,10.415575981140137
2024-02-02,10.450008392333984
