Date,XOM
2023-01-03,95.43421173095703
2023-01-04,95.71197509765625
2023-01-05,97.85343170166016
2023-01-06,99.03616333007812
2023-01-09,97.19038391113281
2023-01-10,98.64192199707031
2023-01-11,99.78882598876953
2023-01-12,101.44644927978516
2023-01-13,101.38373565673828
2023-01-17,101.18660736083984
2023-01-18,99.10785675048828
2023-01-19,99.74402618408203
2023-01-20,101.56293487548828
2023-01-23,101.03426361083984
2023-01-24,101.97509765625
2023-01-25,101.43748474121094
2023-01-26,105.51434326171875
2023-01-27,103.5879135131836
2023-01-30,101.7510757446289
2023-01-31,103.9463119506836
2023-02-01,102.80838012695312
2023-02-02,99.5916976928711
2023-02-03,100.2816162109375
2023-02-06,100.11139678955078
2023-02-07,102.96965789794922
2023-02-08,102.07365417480469
2023-02-09,102.45893859863281
2023-02-10,106.7777099609375
2023-02-13,106.36238098144531
2023-02-14,105.11634826660156
2023-02-15,104.80033874511719
2023-02-16,104.49335479736328
2023-02-17,100.47541046142578
2023-02-21,100.37608337402344
2023-02-22,99.075927734375
2023-02-23,99.98785400390625
2023-02-24,99.99687194824219
2023-02-27,99.81629943847656
2023-02-28,99.23844146728516
2023-03-01,100.12329864501953
2023-03-02,100.58377075195312
2023-03-03,101.85687255859375
2023-03-06,102.75977325439453
2023-03-07,100.77338409423828
2023-03-08,99.30164337158203
2023-03-09,98.5341567993164
2023-03-10,97.31525421142578
2023-03-13,96.19564056396484
2023-03-14,96.55680847167969
2023-03-15,91.75334167480469
2023-03-16,91.22062683105469
2023-03-17,90.14616394042969
2023-03-20,92.50275421142578
2023-03-21,96.6470947265625
2023-03-22,94.4349594116211
2023-03-23,93.36955261230469
2023-03-24,93.47789764404297
2023-03-27,95.52749633789062
2023-03-28,96.7193374633789
2023-03-29,98.38067626953125
2023-03-30,98.85920715332031
2023-03-31,99.01271057128906
2023-04-03,104.85450744628906
2023-04-04,103.852294921875
2023-04-05,105.63101959228516
2023-04-06,103.87937927246094
2023-04-10,103.41889953613281
2023-04-11,104.1502456665039
2023-04-12,104.04190063476562
2023-04-13,104.52946472167969
2023-04-14,104.78228759765625
2023-04-17,103.56336212158203
2023-04-18,105.58588409423828
2023-04-19,105.25179290771484
2023-04-20,104.4120864868164
2023-04-21,104.74617767333984
2023-04-24,106.72354125976562
2023-04-25,105.20665740966797
2023-04-26,104.24053955078125
2023-04-27,105.48655700683594
2023-04-28,106.84993743896484
2023-05-01,103.53626251220703
2023-05-02,99.40999603271484
2023-05-03,97.45069122314453
2023-05-04,95.74419403076172
2023-05-05,98.12787628173828
2023-05-08,98.51612091064453
2023-05-09,98.54320526123047
2023-05-10,97.27913665771484
2023-05-11,95.51846313476562
2023-05-12,95.50945281982422
2023-05-15,95.69158935546875
2023-05-16,93.36918640136719
2023-05-17,95.46391296386719
2023-05-18,96.32909393310547
2023-05-19,96.7753677368164
2023-05-22,95.60050964355469
2023-05-23,96.90286254882812
2023-05-24,97.98663330078125
2023-05-25,96.22891998291016
2023-05-26,95.60050964355469
2023-05-30,94.75350952148438
2023-05-31,93.05953979492188
2023-06-01,94.13422393798828
2023-06-02,96.31998443603516
2023-06-05,95.89193725585938
2023-06-06,96.67518615722656
2023-06-07,98.8427505493164
2023-06-08,98.53309631347656
2023-06-09,97.80451202392578
2023-06-12,96.92107391357422
2023-06-13,96.93930053710938
2023-06-14,95.7735595703125
2023-06-15,96.4383773803711
2023-06-16,95.7462158203125
2023-06-20,93.55133056640625
2023-06-21,94.59870147705078
2023-06-22,94.0795669555664
2023-06-23,93.25989532470703
2023-06-26,94.98119354248047
2023-06-27,95.21800994873047
2023-06-28,95.99213409423828
2023-06-29,97.17609405517578
2023-06-30,97.67699432373047
2023-07-03,97.8682632446289
2023-07-05,97.36737060546875
2023-07-06,93.7334976196289
2023-07-07,93.95207214355469
2023-07-10,95.34550476074219
2023-07-11,96.5112533569336
2023-07-12,96.98483276367188
2023-07-13,95.2088851928711
2023-07-14,91.93022918701172
2023-07-17,92.3309555053711
2023-07-18,91.91200256347656
2023-07-19,92.54953002929688
2023-07-20,94.17975616455078
2023-07-21,94.61690521240234
2023-07-24,96.10140991210938
2023-07-25,96.24713134765625
2023-07-26,95.70978546142578
2023-07-27,96.01034545898438
2023-07-28,94.86280822753906
2023-07-31,97.66788482666016
2023-08-01,97.10321044921875
2023-08-02,95.89193725585938
2023-08-03,97.55860137939453
2023-08-04,97.83181762695312
2023-08-07,97.63146209716797
2023-08-08,98.11416625976562
2023-08-09,99.78080749511719
2023-08-10,100.29081726074219
2023-08-11,101.84820556640625
2023-08-14,101.93016815185547
2023-08-15,99.31327819824219
2023-08-16,97.64212799072266
2023-08-17,99.53363037109375
2023-08-18,101.03948974609375
2023-08-21,99.81828308105469
2023-08-22,99.2581787109375
2023-08-23,98.3858871459961
2023-08-24,97.65130615234375
2023-08-25,99.3958969116211
2023-08-28,100.23148345947266
2023-08-29,100.82831573486328
2023-08-30,101.81079864501953
2023-08-31,102.0954360961914
2023-09-01,104.23485565185547
2023-09-05,104.24403381347656
2023-09-06,105.1438980102539
2023-09-07,104.62968444824219
2023-09-08,106.1539077758789
2023-09-11,104.822509765625
2023-09-12,107.88014221191406
2023-09-13,106.91602325439453
2023-09-14,108.82589721679688
2023-09-15,107.15474700927734
2023-09-18,108.01786804199219
2023-09-19,107.73323059082031
2023-09-20,106.8792953491211
2023-09-21,105.37344360351562
2023-09-22,105.53870391845703
2023-09-25,106.72319793701172
2023-09-26,106.88848114013672
2023-09-27,110.36847686767578
2023-09-28,109.69818878173828
2023-09-29,107.96277618408203
2023-10-02,106.17225646972656
2023-10-03,106.35592651367188
2023-10-04,102.38007354736328
2023-10-05,100.07537841796875
2023-10-06,98.40423583984375
2023-10-09,101.84751892089844
2023-10-10,101.41596221923828
2023-10-11,97.77986145019531
2023-10-12,97.76150512695312
2023-10-13,100.88341522216797
2023-10-16,100.95684814453125
2023-10-17,102.2790756225586
2023-10-18,103.71147918701172
2023-10-19,103.77577209472656
2023-10-20,101.99442291259766
2023-10-23,100.49774932861328
2023-10-24,99.52445983886719
2023-10-25,99.70809173583984
2023-10-26,98.799072265625
2023-10-27,96.916748046875
2023-10-30,97.21975708007812
2023-10-31,97.19219970703125
2023-11-01,96.99938201904297
2023-11-02,100.1855697631836
2023-11-03,98.96435546875
2023-11-06,97.21057891845703
2023-11-07,95.68634796142578
2023-11-08,94.51103973388672
2023-11-09,94.53858947753906
2023-11-10,95.26397705078125
2023-11-13,96.26481628417969
2023-11-14,96.63545989990234
2023-11-15,96.05169677734375
2023-11-16,94.93977355957031
2023-11-17,97.25628662109375
2023-11-20,96.83004760742188
2023-11-21,96.79298400878906
2023-11-22,96.37602233886719
2023-11-24,96.89492797851562
2023-11-27,96.3296890258789
2023-11-28,96.27409362792969
2023-11-29,94.82858276367188
2023-11-30,95.19922637939453
2023-12-01,95.4308853149414
2023-12-04,94.91197204589844
2023-12-05,93.06803894042969
2023-12-06,91.83566284179688
2023-12-07,91.1963119506836
2023-12-08,92.24337005615234
2023-12-11,92.3082275390625
2023-12-12,90.85346221923828
2023-12-13,91.65959167480469
2023-12-14,94.12435913085938
2023-12-15,93.4942855834961
2023-12-18,94.1892318725586
2023-12-19,95.4308853149414
2023-12-20,93.83712005615234
2023-12-21,94.26336669921875
2023-12-22,94.43016052246094
2023-12-26,94.64327239990234
2023-12-27,94.19849395751953
2023-12-28,92.83639526367188
2023-12-29,92.6418228149414
2024-01-02,94.84712219238281
2024-01-03,95.64400482177734
2024-01-04,94.81005859375
2024-01-05,95.09730529785156
2024-01-08,93.51280975341797
2024-01-09,92.35455322265625
2024-01-10,91.44649505615234
2024-01-11,91.4279556274414
2024-01-12,92.61399841308594
2024-01-16,90.51988983154297
2024-01-17,89.86199188232422
2024-01-18,89.69522094726562
2024-01-19,89.83418273925781
2024-01-22,89.71372985839844
2024-01-23,90.72374725341797
2024-01-24,92.2896957397461
2024-01-25,94.63399505615234
2024-01-26,95.44014739990234
2024-01-29,95.56060791015625
2024-01-30,97.15436553955078
2024-01-31,95.26408386230469
2024-02-01,94.87490844726562
2024-02-02,94.48574829101562
2024-02-05,94.09657287597656
2024-02-06,94.74519348144531
2024-02-07,94.71739959716797
2024-02-08,96.3389663696289
2024-02-09,94.3004150390625
2024-02-12,95.59766387939453
2024-02-13,94.77466583251953
2024-02-14,94.30706024169922
2024-02-15,97.00984954833984
2024-02-16,97.00984954833984
2024-02-20,96.09333801269531
2024-02-21,98.05728149414062
2024-02-22,97.97311401367188
2024-02-23,97.11270904541016
2024-02-26,97.49615478515625
2024-02-27,97.2904052734375
2024-02-28,97.56161499023438
2024-02-29,97.74866485595703
2024-03-01,98.98314666748047
2024-03-04,97.59903717041016
2024-03-05,98.79608917236328
2024-03-06,99.85289001464844
2024-03-07,100.41403198242188
2024-03-08,101.35857391357422
2024-03-11,101.95712280273438
2024-03-12,101.302490234375
2024-03-13,102.43408203125
2024-03-14,104.2484130859375
2024-03-15,104.06135559082031
2024-03-18,105.02464294433594
2024-03-19,105.7634506225586
2024-03-20,105.66993713378906
2024-03-21,106.13753509521484
2024-03-22,106.13753509521484
2024-03-25,107.2223892211914
2024-03-26,106.41810607910156
2024-03-27,107.52165985107422
2024-03-28,108.70938110351562
2024-04-01,109.4107894897461
2024-04-02,111.55244445800781
2024-04-03,111.5711441040039
2024-04-04,111.96392822265625
2024-04-05,113.50704193115234
2024-04-08,112.74015808105469
2024-04-09,113.329345703125
2024-04-10,114.28325653076172
2024-04-11,113.89982604980469
2024-04-12,112.57182312011719
2024-04-15,111.92652130126953
2024-04-16,111.00066375732422
2024-04-17,110.94454956054688
2024-04-18,110.84165954589844
2024-04-19,112.11356353759766
2024-04-22,112.74950408935547
2024-04-23,113.18905639648438
2024-04-24,113.20777130126953
2024-04-25,113.46961975097656
2024-04-26,110.31794738769531
2024-04-29,111.88910675048828
2024-04-30,110.60786437988281
2024-05-01,108.51297760009766
2024-05-02,108.70938110351562
2024-05-03,108.48492431640625
2024-05-06,109.18633270263672
2024-05-07,108.64390563964844
2024-05-08,108.62520599365234
2024-05-09,110.76685333251953
2024-05-10,110.31794738769531
2024-05-13,110.27118682861328
2024-05-14,110.94058227539062
2024-05-15,111.79854583740234
2024-05-16,111.12914276123047
2024-05-17,112.79792022705078
2024-05-20,111.88339233398438
2024-05-21,111.11028289794922
2024-05-22,108.8758316040039
2024-05-23,107.01849365234375
2024-05-24,106.93363189697266
2024-05-28,108.29129028320312
2024-05-29,107.13162994384766
2024-05-30,107.47103118896484
2024-05-31,110.55403900146484
2024-06-03,107.90473937988281
2024-06-04,106.22652435302734
2024-06-05,106.65080261230469
2024-06-06,107.45218658447266
2024-06-07,106.30195617675781
2024-06-10,106.61307525634766
2024-06-11,105.755126953125
2024-06-12,104.58604431152344
2024-06-13,103.74694061279297
2024-06-14,102.8701171875
2024-06-17,102.16301727294922
2024-06-18,103.12467956542969
2024-06-20,105.34971618652344
2024-06-21,104.4257583618164
2024-06-24,107.52762603759766
