Date,GD
2023-01-03,232.32421875
2023-01-04,229.16552734375
2023-01-05,228.6047821044922
2023-01-06,231.9971160888672
2023-01-09,229.1561737060547
2023-01-10,231.33363342285156
2023-01-11,232.40830993652344
2023-01-12,231.483154296875
2023-01-13,224.5582733154297
2023-01-17,225.35260009765625
2023-01-18,221.4836883544922
2023-01-19,217.5470733642578
2023-01-20,218.71206665039062
2023-01-23,218.39263916015625
2023-01-24,221.21121215820312
2023-01-25,213.15951538085938
2023-01-26,214.3151092529297
2023-01-27,213.7326202392578
2023-01-30,214.27752685546875
2023-01-31,218.9657440185547
2023-02-01,216.5135955810547
2023-02-02,217.41555786132812
2023-02-03,217.5376739501953
2023-02-06,218.29867553710938
2023-02-07,217.93228149414062
2023-02-08,215.26402282714844
2023-02-09,214.8318328857422
2023-02-10,219.11605834960938
2023-02-13,218.796630859375
2023-02-14,218.03562927246094
2023-02-15,218.41143798828125
2023-02-16,217.31219482421875
2023-02-17,221.03269958496094
2023-02-21,219.39794921875
2023-02-22,219.52005004882812
2023-02-23,217.37796020507812
2023-02-24,217.92288208007812
2023-02-27,216.67327880859375
2023-02-28,214.12718200683594
2023-03-01,213.92047119140625
2023-03-02,216.32571411132812
2023-03-03,217.0679168701172
2023-03-06,218.5335693359375
2023-03-07,216.08143615722656
2023-03-08,213.32861328125
2023-03-09,209.39198303222656
2023-03-10,207.5692901611328
2023-03-13,205.5587158203125
2023-03-14,206.53582763671875
2023-03-15,203.64208984375
2023-03-16,206.74253845214844
2023-03-17,204.9573974609375
2023-03-20,206.61099243164062
2023-03-21,208.92222595214844
2023-03-22,205.97210693359375
2023-03-23,206.7989044189453
2023-03-24,209.98390197753906
2023-03-27,211.42135620117188
2023-03-28,211.86294555664062
2023-03-29,213.08432006835938
2023-03-30,212.79306030273438
2023-03-31,214.40904235839844
2023-04-03,218.30807495117188
2023-04-04,215.45191955566406
2023-04-05,215.1324920654297
2023-04-06,213.9392852783203
2023-04-10,215.19822692871094
2023-04-11,214.46539306640625
2023-04-12,215.37677001953125
2023-04-13,216.1800079345703
2023-04-14,215.159423828125
2023-04-17,216.83203125
2023-04-18,217.3044891357422
2023-04-19,216.2083282470703
2023-04-20,214.99879455566406
2023-04-21,212.6363525390625
2023-04-24,212.14498901367188
2023-04-25,210.48182678222656
2023-04-26,203.00714111328125
2023-04-27,203.81980895996094
2023-04-28,206.323974609375
2023-05-01,206.1255340576172
2023-05-02,201.28729248046875
2023-05-03,198.452392578125
2023-05-04,197.35626220703125
2023-05-05,200.2572784423828
2023-05-08,199.11390686035156
2023-05-09,199.576904296875
2023-05-10,199.8887176513672
2023-05-11,196.6002960205078
2023-05-12,198.40516662597656
2023-05-15,198.64141845703125
2023-05-16,196.16558837890625
2023-05-17,199.69032287597656
2023-05-18,199.32177734375
2023-05-19,199.0571746826172
2023-05-22,200.82427978515625
2023-05-23,195.56080627441406
2023-05-24,195.1639404296875
2023-05-25,193.10391235351562
2023-05-26,193.95436096191406
2023-05-30,193.9449462890625
2023-05-31,192.94325256347656
2023-06-01,194.02999877929688
2023-06-02,197.58302307128906
2023-06-05,197.7342529296875
2023-06-06,199.20835876464844
2023-06-07,202.39291381835938
2023-06-08,201.78811645507812
2023-06-09,200.58804321289062
2023-06-12,201.343994140625
2023-06-13,202.0432586669922
2023-06-14,200.46519470214844
2023-06-15,203.13002014160156
2023-06-16,205.37899780273438
2023-06-20,203.63082885742188
2023-06-21,205.5585479736328
2023-06-22,202.6480712890625
2023-06-23,200.70143127441406
2023-06-26,200.41795349121094
2023-06-27,200.3895721435547
2023-06-28,199.38792419433594
2023-06-29,202.51576232910156
2023-06-30,203.30953979492188
2023-07-03,203.9048614501953
2023-07-05,203.34732055664062
2023-07-06,203.73716735839844
2023-07-07,203.61354064941406
2023-07-10,204.11746215820312
2023-07-11,206.4944610595703
2023-07-12,206.9033203125
2023-07-13,206.2853240966797
2023-07-14,204.7259979248047
2023-07-17,205.72433471679688
2023-07-18,203.01455688476562
2023-07-19,203.04307556152344
2023-07-20,205.44862365722656
2023-07-21,204.86862182617188
2023-07-24,206.9318389892578
2023-07-25,207.27413940429688
2023-07-26,211.81893920898438
2023-07-27,209.00460815429688
2023-07-28,211.6858367919922
2023-07-31,212.57958984375
2023-08-01,214.2529754638672
2023-08-02,215.1182098388672
2023-08-03,214.52870178222656
2023-08-04,212.98843383789062
2023-08-07,216.01197814941406
2023-08-08,213.42581176757812
2023-08-09,215.01365661621094
2023-08-10,214.5572509765625
2023-08-11,215.82183837890625
2023-08-14,215.23233032226562
2023-08-15,212.1517333984375
2023-08-16,212.589111328125
2023-08-17,211.37208557128906
2023-08-18,213.37826538085938
2023-08-21,213.2451629638672
2023-08-22,213.2451629638672
2023-08-23,213.7965850830078
2023-08-24,212.86485290527344
2023-08-25,212.589111328125
2023-08-28,214.26251220703125
2023-08-29,215.02316284179688
