Date,T
2023-01-03,15.64393424987793
2023-01-04,15.977849960327148
2023-01-05,16.036285400390625
2023-01-06,16.303415298461914
2023-01-09,16.123884201049805
2023-01-10,16.488027572631836
2023-01-11,16.43721580505371
2023-01-12,16.43721580505371
2023-01-13,16.555774688720703
2023-01-17,16.369470596313477
2023-01-18,16.106945037841797
2023-01-19,16.039201736450195
2023-01-20,16.284786224365234
2023-01-23,16.174694061279297
2023-01-24,16.225507736206055
2023-01-25,17.29252815246582
2023-01-26,16.936851501464844
2023-01-27,16.894514083862305
2023-01-30,17.07234764099121
2023-01-31,17.250185012817383
2023-02-01,17.08928680419922
2023-02-02,17.17397117614746
2023-02-03,16.79288673400879
2023-02-06,16.581178665161133
2023-02-07,16.301721572875977
2023-02-08,16.225507736206055
2023-02-09,16.064605712890625
2023-02-10,16.149290084838867
2023-02-13,16.310192108154297
2023-02-14,16.217037200927734
2023-02-15,16.301721572875977
2023-02-16,16.310192108154297
2023-02-17,16.46261978149414
2023-02-21,16.267847061157227
2023-02-22,16.41180992126465
2023-02-23,16.38640594482422
2023-02-24,16.29325294494629
2023-02-27,16.11541748046875
2023-02-28,16.013795852661133
2023-03-01,15.802083015441895
2023-03-02,15.802083015441895
2023-03-03,15.929107666015625
2023-03-06,15.895237922668457
2023-03-07,15.844423294067383
2023-03-08,15.75974178314209
2023-03-09,15.514159202575684
2023-03-10,15.607309341430664
2023-03-13,15.497220993041992
2023-03-14,15.615778923034668
2023-03-15,15.505688667297363
2023-03-16,15.57343864440918
2023-03-17,15.353256225585938
2023-03-20,15.65811824798584
2023-03-21,15.700465202331543
2023-03-22,15.57343864440918
2023-03-23,15.632715225219727
2023-03-24,15.75974178314209
2023-03-27,15.979921340942383
2023-03-28,15.852892875671387
2023-03-29,16.090009689331055
2023-03-30,16.157760620117188
2023-03-31,16.301721572875977
2023-04-03,16.420278549194336
2023-04-04,16.631990432739258
2023-04-05,16.83523178100586
2023-04-06,16.87645721435547
2023-04-10,16.80774688720703
2023-04-11,16.910812377929688
2023-04-12,16.979520797729492
2023-04-13,17.1427001953125
2023-04-14,17.116939544677734
2023-04-17,16.99669647216797
2023-04-18,17.0224609375
2023-04-19,16.91939926147461
2023-04-20,15.158750534057617
2023-04-21,15.648297309875488
2023-04-24,15.055689811706543
2023-04-25,15.038512229919434
2023-04-26,14.772266387939453
2023-04-27,15.12440013885498
2023-04-28,15.17592716217041
2023-05-01,15.029921531677246
2023-05-02,14.66061782836914
2023-05-03,14.677793502807617
2023-05-04,14.523200988769531
2023-05-05,14.712145805358887
2023-05-08,14.703559875488281
2023-05-09,14.617674827575684
2023-05-10,14.634849548339844
2023-05-11,14.566143989562988
2023-05-12,14.626263618469238
2023-05-15,14.557555198669434
2023-05-16,14.196837425231934
2023-05-17,14.308487892150879
2023-05-18,14.214011192321777
2023-05-19,14.007888793945312
2023-05-22,14.068007469177246
2023-05-23,13.827528953552246
2023-05-24,13.698701858520508
2023-05-25,13.011618614196777
2023-05-26,13.31221866607666
2023-05-30,13.432456016540527
2023-05-31,13.50975513458252
2023-06-01,13.578461647033691
2023-06-02,13.063150405883789
2023-06-05,13.217745780944824
2023-06-06,13.458224296569824
2023-06-07,13.827528953552246
2023-06-08,13.801763534545898
2023-06-09,13.698701858520508
2023-06-12,13.681525230407715
2023-06-13,13.587050437927246
2023-06-14,13.604227066040039
2023-06-15,13.767410278320312
2023-06-16,13.793176651000977
2023-06-20,13.55269718170166
2023-06-21,13.40669059753418
2023-06-22,13.380926132202148
2023-06-23,13.269274711608887
2023-06-26,13.423868179321289
2023-06-27,13.604227066040039
2023-06-28,13.55269718170166
2023-06-29,13.724465370178223
2023-06-30,13.698701858520508
2023-07-03,13.844709396362305
