Date,ABT
2023-01-03,102.84921264648438
2023-01-04,104.37909698486328
2023-01-05,103.9942855834961
2023-01-06,105.4303207397461
2023-01-09,105.2613525390625
2023-01-10,106.85693359375
2023-01-11,106.19993591308594
2023-01-12,104.99312591552734
2023-01-13,107.02020263671875
2023-01-17,106.90706634521484
2023-01-18,105.13453674316406
2023-01-19,105.407958984375
2023-01-20,106.36964416503906
2023-01-23,107.49161529541016
2023-01-24,106.09622192382812
2023-01-25,104.65370178222656
2023-01-26,104.7197036743164
2023-01-27,103.66373443603516
2023-01-30,103.53173065185547
2023-01-31,104.22943115234375
2023-02-01,105.42681884765625
2023-02-02,105.83223724365234
2023-02-03,105.39852905273438
2023-02-06,104.41800689697266
2023-02-07,105.58709716796875
2023-02-08,103.89942932128906
2023-02-09,101.89122009277344
2023-02-10,101.97607421875
2023-02-13,102.31548309326172
2023-02-14,101.12753295898438
2023-02-15,101.14639282226562
2023-02-16,100.01499938964844
2023-02-17,100.63726806640625
2023-02-21,97.72393798828125
2023-02-22,96.81881713867188
2023-02-23,96.68681335449219
2023-02-24,94.71631622314453
2023-02-27,94.06576538085938
2023-02-28,95.9042739868164
2023-03-01,95.0651626586914
2023-03-02,96.76226043701172
2023-03-03,98.47818756103516
2023-03-06,96.8753890991211
2023-03-07,94.26376342773438
2023-03-08,93.71692657470703
2023-03-09,92.25554656982422
2023-03-10,91.41642761230469
2023-03-13,92.57609558105469
2023-03-14,92.91551971435547
2023-03-15,92.20838928222656
2023-03-16,93.36807250976562
2023-03-17,91.46356964111328
2023-03-20,92.27440643310547
2023-03-21,92.70808410644531
2023-03-22,91.32215881347656
2023-03-23,91.49185180664062
2023-03-24,92.44409942626953
2023-03-27,92.8306655883789
2023-03-28,91.55785369873047
2023-03-29,92.98151397705078
2023-03-30,93.41521453857422
2023-03-31,95.47057342529297
2023-04-03,95.78170776367188
2023-04-04,96.92253112792969
2023-04-05,98.25191497802734
2023-04-06,98.93075561523438
2023-04-10,97.77108001708984
2023-04-11,97.38451385498047
2023-04-12,96.69625091552734
2023-04-13,98.17440032958984
2023-04-14,98.50604248046875
2023-04-17,99.03666687011719
2023-04-18,98.68608093261719
2023-04-19,106.39904022216797
2023-04-20,104.56082153320312
2023-04-21,105.80208587646484
2023-04-24,104.60820007324219
2023-04-25,104.20075988769531
2023-04-26,103.04473876953125
2023-04-27,103.75540161132812
2023-04-28,104.67453002929688
2023-05-01,105.28095245361328
2023-05-02,105.6504898071289
2023-05-03,105.89683532714844
2023-05-04,105.04405975341797
2023-05-05,105.4230728149414
2023-05-08,105.08194732666016
2023-05-09,104.46605682373047
2023-05-10,104.88298034667969
2023-05-11,104.27655029296875
2023-05-12,104.69347381591797
2023-05-15,104.07756042480469
2023-05-16,103.65117645263672
2023-05-17,103.111083984375
2023-05-18,102.77944946289062
2023-05-19,103.21531677246094
2023-05-22,102.57098388671875
2023-05-23,100.1926498413086
2023-05-24,98.58184051513672
2023-05-25,96.78152465820312
2023-05-26,97.47322082519531
2023-05-30,96.37409973144531
2023-05-31,96.64888000488281
2023-06-01,97.42586517333984
2023-06-02,98.73345184326172
2023-06-05,98.31653594970703
2023-06-06,97.23634338378906
2023-06-07,96.32671356201172
2023-06-08,95.49288177490234
2023-06-09,96.35514068603516
2023-06-12,96.08035278320312
2023-06-13,96.5162124633789
2023-06-14,97.83329772949219
2023-06-15,99.51042938232422
2023-06-16,100.62853240966797
2023-06-20,101.102294921875
2023-06-21,100.6759033203125
2023-06-22,102.57098388671875
2023-06-23,102.3814926147461
2023-06-26,102.8173599243164
2023-06-27,102.13511657714844
2023-06-28,101.96456909179688
2023-06-29,102.01194763183594
2023-06-30,103.30059814453125
2023-07-03,101.59503173828125
2023-07-05,101.73713684082031
2023-07-06,101.57606506347656
2023-07-07,100.77067565917969
2023-07-10,101.40550994873047
2023-07-11,101.8603286743164
2023-07-12,101.24444580078125
2023-07-13,102.57734680175781
2023-07-14,102.75824737548828
2023-07-17,101.872802734375
2023-07-18,101.82520294189453
2023-07-19,102.13938903808594
2023-07-20,106.47136688232422
2023-07-21,108.81346893310547
2023-07-24,109.12767791748047
2023-07-25,107.51864624023438
2023-07-26,108.6135482788086
2023-07-27,107.25206756591797
2023-07-28,107.32823944091797
2023-07-31,105.99532318115234
2023-08-01,105.23365783691406
2023-08-02,103.4151840209961
2023-08-03,102.38691711425781
2023-08-04,102.49165344238281
2023-08-07,103.2533187866211
2023-08-08,100.52084350585938
2023-08-09,100.25425720214844
2023-08-10,99.7210922241211
2023-08-11,100.26377868652344
2023-08-14,101.01592254638672
2023-08-15,99.91151428222656
2023-08-16,99.52115631103516
2023-08-17,99.90199279785156
2023-08-18,98.74044799804688
2023-08-21,98.8927993774414
2023-08-22,100.11145782470703
2023-08-23,100.09241485595703
2023-08-24,98.7785415649414
2023-08-25,99.21649932861328
2023-08-28,97.86454010009766
2023-08-29,98.8927993774414
2023-08-30,99.40691375732422
2023-08-31,97.9692611694336
2023-09-01,97.92167663574219
2023-09-05,96.04605102539062
2023-09-06,96.69346618652344
2023-09-07,95.84613037109375
2023-09-08,95.90325164794922
2023-09-11,97.54083251953125
2023-09-12,97.49323272705078
2023-09-13,97.76932525634766
2023-09-14,97.73123168945312
2023-09-15,96.86485290527344
2023-09-18,96.16031646728516
2023-09-19,95.84613037109375
2023-09-20,95.47481536865234
2023-09-21,94.18950653076172
2023-09-22,93.44686126708984
2023-09-25,92.79945373535156
2023-09-26,91.61888122558594
2023-09-27,90.9524154663086
2023-09-28,93.41831970214844
2023-09-29,92.20915985107422
2023-10-02,91.1428451538086
2023-10-03,91.19995880126953
2023-10-04,91.0666732788086
2023-10-05,91.5903091430664
2023-10-06,92.23772430419922
