Date,GS
2023-01-03,321.0942077636719
2023-01-04,322.4667663574219
2023-01-05,318.8127136230469
2023-01-06,322.81915283203125
2023-01-09,327.38214111328125
2023-01-10,331.42572021484375
2023-01-11,338.0290222167969
2023-01-12,343.0928039550781
2023-01-13,346.8581848144531
2023-01-17,324.525634765625
2023-01-18,323.75592041015625
2023-01-19,325.29541015625
2023-01-20,317.0320739746094
2023-01-23,323.80230712890625
2023-01-24,323.051025390625
2023-01-25,324.2567138671875
2023-01-26,329.209228515625
2023-01-27,328.0313720703125
2023-01-30,331.5185241699219
2023-01-31,339.262451171875
2023-02-01,339.1697998046875
2023-02-02,342.65692138671875
2023-02-03,343.1020812988281
2023-02-06,343.89044189453125
2023-02-07,347.2291259765625
2023-02-08,347.87835693359375
2023-02-09,341.2843322753906
2023-02-10,344.33551025390625
2023-02-13,346.87664794921875
2023-02-14,344.79925537109375
2023-02-15,347.1734313964844
2023-02-16,343.33392333984375
2023-02-17,341.75726318359375
2023-02-21,334.9128723144531
2023-02-22,334.6995544433594
2023-02-23,337.15728759765625
2023-02-24,337.4447326660156
2023-02-27,339.00286865234375
2023-02-28,326.130126953125
2023-03-01,323.4026794433594
2023-03-02,326.08343505859375
2023-03-03,333.5466613769531
2023-03-06,333.5092468261719
2023-03-07,323.2625732421875
2023-03-08,326.2608947753906
2023-03-09,319.53558349609375
2023-03-10,306.06634521484375
2023-03-13,294.7080383300781
2023-03-14,300.9102783203125
2023-03-15,291.60693359375
2023-03-16,294.3157653808594
2023-03-17,283.5272521972656
2023-03-20,289.1222839355469
2023-03-21,296.3612976074219
2023-03-22,292.9893493652344
2023-03-23,294.091552734375
2023-03-24,291.9618835449219
2023-03-27,297.5289001464844
2023-03-28,297.44482421875
2023-03-29,299.57452392578125
2023-03-30,299.9668884277344
2023-03-31,305.5432434082031
2023-04-03,304.9921569824219
2023-04-04,301.3772888183594
2023-04-05,300.3311767578125
2023-04-06,301.1437683105469
2023-04-10,303.53497314453125
2023-04-11,305.78607177734375
2023-04-12,308.46685791015625
2023-04-13,310.2322998046875
2023-04-14,314.70648193359375
2023-04-17,317.2845153808594
2023-04-18,311.89495849609375
2023-04-19,314.67852783203125
2023-04-20,316.3784484863281
2023-04-21,319.1339111328125
2023-04-24,321.2823486328125
2023-04-25,317.0976867675781
2023-04-26,314.3702392578125
2023-04-27,319.0779113769531
2023-04-28,320.7966003417969
2023-05-01,318.11578369140625
2023-05-02,311.3905334472656
2023-05-03,306.9817199707031
2023-05-04,300.0789794921875
2023-05-05,305.4591369628906
2023-05-08,304.9827880859375
2023-05-09,303.3575439453125
2023-05-10,301.28387451171875
2023-05-11,299.57452392578125
2023-05-12,298.43499755859375
2023-05-15,300.83551025390625
2023-05-16,299.6585998535156
2023-05-17,308.41082763671875
2023-05-18,307.8503723144531
2023-05-19,304.64654541015625
2023-05-22,303.4976501464844
2023-05-23,302.2366638183594
2023-05-24,298.72454833984375
2023-05-25,302.5262145996094
2023-05-26,310.1202087402344
2023-05-30,309.0179443359375
2023-05-31,304.84857177734375
2023-06-01,297.7897033691406
2023-06-02,304.61322021484375
2023-06-05,302.8814392089844
2023-06-06,307.57794189453125
2023-06-07,316.0015869140625
2023-06-08,315.7380065917969
2023-06-09,316.25567626953125
2023-06-12,319.52154541015625
2023-06-13,322.3544616699219
2023-06-14,318.5144958496094
2023-06-15,319.7568054199219
2023-06-16,318.4109802246094
2023-06-20,311.2674255371094
2023-06-21,305.9497375488281
2023-06-22,300.7825927734375
2023-06-23,296.1990966796875
2023-06-26,293.9872741699219
2023-06-27,295.0132141113281
2023-06-28,295.21087646484375
2023-06-29,304.0861511230469
2023-06-30,303.568603515625
2023-07-03,307.3991394042969
2023-07-05,301.22503662109375
2023-07-06,294.5896301269531
2023-07-07,296.6320495605469
2023-07-10,297.85552978515625
2023-07-11,302.0062255859375
2023-07-12,307.2014465332031
2023-07-13,309.34735107421875
2023-07-14,307.0037841796875
2023-07-17,307.9544677734375
2023-07-18,317.4320983886719
2023-07-19,320.51922607421875
2023-07-20,330.2227783203125
2023-07-21,331.258056640625
2023-07-24,337.818115234375
2023-07-25,333.8368835449219
2023-07-26,336.5286865234375
2023-07-27,333.6581115722656
2023-07-28,332.45343017578125
2023-07-31,334.9381103515625
2023-08-01,336.67926025390625
2023-08-02,330.4486999511719
2023-08-03,332.38751220703125
2023-08-04,332.4439392089844
2023-08-07,334.6463623046875
2023-08-08,327.7757873535156
2023-08-09,322.5332946777344
2023-08-10,320.3780517578125
2023-08-11,320.6886291503906
2023-08-14,317.87445068359375
2023-08-15,312.66973876953125
2023-08-16,309.7520751953125
2023-08-17,308.255615234375
2023-08-18,305.8179016113281
2023-08-21,303.11676025390625
2023-08-22,300.03912353515625
2023-08-23,303.370849609375
2023-08-24,301.14031982421875
2023-08-25,301.319091796875
2023-08-28,306.7967834472656
2023-08-29,312.98974609375
2023-08-30,311.8319396972656
2023-08-31,311.0062561035156
2023-09-01,310.71209716796875
2023-09-05,307.24810791015625
2023-09-06,304.7616882324219
2023-09-07,305.54937744140625
2023-09-08,308.92791748046875
2023-09-11,308.1022644042969
2023-09-12,314.0336608886719
2023-09-13,317.90570068359375
2023-09-14,327.0069274902344
2023-09-15,325.0804138183594
2023-09-18,325.8206481933594
2023-09-19,324.4635009765625
2023-09-20,319.5380554199219
2023-09-21,313.40728759765625
2023-09-22,311.1771240234375
2023-09-25,312.0787353515625
2023-09-26,307.3145751953125
2023-09-27,305.5399169921875
2023-09-28,308.6242370605469
2023-09-29,307.07733154296875
2023-10-02,302.2657165527344
2023-10-03,290.5167236328125
2023-10-04,292.8703308105469
2023-10-05,294.6734619140625
2023-10-06,296.5526123046875
2023-10-09,296.6759033203125
2023-10-10,298.7258605957031
2023-10-11,297.0650329589844
2023-10-12,294.056640625
2023-10-13,293.53466796875
2023-10-16,298.36517333984375
2023-10-17,293.59161376953125
2023-10-18,286.56878662109375
2023-10-19,283.9400329589844
2023-10-20,284.75616455078125
2023-10-23,283.9684753417969
2023-10-24,283.93048095703125
2023-10-25,281.63385009765625
2023-10-26,281.85211181640625
2023-10-27,275.1330261230469
2023-10-30,285.4963684082031
2023-10-31,288.13470458984375
2023-11-01,291.5037536621094
2023-11-02,297.7673034667969
2023-11-03,310.92083740234375
2023-11-06,307.39996337890625
2023-11-07,307.4379577636719
2023-11-08,308.0168151855469
2023-11-09,304.42950439453125
2023-11-10,308.91845703125
2023-11-13,310.2470703125
2023-11-14,321.455078125
2023-11-15,320.3921813964844
2023-11-16,319.5095520019531
2023-11-17,321.9011535644531
2023-11-20,322.14788818359375
2023-11-21,317.8962097167969
2023-11-22,321.3791809082031
2023-11-24,321.8631591796875
2023-11-27,320.4965515136719
2023-11-28,320.43963623046875
2023-11-29,325.5682067871094
2023-11-30,326.7929382324219
2023-12-01,333.38543701171875
2023-12-04,334.3040466308594
2023-12-05,326.9939270019531
2023-12-06,327.20440673828125
2023-12-07,329.73992919921875
2023-12-08,335.6817932128906
2023-12-11,336.5716552734375
2023-12-12,337.38494873046875
2023-12-13,347.0680236816406
2023-12-14,366.9124755859375
2023-12-15,364.0802917480469
2023-12-18,360.1477355957031
2023-12-19,365.9364929199219
2023-12-20,361.21942138671875
2023-12-21,364.1376953125
2023-12-22,364.2142028808594
2023-12-26,365.1327819824219
2023-12-27,367.87890625
2023-12-28,369.7255554199219
2023-12-29,369.1131896972656
2024-01-02,371.5339050292969
2024-01-03,365.3050537109375
2024-01-04,366.4149169921875
2024-01-05,369.7542419433594
2024-01-08,372.06976318359375
2024-01-09,367.1708068847656
2024-01-10,365.46771240234375
2024-01-11,363.35308837890625
2024-01-12,361.4394836425781
2024-01-16,364.0229187011719
2024-01-17,360.8940734863281
2024-01-18,360.6357421875
2024-01-19,365.6973571777344
2024-01-22,369.2949523925781
2024-01-23,364.32904052734375
2024-01-24,363.0182189941406
2024-01-25,366.1757507324219
2024-01-26,361.47772216796875
2024-01-29,364.12811279296875
2024-01-30,370.16571044921875
2024-01-31,367.4291687011719
2024-02-01,367.2760925292969
2024-02-02,371.1129150390625
2024-02-05,366.4819030761719
2024-02-06,368.3668212890625
2024-02-07,369.96478271484375
2024-02-08,368.4147033691406
2024-02-09,367.6684265136719
2024-02-12,375.6865539550781
2024-02-13,362.39630126953125
2024-02-14,361.7169494628906
2024-02-15,368.7782897949219
2024-02-16,367.840576171875
2024-02-20,367.9171142578125
2024-02-21,371.5052185058594
2024-02-22,373.6102600097656
2024-02-23,374.1651306152344
2024-02-26,373.3710632324219
2024-02-27,373.935546875
2024-02-28,378.86920166015625
2024-02-29,374.8895263671875
2024-03-01,373.9740905761719
2024-03-04,377.9730529785156
2024-03-05,376.68182373046875
2024-03-06,375.390625
2024-03-07,374.2920837402344
2024-03-08,372.9045104980469
2024-03-11,372.104736328125
2024-03-12,374.05120849609375
2024-03-13,378.0308532714844
2024-03-14,374.4655456542969
2024-03-15,373.1164855957031
2024-03-18,370.3798522949219
2024-03-19,374.5137634277344
2024-03-20,382.0394592285156
2024-03-21,398.6519470214844
2024-03-22,392.0127258300781
2024-03-25,390.2012023925781
2024-03-26,391.39599609375
2024-03-27,400.1359558105469
2024-03-28,402.48712158203125
2024-04-01,398.45928955078125
2024-04-02,395.22149658203125
2024-04-03,398.9313659667969
2024-04-04,391.4635009765625
2024-04-05,393.2172546386719
2024-04-08,395.5973815917969
2024-04-09,395.7611389160156
2024-04-10,386.17333984375
2024-04-11,383.0127258300781
2024-04-12,375.31353759765625
2024-04-15,386.2889709472656
2024-04-16,382.415283203125
2024-04-17,389.2086486816406
2024-04-18,388.437744140625
2024-04-19,389.2953796386719
2024-04-22,402.15948486328125
2024-04-23,408.5673828125
2024-04-24,407.64239501953125
2024-04-25,404.76123046875
2024-04-26,412.00750732421875
2024-04-29,415.1295471191406
2024-04-30,411.1788024902344
2024-05-01,411.4101257324219
2024-05-02,416.82550048828125
2024-05-03,422.2312927246094
2024-05-06,427.52154541015625
