Date,LMT
2023-01-03,440.09027099609375
2023-01-04,439.1409912109375
2023-01-05,439.6664123535156
2023-01-06,436.1365661621094
2023-01-09,423.0038757324219
2023-01-10,426.04510498046875
2023-01-11,426.6994323730469
2023-01-12,425.5382080078125
2023-01-13,414.5619812011719
2023-01-17,412.10137939453125
2023-01-18,406.6731262207031
2023-01-19,404.8668212890625
2023-01-20,408.5255126953125
2023-01-23,406.682373046875
2023-01-24,414.0090637207031
2023-01-25,418.5524597167969
2023-01-26,423.7595520019531
2023-01-27,423.56597900390625
2023-01-30,424.4783630371094
2023-01-31,426.93902587890625
2023-02-01,426.0082092285156
2023-02-02,421.3450012207031
2023-02-03,423.0867919921875
2023-02-06,432.3211975097656
2023-02-07,431.6115417480469
2023-02-08,432.8279724121094
2023-02-09,433.2334899902344
2023-02-10,443.1314697265625
2023-02-13,444.1821594238281
2023-02-14,443.82269287109375
2023-02-15,442.83660888671875
2023-02-16,434.3026428222656
2023-02-17,438.3392639160156
2023-02-21,441.6201171875
2023-02-22,441.9334411621094
2023-02-23,441.51873779296875
2023-02-24,442.7352600097656
2023-02-27,441.89654541015625
2023-02-28,439.8284606933594
2023-03-01,439.89337158203125
2023-03-02,443.58441162109375
2023-03-03,443.1949768066406
2023-03-06,445.30938720703125
2023-03-07,443.9090270996094
2023-03-08,444.68804931640625
2023-03-09,441.3030090332031
2023-03-10,440.9784240722656
2023-03-13,442.675537109375
2023-03-14,444.103759765625
2023-03-15,438.9474792480469
2023-03-16,438.88250732421875
2023-03-17,432.0475769042969
2023-03-20,441.16387939453125
2023-03-21,440.29217529296875
2023-03-22,434.8575744628906
2023-03-23,433.9302062988281
2023-03-24,440.0881652832031
2023-03-27,439.0216064453125
2023-03-28,437.2132263183594
2023-03-29,439.7635803222656
2023-03-30,438.82684326171875
2023-03-31,438.4095153808594
2023-04-03,451.2911071777344
2023-04-04,453.0717468261719
2023-04-05,454.41650390625
2023-04-06,454.5833740234375
2023-04-10,460.6856994628906
2023-04-11,452.422607421875
2023-04-12,452.6637268066406
2023-04-13,456.4103698730469
2023-04-14,452.5616455078125
2023-04-17,454.09185791015625
2023-04-18,465.0073547363281
2023-04-19,459.21112060546875
2023-04-20,454.9822082519531
2023-04-21,447.5166015625
2023-04-24,446.0049743652344
2023-04-25,441.0526123046875
2023-04-26,428.10614013671875
2023-04-27,431.2407531738281
2023-04-28,430.7306823730469
2023-05-01,435.3490905761719
2023-05-02,425.5743713378906
2023-05-03,420.1768798828125
2023-05-04,419.11962890625
2023-05-05,422.4675598144531
2023-05-08,418.2200622558594
2023-05-09,419.2216491699219
2023-05-10,420.2510681152344
2023-05-11,417.96966552734375
2023-05-12,418.0624084472656
2023-05-15,419.1103820800781
2023-05-16,415.2245178222656
2023-05-17,424.09979248046875
2023-05-18,422.66229248046875
2023-05-19,421.4938049316406
2023-05-22,421.70709228515625
2023-05-23,419.7688293457031
2023-05-24,419.85223388671875
2023-05-25,410.6802673339844
2023-05-26,415.89227294921875
2023-05-30,415.4471435546875
2023-05-31,414.55084228515625
2023-06-01,419.8352966308594
2023-06-02,424.33551025390625
2023-06-05,424.5222473144531
2023-06-06,428.2007751464844
2023-06-07,431.11383056640625
2023-06-08,433.3732604980469
2023-06-09,431.9914855957031
2023-06-12,429.3585205078125
2023-06-13,422.35614013671875
2023-06-14,422.5242004394531
2023-06-15,425.69866943359375
2023-06-16,428.7049560546875
2023-06-20,427.9674072265625
2023-06-21,435.1192321777344
2023-06-22,432.68231201171875
2023-06-23,428.88238525390625
2023-06-26,422.7576599121094
2023-06-27,423.08441162109375
2023-06-28,419.8258972167969
2023-06-29,427.0897521972656
2023-06-30,429.8346862792969
2023-07-03,431.88873291015625
2023-07-05,432.0567932128906
2023-07-06,431.0111083984375
2023-07-07,428.2755126953125
2023-07-10,429.8346862792969
2023-07-11,435.3526306152344
2023-07-12,431.3098449707031
2023-07-13,435.4366455078125
2023-07-14,433.50396728515625
2023-07-17,438.7884216308594
2023-07-18,425.4652099609375
2023-07-19,421.5531921386719
2023-07-20,425.754638671875
2023-07-21,424.5875549316406
2023-07-24,426.49224853515625
2023-07-25,424.0180358886719
2023-07-26,422.7669677734375
2023-07-27,418.8736267089844
2023-07-28,419.20977783203125
2023-07-31,416.7542724609375
2023-08-01,421.3384704589844
2023-08-02,418.79888916015625
2023-08-03,418.2014465332031
2023-08-04,416.1473693847656
2023-08-07,419.9379577636719
2023-08-08,419.6485595703125
2023-08-09,422.7669677734375
2023-08-10,420.1900634765625
2023-08-11,423.9246826171875
2023-08-14,420.2180480957031
2023-08-15,414.14935302734375
2023-08-16,415.59649658203125
2023-08-17,417.043701171875
2023-08-18,420.1994323730469
2023-08-21,421.5345153808594
2023-08-22,422.88836669921875
2023-08-23,424.41015625
2023-08-24,422.5242004394531
2023-08-25,421.1610412597656
2023-08-28,422.30950927734375
2023-08-29,418.6495666503906
2023-08-30,422.39349365234375
2023-08-31,421.3972473144531
2023-09-01,421.2373962402344
2023-09-05,418.42718505859375
2023-09-06,398.45465087890625
2023-09-07,400.33441162109375
2023-09-08,397.6557312011719
2023-09-11,395.371826171875
2023-09-12,392.7119140625
2023-09-13,395.68194580078125
2023-09-14,400.28741455078125
2023-09-15,398.5580139160156
2023-09-18,404.01873779296875
2023-09-19,399.7422790527344
2023-09-20,401.2837219238281
2023-09-21,392.43939208984375
2023-09-22,388.7832336425781
2023-09-25,388.07830810546875
2023-09-26,384.1777648925781
2023-09-27,384.14959716796875
2023-09-28,386.2549133300781
2023-09-29,384.37518310546875
2023-10-02,383.3037109375
2023-10-03,379.5535583496094
2023-10-04,377.2038269042969
2023-10-05,373.463134765625
2023-10-06,376.6399230957031
2023-10-09,410.28778076171875
2023-10-10,408.9437561035156
2023-10-11,410.40057373046875
2023-10-12,408.0414123535156
2023-10-13,414.5454406738281
2023-10-16,413.9345703125
2023-10-17,414.6112060546875
2023-10-18,419.2543029785156
2023-10-19,422.17730712890625
2023-10-20,417.4685363769531
2023-10-23,419.3388977050781
2023-10-24,414.39508056640625
2023-10-25,420.7769470214844
2023-10-26,419.16033935546875
2023-10-27,416.73541259765625
2023-10-30,419.03814697265625
2023-10-31,427.3091125488281
2023-11-01,425.1850280761719
2023-11-02,430.50469970703125
2023-11-03,426.0872497558594
2023-11-06,424.0382995605469
2023-11-07,423.0889892578125
2023-11-08,417.9290466308594
2023-11-09,415.8612976074219
2023-11-10,418.12646484375
2023-11-13,418.27679443359375
2023-11-14,417.5155029296875
2023-11-15,418.38018798828125
2023-11-16,418.8031005859375
2023-11-17,417.94781494140625
2023-11-20,417.130126953125
2023-11-21,421.209228515625
2023-11-22,423.323974609375
2023-11-24,424.8371887207031
2023-11-27,418.70916748046875
2023-11-28,421.322021484375
2023-11-29,418.2579650878906
2023-11-30,423.852294921875
2023-12-01,425.4047546386719
2023-12-04,426.61639404296875
2023-12-05,422.4040222167969
2023-12-06,425.4047546386719
2023-12-07,423.22747802734375
2023-12-08,424.0889587402344
2023-12-11,427.1559143066406
2023-12-12,427.506103515625
2023-12-13,427.3262939453125
2023-12-14,421.4858093261719
2023-12-15,418.210693359375
2023-12-18,423.0382385253906
2023-12-19,423.8712463378906
2023-12-20,418.95843505859375
2023-12-21,424.0889587402344
2023-12-22,424.2782897949219
2023-12-26,426.1335754394531
2023-12-27,424.9881896972656
2023-12-28,427.12750244140625
2023-12-29,429.0301208496094
2024-01-02,431.7562561035156
2024-01-03,434.5960388183594
2024-01-04,433.4128112792969
2024-01-05,432.1159362792969
2024-01-08,434.1038818359375
2024-01-09,431.9172668457031
2024-01-10,431.0747375488281
2024-01-11,428.9259948730469
2024-01-12,438.439208984375
2024-01-16,433.3843994140625
2024-01-17,432.0875549316406
2024-01-18,435.0220642089844
2024-01-19,433.3087158203125
2024-01-22,434.2552490234375
2024-01-23,416.18499755859375
2024-01-24,408.5933532714844
2024-01-25,408.0159606933594
2024-01-26,406.9462585449219
2024-01-29,405.1477966308594
2024-01-30,408.62176513671875
2024-01-31,406.47296142578125
2024-02-01,406.8137512207031
2024-02-02,403.2167663574219
2024-02-05,399.17486572265625
2024-02-06,404.1444091796875
2024-02-07,407.12615966796875
2024-02-08,404.1917724609375
2024-02-09,403.71844482421875
2024-02-12,405.2046203613281
2024-02-13,403.73736572265625
2024-02-14,395.8523254394531
2024-02-15,400.5189514160156
2024-02-16,401.4182434082031
2024-02-20,401.6075744628906
2024-02-21,404.71234130859375
2024-02-22,405.9808349609375
2024-02-23,408.0916442871094
2024-02-26,406.2552490234375
2024-02-27,407.43853759765625
2024-02-28,409.3790588378906
2024-02-29,408.3396301269531
2024-03-01,406.6424255371094
2024-03-04,411.86773681640625
2024-03-05,411.9058532714844
2024-03-06,413.336181640625
2024-03-07,410.00836181640625
2024-03-08,412.78314208984375
2024-03-11,414.54718017578125
2024-03-12,414.6997375488281
2024-03-13,414.40411376953125
2024-03-14,415.519775390625
2024-03-15,415.56744384765625
2024-03-18,413.0691833496094
2024-03-19,416.8737487792969
2024-03-20,419.94415283203125
2024-03-21,422.5663146972656
2024-03-22,425.159912109375
2024-03-25,425.5699462890625
2024-03-26,425.2648620605469
2024-03-27,435.5534362792969
2024-03-28,433.732177734375
2024-04-01,431.7488708496094
2024-04-02,432.1778869628906
2024-04-03,427.0860595703125
2024-04-04,432.9407653808594
2024-04-05,434.218505859375
2024-04-08,431.3579406738281
2024-04-09,426.7714538574219
2024-04-10,430.718994140625
2024-04-11,431.30072021484375
2024-04-12,429.4698791503906
2024-04-15,432.02532958984375
2024-04-16,433.19818115234375
2024-04-17,434.8573303222656
2024-04-18,434.89544677734375
2024-04-19,442.31396484375
2024-04-22,439.8919982910156
2024-04-23,438.7000732421875
2024-04-24,437.80377197265625
2024-04-25,443.181640625
2024-04-26,439.8538818359375
2024-04-29,445.82293701171875
2024-04-30,443.3246765136719
2024-05-01,440.2734069824219
2024-05-02,441.6750793457031
2024-05-03,440.4450378417969
2024-05-06,441.2745666503906
2024-05-07,444.9933776855469
2024-05-08,444.4975280761719
2024-05-09,446.6239318847656
2024-05-10,447.09112548828125
2024-05-13,448.6930236816406
2024-05-14,445.4701232910156
2024-05-15,442.5141906738281
2024-05-16,443.2293395996094
