Date,IBM
2023-01-03,126.15047454833984
2023-01-04,127.08621978759766
2023-01-05,125.75833892822266
2023-01-06,128.0665283203125
2023-01-09,127.93285369873047
2023-01-10,129.046875
2023-01-11,129.45680236816406
2023-01-12,129.7152862548828
2023-01-13,130.01829528808594
2023-01-17,129.39443969726562
2023-01-18,125.13448333740234
2023-01-19,125.32164001464844
2023-01-20,125.83853912353516
2023-01-23,126.42668914794922
2023-01-24,126.09698486328125
2023-01-25,125.44639587402344
2023-01-26,119.82286071777344
2023-01-27,119.76941680908203
2023-01-30,120.58041381835938
2023-01-31,120.07243347167969
2023-02-01,120.39323425292969
2023-02-02,121.55181121826172
2023-02-03,122.0419921875
2023-02-06,121.36467742919922
2023-02-07,121.06165313720703
2023-02-08,121.1864242553711
2023-02-09,120.66317749023438
2023-02-10,122.3321762084961
2023-02-13,123.91092681884766
2023-02-14,122.70201873779297
2023-02-15,123.05387878417969
2023-02-16,121.79084777832031
2023-02-17,121.80889892578125
2023-02-21,118.82278442382812
2023-02-22,118.15518188476562
2023-02-23,117.99278259277344
2023-02-24,117.79432678222656
2023-02-27,117.72216033935547
2023-02-28,116.64859771728516
2023-03-01,115.6471939086914
2023-03-02,116.31478881835938
2023-03-03,116.955322265625
2023-03-06,117.45150756835938
2023-03-07,115.70132446289062
2023-03-08,115.5208969116211
2023-03-09,113.81581115722656
2023-03-10,113.17527770996094
2023-03-13,113.29257202148438
2023-03-14,112.45356750488281
2023-03-15,111.21761322021484
2023-03-16,112.49866485595703
2023-03-17,111.5875015258789
2023-03-20,113.61735534667969
2023-03-21,114.18569946289062
2023-03-22,111.91226196289062
2023-03-23,111.29881286621094
2023-03-24,113.03095245361328
2023-03-27,116.65760040283203
2023-03-28,116.68466186523438
2023-03-29,117.01847839355469
2023-03-30,116.57640838623047
2023-03-31,118.263427734375
2023-04-03,119.13853454589844
2023-04-04,118.72354125976562
2023-04-05,119.21070861816406
2023-04-06,117.73116302490234
2023-04-10,118.20930480957031
2023-04-11,117.65898895263672
2023-04-12,115.96294403076172
2023-04-13,115.38556671142578
2023-04-14,115.60208892822266
2023-04-17,115.31340026855469
2023-04-18,115.27730560302734
2023-04-19,113.96014404296875
2023-04-20,113.99625396728516
2023-04-21,113.42789459228516
