Date,JNJ
2023-01-03,161.7957305908203
2023-01-04,163.55728149414062
2023-01-05,162.34963989257812
2023-01-06,163.66624450683594
2023-01-09,159.4259033203125
2023-01-10,159.04452514648438
2023-01-11,158.79029846191406
2023-01-12,157.9912567138672
2023-01-13,157.47369384765625
2023-01-17,156.50213623046875
2023-01-18,154.14134216308594
2023-01-19,153.93252563476562
2023-01-20,153.21522521972656
2023-01-23,152.8247528076172
2023-01-24,152.8247528076172
2023-01-25,153.91433715820312
2023-01-26,153.3513946533203
2023-01-27,152.75209045410156
2023-01-30,147.09532165527344
2023-01-31,148.38467407226562
2023-02-01,149.74664306640625
2023-02-02,150.30960083007812
2023-02-03,149.46517944335938
2023-02-06,148.3302001953125
2023-02-07,148.3665008544922
2023-02-08,148.55715942382812
2023-02-09,146.5504913330078
2023-02-10,147.2314910888672
2023-02-13,147.77630615234375
2023-02-14,147.13162231445312
2023-02-15,144.70729064941406
2023-02-16,143.6812286376953
2023-02-17,146.68087768554688
2023-02-21,144.49513244628906
2023-02-22,144.2939910888672
2023-02-23,144.24822998046875
2023-02-24,142.63868713378906
2023-02-27,142.3277587890625
2023-02-28,140.1603240966797
2023-03-01,139.52932739257812
2023-03-02,139.41958618164062
2023-03-03,140.85537719726562
2023-03-06,142.2637176513672
2023-03-07,140.9193572998047
2023-03-08,139.88597106933594
2023-03-09,138.31300354003906
2023-03-10,138.65133666992188
2023-03-13,139.9774169921875
2023-03-14,140.76390075683594
2023-03-15,141.1571502685547
2023-03-16,140.864501953125
2023-03-17,139.35552978515625
2023-03-20,140.73646545410156
2023-03-21,140.73646545410156
2023-03-22,138.1392059326172
2023-03-23,138.21238708496094
2023-03-24,139.60244750976562
2023-03-27,140.19688415527344
2023-03-28,138.84341430664062
2023-03-29,140.20603942871094
2023-03-30,140.31576538085938
2023-03-31,141.75160217285156
2023-04-03,143.4434814453125
2023-04-04,144.94329833984375
2023-04-05,151.45472717285156
2023-04-06,151.03402709960938
2023-04-10,150.27500915527344
2023-04-11,150.22923278808594
2023-04-12,149.90916442871094
2023-04-13,151.91200256347656
2023-04-14,151.66506958007812
2023-04-17,151.5095977783203
2023-04-18,147.2478790283203
2023-04-19,148.63800048828125
2023-04-20,149.59825134277344
2023-04-21,148.7843017578125
2023-04-24,149.68966674804688
2023-04-25,151.06146240234375
2023-04-26,148.7202606201172
2023-04-27,149.06781005859375
2023-04-28,149.70797729492188
2023-05-01,149.6165313720703
2023-05-02,150.92428588867188
2023-05-03,148.94891357421875
2023-05-04,148.2721710205078
2023-05-05,148.77513122558594
2023-05-08,148.43679809570312
2023-05-09,147.28445434570312
2023-05-10,147.83319091796875
2023-05-11,147.22959899902344
