Date,EMR
2023-01-03,90.230712890625
2023-01-04,89.58293914794922
2023-01-05,89.19800567626953
2023-01-06,91.95816802978516
2023-01-09,91.31036376953125
2023-01-10,91.83610534667969
2023-01-11,92.19287109375
2023-01-12,92.05204772949219
2023-01-13,91.93000793457031
2023-01-17,85.65862274169922
2023-01-18,83.7528076171875
2023-01-19,81.57474517822266
2023-01-20,82.006591796875
2023-01-23,83.55564880371094
2023-01-24,84.00629425048828
2023-01-25,83.6307601928711
2023-01-26,85.07656860351562
2023-01-27,83.95935821533203
2023-01-30,84.20344543457031
2023-01-31,84.7010269165039
2023-02-01,86.01539611816406
2023-02-02,85.88395690917969
2023-02-03,85.7994613647461
2023-02-06,84.89817810058594
2023-02-07,85.60230255126953
2023-02-08,80.72978973388672
2023-02-09,79.94116973876953
2023-02-10,80.59835815429688
2023-02-13,81.593505859375
2023-02-14,80.72978973388672
2023-02-15,81.60289764404297
2023-02-16,80.94176483154297
2023-02-17,80.69620513916016
2023-02-21,77.49441528320312
2023-02-22,77.73053741455078
2023-02-23,77.73997497558594
2023-02-24,77.61720275878906
2023-02-27,77.5416488647461
2023-02-28,78.1177749633789
2023-03-01,78.44833374023438
2023-03-02,79.14726257324219
2023-03-03,80.79065704345703
2023-03-06,82.31124877929688
2023-03-07,81.073974609375
2023-03-08,80.8662109375
2023-03-09,78.80724334716797
2023-03-10,77.60775756835938
2023-03-13,77.35273742675781
2023-03-14,78.47666931152344
2023-03-15,76.0588150024414
2023-03-16,77.37162017822266
2023-03-17,76.35160064697266
2023-03-20,77.70220947265625
2023-03-21,79.32669830322266
2023-03-22,78.76947021484375
2023-03-23,78.48611450195312
2023-03-24,78.28777313232422
2023-03-27,78.14610290527344
2023-03-28,79.05280303955078
2023-03-29,80.2239761352539
2023-03-30,80.83787536621094
2023-03-31,82.30181121826172
2023-04-03,82.39625549316406
2023-04-04,80.45063781738281
2023-04-05,78.47666931152344
2023-04-06,78.67503356933594
2023-04-10,79.76116180419922
2023-04-11,79.7517318725586
2023-04-12,78.99613189697266
2023-04-13,80.6678695678711
2023-04-14,81.56511688232422
2023-04-17,81.77289581298828
2023-04-18,82.42459106445312
2023-04-19,81.5745620727539
2023-04-20,81.10233306884766
2023-04-21,80.8473129272461
2023-04-24,80.83787536621094
2023-04-25,79.82728576660156
2023-04-26,77.90055084228516
2023-04-27,78.23111724853516
2023-04-28,78.63724517822266
2023-05-01,78.72222900390625
2023-05-02,77.65498352050781
2023-05-03,79.16614532470703
2023-05-04,78.14610290527344
2023-05-05,79.71395111083984
2023-05-08,79.15668487548828
2023-05-09,79.00558471679688
2023-05-10,77.90055084228516
2023-05-11,77.91954803466797
2023-05-12,78.43280029296875
2023-05-15,79.00308990478516
2023-05-16,77.13066101074219
2023-05-17,78.1761703491211
2023-05-18,78.22370910644531
2023-05-19,78.404296875
2023-05-22,77.66291809082031
2023-05-23,77.09263610839844
2023-05-24,75.03961944580078
2023-05-25,75.10616302490234
2023-05-26,75.57188415527344
2023-05-30,74.50736999511719
2023-05-31,73.83252716064453
2023-06-01,75.4198226928711
2023-06-02,78.70843505859375
2023-06-05,78.11915588378906
2023-06-06,78.4518051147461
2023-06-07,80.06761169433594
2023-06-08,79.9060287475586
2023-06-09,80.02958679199219
2023-06-12,79.9060287475586
2023-06-13,81.86399841308594
2023-06-14,81.58836364746094
2023-06-15,83.66989135742188
2023-06-16,83.08060455322266
2023-06-20,82.48181915283203
2023-06-21,83.11862182617188
2023-06-22,83.09011840820312
2023-06-23,82.38674926757812
2023-06-26,83.93602752685547
2023-06-27,85.1906509399414
2023-06-28,84.92453002929688
2023-06-29,84.80094146728516
2023-06-30,85.91300201416016
2023-07-03,86.26468658447266
2023-07-05,84.98155212402344
2023-07-06,83.86949157714844
2023-07-07,84.53482818603516
2023-07-10,85.00054931640625
2023-07-11,87.25318145751953
2023-07-12,87.55731964111328
2023-07-13,87.7474136352539
2023-07-14,87.52880859375
2023-07-17,86.79695129394531
2023-07-18,87.25318145751953
2023-07-19,87.12960052490234
2023-07-20,87.33869934082031
2023-07-21,86.71141815185547
2023-07-24,87.67137145996094
2023-07-25,88.0040283203125
2023-07-26,87.81394958496094
2023-07-27,87.29119873046875
2023-07-28,86.46428680419922
2023-07-31,86.8254623413086
2023-08-01,87.09159851074219
2023-08-02,90.42774200439453
2023-08-03,91.14059448242188
2023-08-04,90.81742858886719
2023-08-07,92.40472412109375
2023-08-08,91.72039031982422
2023-08-09,91.28315734863281
2023-08-10,91.27360534667969
2023-08-11,91.493408203125
2023-08-14,91.64630889892578
2023-08-15,91.23539733886719
2023-08-16,91.75143432617188
2023-08-17,91.4838638305664
2023-08-18,91.54118347167969
2023-08-21,90.84356689453125
2023-08-22,91.81832885742188
2023-08-23,92.34394836425781
2023-08-24,91.50296783447266
2023-08-25,93.30912780761719
2023-08-28,93.76783752441406
2023-08-29,94.27433776855469
2023-08-30,93.93030548095703
2023-08-31,93.89207458496094
2023-09-01,94.53235626220703
2023-09-05,93.5384750366211
2023-09-06,94.29344177246094
2023-09-07,94.9910659790039
2023-09-08,94.56101989746094
2023-09-11,95.67913818359375
2023-09-12,95.48799896240234
2023-09-13,93.34735870361328
2023-09-14,94.22654724121094
2023-09-15,94.47503662109375
2023-09-18,95.1917495727539
2023-09-19,94.4367904663086
2023-09-20,93.6627197265625
2023-09-21,92.21013641357422
2023-09-22,92.79308319091797
2023-09-25,93.74873352050781
2023-09-26,91.35961151123047
2023-09-27,92.56372833251953
2023-09-28,92.70707702636719
2023-09-29,92.28659057617188
2023-10-02,91.46472930908203
2023-10-03,90.64288330078125
2023-10-04,90.4613265991211
2023-10-05,89.43876647949219
2023-10-06,90.824462890625
2023-10-09,91.61763763427734
2023-10-10,92.09547424316406
2023-10-11,92.78352355957031
2023-10-12,91.78966522216797
2023-10-13,90.55687713623047
2023-10-16,92.07635498046875
2023-10-17,91.71321105957031
2023-10-18,89.54389190673828
2023-10-19,89.00872802734375
2023-10-20,87.41280364990234
2023-10-23,86.16092681884766
2023-10-24,86.7151870727539
2023-10-25,84.8899154663086
2023-10-26,84.67011260986328
2023-10-27,84.12538146972656
2023-10-30,84.52676391601562
2023-10-31,85.02369689941406
2023-11-01,85.63529968261719
2023-11-02,87.11656188964844
2023-11-03,87.89063262939453
2023-11-06,87.67082977294922
2023-11-07,81.17245483398438
2023-11-08,80.99088287353516
2023-11-09,81.42090606689453
2023-11-10,82.66325378417969
2023-11-13,82.7588119506836
2023-11-14,84.62232208251953
2023-11-15,84.45030975341797
2023-11-16,84.1186294555664
2023-11-17,85.82024383544922
2023-11-20,85.35879516601562
2023-11-21,85.17613220214844
2023-11-22,85.40685272216797
2023-11-24,85.08960723876953
2023-11-27,84.5896987915039
2023-11-28,84.50318908691406
2023-11-29,84.89733123779297
2023-11-30,85.46453857421875
2023-12-01,86.63740539550781
2023-12-04,85.47415161132812
2023-12-05,84.935791015625
2023-12-06,84.31089782714844
2023-12-07,85.29148864746094
2023-12-08,86.08943176269531
2023-12-11,86.25285339355469
2023-12-12,86.94503021240234
2023-12-13,88.66585540771484
2023-12-14,92.80931091308594
2023-12-15,91.95368957519531
2023-12-18,92.33824157714844
2023-12-19,92.04021453857422
2023-12-20,91.00196075439453
2023-12-21,92.01136016845703
2023-12-22,92.7131576538086
2023-12-26,93.75141906738281
2023-12-27,93.82832336425781
2023-12-28,93.3380355834961
2023-12-29,93.56877136230469
2024-01-02,92.17479705810547
2024-01-03,91.02118682861328
2024-01-04,91.42494201660156
2024-01-05,91.78065490722656
2024-01-08,92.06904602050781
2024-01-09,90.9635009765625
2024-01-10,91.1076889038086
2024-01-11,91.13653564453125
