Date,SO
2023-01-03,63.961124420166016
2023-01-04,64.50377655029297
2023-01-05,62.60895919799805
2023-01-06,63.720951080322266
2023-01-09,63.605316162109375
2023-01-10,63.258358001708984
2023-01-11,63.65868377685547
2023-01-12,62.57339859008789
2023-01-13,62.55560302734375
2023-01-17,62.315406799316406
2023-01-18,60.24267578125
2023-01-19,59.11289978027344
2023-01-20,59.70893478393555
2023-01-23,59.47764205932617
2023-01-24,59.335304260253906
2023-01-25,59.83347702026367
2023-01-26,60.064754486083984
2023-01-27,60.491764068603516
2023-01-30,59.984703063964844
2023-01-31,60.20709228515625
2023-02-01,61.256805419921875
2023-02-02,61.043312072753906
2023-02-03,59.84236145019531
2023-02-06,60.402809143066406
2023-02-07,60.260467529296875
2023-02-08,59.11289978027344
2023-02-09,58.51688003540039
2023-02-10,59.49543380737305
2023-02-13,59.71782302856445
2023-02-14,59.29082107543945
2023-02-15,59.3975715637207
2023-02-16,58.58804702758789
2023-02-17,59.89139938354492
2023-02-21,58.920631408691406
2023-02-22,58.64198684692383
2023-02-23,58.192562103271484
2023-02-24,58.03075408935547
2023-02-27,57.85997772216797
2023-02-28,56.68246078491211
2023-03-01,56.01729202270508
2023-03-02,57.23076248168945
2023-03-03,58.25547409057617
2023-03-06,58.63300704956055
2023-03-07,57.824012756347656
2023-03-08,58.183570861816406
2023-03-09,58.02177047729492
2023-03-10,57.47346496582031
2023-03-13,58.56109619140625
2023-03-14,59.48692321777344
2023-03-15,60.80825424194336
2023-03-16,61.23072814941406
2023-03-17,61.03297424316406
2023-03-20,61.61723709106445
2023-03-21,60.34083938598633
2023-03-22,59.96331024169922
2023-03-23,59.630741119384766
2023-03-24,61.65318298339844
2023-03-27,61.33858108520508
2023-03-28,61.47341537475586
2023-03-29,62.32733917236328
2023-03-30,62.075645446777344
2023-03-31,62.54304885864258
2023-04-03,61.9947624206543
2023-04-04,62.587989807128906
2023-04-05,64.26889038085938
2023-04-06,64.99696350097656
2023-04-10,64.75426483154297
2023-04-11,64.56550598144531
2023-04-12,64.826171875
2023-04-13,65.13179016113281
2023-04-14,64.66439056396484
2023-04-17,65.02392578125
2023-04-18,65.23965454101562
2023-04-19,65.44639587402344
2023-04-20,65.6351547241211
2023-04-21,66.16548919677734
2023-04-24,66.60592651367188
2023-04-25,66.49807739257812
2023-04-26,65.24864959716797
2023-04-27,66.07559967041016
2023-04-28,66.111572265625
2023-05-01,66.59693145751953
2023-05-02,65.75202178955078
2023-05-03,65.91381072998047
2023-05-04,66.74076080322266
2023-05-05,67.36097717285156
2023-05-08,67.02841186523438
2023-05-09,67.13626098632812
2023-05-10,68.0081558227539
2023-05-11,67.10031127929688
2023-05-12,66.55587768554688
2023-05-15,65.71202850341797
2023-05-16,64.33281707763672
2023-05-17,64.3691177368164
2023-05-18,64.46894073486328
2023-05-19,64.79559326171875
2023-05-22,64.3781967163086
2023-05-23,64.55966186523438
2023-05-24,64.28744506835938
2023-05-25,63.35284423828125
2023-05-26,63.03527069091797
2023-05-30,63.3619384765625
2023-05-31,63.28934860229492
2023-06-01,62.77214813232422
2023-06-02,63.01713562011719
2023-06-05,63.23489761352539
2023-06-06,62.94453811645508
2023-06-07,63.63414764404297
2023-06-08,64.49615478515625
2023-06-09,64.65946960449219
2023-06-12,64.27837371826172
2023-06-13,63.924495697021484
2023-06-14,63.95172882080078
2023-06-15,64.2057876586914
2023-06-16,65.1131591796875
2023-06-20,63.82468795776367
2023-06-21,65.00428009033203
2023-06-22,64.6957778930664
2023-06-23,63.924495697021484
2023-06-26,65.08595275878906
2023-06-27,64.53244018554688
2023-06-28,63.398223876953125
2023-06-29,62.73583221435547
2023-06-30,63.74302291870117
