Date,UPS
2023-01-03,148.40707397460938
2023-01-04,149.95651245117188
2023-01-05,147.18783569335938
2023-01-06,151.51441955566406
2023-01-09,153.83433532714844
2023-01-10,151.36199951171875
2023-01-11,154.2915802001953
2023-01-12,154.9011688232422
2023-01-13,154.2238006591797
2023-01-17,151.55674743652344
2023-01-18,149.6262969970703
2023-01-19,149.14369201660156
2023-01-20,150.8201446533203
2023-01-23,152.8098602294922
2023-01-24,152.3949737548828
2023-01-25,150.25286865234375
2023-01-26,152.14939880371094
2023-01-27,154.1730194091797
2023-01-30,149.83798217773438
2023-01-31,156.8315887451172
2023-02-01,156.61993408203125
2023-02-02,161.9625244140625
2023-02-03,162.2758026123047
2023-02-06,159.82040405273438
2023-02-07,159.42245483398438
2023-02-08,157.7883758544922
2023-02-09,156.4252166748047
2023-02-10,156.82313537597656
2023-02-13,158.67739868164062
2023-02-14,158.13551330566406
2023-02-15,158.19476318359375
2023-02-16,157.10252380371094
2023-02-17,156.48757934570312
2023-02-21,152.43040466308594
2023-02-22,150.85023498535156
2023-02-23,153.6945037841797
2023-02-24,153.87388610839844
2023-02-27,155.65052795410156
2023-02-28,155.87257385253906
2023-03-01,156.3765106201172
2023-03-02,157.74314880371094
2023-03-03,158.59732055664062
2023-03-06,159.3062286376953
2023-03-07,156.53883361816406
2023-03-08,157.41856384277344
2023-03-09,156.20570373535156
2023-03-10,155.06112670898438
2023-03-13,155.65052795410156
2023-03-14,158.06773376464844
2023-03-15,157.46981811523438
2023-03-16,160.51058959960938
2023-03-17,159.5453643798828
2023-03-20,156.7267303466797
2023-03-21,159.5453643798828
2023-03-22,158.47775268554688
2023-03-23,158.26416015625
2023-03-24,158.93040466308594
2023-03-27,159.99810791015625
2023-03-28,160.3482666015625
2023-03-29,163.54281616210938
2023-03-30,163.21820068359375
2023-03-31,165.69522094726562
2023-04-03,165.464599609375
2023-04-04,162.80824279785156
2023-04-05,161.77468872070312
2023-04-06,161.0742950439453
2023-04-10,162.50927734375
2023-04-11,164.37986755371094
2023-04-12,162.1591033935547
2023-04-13,163.141357421875
2023-04-14,164.73858642578125
2023-04-17,165.0973358154297
2023-04-18,165.8062744140625
2023-04-19,167.43768310546875
2023-04-20,166.54083251953125
2023-04-21,166.7373046875
2023-04-24,167.283935546875
2023-04-25,150.576904296875
2023-04-26,147.3994903564453
2023-04-27,151.83248901367188
2023-04-28,153.58346557617188
2023-05-01,155.6248779296875
2023-05-02,151.9008331298828
2023-05-03,150.18397521972656
2023-05-04,148.01446533203125
2023-05-05,150.10711669921875
2023-05-08,148.9540252685547
2023-05-09,147.77529907226562
2023-05-10,146.5453338623047
2023-05-11,145.40077209472656
2023-05-12,145.305908203125
2023-05-15,145.60775756835938
2023-05-16,143.67608642578125
2023-05-17,147.77223205566406
2023-05-18,147.49630737304688
2023-05-19,147.4014129638672
2023-05-22,147.90158081054688
2023-05-23,146.41835021972656
2023-05-24,144.63328552246094
2023-05-25,147.66012573242188
2023-05-26,147.95335388183594
2023-05-30,146.39248657226562
2023-05-31,144.0124053955078
2023-06-01,144.72816467285156
2023-06-02,146.72018432617188
2023-06-05,144.74539184570312
2023-06-06,144.5211944580078
2023-06-07,147.89297485351562
2023-06-08,147.87571716308594
2023-06-09,147.0220184326172
2023-06-12,147.89297485351562
2023-06-13,149.09164428710938
2023-06-14,150.8077392578125
2023-06-15,154.36062622070312
2023-06-16,153.99842834472656
2023-06-20,152.86874389648438
2023-06-21,149.72976684570312
2023-06-22,147.78952026367188
2023-06-23,145.98719787597656
2023-06-26,148.97093200683594
2023-06-27,150.62661743164062
2023-06-28,151.48037719726562
2023-06-29,151.81668090820312
2023-06-30,154.57620239257812
2023-07-03,158.47402954101562
2023-07-05,155.19708251953125
2023-07-06,154.60206604003906
2023-07-07,155.0159912109375
2023-07-10,156.36985778808594
2023-07-11,159.74166870117188
2023-07-12,160.81961059570312
2023-07-13,159.8451385498047
2023-07-14,159.75892639160156
2023-07-17,157.5857696533203
2023-07-18,159.1638946533203
2023-07-19,160.41429138183594
2023-07-20,161.20765686035156
2023-07-21,161.5181121826172
2023-07-24,162.4149627685547
2023-07-25,159.2673797607422
2023-07-26,159.00863647460938
2023-07-27,160.84548950195312
2023-07-28,162.02688598632812
2023-07-31,161.37147521972656
2023-08-01,159.9658966064453
2023-08-02,158.11183166503906
2023-08-03,156.51644897460938
2023-08-04,156.03355407714844
2023-08-07,157.07701110839844
2023-08-08,155.69723510742188
2023-08-09,154.67967224121094
2023-08-10,155.5506591796875
2023-08-11,153.6884765625
2023-08-14,152.7225799560547
2023-08-15,150.7647247314453
2023-08-16,148.5719451904297
2023-08-17,148.5719451904297
2023-08-18,149.0070037841797
2023-08-21,146.61407470703125
2023-08-22,145.1956787109375
2023-08-23,146.9534454345703
2023-08-24,145.3175048828125
2023-08-25,146.94471740722656
2023-08-28,146.9186248779297
2023-08-29,149.45079040527344
2023-08-30,149.67703247070312
2023-08-31,147.40589904785156
2023-09-01,146.18765258789062
2023-09-05,142.68087768554688
2023-09-06,141.23641967773438
2023-09-07,141.17555236816406
2023-09-08,140.13131713867188
2023-09-11,140.0008087158203
2023-09-12,136.24169921875
2023-09-13,137.34678649902344
2023-09-14,139.86158752441406
2023-09-15,139.65272521972656
2023-09-18,137.86891174316406
2023-09-19,137.49472045898438
2023-09-20,137.17279052734375
2023-09-21,135.24969482421875
2023-09-22,133.8139190673828
2023-09-25,134.27513122558594
2023-09-26,132.17803955078125
2023-09-27,132.62179565429688
2023-09-28,135.31060791015625
2023-09-29,135.63255310058594
2023-10-02,134.9451446533203
2023-10-03,133.78781127929688
2023-10-04,133.76170349121094
2023-10-05,133.46583557128906
2023-10-06,134.2403106689453
2023-10-09,134.30123901367188
2023-10-10,135.35411071777344
2023-10-11,135.13658142089844
2023-10-12,135.2061767578125
2023-10-13,134.9451446533203
2023-10-16,136.31130981445312
2023-10-17,136.77249145507812
2023-10-18,133.84877014160156
2023-10-19,132.31724548339844
2023-10-20,132.230224609375
2023-10-23,128.92359924316406
2023-10-24,129.9329833984375
2023-10-25,127.85330963134766
2023-10-26,120.2654800415039
2023-10-27,117.32431030273438
2023-10-30,120.7614517211914
2023-10-31,122.91075897216797
2023-11-01,121.64901733398438
2023-11-02,123.55469512939453
2023-11-03,124.31175231933594
2023-11-06,123.7983169555664
2023-11-07,123.4328842163086
2023-11-08,123.51985931396484
2023-11-09,121.7795639038086
2023-11-10,121.58586883544922
2023-11-13,121.63870239257812
2023-11-14,126.04047393798828
2023-11-15,129.5618896484375
2023-11-16,129.33302307128906
2023-11-17,130.2749786376953
2023-11-20,131.6747589111328
2023-11-21,131.85079956054688
2023-11-22,132.71356201171875
2023-11-24,133.8404083251953
2023-11-27,131.69236755371094
2023-11-28,132.70474243164062
2023-11-29,134.06932067871094
2023-11-30,133.4706573486328
2023-12-01,136.3758544921875
2023-12-04,137.26498413085938
2023-12-05,135.71559143066406
2023-12-06,136.71038818359375
2023-12-07,137.77561950683594
2023-12-08,137.5995330810547
2023-12-11,137.14173889160156
2023-12-12,136.78079223632812
2023-12-13,138.43588256835938
2023-12-14,142.93447875976562
2023-12-15,143.44508361816406
2023-12-18,142.23902893066406
2023-12-19,142.2830352783203
2023-12-20,138.1805877685547
2023-12-21,138.3566436767578
2023-12-22,139.31622314453125
2023-12-26,139.12255859375
2023-12-27,138.07492065429688
2023-12-28,138.48870849609375
2023-12-29,138.41824340820312
2024-01-02,139.39544677734375
2024-01-03,138.69117736816406
2024-01-04,138.2069854736328
2024-01-05,139.72999572753906
2024-01-08,140.78643798828125
2024-01-09,140.80404663085938
2024-01-10,141.93089294433594
2024-01-11,140.19659423828125
2024-01-12,139.36904907226562
2024-01-16,136.74560546875
2024-01-17,136.06773376464844
2024-01-18,137.80203247070312
2024-01-19,138.11895751953125
2024-01-22,139.6243438720703
2024-01-23,140.90966796875
2024-01-24,137.84605407714844
2024-01-25,140.60154724121094
2024-01-26,140.2406005859375
2024-01-29,139.11375427246094
2024-01-30,127.70433044433594
2024-01-31,124.92240905761719
2024-02-01,125.37140655517578
2024-02-02,124.87841796875
2024-02-05,122.4398422241211
2024-02-06,128.4614715576172
2024-02-07,129.62350463867188
2024-02-08,130.22215270996094
2024-02-09,128.76075744628906
2024-02-12,129.8083953857422
2024-02-13,127.56349182128906
2024-02-14,126.96485137939453
2024-02-15,129.39462280273438
2024-02-16,132.1187286376953
2024-02-20,132.32345581054688
2024-02-21,131.99411010742188
2024-02-22,133.29383850097656
2024-02-23,132.3145751953125
2024-02-26,131.30862426757812
2024-02-27,131.99411010742188
2024-02-28,131.5489959716797
2024-02-29,131.9851837158203
2024-03-01,131.80714416503906
2024-03-04,134.0772247314453
2024-03-05,133.23150634765625
2024-03-06,135.80426025390625
2024-03-07,136.5698699951172
2024-03-08,137.0594940185547
2024-03-11,137.7627716064453
2024-03-12,140.1040802001953
2024-03-13,137.77166748046875
2024-03-14,136.99716186523438
2024-03-15,136.5342559814453
2024-03-18,135.03868103027344
2024-03-19,136.38290405273438
2024-03-20,137.77166748046875
2024-03-21,138.27020263671875
2024-03-22,139.1159210205078
2024-03-25,139.3829803466797
2024-03-26,128.005859375
2024-03-27,131.15728759765625
2024-03-28,132.3145751953125
2024-04-01,131.41546630859375
2024-04-02,132.7774658203125
2024-04-03,135.5550079345703
2024-04-04,133.5341796875
2024-04-05,134.74490356445312
2024-04-08,133.63211059570312
2024-04-09,134.0416259765625
2024-04-10,131.094970703125
2024-04-11,132.65283203125
