Date,SPG
2023-01-03,99.96687316894531
2023-01-04,103.04566955566406
2023-01-05,99.86482238769531
2023-01-06,101.09801483154297
2023-01-09,100.63025665283203
2023-01-10,99.38004302978516
2023-01-11,103.21576690673828
2023-01-12,107.15354919433594
2023-01-13,106.79631805419922
2023-01-17,106.32856750488281
2023-01-18,103.97269439697266
2023-01-19,102.85005187988281
2023-01-20,105.16338348388672
2023-01-23,106.28602600097656
2023-01-24,106.69426727294922
2023-01-25,106.47313690185547
2023-01-26,107.44269561767578
2023-01-27,109.3818359375
2023-01-30,107.11951446533203
2023-01-31,109.25425720214844
2023-02-01,109.65397644042969
2023-02-02,112.08638000488281
2023-02-03,110.40241241455078
2023-02-06,109.4073486328125
2023-02-07,107.0770034790039
2023-02-08,105.66517639160156
2023-02-09,105.80977630615234
2023-02-10,105.75874328613281
2023-02-13,106.97492980957031
2023-02-14,106.66024017333984
2023-02-15,106.7538070678711
2023-02-16,105.75874328613281
2023-02-17,105.1718978881836
2023-02-21,102.5864028930664
2023-02-22,102.99461364746094
2023-02-23,104.0152359008789
2023-02-24,103.61548614501953
2023-02-27,104.19383239746094
2023-02-28,103.83661651611328
2023-03-01,103.12220001220703
2023-03-02,104.48298645019531
2023-03-03,105.52908325195312
2023-03-06,105.33348846435547
2023-03-07,102.57788848876953
2023-03-08,103.91316223144531
2023-03-09,101.25447082519531
2023-03-10,96.24786376953125
2023-03-13,96.17880249023438
2023-03-14,96.85209655761719
2023-03-15,94.68545532226562
2023-03-16,94.26248168945312
2023-03-17,90.04137420654297
2023-03-20,92.46700286865234
2023-03-21,94.19341278076172
2023-03-22,90.04137420654297
2023-03-23,88.37538146972656
2023-03-24,89.3249282836914
2023-03-27,89.1695327758789
2023-03-28,89.90327453613281
2023-03-29,92.00949096679688
2023-03-30,92.84681701660156
2023-03-31,96.65357208251953
2023-04-03,97.04199981689453
2023-04-04,96.08384704589844
2023-04-05,94.90989685058594
2023-04-06,94.7545166015625
2023-04-10,94.57323455810547
2023-04-11,95.09117889404297
2023-04-12,94.53007507324219
2023-04-13,94.03804779052734
2023-04-14,92.84681701660156
2023-04-17,96.11837768554688
2023-04-18,96.07522583007812
2023-04-19,96.73124694824219
2023-04-20,95.61771392822266
2023-04-21,95.52276611328125
2023-04-24,95.15158081054688
2023-04-25,94.27973937988281
2023-04-26,93.5201187133789
2023-04-27,95.47096252441406
2023-04-28,97.81890106201172
2023-05-01,97.96562957763672
2023-05-02,96.72264099121094
2023-05-03,92.8727035522461
2023-05-04,93.09715270996094
2023-05-05,94.5645980834961
2023-05-08,93.22662353515625
2023-05-09,91.92317962646484
2023-05-10,91.95771789550781
2023-05-11,91.71601104736328
2023-05-12,91.80233001708984
2023-05-15,92.3030014038086
2023-05-16,89.54073333740234
2023-05-17,91.7591781616211
2023-05-18,91.10314178466797
2023-05-19,90.94775390625
2023-05-22,91.48294830322266
2023-05-23,89.88600158691406
2023-05-24,88.18549346923828
2023-05-25,87.39996337890625
2023-05-26,88.35812377929688
2023-05-30,89.3508071899414
2023-05-31,90.76648712158203
2023-06-01,89.255859375
2023-06-02,91.9404525756836
2023-06-05,91.9749755859375
2023-06-06,94.23658752441406
2023-06-07,97.28370666503906
2023-06-08,96.2832260131836
2023-06-09,97.15206146240234
2023-06-12,96.50262451171875
2023-06-13,97.38024139404297
2023-06-14,97.32759857177734
2023-06-15,97.34513854980469
2023-06-16,98.98628234863281
2023-06-20,97.17840576171875
2023-06-21,97.17840576171875
2023-06-22,95.7303237915039
2023-06-23,94.55432891845703
2023-06-26,97.47676849365234
2023-06-27,99.23202514648438
2023-06-28,98.98628234863281
2023-06-29,100.71519470214844
2023-06-30,101.34708404541016
2023-07-03,102.71615600585938
2023-07-05,103.74295043945312
2023-07-06,104.52403259277344
2023-07-07,104.04135131835938
2023-07-10,106.14762878417969
2023-07-11,107.95552062988281
2023-07-12,107.45527648925781
2023-07-13,106.92870330810547
2023-07-14,106.4372329711914
2023-07-17,106.76197052001953
2023-07-18,106.64787292480469
2023-07-19,108.30655670166016
2023-07-20,108.6049575805664
2023-07-21,108.51719665527344
2023-07-24,109.18418884277344
2023-07-25,108.55229949951172
2023-07-26,108.97354888916016
2023-07-27,107.94674682617188
2023-07-28,109.24561309814453
2023-07-31,109.35092163085938
2023-08-01,110.08812713623047
2023-08-02,108.87701416015625
2023-08-03,103.88337707519531
2023-08-04,103.81317901611328
2023-08-07,105.01551055908203
2023-08-08,104.43628692626953
2023-08-09,104.26075744628906
2023-08-10,104.30463409423828
2023-08-11,104.32218170166016
2023-08-14,104.45382690429688
2023-08-15,103.44457244873047
2023-08-16,101.4611587524414
2023-08-17,100.1798324584961
2023-08-18,101.45237731933594
2023-08-21,98.92485046386719
2023-08-22,97.35391998291016
2023-08-23,97.9770278930664
2023-08-24,97.1169662475586
2023-08-25,97.17840576171875
2023-08-28,98.00334930419922
2023-08-29,99.6357192993164
2023-08-30,99.61817169189453
2023-08-31,99.60060119628906
2023-09-01,100.84683990478516
2023-09-05,100.87315368652344
2023-09-06,101.58402252197266
2023-09-07,102.119384765625
2023-09-08,102.27107238769531
2023-09-11,102.37813568115234
2023-09-12,103.03842163085938
2023-09-13,102.4049072265625
2023-09-14,104.73371887207031
2023-09-15,103.86823272705078
2023-09-18,101.94092559814453
2023-09-19,101.94985961914062
2023-09-20,101.50373077392578
2023-09-21,99.61212158203125
2023-09-22,99.64781188964844
2023-09-25,100.04933166503906
2023-09-26,97.39039611816406
2023-09-27,96.53382873535156
2023-09-28,97.10487365722656
2023-09-29,96.39106750488281
2023-10-02,93.35737609863281
2023-10-03,92.2331314086914
2023-10-04,93.18783569335938
2023-10-05,93.2770767211914
2023-10-06,93.16106414794922
2023-10-09,94.0801010131836
2023-10-10,94.71360778808594
2023-10-11,96.65874481201172
2023-10-12,95.7843246459961
2023-10-13,95.49879455566406
2023-10-16,96.65874481201172
