Date,HON
2023-01-03,189.34996032714844
2023-01-04,185.5859375
2023-01-05,180.66444396972656
2023-01-06,185.7891845703125
2023-01-09,186.142578125
2023-01-10,186.7345733642578
2023-01-11,187.5828399658203
2023-01-12,190.83436584472656
2023-01-13,191.39102172851562
2023-01-17,187.5298309326172
2023-01-18,180.46121215820312
2023-01-19,177.2980499267578
2023-01-20,178.5084991455078
2023-01-23,180.65560913085938
2023-01-24,182.83802795410156
2023-01-25,182.60829162597656
2023-01-26,184.97628784179688
2023-01-27,183.89830017089844
2023-01-30,181.8219451904297
2023-01-31,184.20758056640625
2023-02-01,182.6524658203125
2023-02-02,183.23565673828125
2023-02-03,179.09169006347656
2023-02-06,180.2845001220703
2023-02-07,181.5480194091797
2023-02-08,178.67640686035156
2023-02-09,176.02566528320312
2023-02-10,177.13018798828125
2023-02-13,179.69248962402344
2023-02-14,177.5984344482422
2023-02-15,178.22576904296875
2023-02-16,176.1493682861328
2023-02-17,177.96954345703125
2023-02-21,173.85208129882812
2023-02-22,172.72991943359375
2023-02-23,173.2273406982422
2023-02-24,170.58035278320312
2023-02-27,170.944580078125
2023-02-28,170.08294677734375
2023-03-01,171.32650756835938
2023-03-02,172.7210693359375
2023-03-03,174.8262176513672
2023-03-06,175.0216522216797
2023-03-07,173.76031494140625
2023-03-08,173.7158966064453
2023-03-09,171.32650756835938
2023-03-10,171.7261962890625
2023-03-13,171.52191162109375
2023-03-14,171.4064483642578
2023-03-15,167.09840393066406
2023-03-16,168.0044403076172
2023-03-17,164.0072784423828
2023-03-20,168.6617431640625
2023-03-21,169.79872131347656
2023-03-22,166.24569702148438
2023-03-23,166.03250122070312
2023-03-24,167.1339569091797
2023-03-27,166.98292541503906
2023-03-28,166.9207763671875
2023-03-29,167.94227600097656
2023-03-30,167.9866485595703
2023-03-31,169.76316833496094
2023-04-03,171.6818084716797
2023-04-04,169.60328674316406
2023-04-05,168.26202392578125
2023-04-06,169.1769256591797
2023-04-10,170.26060485839844
2023-04-11,170.71359252929688
2023-04-12,171.63739013671875
2023-04-13,174.00904846191406
2023-04-14,174.58641052246094
2023-04-17,175.75
2023-04-18,174.9239501953125
2023-04-19,175.70558166503906
2023-04-20,174.76405334472656
2023-04-21,174.16893005371094
2023-04-24,174.79067993164062
2023-04-25,174.06231689453125
2023-04-26,169.56777954101562
2023-04-27,176.4162139892578
2023-04-28,177.50872802734375
2023-05-01,178.07725524902344
2023-05-02,176.10531616210938
2023-05-03,175.8388214111328
2023-05-04,174.2932586669922
2023-05-05,176.24742126464844
2023-05-08,174.94168090820312
2023-05-09,175.1015625
2023-05-10,175.28811645507812
2023-05-11,173.20761108398438
2023-05-12,172.88616943359375
2023-05-15,173.50228881835938
2023-05-16,171.09140014648438
2023-05-17,175.02915954589844
2023-05-18,177.0203857421875
2023-05-19,176.2167510986328
2023-05-22,175.84173583984375
2023-05-23,174.09161376953125
2023-05-24,171.31463623046875
2023-05-25,171.6807403564453
2023-05-26,173.00225830078125
2023-05-30,173.71658325195312
2023-05-31,171.0824737548828
2023-06-01,173.10049438476562
2023-06-02,177.55612182617188
2023-06-05,176.06494140625
2023-06-06,175.31488037109375
2023-06-07,177.14537048339844
2023-06-08,176.93109130859375
2023-06-09,176.69891357421875
2023-06-12,177.2436065673828
2023-06-13,179.57408142089844
2023-06-14,179.0472869873047
2023-06-15,181.9135284423828
2023-06-16,181.2349395751953
2023-06-20,178.9401397705078
2023-06-21,180.19021606445312
2023-06-22,179.16336059570312
2023-06-23,178.663330078125
