Date,PM
2023-01-03,88.24514770507812
2023-01-04,88.18416595458984
2023-01-05,87.82699584960938
2023-01-06,90.15290832519531
2023-01-09,89.11627197265625
2023-01-10,89.02045440673828
2023-01-11,88.90721130371094
2023-01-12,88.36709594726562
2023-01-13,88.59358978271484
2023-01-17,88.18416595458984
2023-01-18,86.46804809570312
2023-01-19,88.14932250976562
2023-01-20,88.69813537597656
2023-01-23,88.1144790649414
2023-01-24,88.24514770507812
2023-01-25,90.0919189453125
2023-01-26,90.8759536743164
2023-01-27,90.38811492919922
2023-01-30,90.4490966796875
2023-01-31,90.80624389648438
2023-02-01,91.80805206298828
2023-02-02,90.17034149169922
2023-02-03,89.368896484375
2023-02-06,88.68942260742188
2023-02-07,89.02916717529297
2023-02-08,88.2364273071289
2023-02-09,88.87235260009766
2023-02-10,89.16854095458984
2023-02-13,90.34455108642578
2023-02-14,88.60228729248047
2023-02-15,88.07963562011719
2023-02-16,87.37403106689453
2023-02-17,88.69813537597656
2023-02-21,87.09526062011719
2023-02-22,86.7555160522461
2023-02-23,86.96458435058594
2023-02-24,85.87567138671875
2023-02-27,85.51852416992188
2023-02-28,84.76063537597656
2023-03-01,84.9435806274414
2023-03-02,85.68402862548828
2023-03-03,86.41575622558594
2023-03-06,87.19979095458984
2023-03-07,86.45932006835938
2023-03-08,86.89488983154297
2023-03-09,86.20671081542969
2023-03-10,85.6753158569336
2023-03-13,84.82161712646484
2023-03-14,84.80419921875
2023-03-15,83.78496551513672
2023-03-16,83.09678649902344
2023-03-17,82.57410430908203
2023-03-20,83.88951873779297
2023-03-21,83.36682891845703
2023-03-22,81.54817962646484
2023-03-23,79.69420623779297
2023-03-24,80.11797332763672
2023-03-27,81.75121307373047
2023-03-28,83.19026184082031
2023-03-29,83.62285614013672
2023-03-30,85.30024719238281
2023-03-31,85.8564453125
2023-04-03,86.43030548095703
2023-04-04,86.11247253417969
2023-04-05,87.17188262939453
2023-04-06,87.42789459228516
2023-04-10,87.02179718017578
2023-04-11,87.08360290527344
2023-04-12,87.21603393554688
2023-04-13,88.06354522705078
2023-04-14,87.8251953125
2023-04-17,88.23129272460938
2023-04-18,89.45845031738281
2023-04-19,89.61736297607422
2023-04-20,85.37970733642578
2023-04-21,86.3155288696289
2023-04-24,86.82757568359375
2023-04-25,87.12774658203125
2023-04-26,86.69515228271484
2023-04-27,87.24252319335938
2023-04-28,88.25778198242188
2023-05-01,87.71041107177734
2023-05-02,85.5562744140625
2023-05-03,84.6292953491211
2023-05-04,83.32269287109375
2023-05-05,84.36444854736328
2023-05-08,84.36444854736328
2023-05-09,84.44390106201172
2023-05-10,83.95832824707031
2023-05-11,83.90536499023438
2023-05-12,83.97599029541016
2023-05-15,83.87005615234375
2023-05-16,82.86360931396484
2023-05-17,82.5369644165039
2023-05-18,81.75121307373047
2023-05-19,82.27210998535156
2023-05-22,82.16617584228516
2023-05-23,82.05139923095703
2023-05-24,81.530517578125
2023-05-25,80.12680053710938
2023-05-26,80.19743347167969
2023-05-30,79.64122772216797
2023-05-31,79.46466827392578
2023-06-01,79.59710693359375
2023-06-02,81.02729034423828
2023-06-05,79.4999771118164
2023-06-06,80.88604736328125
2023-06-07,81.44222259521484
2023-06-08,81.37159729003906
2023-06-09,81.74238586425781
2023-06-12,81.7953872680664
2023-06-13,82.36922454833984
2023-06-14,82.15733337402344
2023-06-15,83.63168334960938
2023-06-16,83.77294158935547
2023-06-20,83.71115112304688
2023-06-21,85.06189727783203
2023-06-22,85.60760498046875
2023-06-23,86.15335083007812
2023-06-26,86.57382202148438
2023-06-27,86.38594055175781
2023-06-28,86.0638656616211
2023-06-29,87.39688110351562
2023-06-30,87.3342514038086
2023-07-03,88.10364532470703
2023-07-05,87.18217468261719
2023-07-06,87.22692108154297
2023-07-07,87.40582275390625
2023-07-10,87.45056915283203
2023-07-11,88.21099090576172
2023-07-12,88.56885528564453
2023-07-13,89.90186309814453
2023-07-14,89.01617431640625
2023-07-17,88.52413177490234
2023-07-18,87.98734283447266
2023-07-19,88.36309051513672
2023-07-20,87.83525848388672
2023-07-21,87.24479675292969
2023-07-24,87.3342514038086
2023-07-25,86.94957733154297
2023-07-26,87.87999725341797
2023-07-27,88.19309997558594
2023-07-28,89.33824157714844
2023-07-31,89.21299743652344
2023-08-01,87.89787292480469
2023-08-02,87.62055206298828
2023-08-03,87.15532684326172
2023-08-04,86.07281494140625
2023-08-07,86.96746826171875
2023-08-08,86.91378021240234
2023-08-09,86.8869400024414
2023-08-10,86.63644409179688
2023-08-11,86.02809143066406
2023-08-14,85.75076293945312
2023-08-15,84.6593017578125
2023-08-16,84.08674621582031
2023-08-17,83.55890655517578
2023-08-18,84.41775512695312
2023-08-21,84.39091491699219
2023-08-22,84.12252807617188
2023-08-23,84.38196563720703
2023-08-24,84.1672592163086
2023-08-25,85.05293273925781
2023-08-28,85.777587890625
2023-08-29,86.10859680175781
2023-08-30,86.56488037109375
2023-08-31,85.9386215209961
2023-09-01,85.59867095947266
2023-09-05,84.55195617675781
2023-09-06,83.69309997558594
2023-09-07,83.4515380859375
2023-09-08,83.80046081542969
2023-09-11,84.56983947753906
2023-09-12,84.4982681274414
2023-09-13,85.21397399902344
2023-09-14,86.16229248046875
2023-09-15,85.69706726074219
2023-09-18,86.74378967285156
2023-09-19,87.06587219238281
2023-09-20,87.4147720336914
2023-09-21,85.8133773803711
2023-09-22,84.92769622802734
2023-09-25,83.84517669677734
2023-09-26,82.62043762207031
2023-09-27,81.94003295898438
2023-09-28,84.41674041748047
2023-09-29,83.99034881591797
2023-10-02,82.92889404296875
2023-10-03,81.8946533203125
2023-10-04,82.8563232421875
2023-10-05,83.44601440429688
2023-10-06,83.61837768554688
2023-10-09,83.74539947509766
2023-10-10,85.3239517211914
2023-10-11,84.5074691772461
2023-10-12,83.3462142944336
2023-10-13,83.70003509521484
2023-10-16,84.48023223876953
2023-10-17,84.72518157958984
2023-10-18,84.5618896484375
2023-10-19,82.31197357177734
2023-10-20,83.97219848632812
2023-10-23,82.48435974121094
2023-10-24,82.40271759033203
2023-10-25,81.67692565917969
2023-10-26,81.3866195678711
2023-10-27,79.35446166992188
2023-10-30,81.0963134765625
2023-10-31,80.88766479492188
2023-11-01,80.75157165527344
2023-11-02,82.50250244140625
2023-11-03,83.0286865234375
2023-11-06,82.52972412109375
2023-11-07,82.81095123291016
2023-11-08,81.83116149902344
2023-11-09,81.46826934814453
2023-11-10,81.37754821777344
2023-11-13,81.64972686767578
2023-11-14,82.01260375976562
2023-11-15,83.21920776367188
2023-11-16,82.81095123291016
2023-11-17,83.41878509521484
2023-11-20,83.80889892578125
2023-11-21,84.18992614746094
2023-11-22,85.11528778076172
2023-11-24,85.5870361328125
2023-11-27,85.3239517211914
2023-11-28,85.4146728515625
2023-11-29,84.96107482910156
2023-11-30,84.6979751586914
2023-12-01,85.3239517211914
2023-12-04,84.30787658691406
2023-12-05,83.95404815673828
2023-12-06,82.64765167236328
2023-12-07,82.66580200195312
2023-12-08,82.83817291259766
2023-12-11,84.36228942871094
2023-12-12,84.26249694824219
2023-12-13,85.64148712158203
2023-12-14,85.88642883300781
2023-12-15,85.69590759277344
2023-12-18,86.07694244384766
2023-12-19,86.43074798583984
2023-12-20,84.60961151123047
2023-12-21,85.38223266601562
2023-12-22,85.4833984375
2023-12-26,85.76852416992188
2023-12-27,86.25599670410156
2023-12-28,86.53193664550781
2023-12-29,86.53193664550781
2024-01-02,87.8931884765625
2024-01-03,87.76441955566406
2024-01-04,87.98516845703125
2024-01-05,87.65406036376953
2024-01-08,88.56462097167969
2024-01-09,87.92079162597656
2024-01-10,86.89065551757812
2024-01-11,87.5160903930664
2024-01-12,87.62645721435547
2024-01-16,86.92743682861328
2024-01-17,86.1916275024414
2024-01-18,85.71334075927734
2024-01-19,84.91315460205078
2024-01-22,85.01432037353516
2024-01-23,84.43486785888672
2024-01-24,83.58867645263672
2024-01-25,83.89219665527344
2024-01-26,83.56107330322266
2024-01-29,84.34288024902344
2024-01-30,84.39806365966797
2024-01-31,83.56107330322266
2024-02-01,85.80530548095703
2024-02-02,85.52938079833984
2024-02-05,84.27850341796875
2024-02-06,84.30609893798828
2024-02-07,84.1037368774414
2024-02-08,81.86870574951172
2024-02-09,81.96988677978516
2024-02-12,82.7792739868164
2024-02-13,82.03426361083984
2024-02-14,82.06185150146484
2024-02-15,81.84111785888672
2024-02-16,82.45735168457031
2024-02-20,82.44816589355469
2024-02-21,83.30354309082031
2024-02-22,83.8738021850586
2024-02-23,84.21410369873047
2024-02-26,83.16558074951172
2024-02-27,82.94483947753906
2024-02-28,83.16558074951172
2024-02-29,82.74248504638672
2024-03-01,82.62291717529297
2024-03-04,83.06439971923828
2024-03-05,83.30354309082031
2024-03-06,83.78182220458984
2024-03-07,84.16812896728516
2024-03-08,85.24425506591797
2024-03-11,86.83545684814453
2024-03-12,87.0746078491211
2024-03-13,87.67245483398438
2024-03-14,86.41234588623047
2024-03-15,86.70667266845703
2024-03-18,87.68165588378906
2024-03-19,87.35973358154297
2024-03-20,87.32241821289062
2024-03-21,85.97957611083984
2024-03-22,84.74862670898438
2024-03-25,85.00041961669922
2024-03-26,84.2823715209961
2024-03-27,86.0075454711914
2024-03-28,85.4386978149414
2024-04-01,85.2708511352539
2024-04-02,85.62520599365234
2024-04-03,84.86053466796875
2024-04-04,84.0212631225586
2024-04-05,83.44308471679688
2024-04-08,84.2264175415039
2024-04-09,84.92581176757812
2024-04-10,83.66690063476562
2024-04-11,83.3964614868164
2024-04-12,82.85558319091797
2024-04-15,82.6224594116211
2024-04-16,83.46173095703125
2024-04-17,84.46887969970703
