Date,AAPL
2023-01-03,123.09601593017578
2023-01-04,124.36566162109375
2023-01-05,123.04679870605469
2023-01-06,127.57421112060547
2023-01-09,128.09585571289062
2023-01-10,128.6666717529297
2023-01-11,131.38316345214844
2023-01-12,131.30442810058594
2023-01-13,132.63308715820312
2023-01-17,133.7944793701172
2023-01-18,133.0759735107422
2023-01-19,133.13504028320312
2023-01-20,135.6939697265625
2023-01-23,138.88287353515625
2023-01-24,140.2804718017578
2023-01-25,139.62103271484375
2023-01-26,141.68789672851562
2023-01-27,143.6267852783203
2023-01-30,140.74302673339844
2023-01-31,142.01268005371094
2023-02-01,143.13467407226562
2023-02-02,148.43960571289062
2023-02-03,152.06153869628906
2023-02-06,149.33523559570312
2023-02-07,152.2091522216797
2023-02-08,149.52224731445312
2023-02-09,148.48883056640625
2023-02-10,148.85353088378906
2023-02-13,151.65298461914062
2023-02-14,151.0122833251953
2023-02-15,153.1118621826172
2023-02-16,151.51499938964844
2023-02-17,150.3715362548828
2023-02-21,146.3596649169922
2023-02-22,146.7835235595703
2023-02-23,147.26651000976562
2023-02-24,144.61495971679688
2023-02-27,145.80767822265625
2023-02-28,145.30496215820312
2023-03-01,143.23492431640625
2023-03-02,143.82635498046875
2023-03-03,148.87327575683594
2023-03-06,151.63328552246094
2023-03-07,149.43508911132812
2023-03-08,150.6869659423828
2023-03-09,148.43951416015625
2023-03-10,146.37939453125
2023-03-13,148.32125854492188
2023-03-14,150.4109649658203
2023-03-15,150.80531311035156
2023-03-16,153.6243896484375
2023-03-17,152.78656005859375
2023-03-20,155.1522979736328
2023-03-21,157.00543212890625
2023-03-22,155.57615661621094
2023-03-23,156.66041564941406
2023-03-24,157.96160888671875
2023-03-27,156.01976013183594
2023-03-28,155.39874267578125
2023-03-29,158.4741973876953
2023-03-30,160.0414581298828
2023-03-31,162.54518127441406
2023-04-03,163.7970428466797
2023-04-04,163.26475524902344
2023-04-05,161.42144775390625
2023-04-06,162.30860900878906
2023-04-10,159.7161865234375
2023-04-11,158.5037384033203
2023-04-12,157.81375122070312
2023-04-13,163.19577026367188
2023-04-14,162.8507537841797
2023-04-17,162.87045288085938
2023-04-18,164.09274291992188
2023-04-19,165.2362060546875
2023-04-20,164.2702178955078
2023-04-21,162.6634521484375
2023-04-24,162.9690399169922
2023-04-25,161.43133544921875
2023-04-26,161.42144775390625
2023-04-27,166.00506591796875
2023-04-28,167.2569122314453
2023-05-01,167.16822814941406
2023-05-02,166.13319396972656
2023-05-03,165.0587921142578
2023-05-04,163.42245483398438
2023-05-05,171.09136962890625
2023-05-08,171.02236938476562
2023-05-09,169.31710815429688
2023-05-10,171.08151245117188
2023-05-11,171.268798828125
2023-05-12,170.3409423828125
2023-05-15,169.84738159179688
2023-05-16,169.84738159179688
2023-05-17,170.45941162109375
2023-05-18,172.78887939453125
2023-05-19,172.89747619628906
2023-05-22,171.94989013671875
2023-05-23,169.343994140625
2023-05-24,169.62037658691406
2023-05-25,170.7554931640625
2023-05-26,173.1639862060547
2023-05-30,175.00985717773438
2023-05-31,174.9604949951172
2023-06-01,177.76382446289062
2023-06-02,178.61270141601562
2023-06-05,177.26040649414062
2023-06-06,176.89520263671875
2023-06-07,175.5231170654297
2023-06-08,178.23764038085938
2023-06-09,178.62257385253906
2023-06-12,181.416015625
2023-06-13,180.9422149658203
2023-06-14,181.5739288330078
2023-06-15,183.6073455810547
2023-06-16,182.5314483642578
2023-06-20,182.62026977539062
2023-06-21,181.58384704589844
2023-06-22,184.58456420898438
2023-06-23,184.26869201660156
2023-06-26,182.87692260742188
2023-06-27,185.630859375
2023-06-28,186.8054656982422
2023-06-29,187.14108276367188
2023-06-30,191.46450805664062
2023-07-03,189.97402954101562
2023-07-05,188.85862731933594
2023-07-06,189.3324432373047
2023-07-07,188.21702575683594
2023-07-10,186.1737518310547
2023-07-11,185.6505889892578
2023-07-12,187.3187713623047
2023-07-13,188.07882690429688
2023-07-14,188.2268829345703
2023-07-17,191.48428344726562
2023-07-18,191.22763061523438
2023-07-19,192.57994079589844
2023-07-20,190.6353759765625
2023-07-21,189.46075439453125
2023-07-24,190.26026916503906
2023-07-25,191.1190185546875
2023-07-26,191.98768615722656
2023-07-27,190.72421264648438
2023-07-28,193.30050659179688
2023-07-31,193.9124755859375
2023-08-01,193.0833282470703
2023-08-02,190.09249877929688
2023-08-03,188.70068359375
2023-08-04,179.63929748535156
2023-08-07,176.5398406982422
2023-08-08,177.47756958007812
2023-08-09,175.88836669921875
2023-08-10,175.6712188720703
2023-08-11,175.7305145263672
2023-08-14,177.3811798095703
2023-08-15,175.3944549560547
2023-08-16,174.52462768554688
2023-08-17,171.9844207763672
2023-08-18,172.46873474121094
2023-08-21,173.8031005859375
2023-08-22,175.17698669433594
2023-08-23,179.0219268798828
2023-08-24,174.3368377685547
2023-08-25,176.54103088378906
2023-08-28,178.1027069091797
2023-08-29,181.98715209960938
2023-08-30,185.4762725830078
2023-08-31,185.69374084472656
2023-09-01,187.2653045654297
2023-09-05,187.50253295898438
2023-09-06,180.79119873046875
2023-09-07,175.503173828125
2023-09-08,176.11595153808594
2023-09-11,177.2823028564453
2023-09-12,174.2577667236328
2023-09-13,172.19198608398438
2023-09-14,173.7042694091797
2023-09-15,172.9827117919922
2023-09-18,175.90841674804688
2023-09-19,176.99569702148438
2023-09-20,173.45716857910156
2023-09-21,171.91522216796875
2023-09-22,172.76522827148438
2023-09-25,174.04031372070312
2023-09-26,169.96803283691406
2023-09-27,168.45574951171875
2023-09-28,168.71275329589844
2023-09-29,169.22674560546875
2023-10-02,171.73731994628906
2023-10-03,170.40293884277344
2023-10-04,171.64833068847656
2023-10-05,172.8838348388672
2023-10-06,175.43397521972656
2023-10-09,176.91661071777344
2023-10-10,176.32354736328125
2023-10-11,177.7172088623047
2023-10-12,178.61669921875
2023-10-13,176.7782440185547
2023-10-16,176.6497344970703
2023-10-17,175.09791564941406
2023-10-18,173.8031005859375
2023-10-19,173.42752075195312
2023-10-20,170.87741088867188
2023-10-23,170.99598693847656
2023-10-24,171.43092346191406
2023-10-25,169.11801147460938
2023-10-26,164.95677185058594
2023-10-27,166.2713623046875
2023-10-30,168.3173828125
2023-10-31,168.79185485839844
2023-11-01,171.9547576904297
2023-11-02,175.5130615234375
2023-11-03,174.6036834716797
2023-11-06,177.15380859375
2023-11-07,179.71380615234375
2023-11-08,180.77142333984375
2023-11-09,180.29698181152344
2023-11-10,184.48350524902344
2023-11-13,182.8999481201172
2023-11-14,185.5128173828125
2023-11-15,186.07691955566406
2023-11-16,187.75946044921875
2023-11-17,187.73965454101562
2023-11-20,189.4815673828125
2023-11-21,188.67990112304688
2023-11-22,189.34300231933594
2023-11-24,188.0167999267578
2023-11-27,187.83863830566406
2023-11-28,188.4423828125
2023-11-29,187.42294311523438
2023-11-30,187.9969940185547
2023-12-01,189.27374267578125
2023-12-04,187.4823455810547
2023-12-05,191.43130493164062
2023-12-06,190.34266662597656
2023-12-07,192.2725830078125
2023-12-08,193.69776916503906
2023-12-11,191.1937713623047
2023-12-12,192.70803833007812
2023-12-13,195.92465209960938
2023-12-14,196.07308959960938
2023-12-15,195.53866577148438
2023-12-18,193.8759307861328
2023-12-19,194.91513061523438
2023-12-20,192.8268280029297
2023-12-21,192.67837524414062
2023-12-22,191.60948181152344
2023-12-26,191.06512451171875
2023-12-27,191.1640625
2023-12-28,191.58966064453125
2023-12-29,190.55044555664062
2024-01-02,183.73130798339844
