Date,NKE
2023-01-03,112.61213684082031
2023-01-04,114.94498443603516
2023-01-05,114.3854751586914
2023-01-06,118.09336853027344
2023-01-09,118.39683532714844
2023-01-10,119.33566284179688
2023-01-11,121.32713317871094
2023-01-12,121.27970886230469
2023-01-13,122.19007110595703
2023-01-17,121.51679229736328
2023-01-18,119.89517211914062
2023-01-19,118.09336853027344
2023-01-20,120.07534790039062
2023-01-23,121.65902709960938
2023-01-24,120.27449035644531
2023-01-25,120.26502227783203
2023-01-26,120.93830871582031
2023-01-27,120.93830871582031
2023-01-30,119.8382797241211
2023-01-31,120.74866485595703
2023-02-01,122.80650329589844
2023-02-02,122.38922882080078
2023-02-03,121.01417541503906
2023-02-06,119.23135375976562
2023-02-07,118.8520278930664
2023-02-08,116.55711364746094
2023-02-09,115.86485290527344
2023-02-10,115.91227722167969
2023-02-13,118.68132781982422
2023-02-14,119.67704772949219
2023-02-15,120.89090728759766
2023-02-16,117.95112609863281
2023-02-17,118.38733673095703
2023-02-21,114.84066009521484
2023-02-22,113.70268249511719
2023-02-23,113.75959014892578
2023-02-24,111.9388198852539
2023-02-27,112.40350341796875
2023-02-28,112.65007019042969
2023-03-01,112.45091247558594
2023-03-02,113.39924621582031
2023-03-03,115.0159683227539
2023-03-06,114.2836685180664
2023-03-07,113.7320785522461
2023-03-08,113.98887634277344
2023-03-09,112.0963363647461
2023-03-10,111.73493194580078
2023-03-13,111.13581085205078
2023-03-14,113.17098999023438
2023-03-15,112.38162994384766
2023-03-16,114.74016571044922
2023-03-17,114.49288940429688
2023-03-20,115.26321411132812
2023-03-21,119.45722198486328
2023-03-22,113.64649963378906
2023-03-23,115.04448699951172
2023-03-24,114.79721069335938
2023-03-27,112.03926849365234
2023-03-28,112.0963363647461
2023-03-29,114.5879898071289
2023-03-30,114.21709442138672
2023-03-31,116.63268280029297
2023-04-03,115.71018981933594
2023-04-04,117.63125610351562
2023-04-05,114.97792053222656
2023-04-06,114.33120727539062
2023-04-10,115.93844604492188
2023-04-11,117.26036071777344
2023-04-12,117.60272979736328
2023-04-13,120.23703002929688
