Date,MDT
2023-01-03,70.96387481689453
2023-01-04,73.42122650146484
2023-01-05,72.5688705444336
2023-01-06,73.32149505615234
2023-01-09,70.31100463867188
2023-01-10,71.53514862060547
2023-01-11,72.8318099975586
2023-01-12,72.40563201904297
2023-01-13,73.0766372680664
2023-01-17,72.8590316772461
2023-01-18,71.39006042480469
2023-01-19,72.10640716552734
2023-01-20,73.36681365966797
2023-01-23,74.69071197509766
2023-01-24,73.26708221435547
2023-01-25,73.62977600097656
2023-01-26,74.2101058959961
2023-01-27,74.8811264038086
2023-01-30,74.8811264038086
2023-01-31,75.88764190673828
2023-02-01,77.7737045288086
2023-02-02,79.41497802734375
2023-02-03,78.979736328125
2023-02-06,77.29312896728516
2023-02-07,78.50820922851562
2023-02-08,78.12735748291016
2023-02-09,75.81510162353516
2023-02-10,75.88764190673828
2023-02-13,76.52236938476562
2023-02-14,75.62467956542969
2023-02-15,76.61305236816406
2023-02-16,76.35009002685547
2023-02-17,76.89414978027344
2023-02-21,77.51982116699219
2023-02-22,77.16618347167969
2023-02-23,76.15967559814453
2023-02-24,75.70629119873047
2023-02-27,75.61561584472656
2023-02-28,75.08060455322266
2023-03-01,74.42774200439453
2023-03-02,74.59095764160156
2023-03-03,75.63375091552734
2023-03-06,74.2917251586914
2023-03-07,72.3058853149414
2023-03-08,71.09082794189453
2023-03-09,70.72811889648438
2023-03-10,69.56743621826172
2023-03-13,70.70999145507812
2023-03-14,70.60116577148438
2023-03-15,71.09989166259766
2023-03-16,71.87971496582031
2023-03-17,70.9910888671875
2023-03-20,72.1880111694336
2023-03-21,73.656982421875
2023-03-22,72.48725891113281
2023-03-23,70.941650390625
2023-03-24,72.58786010742188
2023-03-27,72.83478546142578
2023-03-28,72.71589660644531
2023-03-29,72.31349182128906
2023-03-30,72.4140853881836
2023-03-31,73.73104858398438
2023-04-03,72.86221313476562
2023-04-04,72.6792984008789
2023-04-05,73.41093444824219
2023-04-06,73.4383773803711
2023-04-10,73.38349151611328
2023-04-11,74.07855987548828
2023-04-12,73.90480041503906
2023-04-13,74.6181411743164
2023-04-14,73.8133544921875
2023-04-17,75.10285186767578
2023-04-18,74.67302703857422
2023-04-19,77.61787414550781
2023-04-20,76.35579681396484
2023-04-21,78.40438842773438
2023-04-24,82.02601623535156
2023-04-25,82.02601623535156
2023-04-26,82.2820816040039
2023-04-27,83.57157897949219
2023-04-28,83.17833709716797
2023-05-01,82.93141174316406
2023-05-02,82.51986694335938
2023-05-03,82.94055938720703
2023-05-04,81.64189910888672
2023-05-05,82.3643798828125
2023-05-08,82.4832763671875
2023-05-09,81.94368743896484
2023-05-10,81.7699203491211
2023-05-11,81.41326141357422
2023-05-12,81.28522491455078
2023-05-15,81.67847442626953
