Date,KO
2023-01-03,57.51914978027344
2023-01-04,57.491737365722656
2023-01-05,56.833858489990234
2023-01-06,57.93033218383789
2023-01-09,57.2084846496582
2023-01-10,56.769901275634766
2023-01-11,56.660247802734375
2023-01-12,55.929264068603516
2023-01-13,56.13029479980469
2023-01-17,56.35872268676758
2023-01-18,54.65005111694336
2023-01-19,54.567813873291016
2023-01-20,54.896751403808594
2023-01-23,55.0338134765625
2023-01-24,55.326202392578125
2023-01-25,55.673423767089844
2023-01-26,55.56378173828125
2023-01-27,55.27137756347656
2023-01-30,55.40843963623047
2023-01-31,56.02977752685547
2023-02-01,56.03891372680664
2023-02-02,55.079498291015625
2023-02-03,54.66832733154297
2023-02-06,54.97899627685547
2023-02-07,54.887611389160156
2023-02-08,54.567813873291016
2023-02-09,54.4764404296875
2023-02-10,54.4764404296875
2023-02-13,55.371891021728516
2023-02-14,54.44902801513672
2023-02-15,54.44902801513672
2023-02-16,54.11095428466797
2023-02-17,54.93330383300781
2023-02-21,54.64091491699219
2023-02-22,54.805381774902344
2023-02-23,54.905887603759766
2023-02-24,54.677459716796875
2023-02-27,54.659183502197266
2023-02-28,54.37592697143555
2023-03-01,53.78200912475586
2023-03-02,54.567813873291016
2023-03-03,54.31196212768555
2023-03-06,55.1525993347168
2023-03-07,54.83279037475586
2023-03-08,54.860206604003906
2023-03-09,54.33024597167969
2023-03-10,54.101810455322266
2023-03-13,54.65005111694336
2023-03-14,54.851070404052734
2023-03-15,55.21656036376953
2023-03-16,55.52040100097656
2023-03-17,55.262596130371094
2023-03-20,55.79662322998047
2023-03-21,55.538814544677734
2023-03-22,55.29021072387695
2023-03-23,55.1705207824707
2023-03-24,56.07284927368164
2023-03-27,56.4871711730957
2023-03-28,56.5516242980957
2023-03-29,56.956756591796875
2023-03-30,56.94754409790039
2023-03-31,57.113277435302734
2023-04-03,57.45395278930664
2023-04-04,57.27901077270508
2023-04-05,57.822242736816406
2023-04-06,57.859073638916016
2023-04-10,57.7209587097168
2023-04-11,57.619686126708984
2023-04-12,57.7209587097168
2023-04-13,58.144500732421875
2023-04-14,58.05242156982422
2023-04-17,58.429931640625
2023-04-18,58.52199935913086
2023-04-19,58.63249969482422
2023-04-20,58.89029312133789
2023-04-21,58.973167419433594
2023-04-24,58.88108825683594
2023-04-25,58.78901672363281
2023-04-26,58.51279067993164
2023-04-27,58.63249969482422
2023-04-28,59.06523513793945
2023-05-01,59.203346252441406
2023-05-02,58.936336517333984
2023-05-03,58.60487365722656
2023-05-04,58.66931915283203
2023-05-05,58.94554138183594
2023-05-08,58.853458404541016
2023-05-09,58.365478515625
2023-05-10,58.46675109863281
2023-05-11,58.79822540283203
2023-05-12,59.028404235839844
2023-05-15,58.871883392333984
2023-05-16,58.20895004272461
2023-05-17,58.144500732421875
2023-05-18,57.822242736816406
2023-05-19,57.8498649597168
2023-05-22,56.634490966796875
2023-05-23,56.533206939697266
2023-05-24,56.0544319152832
2023-05-25,55.621681213378906
2023-05-26,55.48357009887695
2023-05-30,55.04161834716797
2023-05-31,54.931129455566406
2023-06-01,55.24418258666992
2023-06-02,56.31223678588867
2023-06-05,55.93473815917969
2023-06-06,55.52961349487305
2023-06-07,55.44674301147461
2023-06-08,55.5848503112793
2023-06-09,55.67692184448242
2023-06-12,55.43753433227539
2023-06-13,55.65851974487305
2023-06-14,56.0360221862793
2023-06-15,56.80604553222656
2023-06-16,57.214256286621094
2023-06-20,56.83388137817383
2023-06-21,56.9915885925293
2023-06-22,57.38125228881836
2023-06-23,56.77821350097656
2023-06-26,56.79676818847656
2023-06-27,56.6761589050293
2023-06-28,56.147342681884766
2023-06-29,55.683467864990234
2023-06-30,55.8690185546875
2023-07-03,56.20301055908203
2023-07-05,56.6204948425293
2023-07-06,56.184452056884766
2023-07-07,55.44225311279297
2023-07-10,55.0247688293457
2023-07-11,55.21959686279297
2023-07-12,55.516483306884766
2023-07-13,55.989627838134766
2023-07-14,56.49989318847656
2023-07-17,56.41638946533203
