Date,LLY
2023-01-03,355.8290710449219
2023-01-04,353.9866027832031
2023-01-05,349.91143798828125
2023-01-06,353.8304748535156
2023-01-09,341.0495300292969
2023-01-10,343.8963317871094
2023-01-11,351.364013671875
2023-01-12,350.10638427734375
2023-01-13,352.543701171875
2023-01-17,348.7610168457031
2023-01-18,343.17486572265625
2023-01-19,342.2681884765625
2023-01-20,337.38397216796875
2023-01-23,333.62078857421875
2023-01-24,337.6959533691406
2023-01-25,340.9521179199219
2023-01-26,339.2752685546875
2023-01-27,333.51361083984375
2023-01-30,331.9537658691406
2023-01-31,335.5120849609375
2023-02-01,333.9717712402344
2023-02-02,322.3997802734375
2023-02-03,330.56939697265625
2023-02-06,329.1850280761719
2023-02-07,331.15435791015625
2023-02-08,332.17803955078125
2023-02-09,333.21142578125
2023-02-10,336.45782470703125
2023-02-13,341.6052551269531
2023-02-14,339.9327697753906
2023-02-15,327.6581726074219
2023-02-16,318.9144287109375
2023-02-17,321.1932373046875
2023-02-21,320.3227844238281
2023-02-22,321.8485412597656
2023-02-23,320.33251953125
2023-02-24,314.5816345214844
2023-02-27,309.6717834472656
2023-02-28,304.3902587890625
2023-03-01,307.2755126953125
2023-03-02,308.13623046875
2023-03-03,311.44207763671875
2023-03-06,311.96038818359375
2023-03-07,303.813232421875
2023-03-08,305.68133544921875
2023-03-09,309.8967590332031
2023-03-10,308.1068115234375
2023-03-13,317.3690490722656
2023-03-14,319.8924560546875
2023-03-15,322.2397155761719
2023-03-16,322.2984619140625
2023-03-17,321.9560852050781
2023-03-20,326.2791748046875
2023-03-21,323.8144226074219
2023-03-22,323.70684814453125
2023-03-23,325.34027099609375
2023-03-24,328.7536926269531
2023-03-27,327.2572021484375
2023-03-28,330.2402648925781
2023-03-29,328.4993591308594
2023-03-30,333.21356201171875
2023-03-31,335.8836364746094
2023-04-03,343.0429992675781
2023-04-04,346.8378601074219
2023-04-05,354.2906494140625
2023-04-06,360.2079162597656
2023-04-10,358.94622802734375
2023-04-11,356.0511474609375
2023-04-12,360.951171875
2023-04-13,366.9173278808594
2023-04-14,366.50653076171875
2023-04-17,364.17877197265625
2023-04-18,361.7923583984375
2023-04-19,362.3399963378906
2023-04-20,366.5848083496094
2023-04-21,376.785888671875
2023-04-24,374.93743896484375
2023-04-25,376.3946533203125
2023-04-26,368.0127868652344
2023-04-27,381.7837829589844
2023-04-28,387.1728210449219
2023-05-01,396.9044494628906
2023-05-02,395.3298645019531
2023-05-03,421.7275085449219
2023-05-04,419.0378723144531
2023-05-05,418.4217224121094
2023-05-08,423.22393798828125
2023-05-09,418.9792785644531
2023-05-10,426.3537292480469
2023-05-11,425.9919128417969
2023-05-12,426.0016784667969
2023-05-15,426.0801086425781
2023-05-16,428.1785583496094
2023-05-17,428.9826965332031
2023-05-18,429.3945617675781
2023-05-19,433.79742431640625
2023-05-22,425.5701904296875
2023-05-23,414.99932861328125
2023-05-24,417.5096130371094
2023-05-25,419.0198059082031
2023-05-26,417.529296875
