Date,MDLZ
2023-01-03,61.118568420410156
2023-01-04,61.561397552490234
2023-01-05,61.063209533691406
2023-01-06,62.7514533996582
2023-01-09,62.031883239746094
2023-01-10,62.09646224975586
2023-01-11,62.33633804321289
2023-01-12,61.58906173706055
2023-01-13,61.86582565307617
2023-01-17,61.82892608642578
2023-01-18,59.56869888305664
2023-01-19,58.895233154296875
2023-01-20,59.07974624633789
2023-01-23,59.37495040893555
2023-01-24,59.817771911621094
2023-01-25,59.96538162231445
2023-01-26,59.522560119628906
2023-01-27,59.70707702636719
2023-01-30,59.817771911621094
2023-01-31,60.371299743652344
2023-02-01,61.561397552490234
2023-02-02,61.49680709838867
2023-02-03,60.80490493774414
2023-02-06,61.044761657714844
2023-02-07,60.0391845703125
2023-02-08,59.77164840698242
2023-02-09,59.31038284301758
2023-02-10,60.42665100097656
2023-02-13,61.13701248168945
2023-02-14,60.57426452636719
2023-02-15,60.601951599121094
2023-02-16,60.592716217041016
2023-02-17,61.67208480834961
2023-02-21,61.44145584106445
2023-02-22,61.10011672973633
2023-02-23,60.9525146484375
2023-02-24,60.4727897644043
2023-02-27,60.555816650390625
2023-02-28,60.131439208984375
2023-03-01,59.2181282043457
2023-03-02,60.29750061035156
2023-03-03,60.62038803100586
2023-03-06,60.592716217041016
2023-03-07,59.790103912353516
2023-03-08,60.04840850830078
2023-03-09,59.743980407714844
2023-03-10,59.873130798339844
2023-03-13,60.46356201171875
2023-03-14,61.15546798706055
2023-03-15,61.2569465637207
2023-03-16,61.75511932373047
2023-03-17,61.2569465637207
2023-03-20,62.483943939208984
2023-03-21,62.57617950439453
2023-03-22,62.1425895690918
2023-03-23,61.99498748779297
2023-03-24,63.69246292114258
2023-03-27,63.80316925048828
2023-03-28,64.19985961914062
2023-03-29,64.91944885253906
2023-03-30,64.54376220703125
2023-03-31,64.67363739013672
2023-04-03,65.13743591308594
2023-04-04,65.41571807861328
2023-04-05,66.23202514648438
2023-04-06,65.90737915039062
2023-04-10,65.42498779296875
2023-04-11,65.22093200683594
2023-04-12,65.12816619873047
2023-04-13,65.34151458740234
2023-04-14,64.75712585449219
2023-04-17,65.17454528808594
2023-04-18,65.39717102050781
2023-04-19,65.26730346679688
2023-04-20,65.88880920410156
2023-04-21,66.15782165527344
2023-04-24,66.61235809326172
2023-04-25,67.25240325927734
2023-04-26,67.09471130371094
2023-04-27,68.47686767578125
2023-04-28,71.16697692871094
2023-05-01,71.63078308105469
2023-05-02,71.98326873779297
2023-05-03,71.44525909423828
2023-05-04,71.69570922851562
2023-05-05,71.9461669921875
2023-05-08,72.45635986328125
2023-05-09,72.25228118896484
2023-05-10,72.25228118896484
2023-05-11,72.68827056884766
