Date,CSCO
2023-01-03,43.681644439697266
2023-01-04,43.67246627807617
2023-01-05,43.057098388671875
2023-01-06,44.379676818847656
2023-01-09,44.61846923828125
2023-01-10,44.829715728759766
2023-01-11,45.19709777832031
2023-01-12,45.00421905517578
2023-01-13,44.894004821777344
2023-01-17,44.15924835205078
2023-01-18,43.075469970703125
2023-01-19,42.67135238647461
2023-01-20,42.96525192260742
2023-01-23,43.62654113769531
2023-01-24,43.9112663269043
2023-01-25,44.06739807128906
2023-01-26,44.398040771484375
2023-01-27,44.554176330566406
2023-01-30,44.2878303527832
2023-01-31,44.70112991333008
2023-02-01,44.609283447265625
2023-02-02,45.298118591308594
2023-02-03,44.664390563964844
2023-02-06,43.69083023071289
2023-02-07,43.938812255859375
2023-02-08,43.13057327270508
2023-02-09,42.91932678222656
2023-02-10,43.40611267089844
2023-02-13,43.957191467285156
2023-02-14,43.810237884521484
2023-02-15,44.49907302856445
2023-02-16,46.831939697265625
2023-02-17,46.6298828125
2023-02-21,45.63794708251953
2023-02-22,45.28894805908203
2023-02-23,45.19709777832031
2023-02-24,44.52662658691406
2023-02-27,44.7562370300293
2023-02-28,44.47151184082031
2023-03-01,44.398040771484375
2023-03-02,44.57254409790039
2023-03-03,45.26138687133789
2023-03-06,45.38996505737305
2023-03-07,44.92155838012695
2023-03-08,45.10525131225586
2023-03-09,44.829715728759766
2023-03-10,44.6001091003418
2023-03-13,44.462337493896484
2023-03-14,45.05014419555664
2023-03-15,45.05933380126953
2023-03-16,46.03288269042969
2023-03-17,46.0971794128418
2023-03-20,46.7860221862793
2023-03-21,46.53804016113281
2023-03-22,45.42670440673828
2023-03-23,45.6746940612793
2023-03-24,46.39107894897461
2023-03-27,46.41864013671875
2023-03-28,46.2808723449707
2023-03-29,46.99726486206055
2023-03-30,47.236061096191406
2023-03-31,48.016746520996094
2023-04-03,48.04430389404297
2023-04-04,47.95176696777344
2023-04-05,47.95176696777344
2023-04-06,47.44282150268555
2023-04-10,47.49835205078125
2023-04-11,46.84134292602539
2023-04-12,46.369415283203125
2023-04-13,47.007904052734375
2023-04-14,46.76731491088867
2023-04-17,46.52672576904297
2023-04-18,46.554481506347656
2023-04-19,44.45393753051758
2023-04-20,43.1029167175293
2023-04-21,43.519325256347656
2023-04-24,43.85245132446289
2023-04-25,43.57484817504883
2023-04-26,43.06590270996094
2023-04-27,43.08441162109375
2023-04-28,43.7229118347168
2023-05-01,43.806190490722656
2023-05-02,42.89933776855469
2023-05-03,42.529197692871094
2023-05-04,42.288612365722656
2023-05-05,42.797550201416016
2023-05-08,42.880836486816406
2023-05-09,43.001129150390625
2023-05-10,43.22321319580078
2023-05-11,42.90859603881836
2023-05-12,43.22321319580078
2023-05-15,43.58409881591797
2023-05-16,43.417537689208984
2023-05-17,44.07454299926758
2023-05-18,44.601985931396484
2023-05-19,45.46256637573242
2023-05-22,45.17570877075195
2023-05-23,45.25898742675781
2023-05-24,44.79631805419922
2023-05-25,45.370025634765625
2023-05-26,46.1380729675293
2023-05-30,46.42493438720703
2023-05-31,45.96226119995117
2023-06-01,46.02703857421875
2023-06-02,46.286128997802734
2023-06-05,46.461944580078125
2023-06-06,46.09180450439453
2023-06-07,46.06404495239258
2023-06-08,45.97151565551758
2023-06-09,45.9530029296875
2023-06-12,46.711795806884766
2023-06-13,47.007904052734375
2023-06-14,47.15596008300781
2023-06-15,48.05355453491211
2023-06-16,48.183101654052734
2023-06-20,47.7019157409668
2023-06-21,47.054176330566406
2023-06-22,47.30401611328125
2023-06-23,46.572994232177734
2023-06-26,46.461944580078125
2023-06-27,47.06343460083008
2023-06-28,47.07267379760742
2023-06-29,47.387298583984375
2023-06-30,47.87773895263672
2023-07-03,47.95176696777344
2023-07-05,48.0263557434082
2023-07-06,47.653404235839844
2023-07-07,47.54151916503906
2023-07-10,47.923797607421875
2023-07-11,48.595096588134766
2023-07-12,47.30842971801758
2023-07-13,48.04500198364258
2023-07-14,46.972774505615234
2023-07-17,47.37369918823242
2023-07-18,47.77461242675781
2023-07-19,48.88413619995117
2023-07-20,48.828189849853516
2023-07-21,49.07060623168945
2023-07-24,49.51814651489258
2023-07-25,49.975006103515625
2023-07-26,49.62070846557617
2023-07-27,49.415584564208984
2023-07-28,48.567134857177734
2023-07-31,48.5205078125
2023-08-01,49.098575592041016
2023-08-02,49.02399444580078
2023-08-03,49.55544662475586
2023-08-04,49.07060623168945
2023-08-07,49.42490768432617
2023-08-08,49.471527099609375
2023-08-09,49.4062614440918
2023-08-10,49.760562896728516
2023-08-11,50.15216064453125
2023-08-14,50.2360725402832
2023-08-15,49.74190902709961
2023-08-16,49.378292083740234
2023-08-17,51.02858352661133
2023-08-18,51.3176155090332
2023-08-21,51.6905632019043
2023-08-22,51.70921325683594
2023-08-23,52.19404220581055
2023-08-24,51.504093170166016
2023-08-25,51.932979583740234
2023-08-28,52.399169921875
2023-08-29,52.73481750488281
2023-08-30,52.96791076660156
2023-08-31,53.47139358520508
2023-09-01,53.92824935913086
2023-09-05,53.38747787475586
2023-09-06,53.294246673583984
2023-09-07,52.94926834106445
2023-09-08,52.83738708496094
2023-09-11,52.995880126953125
2023-09-12,52.576324462890625
2023-09-13,52.473758697509766
2023-09-14,52.55767059326172
2023-09-15,52.24999237060547
2023-09-18,52.31525421142578
2023-09-19,52.06351852416992
2023-09-20,51.74651336669922
2023-09-21,49.73258972167969
2023-09-22,49.94704055786133
2023-09-25,49.86312484741211
2023-09-26,49.145198822021484
2023-09-27,49.6020622253418
2023-09-28,50.2360725402832
2023-09-29,50.12418746948242
2023-10-02,50.71157455444336
2023-10-03,50.38290023803711
2023-10-04,50.195072174072266
2023-10-05,49.83821487426758
2023-10-06,50.195072174072266
2023-10-09,50.636444091796875
2023-10-10,50.58949661254883
2023-10-11,50.39228057861328
2023-10-12,50.57071304321289
2023-10-13,50.49558639526367
2023-10-16,50.86183547973633
2023-10-17,50.65523147583008
2023-10-18,50.49558639526367
2023-10-19,50.0729866027832
2023-10-20,49.70673370361328
2023-10-23,49.02119445800781
2023-10-24,49.78186798095703
2023-10-25,49.20901107788086
2023-10-26,48.24173355102539
2023-10-27,48.420169830322266
2023-10-30,48.42955780029297
2023-10-31,48.9554557800293
2023-11-01,49.011802673339844
2023-11-02,49.53770065307617
2023-11-03,49.78186798095703
2023-11-06,50.04481506347656
2023-11-07,49.89456558227539
2023-11-08,49.77247619628906
2023-11-09,48.833370208740234
2023-11-10,49.387447357177734
2023-11-13,49.04936599731445
2023-11-14,49.93212127685547
2023-11-15,50.035423278808594
2023-11-16,45.11452865600586
2023-11-17,44.8515739440918
2023-11-20,45.33052062988281
2023-11-21,44.88914108276367
2023-11-22,45.15209197998047
2023-11-24,45.4150390625
2023-11-27,45.011226654052734
2023-11-28,44.936092376708984
2023-11-29,45.12390899658203
2023-11-30,45.43382263183594
2023-12-01,45.518341064453125
2023-12-04,45.12390899658203
2023-12-05,45.011226654052734
2023-12-06,44.79523468017578
2023-12-07,45.321128845214844
2023-12-08,45.43382263183594
2023-12-11,46.38231658935547
2023-12-12,46.32596206665039
2023-12-13,46.664039611816406
2023-12-14,46.429264068603516
2023-12-15,46.83308792114258
2023-12-18,47.18055725097656
2023-12-19,47.124202728271484
2023-12-20,46.7673454284668
2023-12-21,46.67343521118164
2023-12-22,47.0396842956543
2023-12-26,47.218116760253906
2023-12-27,47.368370056152344
2023-12-28,47.405941009521484
2023-12-29,47.44349670410156
2024-01-02,47.434104919433594
2024-01-03,47.80320358276367
2024-01-04,47.3962516784668
2024-01-05,47.40571594238281
2024-01-08,47.755889892578125
2024-01-09,47.23536682128906
2024-01-10,47.54768371582031
2024-01-11,47.73695755004883
2024-01-12,47.6423225402832
2024-01-16,47.87892150878906
2024-01-17,47.60446548461914
2024-01-18,48.03034973144531
2024-01-19,48.52248001098633
2024-01-22,48.80640411376953
2024-01-23,48.98622131347656
2024-01-24,48.560340881347656
2024-01-25,49.52567672729492
2024-01-26,49.34585952758789
2024-01-29,49.48781967163086
2024-01-30,49.44049835205078
2024-01-31,47.49089050292969
2024-02-01,47.49089050292969
2024-02-02,47.49089050292969
2024-02-05,46.85679244995117
2024-02-06,47.30160903930664
2024-02-07,47.102867126464844
