Date,MMM
2023-01-03,91.18852996826172
2023-01-04,93.18399810791016
2023-01-05,91.5533676147461
2023-01-06,94.3530044555664
2023-01-09,94.40510559082031
2023-01-10,95.4028549194336
2023-01-11,96.13998413085938
2023-01-12,96.31123352050781
2023-01-13,96.43036651611328
2023-01-17,94.26364135742188
2023-01-18,91.39701080322266
2023-01-19,88.1804428100586
2023-01-20,89.83338928222656
2023-01-23,91.30021667480469
2023-01-24,85.62651824951172
2023-01-25,84.08525848388672
2023-01-26,84.5468978881836
2023-01-27,85.81269073486328
2023-01-30,83.82464599609375
2023-01-31,85.68610382080078
2023-02-01,86.26685333251953
2023-02-02,89.56536865234375
2023-02-03,87.48052978515625
2023-02-06,86.74339294433594
2023-02-07,87.04122924804688
2023-02-08,85.81269073486328
2023-02-09,84.08525848388672
2023-02-10,84.79258728027344
2023-02-13,85.83500671386719
2023-02-14,85.03831481933594
2023-02-15,85.47016143798828
2023-02-16,84.49694061279297
2023-02-17,85.24384307861328
2023-02-21,82.42223358154297
2023-02-22,82.18836212158203
2023-02-23,82.16574096679688
2023-02-24,81.32830810546875
2023-02-27,81.68289947509766
2023-02-28,81.28303527832031
2023-03-01,83.14649963378906
2023-03-02,82.91264343261719
2023-03-03,83.93867492675781
2023-03-06,82.93526458740234
2023-03-07,80.79266357421875
2023-03-08,80.84546661376953
2023-03-09,79.60820007324219
2023-03-10,78.50672149658203
2023-03-13,78.08423614501953
2023-03-14,77.54103088378906
2023-03-15,77.54103088378906
2023-03-16,78.61988067626953
2023-03-17,77.72211456298828
2023-03-20,78.6953353881836
2023-03-21,78.68022918701172
2023-03-22,76.60554504394531
2023-03-23,76.1981430053711
2023-03-24,76.30376434326172
2023-03-27,76.56780242919922
2023-03-28,76.75641632080078
2023-03-29,77.85035705566406
2023-03-30,77.54103088378906
2023-03-31,79.29888153076172
2023-04-03,78.89148712158203
2023-04-04,77.14117431640625
2023-04-05,77.17137145996094
2023-04-06,76.62062072753906
2023-04-10,77.52593994140625
2023-04-11,78.88394927978516
2023-04-12,78.7406005859375
2023-04-13,80.08349609375
2023-04-14,79.79679870605469
2023-04-17,80.55879211425781
2023-04-18,80.17403411865234
2023-04-19,80.03067016601562
2023-04-20,79.0121841430664
2023-04-21,78.8235855102539
2023-04-24,79.26115417480469
2023-04-25,78.7406005859375
2023-04-26,77.64665222167969
2023-04-27,79.46484375
2023-04-28,80.13629913330078
2023-05-01,79.8571548461914
2023-05-02,77.6919174194336
2023-05-03,77.57876586914062
2023-05-04,76.83186340332031
2023-05-05,77.97106170654297
2023-05-08,77.20909118652344
2023-05-09,76.0472640991211
2023-05-10,76.12269592285156
2023-05-11,76.03217315673828
2023-05-12,75.64739990234375
2023-05-15,75.8133773803711
2023-05-16,73.9423828125
2023-05-17,75.5794906616211
2023-05-18,76.31476593017578
2023-05-19,75.84756469726562
2023-05-22,77.90019226074219
2023-05-23,77.12662506103516
2023-05-24,74.28512573242188
2023-05-25,74.3310775756836
2023-05-26,74.24681854248047
2023-05-30,73.57283782958984
2023-05-31,71.46660614013672
2023-06-01,72.20951080322266
2023-06-02,78.52822875976562
2023-06-05,75.04336547851562
2023-06-06,75.2807846069336
2023-06-07,77.35638427734375
2023-06-08,77.17256927490234
2023-06-09,76.51390075683594
2023-06-12,77.55553436279297
2023-06-13,78.68907928466797
2023-06-14,78.08401489257812
2023-06-15,79.50859069824219
2023-06-16,80.06771087646484
2023-06-20,78.35208892822266
2023-06-21,77.71638488769531
2023-06-22,76.91983795166016
2023-06-23,77.14195251464844
2023-06-26,76.90451049804688
2023-06-27,75.25782012939453
2023-06-28,75.49525451660156
2023-06-29,76.0083999633789
2023-06-30,76.65943145751953
2023-07-03,77.46361541748047
2023-07-05,75.54119873046875
2023-07-06,73.76431274414062
2023-07-07,74.51488494873047
2023-07-10,74.43830108642578
2023-07-11,78.06103515625
2023-07-12,77.79295349121094
2023-07-13,78.7809829711914
2023-07-14,78.35208892822266
2023-07-17,77.89253234863281
2023-07-18,78.89586639404297
2023-07-19,79.25584411621094
2023-07-20,79.876220703125
2023-07-21,79.9068603515625
2023-07-24,79.86090087890625
2023-07-25,84.11933135986328
2023-07-26,86.27152252197266
2023-07-27,85.16095733642578
2023-07-28,85.68944549560547
2023-07-31,85.39840698242188
2023-08-01,84.67845153808594
2023-08-02,83.41471862792969
2023-08-03,82.09735870361328
2023-08-04,80.81063079833984
2023-08-07,80.5961685180664
2023-08-08,79.74602508544922
2023-08-09,79.4320068359375
2023-08-10,79.57752227783203
2023-08-11,80.07536315917969
2023-08-14,79.20989227294922
2023-08-15,77.46361541748047
2023-08-16,77.19556427001953
2023-08-17,77.96912384033203
2023-08-18,77.74368286132812
2023-08-21,77.10626220703125
2023-08-22,76.57764434814453
2023-08-23,77.46383666992188
2023-08-24,76.56988525390625
2023-08-25,76.91969299316406
2023-08-28,80.93863677978516
2023-08-29,82.06580352783203
2023-08-30,81.1951675415039
2023-08-31,82.92091369628906
2023-09-01,83.13856506347656
2023-09-05,83.06082153320312
2023-09-06,82.68769073486328
2023-09-07,82.3612060546875
2023-09-08,82.5866470336914
2023-09-11,83.86927032470703
2023-09-12,83.30181121826172
2023-09-13,78.55213928222656
2023-09-14,79.53939056396484
2023-09-15,78.55992126464844
2023-09-18,78.54435729980469
2023-09-19,77.91471862792969
2023-09-20,76.95077514648438
2023-09-21,75.78474426269531
2023-09-22,75.43494415283203
2023-09-25,73.68587493896484
2023-09-26,72.97847747802734
2023-09-27,72.65199279785156
2023-09-28,72.49651336669922
2023-09-29,72.77638244628906
2023-10-02,70.13334655761719
2023-10-03,69.02172088623047
2023-10-04,68.42316436767578
2023-10-05,68.27545928955078
2023-10-06,68.71854400634766
2023-10-09,69.22383117675781
2023-10-10,70.45982360839844
2023-10-11,70.2655029296875
2023-10-12,69.20051574707031
2023-10-13,68.93621063232422
2023-10-16,69.91568756103516
2023-10-17,70.38987731933594
2023-10-18,68.71854400634766
2023-10-19,67.67689514160156
2023-10-20,67.28043365478516
2023-10-23,66.54193878173828
2023-10-24,70.05561828613281
2023-10-25,69.4881362915039
2023-10-26,68.91289520263672
2023-10-27,68.03446960449219
2023-10-30,69.58918762207031
2023-10-31,70.7008056640625
2023-11-01,70.39764404296875
2023-11-02,71.75802612304688
2023-11-03,72.96293640136719
2023-11-06,72.6986312866211
2023-11-07,72.41100311279297
2023-11-08,71.76580810546875
2023-11-09,71.2838363647461
2023-11-10,72.1467056274414
2023-11-13,72.05342102050781
