Date,BK
2023-01-03,42.28073501586914
2023-01-04,43.32176208496094
2023-01-05,43.11172866821289
2023-01-06,43.78749465942383
2023-01-09,43.96099853515625
2023-01-10,43.842288970947266
2023-01-11,43.997535705566406
2023-01-12,43.97926330566406
2023-01-13,44.77374267578125
2023-01-17,45.367313385009766
2023-01-18,44.95637512207031
2023-01-19,44.67328643798828
2023-01-20,45.308197021484375
2023-01-23,45.40020751953125
2023-01-24,45.510623931884766
2023-01-25,45.9983024597168
2023-01-26,46.56879806518555
2023-01-27,46.062713623046875
2023-01-30,45.79587173461914
2023-01-31,46.5319938659668
2023-02-01,46.743621826171875
2023-02-02,46.1639289855957
2023-02-03,46.219139099121094
2023-02-06,46.50439453125
2023-02-07,47.32332229614258
2023-02-08,47.64537811279297
2023-02-09,47.452144622802734
2023-02-10,47.295719146728516
2023-02-13,47.77419662475586
2023-02-14,47.58095932006836
2023-02-15,47.63617706298828
2023-02-16,47.19450378417969
2023-02-17,47.38772964477539
2023-02-21,46.40317153930664
2023-02-22,46.154727935791016
2023-02-23,46.274349212646484
2023-02-24,46.4307746887207
2023-02-27,46.780433654785156
2023-02-28,46.81724166870117
2023-03-01,46.48598861694336
2023-03-02,46.18232727050781
2023-03-03,47.23130798339844
2023-03-06,47.056480407714844
2023-03-07,45.54743194580078
2023-03-08,45.82347869873047
2023-03-09,44.16720199584961
2023-03-10,43.53230667114258
2023-03-13,40.597023010253906
2023-03-14,42.07846450805664
2023-03-15,40.49580383300781
2023-03-16,40.85466766357422
2023-03-17,39.179996490478516
2023-03-20,39.81489944458008
2023-03-21,41.53557586669922
2023-03-22,40.44059371948242
2023-03-23,39.78729248046875
2023-03-24,39.33641815185547
2023-03-27,40.15534973144531
2023-03-28,40.40378952026367
2023-03-29,41.46196746826172
2023-03-30,41.31474304199219
2023-03-31,41.811622619628906
2023-04-03,41.544776916503906
2023-04-04,41.1123046875
2023-04-05,41.29633712768555
2023-04-06,41.26873016357422
2023-04-10,41.61839294433594
2023-04-11,42.087669372558594
2023-04-12,42.17048263549805
2023-04-13,42.510929107666016
2023-04-14,42.658164978027344
2023-04-17,40.69823455810547
2023-04-18,41.305538177490234
2023-04-19,41.627593994140625
2023-04-20,41.2595329284668
2023-04-21,40.53261184692383
2023-04-24,40.34857940673828
2023-04-25,39.0971794128418
2023-04-26,38.45307159423828
2023-04-27,39.00080871582031
2023-04-28,39.53926467895508
2023-05-01,39.12150192260742
2023-05-02,38.62946701049805
2023-05-03,37.86820983886719
2023-05-04,37.20905685424805
2023-05-05,38.220970153808594
2023-05-08,38.527347564697266
2023-05-09,38.56447982788086
2023-05-10,38.08172607421875
2023-05-11,37.766082763671875
2023-05-12,37.2740478515625
2023-05-15,37.78464889526367
2023-05-16,36.82842254638672
2023-05-17,37.74751663208008
2023-05-18,38.137428283691406
2023-05-19,37.961036682128906
2023-05-22,38.29524612426758
2023-05-23,38.1931266784668
2023-05-24,37.52470397949219
2023-05-25,37.487571716308594
2023-05-26,37.85891342163086
2023-05-30,37.775360107421875
2023-05-31,37.32046127319336
2023-06-01,38.29524612426758
2023-06-02,39.67852020263672
2023-06-05,39.474281311035156
2023-06-06,40.3005256652832
2023-06-07,40.57904052734375
2023-06-08,40.709007263183594
2023-06-09,41.24746322631836
2023-06-12,40.58832550048828
2023-06-13,40.97824478149414
2023-06-14,41.00608825683594
2023-06-15,41.65595245361328
2023-06-16,41.45171356201172
2023-06-20,41.18247985839844
2023-06-21,40.8482666015625
2023-06-22,40.1519889831543
2023-06-23,39.77135467529297
2023-06-26,39.9477424621582
2023-06-27,40.69972610473633
2023-06-28,40.439781188964844
2023-06-29,41.03394317626953
2023-06-30,41.33102035522461
2023-07-03,41.84162521362305
2023-07-05,41.293880462646484
2023-07-06,40.68115997314453
2023-07-07,41.2010498046875
2023-07-10,40.95038986206055
