Date,NEE
2023-01-03,76.30439758300781
2023-01-04,76.9051513671875
2023-01-05,75.21212005615234
2023-01-06,76.14057159423828
2023-01-09,76.5228500366211
2023-01-10,76.95066833496094
2023-01-11,77.36936950683594
2023-01-12,77.4330825805664
2023-01-13,77.07809448242188
2023-01-17,78.04293823242188
2023-01-18,76.277099609375
2023-01-19,75.17572784423828
2023-01-20,74.47484588623047
2023-01-23,75.24852752685547
2023-01-24,76.36810302734375
2023-01-25,69.71435546875
2023-01-26,69.5414047241211
2023-01-27,68.79501342773438
2023-01-30,68.3125991821289
2023-01-31,67.9302978515625
2023-02-01,67.5753173828125
2023-02-02,68.81322479248047
2023-02-03,67.96671295166016
2023-02-06,68.73130798339844
2023-02-07,69.2501449584961
2023-02-08,68.29439544677734
2023-02-09,66.69239807128906
2023-02-10,68.03043365478516
2023-02-13,68.83143615722656
2023-02-14,69.20462036132812
2023-02-15,70.03292846679688
2023-02-16,68.8951416015625
2023-02-17,69.24103546142578
2023-02-21,67.04737854003906
2023-02-22,67.06559753417969
2023-02-23,66.32831573486328
2023-02-24,66.37380981445312
2023-02-27,65.83147430419922
2023-02-28,65.07110595703125
2023-03-01,64.00843811035156
2023-03-02,66.15210723876953
2023-03-03,67.63621520996094
2023-03-06,68.15840148925781
2023-03-07,67.56291961669922
2023-03-08,68.02096557617188
2023-03-09,67.57209014892578
2023-03-10,66.885009765625
2023-03-13,67.14151000976562
2023-03-14,68.29580688476562
2023-03-15,69.1844253540039
2023-03-16,69.83486938476562
2023-03-17,69.32183837890625
2023-03-20,69.59667205810547
2023-03-21,69.03785705566406
2023-03-22,67.9110336303711
2023-03-23,67.61788940429688
2023-03-24,69.34016418457031
2023-03-27,69.11114501953125
2023-03-28,68.92790985107422
2023-03-29,69.7249526977539
2023-03-30,70.16466522216797
2023-03-31,70.6135482788086
2023-04-03,70.23795318603516
2023-04-04,70.68685913085938
2023-04-05,71.75870513916016
2023-04-06,72.34500122070312
2023-04-10,71.85030364990234
2023-04-11,71.7678451538086
2023-04-12,71.99687957763672
2023-04-13,72.23506927490234
2023-04-14,71.47470092773438
2023-04-17,71.95108032226562
2023-04-18,71.73121643066406
2023-04-19,72.31751251220703
2023-04-20,72.14344787597656
2023-04-21,72.36331939697266
2023-04-24,72.40912628173828
2023-04-25,71.29149627685547
2023-04-26,67.8560791015625
2023-04-27,69.48673248291016
2023-04-28,70.2012939453125
2023-05-01,70.35704803466797
2023-05-02,69.56918334960938
2023-05-03,69.06534576416016
2023-05-04,69.17527770996094
2023-05-05,69.17527770996094
2023-05-08,69.67914581298828
2023-05-09,69.23939514160156
2023-05-10,70.43950653076172
2023-05-11,69.71575927734375
2023-05-12,71.41973876953125
2023-05-15,71.03495788574219
2023-05-16,69.47758483886719
2023-05-17,69.01953125
2023-05-18,68.79966735839844
2023-05-19,68.23169708251953
2023-05-22,68.32329559326172
2023-05-23,67.93852996826172
2023-05-24,68.0118179321289
2023-05-25,67.23312377929688
2023-05-26,68.15325927734375
2023-05-30,67.01921844482422
2023-05-31,67.7291488647461
2023-06-01,67.26815795898438
2023-06-02,68.0887222290039
2023-06-05,67.84899139404297
2023-06-06,67.65538787841797
2023-06-07,68.3837661743164
2023-06-08,69.05681610107422
2023-06-09,68.29156494140625
2023-06-12,68.20858764648438
2023-06-13,68.54972076416016
2023-06-14,67.673828125
2023-06-15,68.5589370727539
2023-06-16,69.69298553466797
2023-06-20,68.92772674560547
2023-06-21,69.86814880371094
2023-06-22,69.26886749267578
2023-06-23,68.3837661743164
2023-06-26,68.49440002441406
2023-06-27,68.14404296875
2023-06-28,67.7107162475586
2023-06-29,67.1298599243164
2023-06-30,68.41141510009766
2023-07-03,68.5773696899414
2023-07-05,69.10291290283203
2023-07-06,67.32347869873047
2023-07-07,66.42915344238281
2023-07-10,66.11568450927734
2023-07-11,66.55821228027344
2023-07-12,67.73837280273438
2023-07-13,67.95964050292969
2023-07-14,67.48944091796875
2023-07-17,66.99156188964844
2023-07-18,66.42915344238281
2023-07-19,66.47525787353516
2023-07-20,68.3192138671875
2023-07-21,69.97880554199219
2023-07-24,69.61000061035156
2023-07-25,69.5546875
2023-07-26,68.56814575195312
2023-07-27,67.55397033691406
2023-07-28,67.16674041748047
2023-07-31,67.5816421508789
2023-08-01,66.53978729248047
2023-08-02,66.3000717163086
2023-08-03,64.63126373291016
2023-08-04,63.77383041381836
2023-08-07,63.28516387939453
2023-08-08,63.34971237182617
2023-08-09,63.5433349609375
2023-08-10,62.96248245239258
2023-08-11,63.5433349609375
2023-08-14,63.211421966552734
2023-08-15,62.095802307128906
2023-08-16,62.289424896240234
2023-08-17,62.24332809448242
2023-08-18,62.538368225097656
2023-08-21,61.84687805175781
2023-08-22,62.252540588378906
2023-08-23,62.59367752075195
2023-08-24,61.975955963134766
2023-08-25,62.658226013183594
2023-08-28,62.71354675292969
2023-08-29,62.6745491027832
2023-08-30,62.28462600708008
2023-08-31,62.015403747558594
2023-09-01,62.080387115478516
2023-09-05,61.4583740234375
2023-09-06,60.98491287231445
2023-09-07,61.50479507446289
2023-09-08,62.04325866699219
2023-09-11,62.6931266784668
2023-09-12,62.8787956237793
2023-09-13,63.52865982055664
2023-09-14,64.31776428222656
2023-09-15,63.723609924316406
2023-09-18,63.352256774902344
2023-09-19,62.74882125854492
2023-09-20,62.526004791259766
2023-09-21,62.117530822753906
2023-09-22,62.85094451904297
2023-09-25,62.63741683959961
