Date,GOOGL
2023-01-03,88.45169830322266
2023-01-04,87.41948699951172
2023-01-05,85.55357360839844
2023-01-06,86.68501281738281
2023-01-09,87.35992431640625
2023-01-10,87.75692749023438
2023-01-11,90.83367919921875
2023-01-12,90.44659423828125
2023-01-13,91.4291763305664
2023-01-17,90.60540008544922
2023-01-18,90.43669128417969
2023-01-19,92.35221099853516
2023-01-20,97.2849349975586
2023-01-23,99.04167175292969
2023-01-24,96.96733856201172
2023-01-25,94.50593566894531
2023-01-26,96.78868865966797
2023-01-27,98.62481689453125
2023-01-30,96.21304321289062
2023-01-31,98.09878540039062
2023-02-01,99.67687225341797
2023-02-02,106.93205261230469
2023-02-03,103.99424743652344
2023-02-06,102.12834930419922
2023-02-07,106.83280181884766
2023-02-08,98.62481689453125
2023-02-09,94.29751586914062
2023-02-10,93.86082458496094
2023-02-13,93.9005126953125
2023-02-14,93.96998596191406
2023-02-15,96.21304321289062
2023-02-16,94.79376220703125
2023-02-17,93.6424560546875
2023-02-21,91.1016616821289
2023-02-22,90.96270751953125
2023-02-23,90.20840454101562
2023-02-24,88.46160888671875
2023-02-27,89.19606018066406
2023-02-28,89.38463592529297
2023-03-01,89.68238830566406
2023-03-02,91.31007385253906
2023-03-03,92.94771575927734
2023-03-06,94.41661071777344
2023-03-07,93.15613555908203
2023-03-08,93.543212890625
2023-03-09,91.62767791748047
2023-03-10,89.95034790039062
2023-03-13,90.4267578125
2023-03-14,93.26531982421875
2023-03-15,95.38926696777344
2023-03-16,99.56768798828125
2023-03-17,100.85794067382812
2023-03-20,100.46095275878906
2023-03-21,104.1332015991211
2023-03-22,102.5948257446289
2023-03-23,104.80809020996094
2023-03-24,104.64930725097656
2023-03-27,101.69164276123047
2023-03-28,100.27236938476562
2023-03-29,100.62966918945312
2023-03-30,100.1334228515625
2023-03-31,102.9521255493164
2023-04-03,103.57740020751953
2023-04-04,103.93470001220703
2023-04-05,103.68656921386719
2023-04-06,107.60694885253906
2023-04-10,105.64179992675781
2023-04-11,104.55996704101562
2023-04-12,103.85530090332031
2023-04-13,106.62438201904297
2023-04-14,108.0535888671875
2023-04-17,105.17533111572266
2023-04-18,103.71635437011719
2023-04-19,103.39875030517578
2023-04-20,104.50042724609375
2023-04-21,104.61952209472656
2023-04-24,105.17533111572266
2023-04-25,103.07122802734375
2023-04-26,102.9322738647461
2023-04-27,106.78317260742188
2023-04-28,106.53504180908203
2023-05-01,106.3960952758789
2023-05-02,104.53019714355469
2023-05-03,104.61952209472656
2023-05-04,103.9049301147461
2023-05-05,104.77832794189453
2023-05-08,106.96182250976562
2023-05-09,106.54497528076172
2023-05-10,110.9119873046875
2023-05-11,115.69583129882812
2023-05-12,116.62877655029297
2023-05-15,115.63628387451172
2023-05-16,118.61380004882812
2023-05-17,119.9338150024414
2023-05-18,121.90888977050781
2023-05-19,121.83942413330078
2023-05-22,124.11224365234375
2023-05-23,121.64092254638672
2023-05-24,119.99337005615234
2023-05-25,122.55402374267578
2023-05-26,123.67554473876953
2023-05-30,122.74259948730469
2023-05-31,121.94859313964844
2023-06-01,122.7922134399414
2023-06-02,123.7350845336914
2023-06-05,125.0650405883789
2023-06-06,126.35529327392578
2023-06-07,121.58136749267578
2023-06-08,121.22406768798828
2023-06-09,121.31340026855469
2023-06-12,122.71280670166016
2023-06-13,122.9013900756836
2023-06-14,122.74259948730469
2023-06-15,124.15194702148438
2023-06-16,122.6036376953125
2023-06-20,122.17686462402344
2023-06-21,119.64599609375
2023-06-22,122.22648620605469
2023-06-23,121.42256164550781
2023-06-26,117.45256042480469
2023-06-27,117.44264221191406
2023-06-28,119.27876281738281
2023-06-29,118.20685577392578
2023-06-30,118.80236053466797
2023-07-03,119.0008544921875
2023-07-05,120.83699798583984
2023-07-06,119.20928955078125
2023-07-07,118.58402252197266
2023-07-10,115.57672882080078
2023-07-11,116.26155853271484
2023-07-12,118.03813934326172
2023-07-13,123.60607147216797
2023-07-14,124.47946166992188
2023-07-17,123.71524047851562
2023-07-18,122.8319091796875
2023-07-19,121.1148910522461
2023-07-20,118.30611419677734
2023-07-21,119.11994934082031
2023-07-24,120.61863708496094
2023-07-25,121.29354858398438
2023-07-26,128.3006134033203
2023-07-27,128.4296112060547
2023-07-28,131.5857696533203
2023-07-31,131.7247314453125
2023-08-01,130.56350708007812
2023-08-02,127.4172592163086
2023-08-03,127.48674011230469
2023-08-04,127.1492919921875
2023-08-07,130.54364013671875
2023-08-08,130.4145965576172
2023-08-09,128.68765258789062
2023-08-10,128.71743774414062
2023-08-11,128.58843994140625
2023-08-14,130.3451385498047
2023-08-15,128.80674743652344
2023-08-16,127.73486328125
2023-08-17,128.94570922851562
2023-08-18,126.50416564941406
2023-08-21,127.40734100341797
2023-08-22,128.11204528808594
2023-08-23,131.37733459472656
2023-08-24,128.80674743652344
2023-08-25,128.906005859375
2023-08-28,130.02752685546875
2023-08-29,133.5608673095703
2023-08-30,134.86102294921875
2023-08-31,135.14883422851562
2023-09-01,134.64266967773438
2023-09-05,134.75186157226562
2023-09-06,133.45167541503906
2023-09-07,134.24566650390625
2023-09-08,135.3572998046875
2023-09-11,135.8932342529297
2023-09-12,134.32508850097656
2023-09-13,135.684814453125
2023-09-14,137.0643768310547
2023-09-15,136.36961364746094
2023-09-18,137.17356872558594
2023-09-19,137.00482177734375
2023-09-20,132.73709106445312
2023-09-21,129.46182250976562
2023-09-22,129.2732391357422
2023-09-25,130.12680053710938
2023-09-26,127.6058578491211
2023-09-27,129.56106567382812
2023-09-28,131.31781005859375
2023-09-29,129.878662109375
2023-10-02,133.1638641357422
2023-10-03,131.43690490722656
2023-10-04,134.22584533691406
2023-10-05,134.05709838867188
2023-10-06,136.5482635498047
2023-10-09,137.38198852539062
2023-10-10,137.02467346191406
2023-10-11,139.4960174560547
2023-10-12,137.9278564453125
2023-10-13,136.32992553710938
2023-10-16,138.05686950683594
2023-10-17,138.67222595214844
2023-10-18,136.9254150390625
2023-10-19,136.71701049804688
2023-10-20,134.5831298828125
2023-10-23,135.4763641357422
2023-10-24,137.76905822753906
2023-10-25,124.66803741455078
2023-10-26,121.36302185058594
2023-10-27,121.25384521484375
2023-10-30,123.52666473388672
2023-10-31,123.14952087402344
2023-11-01,125.50173950195312
2023-11-02,126.53395080566406
2023-11-03,128.13186645507812
2023-11-06,129.2732391357422
2023-11-07,129.98785400390625
2023-11-08,130.85133361816406
2023-11-09,129.26332092285156
2023-11-10,131.59571838378906
2023-11-13,131.09942626953125
2023-11-14,132.6179656982422
2023-11-15,133.6104736328125
2023-11-16,135.90313720703125
2023-11-17,134.29530334472656
2023-11-20,135.22825622558594
2023-11-21,135.94284057617188
2023-11-22,137.4514617919922
2023-11-24,135.66494750976562
2023-11-27,135.3870391845703
2023-11-28,136.17112731933594
2023-11-29,133.97769165039062
2023-11-30,131.5361328125
2023-12-01,130.87118530273438
2023-12-04,128.3006134033203
2023-12-05,130.00772094726562
2023-12-06,129.0449676513672
2023-12-07,135.90313720703125
2023-12-08,133.97769165039062
2023-12-11,132.29042053222656
2023-12-12,131.52622985839844
2023-12-13,131.5758514404297
2023-12-14,130.95057678222656
2023-12-15,131.6056365966797
2023-12-18,134.7816162109375
2023-12-19,135.62522888183594
2023-12-20,137.3025665283203
2023-12-21,139.3669891357422
2023-12-22,140.42897033691406
2023-12-26,140.45872497558594
2023-12-27,139.31735229492188
2023-12-28,139.1783905029297
2023-12-29,138.64247131347656
2024-01-02,137.13385009765625
2024-01-03,137.87823486328125
2024-01-04,135.36721801757812
2024-01-05,134.71214294433594
2024-01-08,137.79885864257812
2024-01-09,139.8929901123047
2024-01-10,141.21302795410156
2024-01-11,141.01455688476562
2024-01-12,141.5802459716797
2024-01-16,141.42147827148438
2024-01-17,140.4091033935547
2024-01-18,142.40403747558594
2024-01-19,145.2823028564453
2024-01-22,144.89523315429688
2024-01-23,145.9373321533203
2024-01-24,147.5848846435547
2024-01-25,150.73109436035156
2024-01-26,151.04872131347656
2024-01-29,152.3588104248047
2024-01-30,150.32420349121094
2024-01-31,139.0493927001953
2024-02-01,140.1014404296875
2024-02-02,141.31227111816406
2024-02-05,142.6025390625
2024-02-06,143.01939392089844
2024-02-07,144.44859313964844
2024-02-08,144.81582641601562
2024-02-09,147.88265991210938
2024-02-12,146.4236602783203
2024-02-13,144.05160522460938
2024-02-14,144.84559631347656
2024-02-15,141.69937133789062
2024-02-16,139.4662322998047
2024-02-20,140.06173706054688
2024-02-21,141.4810333251953
2024-02-22,143.00942993164062
2024-02-23,142.8804473876953
2024-02-26,136.5383758544922
2024-02-27,137.8385467529297
2024-02-28,135.3572998046875
2024-02-29,137.42169189453125
2024-03-01,136.11158752441406
2024-03-04,132.35000610351562
2024-03-05,131.67510986328125
2024-03-06,130.4145965576172
2024-03-07,133.37228393554688
2024-03-08,134.3945770263672
2024-03-11,136.6376190185547
2024-03-12,137.46136474609375
2024-03-13,138.74169921875
2024-03-14,142.02688598632812
2024-03-15,140.12127685546875
2024-03-18,146.57252502441406
2024-03-19,145.92742919921875
2024-03-20,147.62460327148438
2024-03-21,146.49313354492188
2024-03-22,149.63934326171875
2024-03-25,148.9446258544922
2024-03-26,149.5401153564453
2024-03-27,149.73861694335938
2024-03-28,149.79815673828125
2024-04-01,154.32395935058594
2024-04-02,153.40093994140625
2024-04-03,153.75823974609375
2024-04-04,149.40113830566406
2024-04-05,151.3563995361328
