Date,DUK
2023-01-03,91.31914520263672
2023-01-04,92.296630859375
2023-01-05,90.93167114257812
2023-01-06,92.6224594116211
2023-01-09,92.63127136230469
2023-01-10,92.84261322021484
2023-01-11,93.04515075683594
2023-01-12,92.53439331054688
2023-01-13,92.44632720947266
2023-01-17,91.7770767211914
2023-01-18,90.04228210449219
2023-01-19,89.79570770263672
2023-01-20,89.66361999511719
2023-01-23,88.9327163696289
2023-01-24,89.267333984375
2023-01-25,89.31137084960938
2023-01-26,89.24091339111328
2023-01-27,89.45227813720703
2023-01-30,89.50508880615234
2023-01-31,90.21839141845703
2023-02-01,90.29765319824219
2023-02-02,89.85734558105469
2023-02-03,88.5716552734375
2023-02-06,89.6548080444336
2023-02-07,88.78301239013672
2023-02-08,87.33880615234375
2023-02-09,85.90341186523438
2023-02-10,87.27715301513672
2023-02-13,88.09613037109375
2023-02-14,87.59418487548828
2023-02-15,87.40924835205078
2023-02-16,87.44038391113281
2023-02-17,88.5079345703125
2023-02-21,86.8977279663086
2023-02-22,86.71089935302734
2023-02-23,86.15044403076172
2023-02-24,86.22161102294922
2023-02-27,85.23412322998047
2023-02-28,83.85523986816406
2023-03-01,81.76464080810547
2023-03-02,83.41931915283203
2023-03-03,84.86050415039062
2023-03-06,85.3853759765625
2023-03-07,83.19690704345703
2023-03-08,84.21997833251953
2023-03-09,83.81965637207031
2023-03-10,82.58308410644531
2023-03-13,83.77516174316406
2023-03-14,84.59362030029297
2023-03-15,86.14155578613281
2023-03-16,86.47071075439453
2023-03-17,85.75011444091797
2023-03-20,86.56856536865234
2023-03-21,84.30892944335938
2023-03-22,82.6898422241211
2023-03-23,81.44437408447266
2023-03-24,83.95310974121094
2023-03-27,84.2377700805664
2023-03-28,84.29115295410156
2023-03-29,85.64334869384766
2023-03-30,85.5455093383789
2023-03-31,85.82128143310547
2023-04-03,84.59362030029297
2023-04-04,85.60777282714844
2023-04-05,87.92967224121094
2023-04-06,88.73033905029297
2023-04-10,88.18766784667969
2023-04-11,88.38338470458984
2023-04-12,88.43675994873047
2023-04-13,88.19656372070312
2023-04-14,86.86213684082031
2023-04-17,87.54714965820312
2023-04-18,86.65752410888672
2023-04-19,87.53823852539062
2023-04-20,87.37811279296875
2023-04-21,87.50267028808594
2023-04-24,87.98304748535156
2023-04-25,88.73033905029297
2023-04-26,87.4937744140625
2023-04-27,88.4901351928711
2023-04-28,87.96525573730469
2023-05-01,88.15208435058594
2023-05-02,86.8265609741211
2023-05-03,86.58636474609375
2023-05-04,87.28026580810547
2023-05-05,88.39228820800781
2023-05-08,87.98304748535156
2023-05-09,87.22688293457031
2023-05-10,88.19656372070312
2023-05-11,87.47309112548828
2023-05-12,87.5809326171875
2023-05-15,86.57435607910156
2023-05-16,84.48932647705078
2023-05-17,83.59957122802734
2023-05-18,83.41084289550781
2023-05-19,83.14122772216797
2023-05-22,82.6559066772461
2023-05-23,81.5594711303711
2023-05-24,81.02922058105469
2023-05-25,79.8878402709961
2023-05-26,79.71707916259766
2023-05-30,79.09695434570312
2023-05-31,80.2473373413086
2023-06-01,79.1958236694336
2023-06-02,80.59782409667969
2023-06-05,81.02922058105469
2023-06-06,80.66072845458984
2023-06-07,82.29641723632812
2023-06-08,82.6828842163086
2023-06-09,82.25147247314453
2023-06-12,82.13465881347656
2023-06-13,81.5684585571289
2023-06-14,81.64934539794922
2023-06-15,82.40428161621094
2023-06-16,82.84464263916016
2023-06-20,81.73921203613281
2023-06-21,82.36832427978516
2023-06-22,81.69428253173828
2023-06-23,80.63378143310547
2023-06-26,81.64035034179688
2023-06-27,81.35274505615234
2023-06-28,80.07656860351562
2023-06-29,79.87883758544922
2023-06-30,80.65174102783203
2023-07-03,81.53250885009766
2023-07-05,82.33235931396484
2023-07-06,81.38868713378906
2023-07-07,80.67870330810547
2023-07-10,80.18441772460938
2023-07-11,81.67630004882812
2023-07-12,83.00642395019531
2023-07-13,83.86019897460938
2023-07-14,83.59059143066406
2023-07-17,82.48515319824219
2023-07-18,81.70326232910156
2023-07-19,82.36832427978516
2023-07-20,83.7613525390625
2023-07-21,85.18133544921875
2023-07-24,85.17233276367188
2023-07-25,85.63970184326172
2023-07-26,85.88233947753906
2023-07-27,84.87578582763672
2023-07-28,83.88716888427734
2023-07-31,84.13882446289062
2023-08-01,82.81768035888672
2023-08-02,83.15919494628906
2023-08-03,81.21796417236328
2023-08-04,80.40010833740234
2023-08-07,80.5798568725586
2023-08-08,82.79969787597656
2023-08-09,83.41983795166016
2023-08-10,83.50070190429688
2023-08-11,84.31855010986328
2023-08-14,83.39287567138672
2023-08-15,82.17959594726562
2023-08-16,82.41326141357422
2023-08-17,82.43598175048828
2023-08-18,82.89042663574219
2023-08-21,81.46346282958984
2023-08-22,81.42711639404297
2023-08-23,82.1087875366211
2023-08-24,81.7906723022461
2023-08-25,82.32691955566406
2023-08-28,81.81793212890625
2023-08-29,82.06334686279297
2023-08-30,81.75430297851562
2023-08-31,80.70909881591797
2023-09-01,79.9183578491211
2023-09-05,78.75498962402344
2023-09-06,79.5184555053711
2023-09-07,81.25442504882812
2023-09-08,82.7268295288086
2023-09-11,83.41757202148438
2023-09-12,83.72660827636719
2023-09-13,85.32624053955078
2023-09-14,86.75318908691406
2023-09-15,86.5077896118164
2023-09-18,86.3078384399414
2023-09-19,85.28987884521484
2023-09-20,85.77159881591797
2023-09-21,84.8990707397461
2023-09-22,84.82635498046875
2023-09-25,84.80816650390625
2023-09-26,82.81771087646484
2023-09-27,81.88155364990234
2023-09-28,80.60002136230469
2023-09-29,80.21829986572266
2023-10-02,77.65524291992188
2023-10-03,77.94608306884766
2023-10-04,78.27328491210938
2023-10-05,77.69158935546875
2023-10-06,79.0003890991211
2023-10-09,80.19103240966797
2023-10-10,80.8363265991211
2023-10-11,81.68160247802734
2023-10-12,80.00926208496094
2023-10-13,80.60002136230469
2023-10-16,81.3089599609375
2023-10-17,80.8545150756836
2023-10-18,80.15467071533203
2023-10-19,79.78202819824219
2023-10-20,79.1003646850586
2023-10-23,78.46415710449219
2023-10-24,79.76386260986328
2023-10-25,80.11832427978516
2023-10-26,81.07263946533203
2023-10-27,79.5548095703125
2023-10-30,79.89110565185547
2023-10-31,80.79090118408203
2023-11-01,81.38166046142578
2023-11-02,81.69979095458984
2023-11-03,82.05425262451172
2023-11-06,81.54525756835938
2023-11-07,81.14535522460938
2023-11-08,80.30919647216797
2023-11-09,79.94564819335938
2023-11-10,80.2273941040039
2023-11-13,79.09127044677734
2023-11-14,81.66342163085938
2023-11-15,81.44530487060547
2023-11-16,82.91172790527344
2023-11-17,82.75543212890625
2023-11-20,82.10267639160156
2023-11-21,82.63591003417969
2023-11-22,83.07722473144531
2023-11-24,83.42660522460938
2023-11-27,83.6012954711914
2023-11-28,83.78517150878906
2023-11-29,83.39901733398438
2023-11-30,84.84248352050781
2023-12-01,85.17347717285156
2023-12-04,85.25621032714844
2023-12-05,85.01716613769531
2023-12-06,86.3686752319336
2023-12-07,86.8467788696289
2023-12-08,86.78242492675781
2023-12-11,87.67424774169922
2023-12-12,87.64666748046875
2023-12-13,90.1750259399414
2023-12-14,90.386474609375
2023-12-15,88.84188079833984
2023-12-18,89.33836364746094
2023-12-19,89.00737762451172
2023-12-20,87.96845245361328
2023-12-21,88.59364318847656
2023-12-22,89.05335998535156
2023-12-26,88.93383026123047
2023-12-27,88.53849029541016
2023-12-28,89.10851287841797
2023-12-29,89.21884155273438
2024-01-02,89.92678833007812
2024-01-03,90.818603515625
2024-01-04,90.55197143554688
2024-01-05,90.59794616699219
2024-01-08,91.37944793701172
2024-01-09,91.1036148071289
2024-01-10,91.27831268310547
2024-01-11,89.31997680664062
2024-01-12,90.5243911743164
2024-01-16,90.12904357910156
2024-01-17,89.02577209472656
2024-01-18,88.13394927978516
2024-01-19,87.85812377929688
2024-01-22,87.39842224121094
2024-01-23,87.90410614013672
2024-01-24,86.92031860351562
2024-01-25,88.01444244384766
2024-01-26,88.14314270019531
2024-01-29,88.05119323730469
2024-01-30,87.8305435180664
2024-01-31,88.10636138916016
2024-02-01,89.90839385986328
2024-02-02,88.46493530273438
2024-02-05,87.57311248779297
2024-02-06,87.39842224121094
2024-02-07,87.80294799804688
2024-02-08,85.18267822265625
2024-02-09,84.30004119873047
2024-02-12,85.18267822265625
2024-02-13,84.22648620605469
2024-02-14,83.97824096679688
2024-02-15,85.87976837158203
2024-02-16,85.43344116210938
2024-02-20,85.4892349243164
2024-02-21,86.46556091308594
2024-02-22,85.66588592529297
2024-02-23,86.22380828857422
2024-02-26,84.28974914550781
2024-02-27,84.47571563720703
2024-02-28,84.37342834472656
