Date,DHR
2023-01-03,229.03009033203125
2023-01-04,232.61045837402344
2023-01-05,222.88232421875
2023-01-06,220.4896240234375
2023-01-09,222.72512817382812
2023-01-10,233.06454467773438
2023-01-11,239.10752868652344
2023-01-12,237.797607421875
2023-01-13,238.9416046142578
2023-01-17,240.0768280029297
2023-01-18,236.32177734375
2023-01-19,236.4615020751953
2023-01-20,239.6227264404297
2023-01-23,241.89321899414062
2023-01-24,237.16009521484375
2023-01-25,229.62393188476562
2023-01-26,232.16505432128906
2023-01-27,232.26983642578125
2023-01-30,229.44924926757812
2023-01-31,230.8726806640625
2023-02-01,233.59722900390625
2023-02-02,236.37420654296875
2023-02-03,235.64939880371094
2023-02-06,230.322509765625
2023-02-07,232.28733825683594
2023-02-08,228.74191284179688
2023-02-09,222.7775115966797
2023-02-10,226.03480529785156
2023-02-13,226.9429931640625
2023-02-14,223.76431274414062
2023-02-15,224.52407836914062
2023-02-16,223.33644104003906
2023-02-17,223.80799865722656
2023-02-21,219.0050506591797
2023-02-22,218.4112091064453
2023-02-23,220.50704956054688
2023-02-24,217.54669189453125
2023-02-27,216.5249481201172
2023-02-28,216.158203125
2023-03-01,214.26324462890625
2023-03-02,218.07937622070312
2023-03-03,221.05718994140625
2023-03-06,218.1842041015625
2023-03-07,214.16714477539062
2023-03-08,216.3590545654297
2023-03-09,212.7524871826172
2023-03-10,209.36424255371094
2023-03-13,209.92315673828125
2023-03-14,213.81788635253906
2023-03-15,211.42510986328125
2023-03-16,217.73883056640625
2023-03-17,212.16741943359375
2023-03-20,213.77423095703125
2023-03-21,216.90049743652344
2023-03-22,215.0928192138672
2023-03-23,215.63427734375
2023-03-24,216.7171173095703
2023-03-27,216.54244995117188
2023-03-28,215.5644073486328
2023-03-29,216.11453247070312
2023-03-30,218.37876892089844
2023-03-31,220.33702087402344
2023-04-03,218.63229370117188
2023-04-04,217.66189575195312
2023-04-05,216.54290771484375
2023-04-06,215.89601135253906
2023-04-10,218.15145874023438
2023-04-11,218.44871520996094
2023-04-12,218.52737426757812
2023-04-13,222.40890502929688
2023-04-14,220.01358032226562
2023-04-17,223.58033752441406
2023-04-18,223.92127990722656
2023-04-19,222.71487426757812
2023-04-20,217.10243225097656
2023-04-21,221.01016235351562
2023-04-24,222.3564453125
2023-04-25,202.80899047851562
2023-04-26,203.2286376953125
2023-04-27,202.31069946289062
2023-04-28,207.1101531982422
2023-05-01,211.32386779785156
2023-05-02,212.25054931640625
2023-05-03,214.6808624267578
2023-05-04,211.848388671875
2023-05-05,211.94454956054688
2023-05-08,209.14706420898438
2023-05-09,205.58026123046875
2023-05-10,204.06787109375
2023-05-11,201.77740478515625
2023-05-12,198.743896484375
2023-05-15,198.39422607421875
2023-05-16,196.6894989013672
2023-05-17,196.9168243408203
2023-05-18,197.94834899902344
2023-05-19,199.609375
2023-05-22,202.18832397460938
2023-05-23,201.0780487060547
2023-05-24,199.06735229492188
2023-05-25,201.46270751953125
2023-05-26,203.0013427734375
2023-05-30,198.6040496826172
2023-05-31,200.7371063232422
2023-06-01,203.42095947265625
2023-06-02,205.10818481445312
2023-06-05,203.79685974121094
2023-06-06,205.13442993164062
2023-06-07,207.64344787597656
2023-06-08,205.798828125
2023-06-09,205.7638397216797
2023-06-12,208.10675048828125
2023-06-13,210.92173767089844
2023-06-14,208.45640563964844
2023-06-15,212.87994384765625
2023-06-16,211.3850555419922
2023-06-20,206.839111328125
2023-06-21,207.8094940185547
2023-06-22,206.64682006835938
2023-06-23,208.2203826904297
2023-06-26,207.9581298828125
2023-06-27,204.39132690429688
2023-06-28,205.23931884765625
2023-06-29,208.101318359375
2023-06-30,210.05303955078125
2023-07-03,207.26104736328125
2023-07-05,207.75997924804688
2023-07-06,205.15182495117188
2023-07-07,203.99652099609375
2023-07-10,205.2130889892578
2023-07-11,208.0137939453125
2023-07-12,208.39886474609375
2023-07-13,209.01153564453125
2023-07-14,210.5169219970703
2023-07-17,208.09254455566406
2023-07-18,210.74444580078125
2023-07-19,213.4488983154297
2023-07-20,213.8865203857422
2023-07-21,223.95156860351562
2023-07-24,225.78952026367188
2023-07-25,223.79400634765625
2023-07-26,231.81979370117188
2023-07-27,223.4176788330078
2023-07-28,227.61874389648438
2023-07-31,223.23387145996094
2023-08-01,223.1813507080078
2023-08-02,225.6932373046875
2023-08-03,225.3343963623047
2023-08-04,222.9625701904297
2023-08-07,223.72398376464844
2023-08-08,226.74349975585938
2023-08-09,224.1090850830078
2023-08-10,225.26438903808594
2023-08-11,223.5489501953125
2023-08-14,225.08932495117188
2023-08-15,223.3826446533203
2023-08-16,221.2471160888672
2023-08-17,221.27337646484375
2023-08-18,220.03929138183594
2023-08-21,218.9540557861328
2023-08-22,218.5426788330078
2023-08-23,223.05880737304688
2023-08-24,221.92105102539062
2023-08-25,223.645263671875
2023-08-28,228.87030029296875
2023-08-29,231.05833435058594
2023-08-30,231.2071533203125
2023-08-31,231.93356323242188
2023-09-01,232.449951171875
2023-09-05,228.30142211914062
2023-09-06,224.92306518554688
2023-09-07,223.111328125
2023-09-08,217.36990356445312
2023-09-11,218.9540557861328
2023-09-12,217.34364318847656
2023-09-13,220.94955444335938
2023-09-14,221.85101318359375
2023-09-15,223.40016174316406
2023-09-18,222.10484313964844
2023-09-19,223.3826446533203
2023-09-20,222.70875549316406
2023-09-21,218.48143005371094
2023-09-22,217.37863159179688
2023-09-25,220.59071350097656
2023-09-26,216.39842224121094
2023-09-27,216.56468200683594
2023-09-28,216.3458709716797
2023-09-29,217.142333984375
2023-10-02,211.01466369628906
2023-10-03,212.94967651367188
2023-10-04,213.31495666503906
2023-10-05,214.10475158691406
2023-10-06,214.4601593017578
2023-10-09,215.5856475830078
2023-10-10,215.9213104248047
2023-10-11,213.9344482421875
2023-10-12,207.0745086669922
2023-10-13,207.01519775390625
2023-10-16,208.02342224121094
2023-10-17,209.49624633789062
2023-10-18,202.43856811523438
2023-10-19,204.90975952148438
2023-10-20,203.45669555664062
2023-10-23,201.6972198486328
2023-10-24,194.57034301757812
2023-10-25,190.42868041992188
2023-10-26,191.44677734375
2023-10-27,185.7136688232422
2023-10-30,182.9657440185547
2023-10-31,189.80593872070312
2023-11-01,187.80921936035156
2023-11-02,190.7548370361328
2023-11-03,195.5885009765625
2023-11-06,193.2655792236328
2023-11-07,195.96408081054688
2023-11-08,194.55059814453125
2023-11-09,193.2655792236328
2023-11-10,194.728515625
2023-11-13,193.72027587890625
2023-11-14,201.17333984375
2023-11-15,205.7598419189453
2023-11-16,206.69888305664062
2023-11-17,205.38421630859375
2023-11-20,208.59674072265625
2023-11-21,215.34799194335938
2023-11-22,218.74832153320312
2023-11-24,218.85707092285156
2023-11-27,217.46328735351562
2023-11-28,216.2375946044922
2023-11-29,219.95423889160156
2023-11-30,220.73513793945312
2023-12-01,220.90321350097656
2023-12-04,219.5687713623047
2023-12-05,216.90977478027344
2023-12-06,218.2145538330078
2023-12-07,216.39576721191406
2023-12-08,214.9822540283203
2023-12-11,218.79776000976562
2023-12-12,217.2161865234375
2023-12-13,224.2442169189453
2023-12-14,226.60667419433594
2023-12-15,224.60997009277344
2023-12-18,223.8389434814453
2023-12-19,226.49790954589844
2023-12-20,224.19479370117188
2023-12-21,227.69398498535156
2023-12-22,227.70387268066406
2023-12-26,228.73187255859375
2023-12-27,230.17501831054688
2023-12-28,230.67965698242188
2023-12-29,228.90846252441406
2024-01-02,232.3222198486328
2024-01-03,228.38404846191406
2024-01-04,230.17503356933594
2024-01-05,227.86952209472656
2024-01-08,232.39151000976562
2024-01-09,228.44342041015625
2024-01-10,227.2263641357422
2024-01-11,225.56399536132812
2024-01-12,222.8726043701172
2024-01-16,224.36672973632812
2024-01-17,222.21957397460938
2024-01-18,223.9313507080078
2024-01-19,228.6215362548828
2024-01-22,229.5318603515625
2024-01-23,229.6605224609375
2024-01-24,226.2071990966797
2024-01-25,225.00003051757812
2024-01-26,230.55104064941406
2024-01-29,231.4712677001953
2024-01-30,242.3754425048828
2024-01-31,237.388427734375
2024-02-01,242.5535430908203
2024-02-02,243.74095153808594
2024-02-05,243.23631286621094
2024-02-06,245.5912628173828
2024-02-07,244.04769897460938
2024-02-08,243.28578186035156
2024-02-09,240.3964385986328
2024-02-12,244.23568725585938
2024-02-13,238.99139404296875
2024-02-14,245.3834991455078
2024-02-15,246.3433074951172
2024-02-16,247.3723602294922
2024-02-20,245.1658172607422
2024-02-21,248.0155029296875
2024-02-22,250.0736541748047
2024-02-23,251.1719970703125
2024-02-26,249.00502014160156
2024-02-27,252.1812744140625
2024-02-28,253.0223388671875
2024-02-29,250.47935485839844
2024-03-01,253.18067932128906
