Date,FDX
2023-01-03,166.19384765625
2023-01-04,170.11265563964844
2023-01-05,169.9532928466797
2023-01-06,174.16275024414062
2023-01-09,177.8846893310547
2023-01-10,176.94720458984375
2023-01-11,180.1909942626953
2023-01-12,179.90037536621094
2023-01-13,176.84405517578125
2023-01-17,176.3753204345703
2023-01-18,175.9440460205078
2023-01-19,172.7189483642578
2023-01-20,175.20339965820312
2023-01-23,179.20660400390625
2023-01-24,177.42530822753906
2023-01-25,176.07528686523438
2023-01-26,178.2597198486328
2023-01-27,178.6534423828125
2023-01-30,172.5783233642578
2023-01-31,181.7472686767578
2023-02-01,189.48178100585938
2023-02-02,201.09764099121094
2023-02-03,201.25704956054688
2023-02-06,197.43191528320312
2023-02-07,196.79444885253906
2023-02-08,196.39132690429688
2023-02-09,195.58502197265625
2023-02-10,196.28819274902344
2023-02-13,198.43508911132812
2023-02-14,199.38197326660156
2023-02-15,199.7288818359375
2023-02-16,198.4444580078125
2023-02-17,197.1600799560547
2023-02-21,192.8006134033203
2023-02-22,190.1568145751953
2023-02-23,192.35997009277344
2023-02-24,190.5786895751953
2023-02-27,191.30996704101562
2023-02-28,190.52244567871094
2023-03-01,191.5631103515625
2023-03-02,194.0006103515625
2023-03-03,196.0162811279297
2023-03-06,197.00067138671875
2023-03-07,193.4287567138672
2023-03-08,196.44752502441406
2023-03-09,194.8444061279297
2023-03-10,189.66879272460938
2023-03-13,186.08639526367188
2023-03-14,186.55775451660156
2023-03-15,184.11605834960938
2023-03-16,192.36502075195312
2023-03-17,207.6938934326172
2023-03-20,203.85694885253906
2023-03-21,207.24134826660156
2023-03-22,204.6300048828125
2023-03-23,204.49801635742188
2023-03-24,205.13905334472656
2023-03-27,207.23194885253906
2023-03-28,207.8164520263672
2023-03-29,210.8426055908203
2023-03-30,211.54965209960938
2023-03-31,215.4054412841797
2023-04-03,215.7353973388672
2023-04-04,213.5199737548828
2023-04-05,216.7629852294922
2023-04-06,218.8087158203125
2023-04-10,218.3373565673828
2023-04-11,218.2713623046875
2023-04-12,216.32933044433594
2023-04-13,217.8376922607422
2023-04-14,217.47947692871094
2023-04-17,216.17849731445312
2023-04-18,216.084228515625
2023-04-19,216.3481903076172
2023-04-20,216.24449157714844
2023-04-21,217.2437744140625
2023-04-24,218.8652801513672
2023-04-25,212.55838012695312
2023-04-26,210.01300048828125
2023-04-27,213.00144958496094
2023-04-28,214.7361297607422
2023-05-01,217.37574768066406
2023-05-02,215.320556640625
2023-05-03,215.43374633789062
2023-05-04,213.40684509277344
2023-05-05,216.1690673828125
2023-05-08,217.51718139648438
2023-05-09,215.53744506835938
2023-05-10,213.369140625
2023-05-11,211.9644775390625
2023-05-12,210.16384887695312
2023-05-15,209.68304443359375
2023-05-16,208.59889221191406
2023-05-17,212.95431518554688
2023-05-18,217.2343292236328
2023-05-19,215.961669921875
2023-05-22,215.58457946777344
2023-05-23,213.661376953125
2023-05-24,210.74835205078125
2023-05-25,212.19073486328125
2023-05-26,211.31398010253906
2023-05-30,213.19003295898438
2023-05-31,205.497314453125
2023-06-01,204.84681701660156
2023-06-02,209.04197692871094
2023-06-05,208.41976928710938
2023-06-06,206.93026733398438
2023-06-07,211.73822021484375
2023-06-08,212.12472534179688
2023-06-09,212.13421630859375
2023-06-12,212.88316345214844
2023-06-13,216.9787139892578
2023-06-14,217.7371368408203
2023-06-15,224.15541076660156
2023-06-16,221.33021545410156
2023-06-20,219.61428833007812
2023-06-21,214.1061553955078
2023-06-22,220.82774353027344
2023-06-23,220.2683868408203
2023-06-26,222.72386169433594
2023-06-27,233.93919372558594
2023-06-28,235.53192138671875
2023-06-29,236.99191284179688
2023-06-30,235.0199737548828
2023-07-03,234.6881561279297
