Date,AVGO
2023-01-03,52.918922424316406
2023-01-04,53.565250396728516
2023-01-05,53.066165924072266
2023-01-06,56.260536193847656
2023-01-09,55.157188415527344
2023-01-10,54.969783782958984
2023-01-11,55.276695251464844
2023-01-12,55.640018463134766
2023-01-13,55.35892868041992
2023-01-17,55.381866455078125
2023-01-18,54.908592224121094
2023-01-19,53.85017395019531
2023-01-20,54.572998046875
2023-01-23,55.610382080078125
2023-01-24,55.935462951660156
2023-01-25,55.99760818481445
2023-01-26,57.230995178222656
2023-01-27,56.50529479980469
2023-01-30,55.593170166015625
2023-01-31,55.93354415893555
2023-02-01,57.62968826293945
2023-02-02,57.91844177246094
2023-02-03,57.13920593261719
2023-02-06,57.49105453491211
2023-02-07,58.74834442138672
2023-02-08,57.53025817871094
2023-02-09,57.31034851074219
2023-02-10,56.721378326416016
2023-02-13,57.47384262084961
2023-02-14,57.587623596191406
2023-02-15,58.102012634277344
2023-02-16,57.41838836669922
2023-02-17,56.945106506347656
2023-02-21,55.601768493652344
2023-02-22,55.088340759277344
2023-02-23,55.81785583496094
2023-02-24,55.23941421508789
2023-02-27,55.975616455078125
2023-02-28,56.82081985473633
2023-03-01,56.75197982788086
2023-03-02,57.23768615722656
2023-03-03,60.49898147583008
2023-03-06,60.514278411865234
2023-03-07,59.77138137817383
2023-03-08,60.45117950439453
2023-03-09,59.519920349121094
2023-03-10,58.784671783447266
2023-03-13,58.94147872924805
2023-03-14,60.470298767089844
2023-03-15,59.85647201538086
2023-03-16,60.85657501220703
2023-03-17,60.32783889770508
2023-03-20,61.545928955078125
2023-03-21,61.318660736083984
2023-03-22,60.75723648071289
2023-03-23,61.55747985839844
2023-03-24,61.2628059387207
2023-03-27,60.36433029174805
2023-03-28,60.15825653076172
2023-03-29,60.235286712646484
2023-03-30,61.029762268066406
2023-03-31,61.77992630004883
2023-04-03,61.86949157714844
2023-04-04,61.09331512451172
2023-04-05,60.573307037353516
2023-04-06,59.95987319946289
2023-04-10,60.41729736328125
2023-04-11,59.856834411621094
2023-04-12,59.38785171508789
2023-04-13,60.11395263671875
2023-04-14,59.661346435546875
2023-04-17,60.41440200805664
2023-04-18,60.89204788208008
2023-04-19,61.10197448730469
2023-04-20,60.95945739746094
2023-04-21,60.947906494140625
2023-04-24,61.105838775634766
2023-04-25,59.90016555786133
2023-04-26,59.3387336730957
2023-04-27,59.552528381347656
2023-04-28,60.33158874511719
2023-05-01,61.43421936035156
2023-05-02,58.96799087524414
2023-05-03,59.05080795288086
2023-05-04,58.758052825927734
2023-05-05,60.68019485473633
2023-05-08,60.5781135559082
2023-05-09,59.562164306640625
2023-05-10,60.30944061279297
2023-05-11,60.444252014160156
2023-05-12,60.77938461303711
2023-05-15,61.612369537353516
2023-05-16,61.770294189453125
2023-05-17,63.31399154663086
2023-05-18,65.28137969970703
