Date,BAC
2023-01-03,30.974267959594727
2023-01-04,31.556602478027344
2023-01-05,31.491893768310547
2023-01-06,31.806163787841797
2023-01-09,31.325519561767578
2023-01-10,31.538108825683594
2023-01-11,31.7784366607666
2023-01-12,31.86162757873535
2023-01-13,32.56412124633789
2023-01-17,31.9078426361084
2023-01-18,31.168380737304688
2023-01-19,30.7154541015625
2023-01-20,31.28853988647461
2023-01-23,31.722978591918945
2023-01-24,31.954059600830078
2023-01-25,32.23135757446289
2023-01-26,32.66579055786133
2023-01-27,32.76747131347656
2023-01-30,32.628822326660156
2023-01-31,32.79520034790039
2023-02-01,33.201908111572266
2023-02-02,33.3960075378418
2023-02-03,33.673309326171875
2023-02-06,33.61785125732422
2023-02-07,33.98759078979492
2023-02-08,33.738014221191406
2023-02-09,33.01703643798828
2023-02-10,32.887638092041016
2023-02-13,32.952335357666016
2023-02-14,32.92460632324219
2023-02-15,32.869144439697266
2023-02-16,32.610328674316406
2023-02-17,32.67504119873047
2023-02-21,31.9078426361084
2023-02-22,31.695255279541016
2023-02-23,31.667518615722656
2023-02-24,31.621295928955078
2023-02-27,31.621295928955078
2023-02-28,31.704486846923828
2023-03-01,31.556602478027344
2023-03-02,31.156557083129883
2023-03-03,31.779870986938477
2023-03-06,31.714750289916992
2023-03-07,30.700700759887695
2023-03-08,30.291357040405273
2023-03-09,28.412099838256836
2023-03-10,28.160911560058594
2023-03-13,26.52354621887207
2023-03-14,26.75612449645996
2023-03-15,26.504934310913086
2023-03-16,26.951492309570312
2023-03-17,25.881620407104492
2023-03-20,25.816495895385742
2023-03-21,26.59796714782715
2023-03-22,25.714160919189453
2023-03-23,25.090843200683594
2023-03-24,25.248998641967773
2023-03-27,26.504934310913086
2023-03-28,26.16071891784668
2023-03-29,26.67238998413086
2023-03-30,26.32817268371582
2023-03-31,26.607267379760742
2023-04-03,26.59796714782715
2023-04-04,26.030473709106445
2023-04-05,25.714160919189453
2023-04-06,25.900226593017578
2023-04-10,25.993257522583008
2023-04-11,26.709604263305664
2023-04-12,26.49563217163086
2023-04-13,26.57005500793457
2023-04-14,27.463171005249023
2023-04-17,28.25394630432129
2023-04-18,28.43070411682129
2023-04-19,27.965545654296875
2023-04-20,27.816692352294922
2023-04-21,27.78878402709961
2023-04-24,27.686450958251953
2023-04-25,26.830549240112305
2023-04-26,26.45842170715332
2023-04-27,26.87706184387207
2023-04-28,27.239892959594727
2023-05-01,27.01661491394043
2023-05-02,26.19792938232422
2023-05-03,25.918832778930664
2023-05-04,25.109451293945312
2023-05-05,25.77928352355957
2023-05-08,25.760677337646484
2023-05-09,25.73276710510254
2023-05-10,25.416458129882812
2023-05-11,25.48158073425293
2023-05-12,25.20248031616211
2023-05-15,25.723466873168945
2023-05-16,25.453670501708984
2023-05-17,26.579362869262695
2023-05-18,26.486328125
2023-05-19,26.15141487121582
2023-05-22,26.365386962890625
2023-05-23,26.588666915893555
2023-05-24,26.142112731933594
2023-05-25,26.20723533630371
2023-05-26,26.33747673034668
2023-05-30,26.290966033935547
2023-05-31,25.853710174560547
2023-06-01,26.050640106201172
2023-06-02,26.92273712158203
2023-06-05,26.763324737548828
2023-06-06,27.410371780395508
2023-06-07,27.644805908203125
2023-06-08,27.410371780395508
2023-06-09,27.4478816986084
2023-06-12,27.31659507751465
2023-06-13,27.569787979125977
2023-06-14,27.307218551635742
2023-06-15,27.541654586791992
2023-06-16,27.37286376953125
2023-06-20,27.072782516479492
2023-06-21,26.79145622253418
2023-06-22,26.21942901611328
2023-06-23,26.022502899169922
2023-06-26,26.341337203979492
2023-06-27,26.48200225830078
2023-06-28,26.322582244873047
2023-06-29,26.8758544921875
2023-06-30,26.903987884521484
2023-07-03,27.382238388061523
2023-07-05,27.26970672607422
2023-07-06,26.519512176513672
2023-07-07,26.753950119018555
2023-07-10,26.8758544921875
2023-07-11,27.213443756103516
2023-07-12,27.532278060913086
2023-07-13,27.822980880737305
2023-07-14,27.297842025756836
2023-07-17,27.569787979125977
2023-07-18,28.788862228393555
2023-07-19,29.56719207763672
2023-07-20,29.717233657836914
2023-07-21,29.989173889160156
2023-07-24,30.617469787597656
2023-07-25,30.148595809936523
2023-07-26,30.392410278320312
2023-07-27,29.961048126220703
2023-07-28,29.914155960083008
2023-07-31,30.007930755615234
2023-08-01,29.651592254638672
2023-08-02,29.24835968017578
2023-08-03,29.454660415649414
2023-08-04,29.35150718688965
2023-08-07,29.895402908325195
2023-08-08,29.323375701904297
2023-08-09,28.938899993896484
2023-08-10,29.013919830322266
2023-08-11,29.342130661010742
2023-08-14,29.004545211791992
2023-08-15,28.076171875
2023-08-16,27.466636657714844
2023-08-17,27.457258224487305
2023-08-18,27.297842025756836
2023-08-21,27.33534812927246
2023-08-22,26.669553756713867
2023-08-23,26.678926467895508
2023-08-24,26.83834457397461
2023-08-25,26.725814819335938
2023-08-28,26.96963119506836
2023-08-29,27.35410499572754
2023-08-30,27.232200622558594
2023-08-31,27.109272003173828
2023-09-01,27.402400970458984
2023-09-05,27.090364456176758
2023-09-06,26.84451675415039
2023-09-07,26.598670959472656
2023-09-08,26.81614875793457
2023-09-11,26.929616928100586
2023-09-12,27.392946243286133
2023-09-13,27.307842254638672
2023-09-14,27.61042594909668
2023-09-15,27.270021438598633
2023-09-18,27.194377899169922
2023-09-19,27.090364456176758
2023-09-20,26.995807647705078
2023-09-21,26.523029327392578
2023-09-22,26.135347366333008
2023-09-25,26.097522735595703
2023-09-26,25.690933227539062
2023-09-27,25.785486221313477
2023-09-28,26.059701919555664
2023-09-29,25.889497756958008
2023-10-02,25.246519088745117
2023-10-03,24.499521255493164
2023-10-04,24.527889251708984
2023-10-05,24.641359329223633
2023-10-06,24.65081214904785
2023-10-09,24.87774658203125
2023-10-10,25.539640426635742
2023-10-11,25.549095153808594
2023-10-12,25.435626983642578
2023-10-13,25.303251266479492
2023-10-16,25.52073097229004
2023-10-17,26.116436004638672
2023-10-18,25.82330894470215
2023-10-19,25.49236488342285
2023-10-20,24.87774658203125
2023-10-23,24.17803192138672
2023-10-24,24.083473205566406
2023-10-25,24.15911865234375
2023-10-26,24.69809341430664
2023-10-27,23.799806594848633
2023-10-30,24.2914981842041
2023-10-31,24.906118392944336
2023-11-01,24.96285057067871
2023-11-02,26.116436004638672
2023-11-03,26.87288475036621
2023-11-06,26.78778648376465
2023-11-07,26.627038955688477
2023-11-08,26.371734619140625
2023-11-09,26.031335830688477
2023-11-10,26.173166275024414
2023-11-13,26.19208335876465
2023-11-14,27.629337310791016
2023-11-15,28.00756072998047
2023-11-16,27.931915283203125
2023-11-17,28.347965240478516
2023-11-20,28.37632942199707
2023-11-21,28.04538345336914
2023-11-22,28.01701545715332
2023-11-24,28.111572265625
2023-11-27,27.95082664489746
2023-11-28,27.922460556030273
2023-11-29,28.659996032714844
2023-11-30,29.060302734375
2023-12-01,29.508264541625977
2023-12-04,29.374832153320312
2023-12-05,29.146087646484375
2023-12-06,29.098426818847656
2023-12-07,29.222333908081055
2023-12-08,29.508264541625977
2023-12-11,29.403425216674805
2023-12-12,29.298580169677734
2023-12-13,30.53762435913086
2023-12-14,32.348533630371094
2023-12-15,32.02447509765625
2023-12-18,31.862443923950195
2023-12-19,31.938692092895508
2023-12-20,31.433547973632812
2023-12-21,31.643232345581055
2023-12-22,31.862443923950195
2023-12-26,32.27228546142578
2023-12-27,32.25321960449219
2023-12-28,32.291343688964844
2023-12-29,32.09119415283203
2024-01-02,32.31040954589844
2024-01-03,31.957754135131836
2024-01-04,32.21509552001953
2024-01-05,32.81555938720703
2024-01-08,32.55821990966797
2024-01-09,32.053070068359375
2024-01-10,32.02447509765625
2024-01-11,31.595579147338867
2024-01-12,31.261987686157227
2024-01-16,30.613868713378906
2024-01-17,30.30887794494629
2024-01-18,30.242156982421875
2024-01-19,30.709184646606445
2024-01-22,31.023712158203125
2024-01-23,31.233396530151367
2024-01-24,31.433547973632812
2024-01-25,31.824317932128906
2024-01-26,31.862443923950195
2024-01-29,32.03400421142578
2024-01-30,33.15867614746094
2024-01-31,32.41524887084961
2024-02-01,31.97681999206543
2024-02-02,31.90057373046875
2024-02-05,31.44308090209961
2024-02-06,31.490732192993164
2024-02-07,31.624170303344727
2024-02-08,31.56698226928711
2024-02-09,31.51932716369629
2024-02-12,32.04353713989258
2024-02-13,31.214330673217773
2024-02-14,31.576513290405273
2024-02-15,32.47243881225586
2024-02-16,32.49149703979492
2024-02-20,32.36758804321289
2024-02-21,32.11978530883789
2024-02-22,32.03400421142578
2024-02-23,32.329463958740234
2024-02-26,32.03400421142578
2024-02-27,32.67258834838867
2024-02-28,32.70117950439453
2024-02-29,33.13310241699219
2024-03-01,32.96992492675781
2024-03-04,33.73779296875
2024-03-05,33.96814727783203
2024-03-06,33.99694061279297
2024-03-07,34.198509216308594
2024-03-08,34.169708251953125
2024-03-11,34.44805908203125
2024-03-12,34.5152473449707
2024-03-13,34.63043212890625
2024-03-14,34.25609588623047
2024-03-15,33.98734664916992
2024-03-18,34.563232421875
2024-03-19,34.58243179321289
2024-03-20,35.27350997924805
2024-03-21,36.00297164916992
2024-03-22,35.56145477294922
2024-03-25,35.37908935546875
2024-03-26,35.59984588623047
2024-03-27,36.290924072265625
2024-03-28,36.39649963378906
2024-04-01,36.012577056884766
2024-04-02,35.801414489746094
2024-04-03,35.935787200927734
2024-04-04,35.43667221069336
2024-04-05,35.61904525756836
2024-04-08,35.99337387084961
2024-04-09,36.21413803100586
2024-04-10,35.17752456665039
2024-04-11,34.88957977294922
2024-04-12,34.35207748413086
2024-04-15,34.505653381347656
2024-04-16,33.286678314208984
2024-04-17,33.8145751953125
2024-04-18,34.3328857421875
2024-04-19,35.48466873168945
2024-04-22,36.21413803100586
2024-04-23,36.82842254638672
2024-04-24,36.780426025390625
2024-04-25,36.38690185546875
2024-04-26,36.31011962890625
2024-04-29,36.04136657714844
2024-04-30,35.52305603027344
2024-05-01,35.46546936035156
2024-05-02,35.398284912109375
2024-05-03,35.753421783447266
2024-05-06,36.175743103027344
2024-05-07,36.31971740722656
2024-05-08,36.19493865966797
2024-05-09,36.74203872680664
2024-05-10,36.90520477294922
2024-05-13,36.67484664916992
2024-05-14,36.943603515625
2024-05-15,37.34672546386719
2024-05-16,37.64426803588867
2024-05-17,37.71146011352539
2024-05-20,37.26034164428711
2024-05-21,38.05699920654297
2024-05-22,38.16257095336914
2024-05-23,37.596275329589844
2024-05-24,38.104984283447266
2024-05-28,37.740257263183594
2024-05-29,37.16435623168945
2024-05-30,37.077972412109375
2024-05-31,38.383338928222656
2024-06-03,38.27775573730469
2024-06-04,38.085792541503906
2024-06-05,38.35454177856445
2024-06-06,38.104984283447266
2024-06-07,38.41399383544922
2024-06-10,38.30777359008789
2024-06-11,37.52559280395508
2024-06-12,38.05670166015625
2024-06-13,37.9118537902832
2024-06-14,37.89254379272461
2024-06-17,38.15326690673828
2024-06-18,38.616790771484375
2024-06-20,38.616790771484375
2024-06-21,38.13396072387695
2024-06-24,38.64575958251953
2024-06-25,38.027732849121094
2024-06-26,37.66078186035156
2024-06-27,37.90219497680664
2024-06-28,38.40434265136719
2024-07-01,38.6360969543457
2024-07-02,39.524505615234375
2024-07-03,39.495540618896484
2024-07-05,39.022369384765625
2024-07-08,39.22515106201172
2024-07-09,39.9976806640625
2024-07-10,40.306697845458984
2024-07-11,40.37429428100586
2024-07-12,40.161842346191406
2024-07-15,40.45154571533203
2024-07-16,42.6146240234375
2024-07-17,42.46977233886719
2024-07-18,41.533084869384766
2024-07-19,41.42686462402344
2024-07-22,40.84746170043945
2024-07-23,40.95368576049805
2024-07-24,40.741241455078125
2024-07-25,40.24875259399414
2024-07-26,40.23909378051758
2024-07-29,39.679012298583984
2024-07-30,39.862491607666016
2024-07-31,38.92580032348633
2024-08-01,38.14361572265625
2024-08-02,36.289546966552734
2024-08-05,35.391483306884766
2024-08-06,35.65220260620117
2024-08-07,36.01915740966797
2024-08-08,36.89790725708008
2024-08-09,36.96550750732422
2024-08-12,36.85928726196289
2024-08-13,37.13932800292969
2024-08-14,37.47731018066406
2024-08-15,37.68975067138672
2024-08-16,37.98910140991211
2024-08-19,38.30777359008789
2024-08-20,37.361427307128906
2024-08-21,37.41936492919922
2024-08-22,37.89254379272461
2024-08-23,38.40434265136719
2024-08-26,38.549190521240234
2024-08-27,38.30777359008789
2024-08-28,38.578155517578125
2024-08-29,38.79060363769531
2024-08-30,39.35069274902344
2024-09-03,39.302406311035156
2024-09-04,39.109275817871094
2024-09-05,38.761634826660156
2024-09-06,37.67304229736328
2024-09-09,38.363136291503906
2024-09-10,38.17845916748047
2024-09-11,37.90631103515625
2024-09-12,37.69248580932617
2024-09-13,37.566131591796875
2024-09-16,38.00351333618164
2024-09-17,38.44089126586914
2024-09-18,38.50892639160156
2024-09-19,39.723876953125
2024-09-20,39.14070129394531
2024-09-23,38.75191879272461
2024-09-24,38.34369659423828
2024-09-25,38.1493034362793
2024-09-26,38.4117317199707
2024-09-27,38.29509735107422
2024-09-30,38.56724548339844
2024-10-01,38.12014389038086
2024-10-02,38.12986373901367
2024-10-03,38.1493034362793
2024-10-04,38.98518753051758
2024-10-07,38.839393615722656
2024-10-08,38.81023406982422
2024-10-09,39.06294631958008
2024-10-10,38.84911346435547
2024-10-11,40.773590087890625
2024-10-14,40.73470687866211
2024-10-15,40.95825958251953
2024-10-16,41.59975051879883
2024-10-17,41.40536117553711
2024-10-18,41.133209228515625
2024-10-21,40.58890914916992
2024-10-22,41.113773345947266
2024-10-23,41.152652740478516
2024-10-24,41.45396423339844
2024-10-25,40.71527099609375
2024-10-28,41.424800872802734
2024-10-29,41.33732223510742
2024-10-30,41.12349319458008
2024-10-31,40.64723205566406
2024-11-01,40.58890914916992
2024-11-04,40.17097854614258
2024-11-05,40.70554733276367
2024-11-06,44.136558532714844
2024-11-07,43.51450729370117
2024-11-08,43.86441421508789
2024-11-11,44.78776931762695
2024-11-12,44.57394027709961
2024-11-13,44.58365249633789
2024-11-14,44.612815856933594
2024-11-15,45.43898010253906
2024-11-18,45.409820556640625
2024-11-19,45.108516693115234
2024-11-20,44.768333435058594
2024-11-21,45.15711212158203
2024-11-22,45.68197250366211
2024-11-25,46.167945861816406
2024-11-26,46.41093826293945
2024-11-27,46.43037414550781
2024-11-29,46.177669525146484
2024-12-02,45.72085189819336
2024-12-03,45.50701904296875
2024-12-04,45.069637298583984
2024-12-05,45.68197250366211
2024-12-06,45.691741943359375
2024-12-09,44.870758056640625
2024-12-10,44.714378356933594
2024-12-11,45.03691101074219
2024-12-12,45.03691101074219
2024-12-13,44.63618850708008
2024-12-16,44.44071960449219
2024-12-17,44.03022384643555
2024-12-18,42.515316009521484
2024-12-19,42.39802932739258
2024-12-20,43.17014694213867
2024-12-23,42.896480560302734
2024-12-24,43.375389099121094
2024-12-26,43.54154586791992
2024-12-27,43.33629608154297
2024-12-30,42.91603469848633
2024-12-31,42.95512390136719
2025-01-02,43.28743362426758
2025-01-03,43.79566192626953
2025-01-06,44.3723030090332
2025-01-07,45.03691101074219
2025-01-08,45.16396713256836
2025-01-10,44.0888671875
2025-01-13,44.03999710083008
2025-01-14,44.74369812011719
2025-01-15,46.033817291259766
2025-01-16,45.58423614501953
2025-01-17,45.47672653198242
2025-01-21,45.60377883911133
2025-01-22,44.753475189208984
2025-01-23,45.33989334106445
