Date,UNP
2023-01-03,192.46640014648438
2023-01-04,194.0054931640625
2023-01-05,188.29400634765625
2023-01-06,196.57382202148438
2023-01-09,196.06385803222656
2023-01-10,196.8241424560547
2023-01-11,198.66001892089844
2023-01-12,199.0587158203125
2023-01-13,197.70498657226562
2023-01-17,198.7063751220703
2023-01-18,194.22804260253906
2023-01-19,190.537841796875
2023-01-20,193.46774291992188
2023-01-23,194.8306884765625
2023-01-24,188.38671875
2023-01-25,185.54953002929688
2023-01-26,186.8105010986328
2023-01-27,187.6542510986328
2023-01-30,185.6237030029297
2023-01-31,189.3231964111328
2023-02-01,192.79090881347656
2023-02-02,197.8719024658203
2023-02-03,194.97903442382812
2023-02-06,193.7458953857422
2023-02-07,193.82008361816406
2023-02-08,192.05844116210938
2023-02-09,188.04368591308594
2023-02-10,190.537841796875
2023-02-13,191.04774475097656
2023-02-14,189.17486572265625
2023-02-15,188.3218231201172
2023-02-16,185.92041015625
2023-02-17,186.91249084472656
2023-02-21,179.64329528808594
2023-02-22,177.4458770751953
2023-02-23,179.24465942382812
2023-02-24,179.8936767578125
2023-02-27,198.04917907714844
2023-02-28,193.48463439941406
2023-03-01,194.14736938476562
2023-03-02,197.2930908203125
2023-03-03,195.42617797851562
2023-03-06,194.9314727783203
2023-03-07,191.72975158691406
2023-03-08,190.02154541015625
2023-03-09,186.28775024414062
2023-03-10,183.0113525390625
2023-03-13,182.11526489257812
2023-03-14,182.16192626953125
2023-03-15,179.25889587402344
2023-03-16,180.071044921875
2023-03-17,177.364013671875
2023-03-20,177.0653076171875
2023-03-21,176.92529296875
2023-03-22,173.35952758789062
2023-03-23,173.8075714111328
2023-03-24,175.9638214111328
2023-03-27,180.36968994140625
2023-03-28,183.49676513671875
2023-03-29,185.83969116210938
2023-03-30,185.15829467773438
2023-03-31,187.86526489257812
2023-04-03,186.25975036621094
2023-04-04,182.8433380126953
2023-04-05,181.2845001220703
2023-04-06,185.41964721679688
2023-04-10,185.16763305664062
2023-04-11,185.66233825683594
2023-04-12,185.503662109375
2023-04-13,184.74757385253906
2023-04-14,185.3169708251953
2023-04-17,186.7265167236328
2023-04-18,186.1944122314453
2023-04-19,188.55604553222656
2023-04-20,189.11610412597656
2023-04-21,185.61569213867188
2023-04-24,186.9505157470703
2023-04-25,181.78854370117188
2023-04-26,178.75485229492188
2023-04-27,180.65907287597656
2023-04-28,182.6753387451172
2023-05-01,185.41033935546875
2023-05-02,183.02069091796875
2023-05-03,182.32994079589844
2023-05-04,183.94482421875
2023-05-05,187.83726501464844
2023-05-08,186.6331329345703
2023-05-09,187.23985290527344
2023-05-10,185.81170654296875
2023-05-11,184.89691162109375
2023-05-12,185.74636840820312
2023-05-15,186.35308837890625
2023-05-16,183.7674560546875
2023-05-17,185.6063232421875
2023-05-18,185.57833862304688
2023-05-19,185.72767639160156
2023-05-22,185.0929412841797
2023-05-23,183.31005859375
2023-05-24,179.13758850097656
2023-05-25,180.35105895996094
2023-05-26,180.2483673095703
2023-05-30,182.50379943847656
2023-05-31,180.9250030517578
2023-06-01,183.89468383789062
2023-06-02,186.69522094726562
2023-06-05,186.760986328125
2023-06-06,184.53372192382812
2023-06-07,189.3265838623047
2023-06-08,188.88485717773438
2023-06-09,187.64437866210938
2023-06-12,186.97714233398438
2023-06-13,186.94894409179688
2023-06-14,190.5294952392578
2023-06-15,193.5179443359375
2023-06-16,192.34323120117188
2023-06-20,189.25137329101562
2023-06-21,191.38465881347656
2023-06-22,191.12152099609375
2023-06-23,187.8511199951172
2023-06-26,189.2043914794922
2023-06-27,190.7550048828125
2023-06-28,190.85841369628906
2023-06-29,192.3244171142578
2023-06-30,192.29624938964844
2023-07-03,193.71530151367188
2023-07-05,191.6290283203125
2023-07-06,190.31332397460938
2023-07-07,190.6046600341797
2023-07-10,192.5218048095703
2023-07-11,194.3355712890625
2023-07-12,196.3372802734375
2023-07-13,197.9254913330078
2023-07-14,198.28257751464844
2023-07-17,197.22067260742188
2023-07-18,199.81443786621094
2023-07-19,201.3462677001953
2023-07-20,203.7239227294922
2023-07-21,203.7239227294922
2023-07-24,203.87423706054688
2023-07-25,202.5679931640625
2023-07-26,223.66586303710938
2023-07-27,218.12120056152344
2023-07-28,218.7508544921875
2023-07-31,218.04603576660156
2023-08-01,217.55734252929688
2023-08-02,216.3356475830078
2023-08-03,216.04429626464844
2023-08-04,214.76620483398438
2023-08-07,215.86572265625
2023-08-08,214.8601837158203
2023-08-09,215.44284057617188
2023-08-10,216.4296112060547
2023-08-11,215.66839599609375
2023-08-14,215.959716796875
2023-08-15,211.95628356933594
2023-08-16,211.0917205810547
2023-08-17,210.8661651611328
2023-08-18,211.6931610107422
2023-08-21,210.4808349609375
2023-08-22,209.0148162841797
2023-08-23,209.6914520263672
2023-08-24,209.11817932128906
2023-08-25,210.67822265625
2023-08-28,211.0165252685547
2023-08-29,209.98275756835938
2023-08-30,210.6917266845703
2023-08-31,208.49868774414062
2023-09-01,208.93353271484375
2023-09-05,203.90469360351562
2023-09-06,201.18228149414062
2023-09-07,199.04595947265625
2023-09-08,200.2086639404297
2023-09-11,200.02908325195312
2023-09-12,202.1653594970703
2023-09-13,200.52059936523438
2023-09-14,203.89520263671875
2023-09-15,201.64547729492188
2023-09-18,201.4847412109375
2023-09-19,200.18031311035156
2023-09-20,201.32406616210938
2023-09-21,199.83055114746094
2023-09-22,197.78875732421875
2023-09-25,197.07034301757812
2023-09-26,193.62954711914062
2023-09-27,191.32310485839844
2023-09-28,192.93951416015625
2023-09-29,192.4857940673828
2023-10-02,191.54994201660156
2023-10-03,192.6275634765625
2023-10-04,191.20022583007812
2023-10-05,189.65940856933594
2023-10-06,191.3798370361328
2023-10-09,193.11912536621094
2023-10-10,195.0569305419922
2023-10-11,198.01564025878906
2023-10-12,196.607177734375
2023-10-13,196.3802947998047
2023-10-16,199.29173278808594
2023-10-17,199.77381896972656
2023-10-18,194.65045166015625
2023-10-19,198.819091796875
2023-10-20,199.77381896972656
2023-10-23,196.3897247314453
2023-10-24,194.1967010498047
2023-10-25,193.98876953125
2023-10-26,191.17185974121094
2023-10-27,190.68031311035156
2023-10-30,194.53701782226562
2023-10-31,196.24795532226562
2023-11-01,196.20069885253906
2023-11-02,199.82107543945312
2023-11-03,200.52059936523438
2023-11-06,201.4375
2023-11-07,199.83999633789062
2023-11-08,200.397705078125
2023-11-09,198.72457885742188
2023-11-10,199.91561889648438
2023-11-13,197.9399871826172
2023-11-14,203.88577270507812
2023-11-15,206.14498901367188
2023-11-16,207.3549041748047
2023-11-17,207.21311950683594
2023-11-20,208.99969482421875
2023-11-21,209.85044860839844
2023-11-22,211.25889587402344
2023-11-24,212.0056610107422
2023-11-27,207.81809997558594
2023-11-28,209.12257385253906
2023-11-29,209.34945678710938
2023-11-30,212.94146728515625
2023-12-01,218.70762634277344
2023-12-04,221.09915161132812
2023-12-05,219.46383666992188
2023-12-06,220.22007751464844
2023-12-07,220.04896545410156
2023-12-08,218.41397094726562
2023-12-11,220.56228637695312
2023-12-12,221.39878845214844
2023-12-13,224.99197387695312
2023-12-14,230.8570098876953
2023-12-15,230.0205078125
2023-12-18,229.1840362548828
2023-12-19,230.6573944091797
2023-12-20,226.0851593017578
2023-12-21,230.1440887451172
2023-12-22,231.5414581298828
2023-12-26,233.16693115234375
2023-12-27,233.66122436523438
2023-12-28,233.86083984375
2023-12-29,233.48062133789062
2024-01-02,231.3988494873047
2024-01-03,229.7543487548828
2024-01-04,229.14601135253906
2024-01-05,228.05282592773438
2024-01-08,228.72772216796875
2024-01-09,225.67637634277344
2024-01-10,227.1877899169922
2024-01-11,224.69728088378906
2024-01-12,225.9615478515625
2024-01-16,224.53570556640625
2024-01-17,224.1554412841797
2024-01-18,226.2277069091797
2024-01-19,227.44447326660156
2024-01-22,231.0946807861328
2024-01-23,231.3037872314453
2024-01-24,230.35321044921875
2024-01-25,229.63076782226562
2024-01-26,228.5091094970703
2024-01-29,233.0528564453125
2024-01-30,234.50723266601562
2024-01-31,231.8741455078125
2024-02-01,236.9502410888672
2024-02-02,236.0566864013672
2024-02-05,234.45021057128906
2024-02-06,237.5205535888672
