Date,QCOM
2023-01-03,100.1454849243164
2023-01-04,104.1905517578125
2023-01-05,102.20072174072266
2023-01-06,107.74982452392578
2023-01-09,107.06785583496094
2023-01-10,109.21651458740234
2023-01-11,110.59911346435547
2023-01-12,113.58853149414062
2023-01-13,112.32735443115234
2023-01-17,112.3647232055664
2023-01-18,114.00892639160156
2023-01-19,109.84242248535156
2023-01-20,114.81231689453125
2023-01-23,122.40731048583984
2023-01-24,122.09902954101562
2023-01-25,122.5381088256836
2023-01-26,125.14451599121094
2023-01-27,124.62134552001953
2023-01-30,122.96784210205078
2023-01-31,124.4438705444336
2023-02-01,129.348388671875
2023-02-02,126.9101333618164
2023-02-03,126.13475036621094
2023-02-06,124.18225860595703
2023-02-07,127.63878631591797
2023-02-08,123.4722900390625
2023-02-09,121.94023132324219
2023-02-10,120.50155639648438
2023-02-13,122.22982025146484
2023-02-14,123.63111877441406
2023-02-15,124.31305694580078
2023-02-16,121.59456634521484
2023-02-17,119.31513977050781
2023-02-21,115.55967712402344
2023-02-22,115.79322052001953
2023-02-23,117.8951644897461
2023-02-24,116.15755462646484
2023-02-27,115.29810333251953
2023-02-28,115.40086364746094
2023-03-01,116.24678039550781
2023-03-02,116.34075164794922
2023-03-03,116.17158508300781
2023-03-06,115.05310821533203
2023-03-07,112.02664184570312
2023-03-08,113.91582489013672
2023-03-09,110.1750259399414
2023-03-10,108.26702880859375
2023-03-13,107.55270385742188
2023-03-14,109.54529571533203
2023-03-15,108.54899597167969
2023-03-16,113.26730346679688
2023-03-17,113.47406768798828
2023-03-20,114.49857330322266
2023-03-21,116.35957336425781
2023-03-22,114.6395492553711
2023-03-23,116.68852233886719
2023-03-24,117.26187896728516
2023-03-27,116.17158508300781
2023-03-28,114.04741668701172
2023-03-29,117.57202911376953
2023-03-30,119.74320983886719
2023-03-31,119.91238403320312
2023-04-03,117.24307250976562
2023-04-04,114.94970703125
2023-04-05,115.6452407836914
2023-04-06,115.6076431274414
2023-04-10,116.82012176513672
2023-04-11,116.14337921142578
2023-04-12,113.04171752929688
2023-04-13,113.85002136230469
2023-04-14,112.9383316040039
2023-04-17,112.2052001953125
2023-04-18,111.24650573730469
2023-04-19,111.41570281982422
2023-04-20,111.50968170166016
2023-04-21,110.68257141113281
2023-04-24,110.29720306396484
2023-04-25,107.19554138183594
2023-04-26,107.29893493652344
2023-04-27,107.0733642578125
2023-04-28,109.7802734375
2023-05-01,108.87796020507812
2023-05-02,109.1317367553711
2023-05-03,106.04885864257812
2023-05-04,100.17449188232422
2023-05-05,102.2422866821289
2023-05-08,101.80052185058594
2023-05-09,99.41317749023438
2023-05-10,100.06170654296875
2023-05-11,97.80593872070312
2023-05-12,97.39240264892578
2023-05-15,99.89251708984375
2023-05-16,97.55217742919922
2023-05-17,98.51085662841797
2023-05-18,100.53164672851562
2023-05-19,99.49776458740234
2023-05-22,98.95262145996094
2023-05-23,97.33598327636719
2023-05-24,96.82844543457031
2023-05-25,97.76834106445312
2023-05-26,103.71790313720703
2023-05-30,109.02835083007812
2023-05-31,107.3342514038086
2023-06-01,109.62459564208984
2023-06-02,109.42584991455078
2023-06-05,106.690673828125
2023-06-06,110.1261978149414
2023-06-07,109.0094223022461
2023-06-08,110.11673736572266
2023-06-09,112.72887420654297
2023-06-12,115.59654998779297
2023-06-13,117.76387786865234
2023-06-14,116.78905487060547
2023-06-15,116.98778533935547
2023-06-16,116.10762023925781
2023-06-20,113.40083312988281
2023-06-21,109.55836486816406
2023-06-22,110.16404724121094
2023-06-23,107.35318756103516
2023-06-26,110.38172912597656
2023-06-27,113.3724365234375
2023-06-28,111.24298858642578
2023-06-29,111.73512268066406
2023-06-30,112.66262817382812
2023-07-03,113.6563720703125
2023-07-05,110.85494995117188
2023-07-06,109.0472640991211
2023-07-07,109.72872161865234
2023-07-10,110.84549713134766
2023-07-11,110.60887145996094
2023-07-12,112.32191467285156
2023-07-13,116.5240478515625
2023-07-14,115.9940414428711
2023-07-17,116.78905487060547
2023-07-18,116.27796936035156
2023-07-19,117.75439453125
2023-07-20,114.25261688232422
2023-07-21,118.038330078125
2023-07-24,117.45155334472656
2023-07-25,118.36958312988281
2023-07-26,117.3758316040039
2023-07-27,119.10777282714844
2023-07-28,122.5433120727539
2023-07-31,125.0892105102539
2023-08-01,125.00403594970703
2023-08-02,122.3445816040039
2023-08-03,112.34083557128906
2023-08-04,114.99082946777344
2023-08-07,112.9465560913086
2023-08-08,111.35657501220703
2023-08-09,110.32495880126953
2023-08-10,109.4163818359375
2023-08-11,108.46995544433594
2023-08-14,107.91156768798828
2023-08-15,105.6969223022461
2023-08-16,104.24889373779297
2023-08-17,104.18264770507812
2023-08-18,104.20157623291016
2023-08-21,104.75048828125
2023-08-22,103.60531616210938
2023-08-23,105.21424865722656
2023-08-24,102.69674682617188
2023-08-25,104.40978240966797
2023-08-28,105.6969223022461
2023-08-29,107.6844253540039
2023-08-30,107.9608154296875
2023-08-31,109.16177368164062
2023-09-01,109.98146057128906
2023-09-05,111.08708953857422
2023-09-06,109.30474090576172
2023-09-07,101.412841796875
2023-09-08,101.16502380371094
2023-09-11,105.1109619140625
2023-09-12,106.01644134521484
2023-09-13,107.36035919189453
2023-09-14,108.69474029541016
2023-09-15,107.8369140625
2023-09-18,107.46520233154297
2023-09-19,105.53034973144531
2023-09-20,104.10066223144531
2023-09-21,102.89970397949219
2023-09-22,102.63284301757812
2023-09-25,105.25395202636719
2023-09-26,104.57721710205078
2023-09-27,104.07206726074219
2023-09-28,105.89253234863281
2023-09-29,105.85440826416016
2023-10-02,105.89253234863281
2023-10-03,105.02519989013672
2023-10-04,104.70112609863281
2023-10-05,104.65348052978516
2023-10-06,105.68285369873047
2023-10-09,106.55973052978516
2023-10-10,107.04582214355469
2023-10-11,105.9115982055664
2023-10-12,106.23567199707031
2023-10-13,103.56690979003906
2023-10-16,105.33019256591797
2023-10-17,106.94097137451172
2023-10-18,105.7781753540039
2023-10-19,106.0641098022461
2023-10-20,103.5383071899414
2023-10-23,103.56690979003906
2023-10-24,104.26268768310547
2023-10-25,99.86875915527344
2023-10-26,100.66939544677734
2023-10-27,101.47001647949219
2023-10-30,102.77581024169922
2023-10-31,103.88143157958984
2023-11-01,105.6923828125
2023-11-02,111.85911560058594
2023-11-03,113.91787719726562
2023-11-06,114.30865478515625
2023-11-07,115.0616226196289
2023-11-08,114.43255615234375
2023-11-09,114.47068786621094
2023-11-10,118.38804626464844
2023-11-13,118.04491424560547
2023-11-14,121.39039611816406
2023-11-15,122.87728881835938
2023-11-16,122.66758728027344
2023-11-17,123.40150451660156
2023-11-20,123.43961334228516
2023-11-21,121.06632995605469
2023-11-22,121.52383422851562
2023-11-24,121.76212310791016
2023-11-27,122.19102478027344
2023-11-28,120.656494140625
2023-11-29,122.68997955322266
2023-11-30,123.78345489501953
2023-12-01,124.37815856933594
2023-12-04,124.64672088623047
2023-12-05,125.4140853881836
2023-12-06,124.65632629394531
2023-12-07,127.51470947265625
2023-12-08,127.54348754882812
2023-12-11,130.54574584960938
2023-12-12,131.10205078125
2023-12-13,133.13555908203125
2023-12-14,135.72535705566406
2023-12-15,137.28883361816406
2023-12-18,135.86923217773438
2023-12-19,137.38475036621094
2023-12-20,134.70863342285156
2023-12-21,136.6270294189453
2023-12-22,137.63417053222656
2023-12-26,139.52377319335938
2023-12-27,139.77316284179688
2023-12-28,139.90745544433594
2023-12-29,138.72764587402344
2024-01-02,134.50718688964844
2024-01-03,131.9845428466797
2024-01-04,130.61288452148438
2024-01-05,131.1500244140625
2024-01-08,133.3561553955078
2024-01-09,134.1810760498047
2024-01-10,133.62474060058594
2024-01-11,133.3561553955078
2024-01-12,134.47842407226562
2024-01-16,135.3608856201172
2024-01-17,133.6343231201172
2024-01-18,139.36070251464844
2024-01-19,145.7584991455078
2024-01-22,146.63136291503906
2024-01-23,147.2356414794922
2024-01-24,148.0701446533203
2024-01-25,148.16604614257812
2024-01-26,144.569091796875
2024-01-29,143.53318786621094
2024-01-30,140.02252197265625
2024-01-31,142.4492950439453
2024-02-01,135.3512725830078
2024-02-02,135.90760803222656
2024-02-05,138.15211486816406
2024-02-06,138.21925354003906
2024-02-07,139.9362030029297
2024-02-08,142.13275146484375
2024-02-09,144.83767700195312
2024-02-12,146.8520050048828
2024-02-13,143.9168243408203
2024-02-14,147.65771484375
2024-02-15,149.61444091796875
2024-02-16,146.45870971679688
2024-02-20,145.7584991455078
2024-02-21,145.8064422607422
2024-02-22,148.43463134765625
2024-02-23,148.588134765625
2024-02-26,150.62158203125
2024-02-27,151.8397674560547
2024-02-28,150.24903869628906
2024-02-29,152.1193389892578
2024-03-01,157.22886657714844
2024-03-04,160.57415771484375
2024-03-05,155.64779663085938
2024-03-06,161.8563690185547
2024-03-07,169.4049835205078
2024-03-08,164.44004821777344
2024-03-11,164.97027587890625
2024-03-12,166.85986328125
2024-03-13,163.16749572753906
2024-03-14,162.396240234375
2024-03-15,161.19114685058594
2024-03-18,160.92123413085938
2024-03-19,158.20257568359375
2024-03-20,161.644287109375
2024-03-21,164.7100067138672
2024-03-22,163.9869384765625
2024-03-25,161.4996795654297
2024-03-26,161.06585693359375
2024-03-27,163.0518035888672
2024-03-28,163.2156982421875
2024-04-01,165.54873657226562
2024-04-02,164.89315795898438
2024-04-03,167.66001892089844
2024-04-04,163.6591339111328
2024-04-05,165.3655548095703
2024-04-08,167.3804473876953
2024-04-09,169.26036071777344
2024-04-10,164.71963500976562
2024-04-11,168.836181640625
2024-04-12,165.13417053222656
2024-04-15,163.73626708984375
2024-04-16,162.52157592773438
2024-04-17,158.41465759277344
2024-04-18,155.63818359375
2024-04-19,151.96510314941406
2024-04-22,154.42343139648438
2024-04-23,155.55140686035156
2024-04-24,157.74948120117188
2024-04-25,157.4313201904297
2024-04-26,159.70651245117188
2024-04-29,163.11927795410156
2024-04-30,159.8896942138672
2024-05-01,158.2122039794922
2024-05-02,173.62757873535156
2024-05-03,173.18409729003906
2024-05-06,175.31466674804688
2024-05-07,173.67575073242188
2024-05-08,174.06141662597656
2024-05-09,174.05172729492188
2024-05-10,175.53639221191406
2024-05-13,177.5898895263672
2024-05-14,182.17880249023438
2024-05-15,187.6160888671875
2024-05-16,186.3242645263672
2024-05-17,186.89306640625
2024-05-20,190.6528778076172
2024-05-21,193.63185119628906
2024-05-22,195.6370849609375
2024-05-23,194.50914001464844
2024-05-24,202.80006408691406
2024-05-28,205.4223175048828
2024-05-29,200.77552795410156
2024-05-30,198.24905395507812
2024-05-31,197.5230255126953
2024-06-03,199.32351684570312
2024-06-04,197.83277893066406
2024-06-05,205.1219024658203
2024-06-06,202.74061584472656
2024-06-07,200.01080322265625
2024-06-10,202.65347290039062
2024-06-11,201.85003662109375
2024-06-12,208.50027465820312
2024-06-13,210.84286499023438
2024-06-14,208.4422149658203
2024-06-17,215.11181640625
2024-06-18,219.82603454589844
2024-06-20,208.57772827148438
2024-06-21,205.7317657470703
2024-06-24,194.41567993164062
2024-06-25,195.70315551757812
2024-06-26,191.0179901123047
2024-06-27,188.90768432617188
2024-06-28,192.8087921142578
2024-07-01,193.63160705566406
2024-07-02,193.7574462890625
2024-07-03,197.2906951904297
2024-07-05,199.1686248779297
2024-07-08,201.2401885986328
2024-07-09,200.49481201171875
2024-07-10,202.12109375
2024-07-11,193.45736694335938
2024-07-12,195.954833984375
2024-07-15,201.52090454101562
2024-07-16,202.93418884277344
2024-07-17,185.4712677001953
2024-07-18,185.3357391357422
2024-07-19,180.25367736816406
2024-07-22,188.7334747314453
2024-07-23,187.16526794433594
2024-07-24,175.27809143066406
2024-07-25,169.77978515625
2024-07-26,174.29071044921875
2024-07-29,172.92579650878906
2024-07-30,161.60008239746094
2024-07-31,175.16189575195312
2024-08-01,158.7541046142578
2024-08-02,154.214111328125
2024-08-05,152.8976287841797
2024-08-06,153.64300537109375
2024-08-07,151.1261444091797
2024-08-08,159.67372131347656
2024-08-09,159.21875
2024-08-12,157.67962646484375
2024-08-13,164.04913330078125
2024-08-14,161.8033447265625
2024-08-15,167.79534912109375
2024-08-16,166.67245483398438
2024-08-19,168.68592834472656
2024-08-20,166.6046905517578
2024-08-21,168.64720153808594
2024-08-22,163.59414672851562
2024-08-23,167.95022583007812
2024-08-26,164.06849670410156
2024-08-27,168.36647033691406
2024-08-28,166.35301208496094
2024-08-29,164.06849670410156
2024-08-30,169.69264221191406
2024-09-03,158.0184326171875
2024-09-04,160.0415496826172
2024-09-05,159.28260803222656
2024-09-06,153.92129516601562
2024-09-09,156.43170166015625
2024-09-10,157.31710815429688
2024-09-11,162.0654296875
2024-09-12,160.528076171875
2024-09-13,163.20387268066406
2024-09-16,162.1140899658203
2024-09-17,164.14768981933594
2024-09-18,163.75848388671875
2024-09-19,169.22682189941406
2024-09-20,164.36175537109375
