Date,ORCL
2023-01-03,80.45585632324219
2023-01-04,81.18623352050781
2023-01-05,81.0228500366211
2023-01-06,82.32022094726562
2023-01-09,83.36200714111328
2023-01-10,83.43916320800781
2023-01-11,85.46485900878906
2023-01-12,85.63848876953125
2023-01-13,86.04361724853516
2023-01-17,85.46485900878906
2023-01-18,83.6417236328125
2023-01-19,82.89900207519531
2023-01-20,84.16262817382812
2023-01-23,85.8217544555664
2023-01-24,86.52593994140625
2023-01-25,86.46804809570312
2023-01-26,86.65133666992188
2023-01-27,85.84104919433594
2023-01-30,84.25910186767578
2023-01-31,85.3298110961914
2023-02-01,86.86355590820312
2023-02-02,86.2172622680664
2023-02-03,86.44876861572266
2023-02-06,85.3973388671875
2023-02-07,84.63528442382812
2023-02-08,83.62245178222656
2023-02-09,83.58385467529297
2023-02-10,84.0565185546875
2023-02-13,86.25584411621094
2023-02-14,85.93751525878906
2023-02-15,85.21407318115234
2023-02-16,84.61601257324219
2023-02-17,84.19157409667969
2023-02-21,83.1497802734375
2023-02-22,83.26554107666016
2023-02-23,85.44557189941406
2023-02-24,85.52274322509766
2023-02-27,84.84749603271484
2023-02-28,84.30733489990234
2023-03-01,83.28483581542969
2023-03-02,83.89253997802734
2023-03-03,86.09185791015625
2023-03-06,86.56451416015625
2023-03-07,85.23336029052734
2023-03-08,85.3587417602539
2023-03-09,83.79608154296875
2023-03-10,81.09516143798828
2023-03-13,81.92473602294922
2023-03-14,81.56781005859375
2023-03-15,80.04373168945312
2023-03-16,81.81861114501953
2023-03-17,82.2430419921875
2023-03-20,83.88288116455078
2023-03-21,84.48095703125
2023-03-22,84.78961944580078
2023-03-23,84.67385864257812
2023-03-24,84.8957290649414
2023-03-27,86.95034790039062
2023-03-28,86.67060852050781
2023-03-29,87.41338348388672
2023-03-30,87.30726623535156
2023-03-31,89.63199615478516
2023-04-03,90.59661102294922
2023-04-04,90.67378234863281
2023-04-05,91.53227996826172
2023-04-06,92.52584075927734
2023-04-10,90.82100677490234
2023-04-11,91.02442932128906
2023-04-12,90.95661163330078
2023-04-13,92.55490112304688
2023-04-14,92.70987701416016
2023-04-17,92.59364318847656
2023-04-18,93.44606018066406
2023-04-19,92.8067398071289
2023-04-20,91.85746002197266
2023-04-21,92.16742706298828
2023-04-24,92.44834899902344
2023-04-25,91.1115951538086
2023-04-26,90.77256774902344
2023-04-27,92.0608901977539
2023-04-28,91.75090789794922
2023-05-01,91.89620208740234
2023-05-02,91.82841491699219
2023-05-03,91.80903625488281
2023-05-04,91.99307250976562
2023-05-05,93.93038940429688
2023-05-08,93.75602722167969
2023-05-09,93.12640380859375
2023-05-10,94.463134765625
2023-05-11,94.38565063476562
2023-05-12,94.78279876708984
2023-05-15,94.21128845214844
2023-05-16,95.17025756835938
2023-05-17,96.64261627197266
2023-05-18,99.13206481933594
2023-05-19,99.61638641357422
2023-05-22,98.57991027832031
2023-05-23,95.45116424560547
2023-05-24,95.23807525634766
2023-05-25,101.02092742919922
2023-05-26,100.81751251220703
2023-05-30,101.85397338867188
2023-05-31,102.61922454833984
2023-06-01,102.66763305664062
2023-06-02,102.57078552246094
2023-06-05,103.57817840576172
2023-06-06,103.74284362792969
2023-06-07,101.95084381103516
2023-06-08,104.11093139648438
2023-06-09,106.4066390991211
2023-06-12,112.7803955078125
2023-06-13,113.02255249023438
2023-06-14,118.43733215332031
2023-06-15,122.58316802978516
2023-06-16,121.52732849121094
2023-06-20,118.21454620361328
2023-06-21,118.27265167236328
2023-06-22,116.80030822753906
2023-06-23,114.92110443115234
2023-06-26,113.1194076538086
2023-06-27,114.14619445800781
2023-06-28,112.87725067138672
2023-06-29,114.08808135986328
2023-06-30,115.35700225830078
2023-07-03,113.47782135009766
2023-07-05,112.32511901855469
2023-07-06,111.83110809326172
2023-07-07,111.01744079589844
2023-07-10,110.7946548461914
2023-07-11,111.66948699951172
2023-07-12,112.77764892578125
2023-07-13,114.16767883300781
2023-07-14,115.93681335449219
2023-07-17,115.56742095947266
2023-07-18,117.39488983154297
2023-07-19,115.37301635742188
2023-07-20,112.64154815673828
2023-07-21,114.36209869384766
2023-07-24,114.77035522460938
2023-07-25,114.65369415283203
2023-07-26,112.2721939086914
2023-07-27,113.14701843261719
2023-07-28,112.74848937988281
2023-07-31,113.95382690429688
2023-08-01,114.61482238769531
2023-08-02,112.47630310058594
2023-08-03,111.34872436523438
2023-08-04,111.24179077148438
2023-08-07,112.85540008544922
2023-08-08,112.00972747802734
2023-08-09,109.93924713134766
2023-08-10,109.83231353759766
2023-08-11,109.90035247802734
2023-08-14,112.3402099609375
2023-08-15,114.01214599609375
2023-08-16,112.11664581298828
2023-08-17,111.66948699951172
2023-08-18,113.20532989501953
2023-08-21,113.33169555664062
2023-08-22,113.2831039428711
2023-08-23,114.54676818847656
2023-08-24,109.75455474853516
2023-08-25,112.81651306152344
2023-08-28,113.5747299194336
2023-08-29,117.27825164794922
2023-08-30,117.73509979248047
2023-08-31,117.0255126953125
2023-09-01,117.5504150390625
2023-09-05,120.51518249511719
2023-09-06,120.85540008544922
2023-09-07,121.59416961669922
2023-09-08,122.789794921875
2023-09-11,123.16888427734375
2023-09-12,106.54676818847656
2023-09-13,108.7144546508789
2023-09-14,110.48361206054688
2023-09-15,110.72661590576172
2023-09-18,109.07411193847656
2023-09-19,109.61846160888672
2023-09-20,109.71566772460938
