Date,SBUX
2023-01-03,93.15757751464844
2023-01-04,96.51136779785156
2023-01-05,96.48363494873047
2023-01-06,98.5716781616211
2023-01-09,96.77005767822266
2023-01-10,97.9341812133789
2023-01-11,98.21135711669922
2023-01-12,97.79558563232422
2023-01-13,99.07059478759766
2023-01-17,98.62710571289062
2023-01-18,97.0102767944336
2023-01-19,96.32658386230469
2023-01-20,97.04721069335938
2023-01-23,98.12818908691406
2023-01-24,98.52548217773438
2023-01-25,98.8396224975586
2023-01-26,100.4841537475586
2023-01-27,100.7243881225586
2023-01-30,100.15156555175781
2023-01-31,100.83525085449219
2023-02-01,101.62055969238281
2023-02-02,100.844482421875
2023-02-03,96.36355590820312
2023-02-06,97.02873992919922
2023-02-07,98.70103454589844
2023-02-08,98.21135711669922
2023-02-09,98.4713363647461
2023-02-10,99.43702697753906
2023-02-13,100.76483154296875
2023-02-14,100.26339721679688
2023-02-15,101.21052551269531
2023-02-16,99.8548583984375
2023-02-17,99.44630432128906
2023-02-21,97.29209899902344
2023-02-22,97.2828140258789
2023-02-23,96.11285400390625
2023-02-24,94.33934020996094
2023-02-27,95.11932373046875
2023-02-28,94.79434204101562
2023-03-01,94.18148803710938
2023-03-02,95.64859771728516
2023-03-03,97.07853698730469
2023-03-06,97.48709106445312
2023-03-07,95.95500946044922
2023-03-08,95.17503356933594
2023-03-09,93.13225555419922
2023-03-10,92.27799224853516
2023-03-13,91.99944305419922
2023-03-14,92.35228729248047
2023-03-15,92.24085998535156
2023-03-16,93.25296783447266
2023-03-17,91.64659118652344
2023-03-20,92.71440887451172
2023-03-21,93.35511016845703
2023-03-22,92.03658294677734
2023-03-23,91.38658142089844
2023-03-24,91.31232452392578
2023-03-27,91.60945892333984
2023-03-28,91.6651840209961
2023-03-29,93.42938995361328
2023-03-30,94.079345703125
2023-03-31,96.68853759765625
2023-04-03,97.35709381103516
2023-04-04,96.56784057617188
2023-04-05,97.40353393554688
2023-04-06,97.19924926757812
2023-04-10,97.25495910644531
2023-04-11,98.18348693847656
2023-04-12,98.0534896850586
2023-04-13,99.34416198730469
2023-04-14,99.78986358642578
2023-04-17,100.56983947753906
2023-04-18,100.19841766357422
2023-04-19,99.50203704833984
2023-04-20,99.3998794555664
2023-04-21,100.45841217041016
2023-04-24,101.47978973388672
2023-04-25,101.5262222290039
2023-04-26,103.50402069091797
2023-04-27,104.69253540039062
2023-04-28,106.12248229980469
2023-05-01,106.3731918334961
2023-05-02,106.28034210205078
2023-05-03,96.53070068359375
2023-05-04,97.23637390136719
2023-05-05,99.5484390258789
2023-05-08,99.51128387451172
2023-05-09,99.08417510986328
2023-05-10,99.32559204101562
2023-05-11,98.5697250366211
2023-05-12,99.0269775390625
2023-05-15,99.51221466064453
2023-05-16,98.24311065673828
2023-05-17,98.62572479248047
2023-05-18,99.93214416503906
2023-05-19,98.45774841308594
2023-05-22,96.02220153808594
2023-05-23,93.63330841064453
2023-05-24,92.95210266113281
2023-05-25,91.86031341552734
2023-05-26,91.94430541992188
2023-05-30,91.21642303466797
2023-05-31,91.11378479003906
2023-06-01,91.0018081665039
2023-06-02,92.84945678710938
2023-06-05,93.25071716308594
2023-06-06,91.65501403808594
2023-06-07,91.37506103515625
2023-06-08,92.5228500366211
2023-06-09,91.41238403320312
2023-06-12,91.87895965576172
2023-06-13,92.62549591064453
2023-06-14,93.93194580078125
2023-06-15,94.60379791259766
2023-06-16,95.06104278564453
2023-06-20,94.50114440917969
2023-06-21,95.06104278564453
2023-06-22,94.10920715332031
2023-06-23,91.7669906616211
2023-06-26,91.6643295288086
2023-06-27,92.12159729003906
2023-06-28,92.0189437866211
2023-06-29,92.08426666259766
2023-06-30,92.43885803222656
2023-07-03,92.5228500366211
2023-07-05,91.87895965576172
2023-07-06,89.77001953125
2023-07-07,89.63005828857422
2023-07-10,92.50418090820312
2023-07-11,93.40001678466797
2023-07-12,94.37983703613281
2023-07-13,94.80908966064453
2023-07-14,94.81841278076172
2023-07-17,94.18386840820312
2023-07-18,94.02523803710938
2023-07-19,95.02372741699219
2023-07-20,94.13721466064453
2023-07-21,95.94755554199219
2023-07-24,95.91022491455078
2023-07-25,96.04085540771484
2023-07-26,94.93040466308594
2023-07-27,94.04390716552734
2023-07-28,94.48249816894531
2023-07-31,94.78108978271484
2023-08-01,94.49182891845703
2023-08-02,95.30366516113281
2023-08-03,95.49031066894531
2023-08-04,93.95056915283203
2023-08-07,94.9397201538086
2023-08-08,93.96925354003906
2023-08-09,93.24137878417969
2023-08-10,95.37095642089844
2023-08-11,94.74239349365234
2023-08-14,94.76116943359375
2023-08-15,93.8511734008789
2023-08-16,92.85675811767578
2023-08-17,90.59584045410156
2023-08-18,91.21499633789062
2023-08-21,90.49263763427734
2023-08-22,90.12676239013672
2023-08-23,89.29183197021484
2023-08-24,88.96348571777344
2023-08-25,89.57327270507812
2023-08-28,91.03675842285156
2023-08-29,93.0162353515625
2023-08-30,93.10066986083984
2023-08-31,91.4120101928711
2023-09-01,91.93737030029297
2023-09-05,90.84912872314453
2023-09-06,90.0141830444336
2023-09-07,89.2167739868164
2023-09-08,89.38565063476562
2023-09-11,89.75151824951172
2023-09-12,90.2862548828125
2023-09-13,90.9335708618164
2023-09-14,91.14934539794922
2023-09-15,90.27687072753906
2023-09-18,90.77408599853516
2023-09-19,89.39501953125
2023-09-20,89.27306365966797
2023-09-21,87.34050750732422
2023-09-22,87.88462829589844
2023-09-25,87.00276184082031
2023-09-26,86.30854797363281
2023-09-27,85.52991485595703
2023-09-28,85.44546508789062
2023-09-29,85.62371063232422
2023-10-02,85.49237060546875
2023-10-03,83.94445037841797
2023-10-04,85.51114654541016
2023-10-05,86.6556625366211
2023-10-06,87.10597229003906
2023-10-09,86.94647979736328
2023-10-10,87.4155502319336
2023-10-11,86.26163482666016
2023-10-12,85.76443481445312
2023-10-13,85.82073211669922
2023-10-16,87.85648345947266
2023-10-17,88.35369110107422
2023-10-18,87.95028686523438
2023-10-19,88.57884216308594
2023-10-20,88.36308288574219
2023-10-23,88.37245178222656
2023-10-24,88.76647186279297
2023-10-25,88.18482971191406
2023-10-26,86.93710327148438
2023-10-27,86.32731628417969
2023-10-30,87.38741302490234
2023-10-31,86.53369140625
2023-11-01,85.69876861572266
2023-11-02,93.82303619384766
2023-11-03,96.29972076416016
2023-11-06,97.5943374633789
2023-11-07,97.26599884033203
2023-11-08,97.8476333618164
2023-11-09,96.43270111083984
2023-11-10,98.41361236572266
2023-11-13,97.64010620117188
2023-11-14,99.61157989501953
2023-11-15,100.01720428466797
2023-11-16,101.13029479980469
2023-11-17,99.58329010009766
2023-11-20,98.38531494140625
2023-11-21,97.8099136352539
2023-11-22,97.5740737915039
2023-11-24,96.9515151977539
2023-11-27,96.55532836914062
2023-11-28,95.44224548339844
2023-11-29,94.18766021728516
2023-11-30,93.66886901855469
2023-12-01,93.57451629638672
2023-12-04,92.06526184082031
2023-12-05,90.12208557128906
2023-12-06,91.51814270019531
2023-12-07,90.97103881835938
2023-12-08,91.13140106201172
2023-12-11,92.5557632446289
2023-12-12,92.58407592773438
2023-12-13,92.54634094238281
2023-12-14,92.2916488647461
2023-12-15,91.2634506225586
2023-12-18,91.084228515625
2023-12-19,92.17845153808594
2023-12-20,89.33914947509766
2023-12-21,89.92398834228516
2023-12-22,89.8768310546875
2023-12-26,90.24470520019531
2023-12-27,89.88624572753906
2023-12-28,90.48995208740234
2023-12-29,90.5654296875
2024-01-02,88.3581314086914
2024-01-03,87.94307708740234
2024-01-04,88.24492645263672
2024-01-05,87.71666717529297
2024-01-08,88.84864044189453
2024-01-09,87.8110122680664
2024-01-10,88.19776153564453
2024-01-11,87.66951751708984
2024-01-12,86.76396942138672
2024-01-16,87.443115234375
2024-01-17,86.56587219238281
2024-01-18,88.04683685302734
2024-01-19,88.537353515625
2024-01-22,87.79215240478516
2024-01-23,86.75453186035156
2024-01-24,86.82056427001953
2024-01-25,87.35823059082031
2024-01-26,87.53746795654297
2024-01-29,88.48075103759766
2024-01-30,88.744873046875
2024-01-31,87.75442504882812
2024-02-01,88.07513427734375
2024-02-02,87.71666717529297
2024-02-05,87.26390838623047
2024-02-06,90.24470520019531
2024-02-07,89.90512084960938
2024-02-08,91.66069793701172
2024-02-09,92.33446502685547
2024-02-12,90.5978775024414
2024-02-13,89.07952117919922
2024-02-14,89.2693099975586
2024-02-15,88.46269989013672
2024-02-16,88.46269989013672
2024-02-20,88.69043731689453
2024-02-21,90.17083740234375
2024-02-22,90.89204406738281
2024-02-23,90.74021911621094
2024-02-26,89.4686050415039
2024-02-27,89.32624816894531
2024-02-28,88.25392150878906
2024-02-29,90.05695343017578
2024-03-01,88.40576171875
2024-03-04,87.74148559570312
2024-03-05,86.56475830078125
2024-03-06,86.97281646728516
2024-03-07,86.30851745605469
2024-03-08,86.41293334960938
2024-03-11,87.37138366699219
2024-03-12,87.6845474243164
2024-03-13,86.93486022949219
2024-03-14,86.9822998046875
2024-03-15,85.52088928222656
2024-03-18,86.36546325683594
2024-03-19,86.91587829589844
2024-03-20,87.87432861328125
2024-03-21,86.9822998046875
2024-03-22,86.0807876586914
2024-03-25,86.0428237915039
2024-03-26,85.74864959716797
2024-03-27,86.83045959472656
2024-03-28,86.72608184814453
2024-04-01,86.85893249511719
2024-04-02,84.74274444580078
2024-04-03,84.17335510253906
2024-04-04,83.14847564697266
2024-04-05,82.41777801513672
2024-04-08,82.74040985107422
2024-04-09,82.6834716796875
2024-04-10,81.5636978149414
2024-04-11,81.5162582397461
2024-04-12,80.58627319335938
2024-04-15,80.8235092163086
2024-04-16,81.06075286865234
2024-04-17,81.81043243408203
2024-04-18,82.70246124267578
2024-04-19,83.13898468017578
2024-04-22,83.67990112304688
2024-04-23,83.38570404052734
2024-04-24,84.22080993652344
2024-04-25,83.35723876953125
2024-04-26,83.74632263183594
2024-04-29,83.8222427368164
2024-04-30,83.97407531738281
2024-05-01,70.64109802246094
2024-05-02,71.10608673095703
2024-05-03,69.37896728515625
2024-05-06,69.17967987060547
2024-05-07,68.80010223388672
2024-05-08,69.74906921386719
2024-05-09,71.81781005859375
2024-05-10,72.22586822509766
2024-05-13,72.29230499267578
2024-05-14,71.77035522460938
2024-05-15,71.83677673339844
2024-05-16,71.98020935058594
2024-05-17,74.43757629394531
2024-05-20,74.14115142822266
2024-05-21,74.31326293945312
2024-05-22,77.1817626953125
2024-05-23,74.87739562988281
2024-05-24,75.41284942626953
2024-05-28,74.08377838134766
2024-05-29,73.51007080078125
2024-05-30,75.30767822265625
2024-05-31,76.70367431640625
2024-06-03,78.48214721679688
2024-06-04,79.16101837158203
2024-06-05,77.60247802734375
2024-06-06,77.89888763427734
2024-06-07,77.86064147949219
2024-06-10,78.02320098876953
2024-06-11,76.38813781738281
2024-06-12,75.90050506591797
2024-06-13,76.7228012084961
2024-06-14,76.1586685180664
2024-06-17,77.76502990722656
2024-06-18,76.68455505371094
2024-06-20,76.22560119628906
2024-06-21,76.40727996826172
2024-06-24,76.23516845703125
2024-06-25,75.80487060546875
2024-06-26,75.68058776855469
2024-06-27,75.76663970947266
2024-06-28,74.43757629394531
2024-07-01,73.7491226196289
2024-07-02,73.46227264404297
2024-07-03,72.91725158691406
2024-07-05,72.71646881103516
2024-07-08,71.30133056640625
2024-07-09,69.56111145019531
2024-07-10,69.33163452148438
2024-07-11,70.08700561523438
2024-07-12,71.5499496459961
2024-07-15,69.56111145019531
2024-07-16,72.20014190673828
2024-07-17,71.80810546875
2024-07-18,70.93800354003906
2024-07-19,75.79531860351562
2024-07-22,73.1945571899414
2024-07-23,72.91725158691406
2024-07-24,71.40652465820312
2024-07-25,70.10612487792969
2024-07-26,70.80413818359375
2024-07-29,71.90372467041016
2024-07-30,72.61128997802734
2024-07-31,74.5331802368164
2024-08-01,71.81767272949219
2024-08-02,72.55391693115234
2024-08-05,70.62246704101562
2024-08-06,72.06627655029297
2024-08-07,71.98978424072266
2024-08-08,72.42961120605469
2024-08-09,71.79853057861328
2024-08-12,73.65351104736328
2024-08-13,91.69635772705078
2024-08-14,89.7840347290039
2024-08-15,90.72108459472656
2024-08-16,91.2020492553711
2024-08-19,88.78758239746094
2024-08-20,89.47056579589844
2024-08-21,89.24930572509766
2024-08-22,88.91262817382812
2024-08-23,90.44210815429688
2024-08-26,91.99085998535156
2024-08-27,94.84782409667969
2024-08-28,91.67341613769531
2024-08-29,91.25016021728516
2024-08-30,90.97119140625
2024-09-03,89.63408660888672
2024-09-04,88.8164291381836
2024-09-05,88.07573699951172
2024-09-06,87.68133544921875
2024-09-09,88.70098876953125
2024-09-10,89.78799438476562
2024-09-11,94.46304321289062
2024-09-12,95.501953125
2024-09-13,94.8189697265625
2024-09-16,92.64497375488281
2024-09-17,92.77002716064453
2024-09-18,92.46220397949219
2024-09-19,93.2125244140625
2024-09-20,92.39486694335938
2024-09-23,91.84657287597656
2024-09-24,90.85575866699219
2024-09-25,91.98123931884766
2024-09-26,93.76083374023438
2024-09-27,93.65502166748047
2024-09-30,93.78007507324219
2024-10-01,93.72235870361328
2024-10-02,92.82775115966797
2024-10-03,91.92350769042969
2024-10-04,92.90470123291016
2024-10-07,92.433349609375
2024-10-08,92.54878234863281
2024-10-09,92.23133850097656
2024-10-10,90.30744934082031
