Date,CRM
2023-01-03,133.16204833984375
2023-01-04,137.91429138183594
2023-01-05,134.7033233642578
2023-01-06,138.82327270507812
2023-01-09,145.3341522216797
2023-01-10,145.67005920410156
2023-01-11,143.1605682373047
2023-01-12,147.80413818359375
2023-01-13,147.71522521972656
2023-01-17,146.6876983642578
2023-01-18,143.70396423339844
2023-01-19,144.65243530273438
2023-01-20,149.434326171875
2023-01-23,153.99887084960938
2023-01-24,153.00100708007812
2023-01-25,154.29527282714844
2023-01-26,163.10818481445312
2023-01-27,162.54501342773438
2023-01-30,162.77227783203125
2023-01-31,165.95362854003906
2023-02-01,169.75741577148438
2023-02-02,172.54354858398438
2023-02-03,168.98675537109375
2023-02-06,167.0206756591797
2023-02-07,169.22389221191406
2023-02-08,167.5937042236328
2023-02-09,171.57533264160156
2023-02-10,165.02491760253906
2023-02-13,169.0262908935547
2023-02-14,167.91973876953125
2023-02-15,169.0460662841797
2023-02-16,166.09193420410156
2023-02-17,163.1872100830078
2023-02-21,159.67984008789062
2023-02-22,161.39898681640625
2023-02-23,162.14981079101562
2023-02-24,160.2528839111328
2023-02-27,161.1815948486328
2023-02-28,161.64596557617188
2023-03-01,165.341064453125
2023-03-02,184.35009765625
2023-03-03,184.19200134277344
2023-03-06,181.5935821533203
2023-03-07,181.11936950683594
2023-03-08,180.7537841796875
2023-03-09,176.57456970214844
2023-03-10,171.10107421875
2023-03-13,173.40309143066406
2023-03-14,180.69451904296875
2023-03-15,180.7142791748047
2023-03-16,185.05157470703125
2023-03-17,182.63099670410156
2023-03-20,183.02618408203125
2023-03-21,186.4149932861328
2023-03-22,184.27105712890625
2023-03-23,185.1898956298828
2023-03-24,187.77842712402344
2023-03-27,188.9640350341797
2023-03-28,189.99154663085938
2023-03-29,194.2794647216797
2023-03-30,194.23992919921875
2023-03-31,197.38174438476562
2023-04-03,194.13124084472656
2023-04-04,194.83273315429688
2023-04-05,192.96542358398438
2023-04-06,190.23855590820312
2023-04-10,189.19126892089844
2023-04-11,186.6224822998047
2023-04-12,188.03533935546875
2023-04-13,191.69090270996094
2023-04-14,192.31333923339844
2023-04-17,194.71414184570312
2023-04-18,196.11712646484375
2023-04-19,196.53207397460938
2023-04-20,195.13902282714844
2023-04-21,196.64077758789062
2023-04-24,192.58009338378906
2023-04-25,188.38113403320312
2023-04-26,189.2209014892578
2023-04-27,193.5878448486328
2023-04-28,195.98867797851562
2023-05-01,195.4156494140625
