Date,CVS
2023-01-03,82.17081451416016
2023-01-04,81.34832000732422
2023-01-05,79.99515533447266
2023-01-06,81.0122299194336
2023-01-09,80.91495513916016
2023-01-10,80.17204284667969
2023-01-11,79.37606811523438
2023-01-12,78.87195587158203
2023-01-13,79.52642059326172
2023-01-17,79.04000854492188
2023-01-18,78.0052261352539
2023-01-19,77.90282440185547
2023-01-20,77.47537231445312
2023-01-23,77.6534652709961
2023-01-24,76.6026611328125
2023-01-25,76.36222839355469
2023-01-26,78.06311798095703
2023-01-27,78.16998291015625
2023-01-30,77.51988983154297
2023-01-31,78.56180572509766
2023-02-01,77.91173553466797
2023-02-02,76.7451400756836
2023-02-03,76.3800277709961
2023-02-06,75.91696166992188
2023-02-07,76.56704711914062
2023-02-08,79.22079467773438
2023-02-09,80.20926666259766
2023-02-10,79.84414672851562
2023-02-13,80.03116607666016
2023-02-14,78.8289566040039
2023-02-15,78.67757415771484
2023-02-16,78.33918762207031
2023-02-17,78.88240814208984
2023-02-21,78.02750396728516
2023-02-22,77.6623764038086
2023-02-23,77.35961151123047
2023-02-24,76.3800277709961
2023-02-27,75.55184173583984
2023-02-28,74.3941650390625
2023-03-01,73.44132232666016
2023-03-02,72.5151596069336
2023-03-03,72.85356140136719
2023-03-06,73.8865737915039
2023-03-07,71.6424560546875
2023-03-08,71.072509765625
2023-03-09,68.57014465332031
2023-03-10,68.65921020507812
2023-03-13,67.92899322509766
2023-03-14,67.28779602050781
2023-03-15,67.14532470703125
2023-03-16,67.52823638916016
2023-03-17,66.22808837890625
2023-03-20,66.77130889892578
2023-03-21,67.28779602050781
2023-03-22,66.26371002197266
2023-03-23,64.4470443725586
2023-03-24,65.23960876464844
2023-03-27,65.51567077636719
2023-03-28,65.11492919921875
2023-03-29,65.9787368774414
2023-03-30,66.52195739746094
2023-03-31,66.17464447021484
2023-04-03,67.759765625
2023-04-04,67.90226745605469
2023-04-05,69.23805236816406
2023-04-06,69.05104064941406
2023-04-10,67.71524810791016
2023-04-11,67.9378890991211
2023-04-12,66.71788024902344
2023-04-13,67.16312408447266
2023-04-14,66.52195739746094
2023-04-17,67.50154113769531
2023-04-18,67.80429077148438
2023-04-19,66.08560180664062
2023-04-20,65.76687622070312
2023-04-21,65.39875030517578
2023-04-24,65.93746948242188
2023-04-25,65.4256820678711
2023-04-26,64.87799835205078
2023-04-27,65.59627532958984
2023-04-28,65.82072448730469
2023-05-01,66.34148406982422
2023-05-02,65.32693481445312
2023-05-03,62.92071533203125
2023-05-04,61.76250076293945
2023-05-05,63.459415435791016
2023-05-08,62.56157684326172
2023-05-09,62.82194900512695
2023-05-10,62.58851623535156
2023-05-11,61.92411422729492
2023-05-12,61.573944091796875
2023-05-15,61.81636428833008
2023-05-16,60.245140075683594
2023-05-17,62.33710861206055
2023-05-18,62.2293701171875
2023-05-19,62.292205810546875
2023-05-22,62.3281364440918
2023-05-23,62.55259323120117
2023-05-24,61.789432525634766
2023-05-25,60.75691223144531
2023-05-26,60.729984283447266
2023-05-30,60.2900390625
2023-05-31,61.08013916015625
2023-06-01,61.84330368041992
