Date,COF
2023-01-03,87.92750549316406
2023-01-04,90.60400390625
2023-01-05,88.88269805908203
2023-01-06,91.80510711669922
2023-01-09,92.16450500488281
2023-01-10,93.15755462646484
2023-01-11,96.26911163330078
2023-01-12,95.54085540771484
2023-01-13,97.27161407470703
2023-01-17,98.0093002319336
2023-01-18,96.3731460571289
2023-01-19,92.59954833984375
2023-01-20,98.52946472167969
2023-01-23,101.3100357055664
2023-01-24,100.73310089111328
2023-01-25,109.79350280761719
2023-01-26,109.77457427978516
2023-01-27,111.20269012451172
2023-01-30,108.76261901855469
2023-01-31,112.5456771850586
2023-02-01,110.02047729492188
2023-02-02,115.21272277832031
2023-02-03,115.42182159423828
2023-02-06,111.81014251708984
2023-02-07,114.14822387695312
2023-02-08,111.41094970703125
2023-02-09,109.8712387084961
2023-02-10,109.67163848876953
2023-02-13,111.55351257324219
2023-02-14,109.63361358642578
2023-02-15,108.94930267333984
2023-02-16,106.02194213867188
2023-02-17,105.66075134277344
2023-02-21,102.79043579101562
2023-02-22,103.20862579345703
2023-02-23,104.0830307006836
2023-02-24,104.20658874511719
2023-02-27,103.6268081665039
2023-02-28,103.67434692382812
2023-03-01,103.1991195678711
2023-03-02,102.82844543457031
2023-03-03,104.33965301513672
2023-03-06,103.12309265136719
2023-03-07,100.2812728881836
2023-03-08,99.739501953125
2023-03-09,95.937744140625
2023-03-10,93.32401275634766
2023-03-13,88.69535827636719
2023-03-14,91.30908203125
2023-03-15,88.32469177246094
2023-03-16,88.92346954345703
2023-03-17,85.26425170898438
2023-03-20,85.76799774169922
2023-03-21,89.87389373779297
2023-03-22,86.49983978271484
2023-03-23,85.45435333251953
2023-03-24,85.96756744384766
2023-03-27,87.20315551757812
2023-03-28,86.60437774658203
2023-03-29,89.45571899414062
2023-03-30,89.51274108886719
2023-03-31,91.39462280273438
2023-04-03,91.54668426513672
2023-04-04,91.84132385253906
2023-04-05,90.14002990722656
2023-04-06,90.22557830810547
2023-04-10,90.50119018554688
2023-04-11,93.5521240234375
2023-04-12,90.9478988647461
2023-04-13,91.12848663330078
2023-04-14,91.79380798339844
2023-04-17,92.98185729980469
2023-04-18,92.7157211303711
2023-04-19,94.37901306152344
2023-04-20,92.44960021972656
2023-04-21,91.80330657958984
2023-04-24,91.56568145751953
2023-04-25,90.24457550048828
2023-04-26,89.7408447265625
2023-04-27,91.23304748535156
2023-04-28,92.47814178466797
2023-05-01,88.55277252197266
2023-05-02,85.11217498779297
2023-05-03,83.66751861572266
2023-05-04,81.38644409179688
2023-05-05,83.64849853515625
2023-05-08,84.65596008300781
2023-05-09,84.59895324707031
2023-05-10,82.72657775878906
2023-05-11,83.08773803710938
2023-05-12,82.62837982177734
2023-05-15,85.28886413574219
2023-05-16,87.04019927978516
2023-05-17,90.61941528320312
2023-05-18,94.96426391601562
2023-05-19,93.72012329101562
2023-05-22,95.1747817993164
2023-05-23,97.77787017822266
2023-05-24,95.21307373046875
2023-05-25,95.62458038330078
2023-05-26,98.42864227294922
2023-05-30,100.20866394042969
2023-05-31,99.73017120361328
2023-06-01,101.67289733886719
2023-06-02,105.7402114868164
2023-06-05,104.31426239013672
2023-06-06,107.20443725585938
2023-06-07,108.65909576416016
2023-06-08,106.8311996459961
2023-06-09,106.69721221923828
2023-06-12,107.02259063720703
2023-06-13,108.76435852050781
2023-06-14,107.50110626220703
2023-06-15,106.850341796875
2023-06-16,105.33826446533203
2023-06-20,104.4291000366211
2023-06-21,103.62520599365234
2023-06-22,102.31410217285156
2023-06-23,102.01742553710938
2023-06-26,101.65376281738281
