Date,MS
2023-01-03,77.02919006347656
2023-01-04,77.86491394042969
2023-01-05,77.20891571044922
2023-01-06,78.68264770507812
2023-01-09,78.7545394897461
2023-01-10,79.90475463867188
2023-01-11,80.3630599975586
2023-01-12,81.35152435302734
2023-01-13,82.36697387695312
2023-01-17,87.23745727539062
2023-01-18,86.78814697265625
2023-01-19,84.6045150756836
2023-01-20,86.48262023925781
2023-01-23,87.28238677978516
2023-01-24,85.8266372680664
2023-01-25,85.94344329833984
2023-01-26,86.71625518798828
2023-01-27,87.03975677490234
2023-01-30,86.92652130126953
2023-01-31,88.16756439208984
2023-02-01,88.94660186767578
2023-02-02,89.87056732177734
2023-02-03,90.06983947753906
2023-02-06,89.58977508544922
2023-02-07,89.87963104248047
2023-02-08,89.64410400390625
2023-02-09,88.81977844238281
2023-02-10,89.17306518554688
2023-02-13,90.06983947753906
2023-02-14,91.09349822998047
2023-02-15,91.33808135986328
2023-02-16,90.19668579101562
2023-02-17,90.14234161376953
2023-02-21,88.43025207519531
2023-02-22,88.11319732666016
2023-02-23,88.72013092041016
2023-02-24,88.50272369384766
2023-02-27,87.59687042236328
2023-02-28,87.41569519042969
2023-03-01,87.13487243652344
2023-03-02,87.03522491455078
2023-03-03,89.07342529296875
2023-03-06,89.11871337890625
2023-03-07,87.0171127319336
2023-03-08,86.87217712402344
2023-03-09,83.52047729492188
2023-03-10,81.57288360595703
2023-03-13,79.706787109375
2023-03-14,81.50041198730469
2023-03-15,77.35157012939453
2023-03-16,78.8190689086914
2023-03-17,76.25547790527344
2023-03-20,77.5780258178711
2023-03-21,80.40431213378906
2023-03-22,79.3082275390625
2023-03-23,77.75919342041016
2023-03-24,76.04712677001953
2023-03-27,76.67217254638672
2023-03-28,76.88956451416016
2023-03-29,78.12153625488281
2023-03-30,78.00379180908203
2023-03-31,79.53469848632812
2023-04-03,78.9549331665039
2023-04-04,76.83521270751953
2023-04-05,75.92935943603516
2023-04-06,76.26451873779297
2023-04-10,76.09241485595703
2023-04-11,77.0798110961914
2023-04-12,77.42403411865234
